time,thumb1x,thumb1y,thumb1z,thumb2x,thumb2y,thumb2z,thumb3x,thumb3y,thumb3z,index1x,index1y,index1z,index2x,index2y,index2z,index3x,index3y,index3z,middle1x,middle1y,middle1z,middle2x,middle2y,middle2z,middle3x,middle3y,middle3z,ring1x,ring1y,ring1z,ring2x,ring2y,ring2z,ring3x,ring3y,ring3z,pinky1x,pinky1y,pinky1z,pinky2x,pinky2y,pinky2z,pinky3x,pinky3y,pinky3z,palmx,palmy,palmz,pinch,
1529494291594,0.9224508,0.5972039,-0.9035094,0.9205192,0.6272492,-0.8777399,0.9206252,0.6414099,-0.8557959,0.9743932,0.6292408,-0.8532397,0.9657073,0.6379489,-0.8292174,0.9499915,0.6333826,-0.8215531,0.981101,0.6109344,-0.8451108,0.9671119,0.620764,-0.8195026,0.9472847,0.6177273,-0.8139231,0.985693,0.5871488,-0.8430606,0.9725884,0.5958118,-0.8186653,0.9526669,0.5949613,-0.813923,0.9857775,0.5644772,-0.8431058,0.9776871,0.5724876,-0.8236804,0.9621359,0.5753601,-0.8197396,0.9589989,0.5792748,-0.8874534,0.04581904,
1529494291619,0.9039455,0.5930012,-0.9038627,0.9003139,0.6217635,-0.8769282,0.8989431,0.6343169,-0.8541319,0.9515923,0.623274,-0.8490474,0.9406993,0.6313297,-0.8256086,0.9243764,0.6266607,-0.8194312,0.9567439,0.604276,-0.8409284,0.9395795,0.6128194,-0.8167306,0.9192498,0.6095112,-0.8135688,0.9604094,0.5806057,-0.8393771,0.9434001,0.5879021,-0.8174365,0.9230356,0.5861987,-0.8166234,0.9604545,0.5584258,-0.8400972,0.9488789,0.5658395,-0.8227421,0.9327966,0.56787,-0.8225884,0.9389054,0.5744599,-0.8857008,0.04369915,
1529494291655,0.869056,0.5864395,-0.9053867,0.8592516,0.6115388,-0.8763998,0.8530332,0.6202356,-0.8528061,0.9041353,0.617161,-0.8428116,0.8884934,0.625198,-0.8224692,0.8714316,0.6200223,-0.8204878,0.9072956,0.5972381,-0.8340411,0.8852805,0.6054127,-0.8133731,0.8646374,0.6025001,-0.8138806,0.910325,0.5736427,-0.8326305,0.8885809,0.5804638,-0.8148239,0.8685839,0.5786657,-0.8184589,0.9104006,0.5515956,-0.8340875,0.8946869,0.5585393,-0.8204528,0.8793734,0.5599379,-0.8252017,0.8998456,0.5688199,-0.8825036,0.03718896,
1529494291686,0.8553734,0.5839944,-0.9065771,0.8425264,0.604763,-0.8754244,0.8346048,0.609751,-0.8513912,0.8855057,0.6162952,-0.8429118,0.8682294,0.6236328,-0.8241511,0.8515295,0.617417,-0.8241808,0.8893729,0.5960954,-0.8338703,0.8666424,0.6039599,-0.8134688,0.8459684,0.6012132,-0.814082,0.8932347,0.5725176,-0.8326039,0.8712522,0.5791804,-0.814218,0.8509341,0.5778947,-0.8167315,0.8938359,0.550305,-0.8346336,0.8779595,0.5568594,-0.8203549,0.8622497,0.5586321,-0.8239066,0.8851354,0.5684239,-0.8836322,0.03294871,
1529494291713,0.8353966,0.5798099,-0.9069542,0.8194845,0.5964589,-0.8746421,0.8099897,0.5990673,-0.8508245,0.8605183,0.6143754,-0.8426514,0.8416945,0.620841,-0.8253877,0.8255456,0.6135567,-0.8268908,0.8657424,0.5942659,-0.8331561,0.8425694,0.6019043,-0.8125423,0.821828,0.5992692,-0.8124199,0.8708227,0.5707787,-0.8318805,0.8489676,0.5773837,-0.8120856,0.828369,0.5765839,-0.8121765,0.8722622,0.5482147,-0.8342983,0.8565143,0.5542138,-0.8185431,0.8404933,0.5562148,-0.8198466,0.8648781,0.5669903,-0.8839266,0.03201175,
1529494291740,0.8235495,0.5771215,-0.9095202,0.804239,0.5912235,-0.87775,0.7925769,0.5929339,-0.8547898,0.8431826,0.6123344,-0.8432029,0.8231733,0.6187595,-0.8268123,0.8069564,0.6116761,-0.8287671,0.8492442,0.5924333,-0.8331432,0.8260605,0.6006566,-0.8119223,0.8052312,0.5989902,-0.8105226,0.8552302,0.5688262,-0.8316952,0.8342519,0.5759123,-0.8098728,0.813837,0.5763328,-0.8067616,0.8570852,0.5458236,-0.8345937,0.8420393,0.5513107,-0.8170802,0.8260655,0.5537954,-0.8153704,0.8515579,0.5656579,-0.8849856,0.03514569,
1529494291766,0.8101606,0.5783753,-0.9130946,0.7884068,0.5908326,-0.882138,0.7752572,0.5923939,-0.8598814,0.8257805,0.6142248,-0.8454152,0.8051898,0.6207455,-0.8283763,0.7883797,0.6144404,-0.8287691,0.8332918,0.5948156,-0.834933,0.8106733,0.6031048,-0.8124255,0.7899568,0.6019208,-0.8089868,0.8403448,0.571147,-0.8334969,0.8200209,0.5776347,-0.8104364,0.7998908,0.577927,-0.8055457,0.8432007,0.5479071,-0.8367096,0.8285777,0.5523196,-0.8183383,0.8126391,0.5543191,-0.8151311,0.8378775,0.5683718,-0.8875722,0.04032648,
1529494291792,0.7983495,0.5799411,-0.9167245,0.7749779,0.5919873,-0.8868173,0.7609898,0.5935465,-0.8650053,0.8109152,0.6181519,-0.8491206,0.7901664,0.6249887,-0.8314288,0.773056,0.6192641,-0.8300821,0.8193628,0.5994446,-0.8379132,0.7966965,0.607515,-0.8152469,0.7760991,0.6058358,-0.8113019,0.8272906,0.5759829,-0.8358616,0.8065447,0.5818553,-0.8130587,0.7863796,0.5812354,-0.8084079,0.8312879,0.5527139,-0.8385149,0.8161935,0.5564822,-0.8205134,0.8000703,0.5576434,-0.8178377,0.8259595,0.5719039,-0.8901293,0.04501794,
1529494291819,0.7910136,0.5819165,-0.9185597,0.7662967,0.5941738,-0.8898697,0.7514307,0.5962442,-0.8685755,0.8015846,0.6208518,-0.8502901,0.7811824,0.6280448,-0.8313675,0.7639008,0.6234124,-0.827884,0.8107419,0.6027278,-0.8387271,0.7884551,0.6105577,-0.8153881,0.7680655,0.6086822,-0.8105456,0.8191549,0.5793873,-0.836446,0.7982069,0.5844549,-0.8136528,0.7780857,0.5830283,-0.8091289,0.8239061,0.5561076,-0.8388734,0.8083581,0.558988,-0.8212354,0.7921176,0.5593715,-0.8192008,0.8186155,0.5747916,-0.8909176,0.05049167,
1529494291846,0.7829117,0.583989,-0.9213157,0.756689,0.5981481,-0.894874,0.7402655,0.6030128,-0.8749241,0.7921628,0.6230851,-0.8515961,0.7732739,0.6311431,-0.8304976,0.7563641,0.6283768,-0.8237407,0.8020652,0.6059672,-0.839886,0.781072,0.6142803,-0.815273,0.7611305,0.6126186,-0.8087614,0.8110667,0.5826972,-0.8372576,0.7908787,0.5874853,-0.813586,0.7710726,0.5856047,-0.8080397,0.8166257,0.5591682,-0.8393825,0.8014609,0.5611678,-0.8212585,0.7852882,0.5608361,-0.8186904,0.810627,0.5771317,-0.8921148,0.05934842,
