time,thumb1x,thumb1y,thumb1z,thumb2x,thumb2y,thumb2z,thumb3x,thumb3y,thumb3z,index1x,index1y,index1z,index2x,index2y,index2z,index3x,index3y,index3z,middle1x,middle1y,middle1z,middle2x,middle2y,middle2z,middle3x,middle3y,middle3z,ring1x,ring1y,ring1z,ring2x,ring2y,ring2z,ring3x,ring3y,ring3z,pinky1x,pinky1y,pinky1z,pinky2x,pinky2y,pinky2z,pinky3x,pinky3y,pinky3z,palmx,palmy,palmz,pinch,
1529494347994,0.7570988,0.5250067,-0.9000707,0.7377515,0.513072,-0.8681386,0.7316668,0.5001595,-0.8478538,0.764075,0.5394963,-0.8236073,0.7521568,0.5244225,-0.8082639,0.7456983,0.5111015,-0.8164907,0.7809423,0.5276409,-0.8221152,0.7638725,0.5096691,-0.8054894,0.7521269,0.4950091,-0.8125819,0.8010366,0.5157371,-0.8287147,0.7857062,0.4980654,-0.8120021,0.7722044,0.4845191,-0.8170848,0.8176534,0.5037898,-0.8386437,0.8071566,0.4914529,-0.8236061,0.7944375,0.4824699,-0.8258151,0.7902416,0.5283123,-0.8787904,0.03605907,
1529494348022,0.7567773,0.5267133,-0.9037154,0.7370822,0.5160911,-0.8716235,0.7313668,0.5033634,-0.8512442,0.7637204,0.5433905,-0.8276445,0.7513507,0.5291685,-0.812261,0.7448118,0.5161452,-0.8206925,0.7799408,0.530951,-0.8257482,0.7621262,0.5139426,-0.8096018,0.7505094,0.4998401,-0.8176318,0.7996565,0.5182484,-0.8317277,0.7834309,0.5015735,-0.815411,0.7698054,0.4886379,-0.8213892,0.8159331,0.5056179,-0.8409935,0.8046119,0.4942544,-0.8261614,0.7917074,0.4858693,-0.8291701,0.7898993,0.5297067,-0.8821861,0.03574285,
1529494348048,0.7578819,0.52958,-0.9054576,0.7385266,0.5194139,-0.8730866,0.7332886,0.5066717,-0.8525698,0.7649032,0.5473299,-0.829826,0.7523693,0.53333,-0.8145173,0.7457949,0.5204688,-0.8230976,0.7808163,0.5346586,-0.8277915,0.7627465,0.5179511,-0.8121846,0.751419,0.5042738,-0.821067,0.8003585,0.5217173,-0.8334424,0.7837833,0.5054843,-0.8173813,0.7701861,0.4928955,-0.8239259,0.8164316,0.5087774,-0.8424082,0.8047659,0.4978561,-0.8277085,0.7918274,0.4897856,-0.8311769,0.7909125,0.532526,-0.8840123,0.03486228,
1529494348081,0.7582839,0.5329771,-0.9090359,0.7395457,0.5239398,-0.8760713,0.7349871,0.5114201,-0.8552771,0.7655782,0.5523789,-0.8345083,0.7524676,0.538635,-0.8195573,0.7457454,0.5258943,-0.8283371,0.7809213,0.5391527,-0.8324201,0.7622447,0.5228148,-0.8183699,0.7515537,0.5099478,-0.8289677,0.8001096,0.525786,-0.8375132,0.782714,0.5102069,-0.8224907,0.7692782,0.4983681,-0.8304446,0.8156514,0.5123897,-0.8459442,0.8030574,0.5022265,-0.8319186,0.7901548,0.4948155,-0.8365821,0.791244,0.5357018,-0.887953,0.03241923,
1529494348101,0.7587621,0.5357629,-0.9105968,0.7404189,0.5271497,-0.8773341,0.7362121,0.5147045,-0.8564402,0.766322,0.5555182,-0.8366585,0.75296,0.5416738,-0.8220959,0.7462571,0.529044,-0.8311386,0.7814666,0.5420562,-0.834681,0.7625654,0.5256726,-0.8215151,0.752202,0.5132188,-0.8329089,0.8004943,0.5286046,-0.8396029,0.7827626,0.5131433,-0.8252606,0.769465,0.501685,-0.8339527,0.8157631,0.5151339,-0.8478585,0.8027272,0.5052031,-0.8343384,0.7899202,0.4981068,-0.8396869,0.7917707,0.5383824,-0.8898001,0.03076839,
1529494348128,0.7596467,0.5404689,-0.9122791,0.741455,0.5327562,-0.8787431,0.7372918,0.5205287,-0.8577477,0.7677091,0.5602458,-0.8390655,0.7536598,0.5464873,-0.8251807,0.7468679,0.5340564,-0.8346137,0.7825004,0.5462251,-0.8372175,0.7629894,0.5300813,-0.8251793,0.7527943,0.5182581,-0.8374404,0.8010809,0.5323665,-0.8419539,0.7826165,0.5173205,-0.8285696,0.7693363,0.5065378,-0.838165,0.8158344,0.5186155,-0.8499847,0.8020729,0.5091808,-0.837134,0.789317,0.5026506,-0.8432955,0.7928148,0.5422598,-0.8917655,0.02845837,
1529494348154,0.7595657,0.5414782,-0.9138527,0.7413726,0.534369,-0.8802009,0.7373035,0.522414,-0.8590636,0.767041,0.5621895,-0.8413124,0.7526395,0.5484012,-0.8278481,0.7460743,0.5358518,-0.837415,0.7818863,0.5480829,-0.8392403,0.7621503,0.5319078,-0.8277613,0.7522342,0.5201255,-0.8403411,0.8003854,0.5341806,-0.8436123,0.7816011,0.51923,-0.8308497,0.7685854,0.5085614,-0.840973,0.8150815,0.5204008,-0.8512414,0.8009202,0.5111708,-0.8388819,0.7883849,0.5047443,-0.8456029,0.7926325,0.5434956,-0.8932958,0.02694749,
1529494348180,0.7592523,0.5428581,-0.9143496,0.7410319,0.5361091,-0.8806573,0.7370085,0.5243053,-0.8594351,0.766574,0.5639238,-0.842088,0.7520715,0.5501186,-0.8287889,0.7456337,0.5375133,-0.8384156,0.7814339,0.5497802,-0.8399566,0.7616628,0.5335706,-0.8288163,0.7519889,0.5218486,-0.8416511,0.799903,0.5358979,-0.8441824,0.7810181,0.5209772,-0.8318028,0.7682303,0.5103877,-0.8423021,0.8145683,0.5221586,-0.8516415,0.8002294,0.5130354,-0.8396145,0.7879115,0.5066646,-0.8467648,0.7923447,0.5449517,-0.8937821,0.0262805,
1529494348207,0.758783,0.5451256,-0.9162874,0.7404222,0.5394549,-0.8824158,0.7359157,0.5286254,-0.8606663,0.7661484,0.568396,-0.844649,0.7516555,0.5549714,-0.8307226,0.7450134,0.5419446,-0.8396876,0.781004,0.5542343,-0.8421693,0.7612189,0.5382223,-0.8304477,0.7513537,0.5260437,-0.8427427,0.7994004,0.540265,-0.8460542,0.7804964,0.5256027,-0.8334188,0.7677696,0.5147398,-0.8437277,0.8140209,0.5263401,-0.853129,0.7995875,0.5174822,-0.8411393,0.7874364,0.5110075,-0.8484505,0.7918796,0.5479017,-0.8958017,0.02646268,
1529494348234,0.7584047,0.5450218,-0.9170709,0.7399515,0.5405769,-0.8829805,0.7349234,0.5312281,-0.8605081,0.7660359,0.5711757,-0.8461496,0.7522513,0.5579674,-0.8310468,0.7456533,0.5441992,-0.8389077,0.7814023,0.5576341,-0.8433043,0.7623114,0.5414608,-0.8300942,0.752311,0.5281981,-0.8411256,0.8000889,0.5439873,-0.8471113,0.7818494,0.5290575,-0.8337517,0.7694203,0.5173678,-0.8434976,0.8150848,0.5302783,-0.8538996,0.8010414,0.5212282,-0.8416537,0.7891511,0.5141651,-0.8488263,0.7917808,0.5495717,-0.8969791,0.0273854,
