time,thumb1x,thumb1y,thumb1z,thumb2x,thumb2y,thumb2z,thumb3x,thumb3y,thumb3z,index1x,index1y,index1z,index2x,index2y,index2z,index3x,index3y,index3z,middle1x,middle1y,middle1z,middle2x,middle2y,middle2z,middle3x,middle3y,middle3z,ring1x,ring1y,ring1z,ring2x,ring2y,ring2z,ring3x,ring3y,ring3z,pinky1x,pinky1y,pinky1z,pinky2x,pinky2y,pinky2z,pinky3x,pinky3y,pinky3z,palmx,palmy,palmz,pinch,
1529413953482,1.152842,0.7117238,-0.9032059,1.132497,0.7058946,-0.8720278,1.123935,0.6958424,-0.8504342,1.159196,0.7402714,-0.8308793,1.1513,0.7409667,-0.8027231,1.141827,0.7352586,-0.7884083,1.175074,0.7268912,-0.8240345,1.166114,0.7256168,-0.7919657,1.154199,0.719002,-0.7764487,1.185415,0.7073392,-0.8284131,1.170216,0.6994075,-0.8018047,1.155458,0.690239,-0.79183,1.1957,0.6898109,-0.8366306,1.180466,0.6815007,-0.8221745,1.166093,0.6748029,-0.8235909,1.180609,0.7124484,-0.8812893,0.07563724,
1529413953523,1.15512,0.7254469,-0.9139448,1.136266,0.7241687,-0.8814049,1.128824,0.7164499,-0.8585679,1.163142,0.7615654,-0.8459343,1.154791,0.7663306,-0.8182541,1.144907,0.7631715,-0.8034202,1.17933,0.7482362,-0.8377402,1.171154,0.7515382,-0.8055848,1.159411,0.7477225,-0.7889966,1.189397,0.7280279,-0.8397001,1.175413,0.7245115,-0.8116966,1.160749,0.7176355,-0.7995255,1.198708,0.709231,-0.8457934,1.184412,0.7040018,-0.8295869,1.169769,0.6979584,-0.8301064,1.182896,0.726868,-0.893018,0.07404616,
1529413953561,1.151367,0.7438636,-0.9400249,1.131986,0.7525653,-0.9090282,1.123116,0.7509782,-0.885422,1.161589,0.7883605,-0.8784978,1.151545,0.7988644,-0.8529894,1.140419,0.7996466,-0.8386744,1.176168,0.7748174,-0.8675736,1.166107,0.7844095,-0.8372897,1.153002,0.7848312,-0.8211896,1.186043,0.7540335,-0.8654701,1.172215,0.7573808,-0.8376875,1.156579,0.754314,-0.825076,1.193847,0.7330863,-0.8676009,1.18086,0.7327437,-0.8492969,1.165723,0.7288598,-0.8471918,1.178977,0.7440214,-0.918153,0.06966614,
1529413953587,1.146923,0.7516515,-0.9535618,1.127198,0.7665882,-0.9253255,1.116621,0.7690213,-0.9024792,1.160057,0.7971386,-0.8934925,1.149638,0.8107996,-0.8697048,1.137651,0.8139482,-0.8564862,1.171636,0.78215,-0.8810008,1.159752,0.7944325,-0.852555,1.144803,0.7966887,-0.8384219,1.179727,0.7605515,-0.8771092,1.165318,0.7675032,-0.8504189,1.148746,0.7672651,-0.8386395,1.184691,0.7384201,-0.8776495,1.171197,0.7408745,-0.8597769,1.155608,0.73929,-0.8577266,1.173595,0.7484131,-0.929529,0.06764656,
1529413953613,1.141786,0.7642565,-0.9661571,1.122575,0.7839429,-0.940645,1.110176,0.7896357,-0.9193028,1.155492,0.8049386,-0.9029694,1.144951,0.8200946,-0.880237,1.132012,0.8248838,-0.8686048,1.162736,0.787807,-0.8897954,1.149496,0.8013569,-0.8627291,1.133038,0.8053735,-0.851025,1.167204,0.7651729,-0.8856926,1.151676,0.774164,-0.8604481,1.133948,0.7763911,-0.8509295,1.168763,0.7424103,-0.886254,1.154918,0.7469267,-0.8690403,1.139265,0.7481227,-0.8679894,1.164399,0.7549986,-0.93892,0.06549468,
1529413953640,1.141408,0.7695558,-0.9868242,1.123354,0.7945908,-0.965292,1.110029,0.8049525,-0.9462911,1.154449,0.8091099,-0.9224617,1.144192,0.8267689,-0.9014685,1.130986,0.8337542,-0.8914182,1.158358,0.7913275,-0.9081844,1.145162,0.8076231,-0.8825903,1.128662,0.8143535,-0.8722812,1.160568,0.7683343,-0.9029037,1.146246,0.7804004,-0.8781598,1.128932,0.785625,-0.8692367,1.159798,0.7447897,-0.9024418,1.148456,0.7511079,-0.8830326,1.133958,0.7551665,-0.8781859,1.15971,0.7570286,-0.9563788,0.06541994,
1529413953666,1.138747,0.7681085,-0.99733,1.121861,0.7969034,-0.9795517,1.109003,0.8124341,-0.9637768,1.151845,0.8094175,-0.9336441,1.141886,0.8285349,-0.9137751,1.128963,0.8368133,-0.9042634,1.15453,0.7922877,-0.9185569,1.14161,0.8106399,-0.8941312,1.125544,0.8190162,-0.8842103,1.155887,0.7694144,-0.9119923,1.142299,0.7835125,-0.8877797,1.125576,0.7903752,-0.878741,1.1545,0.7457263,-0.9102305,1.144749,0.7532856,-0.8900729,1.131448,0.7586167,-0.8830628,1.155461,0.7556449,-0.964992,0.06733938,
1529413953694,1.141239,0.7660746,-1.00675,1.125931,0.7973642,-0.991818,1.113981,0.8158799,-0.9786974,1.153747,0.8078454,-0.9429185,1.144359,0.8281541,-0.9238983,1.131982,0.8379,-0.9149355,1.154335,0.7911089,-0.9273804,1.141809,0.8111782,-0.9039763,1.126415,0.8213797,-0.8945402,1.153587,0.7684339,-0.9202167,1.140023,0.7843286,-0.8969578,1.123802,0.7929516,-0.8883789,1.15092,0.7448421,-0.9177451,1.141721,0.7535881,-0.8976369,1.129362,0.7602543,-0.8897904,1.155146,0.7530649,-0.9727003,0.06981783,
1529413953727,1.137923,0.768145,-1.010591,1.124398,0.8011808,-0.9978569,1.11332,0.8212289,-0.986336,1.150046,0.8110968,-0.9471179,1.141922,0.8324253,-0.9287411,1.129939,0.8432631,-0.9205858,1.14838,0.7949446,-0.9309849,1.136911,0.816413,-0.9083749,1.121979,0.8279941,-0.8999379,1.145503,0.7728837,-0.9232326,1.132548,0.7904955,-0.9011284,1.116506,0.8005855,-0.8939761,1.140796,0.7497135,-0.9202282,1.131989,0.7598381,-0.90062,1.120137,0.7678224,-0.8931628,1.148372,0.7555241,-0.9752982,0.07130782,
1529413953760,1.13405,0.7686472,-1.015177,1.122875,0.8026434,-1.003064,1.11221,0.8224478,-0.9909314,1.148941,0.8109344,-0.9511485,1.143433,0.8324741,-0.9325795,1.131675,0.8439187,-0.9252061,1.144477,0.79529,-0.9348779,1.134607,0.8172555,-0.912626,1.119575,0.829551,-0.9059405,1.137808,0.7743452,-0.9276792,1.123613,0.7928703,-0.9087619,1.106213,0.8025564,-0.907427,1.130986,0.7520698,-0.9245905,1.121556,0.7637491,-0.9065893,1.109321,0.7730335,-0.9016927,1.141608,0.7558343,-0.9792486,0.07183108,
