time,thumb1x,thumb1y,thumb1z,thumb2x,thumb2y,thumb2z,thumb3x,thumb3y,thumb3z,index1x,index1y,index1z,index2x,index2y,index2z,index3x,index3y,index3z,middle1x,middle1y,middle1z,middle2x,middle2y,middle2z,middle3x,middle3y,middle3z,ring1x,ring1y,ring1z,ring2x,ring2y,ring2z,ring3x,ring3y,ring3z,pinky1x,pinky1y,pinky1z,pinky2x,pinky2y,pinky2z,pinky3x,pinky3y,pinky3z,palmx,palmy,palmz,pinch,
1529414013803,1.107335,0.6800966,-0.8419639,1.099678,0.6793804,-0.805182,1.10386,0.6753376,-0.7809751,1.108797,0.7195743,-0.785018,1.103168,0.7034332,-0.7660499,1.101285,0.6864036,-0.7691722,1.126808,0.7165406,-0.7819666,1.116558,0.6981939,-0.7610801,1.110717,0.6791116,-0.7639045,1.148111,0.711414,-0.7855443,1.138577,0.6959395,-0.763478,1.130159,0.6779677,-0.7630706,1.166379,0.7030851,-0.7915524,1.159182,0.6940524,-0.7728052,1.149765,0.6815506,-0.7708194,1.134557,0.6997971,-0.8320315,0.01638275,
1529414013828,1.101119,0.6869217,-0.8454355,1.092446,0.687177,-0.8088142,1.095546,0.6839396,-0.7842765,1.102707,0.7285132,-0.7894323,1.096837,0.7133908,-0.7695062,1.094741,0.6962255,-0.7714616,1.120625,0.7251717,-0.7862548,1.110092,0.7075931,-0.7646378,1.10407,0.6884352,-0.7664779,1.141931,0.7199353,-0.7895105,1.132175,0.7054178,-0.766683,1.123631,0.6875576,-0.7651842,1.160133,0.7112741,-0.7951773,1.152744,0.7029761,-0.7760257,1.143298,0.690623,-0.7733126,1.128711,0.7069421,-0.8357991,0.01777116,
1529414013856,1.08666,0.7009432,-0.8469715,1.077011,0.7030643,-0.8105807,1.078923,0.7013032,-0.7857147,1.088767,0.7463214,-0.7928734,1.08276,0.7333857,-0.7711215,1.08029,0.716159,-0.7706916,1.106653,0.7424941,-0.7895826,1.09603,0.7265034,-0.7665452,1.089733,0.7073202,-0.7665883,1.127862,0.7367705,-0.792614,1.118028,0.7236194,-0.7688479,1.109369,0.7059596,-0.76601,1.145947,0.7277104,-0.7978224,1.138423,0.7204467,-0.7782664,1.128941,0.708289,-0.7748792,1.1146,0.72135,-0.8381477,0.02117202,
1529414013883,1.072912,0.7123898,-0.8482789,1.062579,0.7152866,-0.812089,1.063631,0.7139933,-0.7871186,1.076331,0.7598537,-0.7947745,1.069813,0.7489153,-0.7719088,1.06663,0.7319531,-0.7698319,1.094116,0.75488,-0.791333,1.082993,0.7401096,-0.7676886,1.076071,0.721182,-0.7670187,1.115098,0.7482132,-0.7942329,1.104814,0.7359344,-0.7701737,1.095638,0.7186232,-0.7669404,1.132883,0.7384841,-0.7992122,1.125035,0.7318372,-0.7795823,1.115207,0.720004,-0.7760769,1.101633,0.7323737,-0.8396657,0.02510731,
1529414013918,1.058284,0.7241355,-0.851476,1.047333,0.7280375,-0.8155459,1.047738,0.7273639,-0.7905142,1.061889,0.7741817,-0.7991331,1.054732,0.7656571,-0.7752088,1.050905,0.7491909,-0.7712212,1.079568,0.7683188,-0.7951698,1.067845,0.7551312,-0.7708367,1.060409,0.7364841,-0.7692035,1.100357,0.7607931,-0.7976291,1.089476,0.7496203,-0.7733185,1.079901,0.7326266,-0.7696809,1.118001,0.7505173,-0.8020785,1.109738,0.7447252,-0.7823738,1.099637,0.7331946,-0.7786995,1.087267,0.7438481,-0.8429015,0.02930303,
1529414013935,1.048216,0.7310189,-0.8538666,1.036433,0.7361835,-0.8183538,1.036221,0.7364384,-0.7933081,1.051222,0.783583,-0.8032664,1.043686,0.7768719,-0.7787825,1.039682,0.7608235,-0.7735347,1.068891,0.7775541,-0.7987432,1.056865,0.7656834,-0.7738395,1.049345,0.7471895,-0.7712867,1.089591,0.7695669,-0.8006929,1.07831,0.75915,-0.7762722,1.068708,0.7422372,-0.7723398,1.107285,0.7591827,-0.8045112,1.098653,0.7540094,-0.7848414,1.088508,0.7425425,-0.781104,1.077225,0.7510576,-0.8455007,0.03158485,
1529414013962,1.033135,0.7398998,-0.8567324,1.020731,0.7460243,-0.8215693,1.019912,0.7469947,-0.7965356,1.035829,0.7943712,-0.8076006,1.027802,0.7892318,-0.7827331,1.023463,0.7736972,-0.7762809,1.053534,0.7881389,-0.8025515,1.041135,0.7775424,-0.777072,1.033276,0.7593572,-0.773392,1.073974,0.77937,-0.8040911,1.062158,0.769286,-0.7798014,1.052401,0.7524394,-0.7757995,1.091604,0.7688433,-0.8073739,1.082453,0.7639137,-0.7879396,1.072172,0.7524798,-0.7844269,1.062213,0.7600436,-0.8485107,0.03370294,
1529414013988,1.015693,0.7500277,-0.8617297,1.002368,0.7571653,-0.8271083,1.000842,0.7588139,-0.8021208,1.018216,0.8059859,-0.813733,1.009677,0.8023601,-0.7885976,1.004919,0.7874246,-0.7810549,1.035898,0.7995415,-0.8080892,1.023071,0.790161,-0.7821798,1.014815,0.7723508,-0.7775412,1.055938,0.7897404,-0.8091936,1.043423,0.7794757,-0.7855055,1.033538,0.7625195,-0.7821052,1.073401,0.7790902,-0.8119184,1.063458,0.7739508,-0.793098,1.053048,0.762383,-0.7904228,1.045016,0.7700394,-0.8532981,0.03576271,
1529414014015,1.002302,0.7570876,-0.8643341,0.9884833,0.7648339,-0.8300369,0.9864906,0.7669178,-0.805092,1.005071,0.8137975,-0.8169701,0.9962636,0.8109859,-0.7917212,0.9912418,0.7964368,-0.7835203,1.0229,0.8074801,-0.8110309,1.009968,0.7992699,-0.7845391,1.001324,0.7819467,-0.7787555,1.042535,0.7967356,-0.8120059,1.029657,0.7862668,-0.7887409,1.019735,0.7692273,-0.7858583,1.059862,0.7859864,-0.8144872,1.049486,0.7806325,-0.7961066,1.039045,0.7689651,-0.7941071,1.0319,0.7769514,-0.855862,0.03686839,
1529414014042,0.985754,0.7658952,-0.8696566,0.9716481,0.7741802,-0.8355777,0.9692141,0.7766728,-0.8106911,0.9889161,0.8231584,-0.8227202,0.9798591,0.8209912,-0.7975743,0.9747049,0.8065933,-0.7891712,1.006904,0.8166729,-0.8165977,0.9939132,0.8091575,-0.7899157,0.9850791,0.7920665,-0.7837322,1.026158,0.8050377,-0.8175935,1.012986,0.794062,-0.795096,1.00322,0.7768154,-0.7934443,1.043346,0.7942759,-0.8199794,1.032585,0.7885892,-0.802211,1.022246,0.7767357,-0.8012953,1.015602,0.7854866,-0.8612211,0.03726244,
