time,thumb1x,thumb1y,thumb1z,thumb2x,thumb2y,thumb2z,thumb3x,thumb3y,thumb3z,index1x,index1y,index1z,index2x,index2y,index2z,index3x,index3y,index3z,middle1x,middle1y,middle1z,middle2x,middle2y,middle2z,middle3x,middle3y,middle3z,ring1x,ring1y,ring1z,ring2x,ring2y,ring2z,ring3x,ring3y,ring3z,pinky1x,pinky1y,pinky1z,pinky2x,pinky2y,pinky2z,pinky3x,pinky3y,pinky3z,palmx,palmy,palmz,pinch,
1529077183195,1.125448,0.3752967,-0.801518,1.11752,0.3661961,-0.7633936,1.116688,0.3558762,-0.7389578,1.158566,0.3932308,-0.7308595,1.156687,0.3817855,-0.7036725,1.149516,0.3668022,-0.6958729,1.17832,0.3859401,-0.7335672,1.176736,0.3769532,-0.7007211,1.167252,0.3628577,-0.6887461,1.195853,0.3739005,-0.7463848,1.196938,0.364325,-0.7157596,1.187969,0.3507954,-0.7029865,1.208825,0.3593888,-0.7624595,1.21408,0.3515562,-0.7397243,1.208199,0.3417592,-0.7276664,1.163603,0.3788737,-0.7925647,0.05525769,
1529077183236,1.121392,0.3775308,-0.796518,1.11357,0.3691054,-0.7582164,1.112498,0.3594886,-0.7334081,1.155528,0.3945507,-0.7264582,1.153434,0.3825543,-0.6995091,1.146376,0.367347,-0.6919327,1.175372,0.3875785,-0.7295741,1.173991,0.3783323,-0.6965574,1.165231,0.3643622,-0.6833603,1.192745,0.3755594,-0.742811,1.193906,0.3652978,-0.7121792,1.185623,0.3516639,-0.6987154,1.205884,0.3612584,-0.7593162,1.211259,0.3525665,-0.7368513,1.205911,0.3424385,-0.7246428,1.160183,0.3809278,-0.7883633,0.05412668,
1529077183261,1.118426,0.3771769,-0.7897497,1.110855,0.3690673,-0.751308,1.109487,0.3599971,-0.726235,1.153012,0.3935058,-0.7201679,1.150213,0.3813662,-0.6932285,1.143047,0.3662209,-0.6854005,1.173515,0.3866902,-0.7236357,1.173169,0.3782069,-0.6899065,1.16575,0.3653327,-0.6745359,1.190853,0.3747304,-0.7372296,1.193586,0.365304,-0.7058868,1.187173,0.3526693,-0.6903363,1.203751,0.3602536,-0.7540996,1.210418,0.3517101,-0.7315889,1.207143,0.3419887,-0.718106,1.157247,0.38043,-0.7821521,0.05322067,
1529077183313,1.115413,0.3727499,-0.7772171,1.10809,0.36405,-0.7388165,1.106529,0.3549332,-0.713802,1.15041,0.3877208,-0.7082009,1.145929,0.3748785,-0.6819636,1.138283,0.3594203,-0.6748855,1.172162,0.3813745,-0.7123125,1.172969,0.3735725,-0.6780502,1.167356,0.3620595,-0.660581,1.189587,0.3698184,-0.7266721,1.194531,0.3614136,-0.6948512,1.190992,0.3502479,-0.6771055,1.201957,0.3554319,-0.7442149,1.21016,0.347158,-0.7218258,1.20925,0.3379801,-0.7075245,1.154887,0.3757403,-0.7706515,0.05042753,
1529077183355,1.113032,0.3695664,-0.7691029,1.105932,0.3614565,-0.7305486,1.105016,0.3524452,-0.7055261,1.147094,0.3877823,-0.7004494,1.142492,0.3751584,-0.6744388,1.134812,0.3594568,-0.6682554,1.169024,0.3817686,-0.704102,1.169541,0.374657,-0.6698104,1.163849,0.363342,-0.6521045,1.186523,0.370073,-0.7178166,1.190636,0.3623762,-0.6858713,1.18657,0.3513667,-0.6680064,1.199159,0.3552741,-0.7346042,1.206253,0.3475331,-0.7118677,1.203381,0.338182,-0.6980981,1.152329,0.3737559,-0.7623121,0.04822924,
1529077183395,1.106861,0.3727273,-0.7653502,1.099273,0.364414,-0.7270238,1.099256,0.3545976,-0.7023584,1.139555,0.3929949,-0.6957308,1.136237,0.3809531,-0.6693537,1.129323,0.3650807,-0.6631052,1.160866,0.3871585,-0.6988622,1.160434,0.3792177,-0.6651009,1.153755,0.3663591,-0.6490334,1.179005,0.3760248,-0.7119688,1.181747,0.3674935,-0.6804312,1.176087,0.3549784,-0.6642832,1.192521,0.3618819,-0.7281616,1.198283,0.3540353,-0.7053456,1.193313,0.3439717,-0.6931875,1.146031,0.378391,-0.7574474,0.05054406,
1529077183421,1.105325,0.3737958,-0.7646168,1.097188,0.3669223,-0.7261513,1.096488,0.3576761,-0.7012079,1.138372,0.3929541,-0.6947693,1.134755,0.3819891,-0.6678786,1.126933,0.3668975,-0.6611214,1.158874,0.3850461,-0.697459,1.157599,0.3770761,-0.6637745,1.149737,0.3645478,-0.6480466,1.176238,0.3726481,-0.7100018,1.177636,0.3639572,-0.6785337,1.170466,0.35171,-0.6628057,1.188929,0.3572705,-0.7256869,1.193266,0.3488851,-0.7028709,1.186804,0.3391131,-0.6911812,1.144288,0.3766868,-0.7561253,0.05117472,
1529077183447,1.105147,0.3712467,-0.7649387,1.097492,0.3639471,-0.7264767,1.097008,0.3542961,-0.7016476,1.139617,0.388415,-0.6948627,1.137253,0.3779405,-0.6674491,1.129665,0.3632394,-0.6601344,1.159548,0.379523,-0.6980016,1.158744,0.3705158,-0.6646926,1.150506,0.3573254,-0.6499666,1.176298,0.3672159,-0.7109282,1.177381,0.3574292,-0.680055,1.168887,0.3443213,-0.6662968,1.188317,0.3519949,-0.7269775,1.192122,0.3429376,-0.7044406,1.185041,0.3329526,-0.6933099,1.144039,0.3729107,-0.7567106,0.05357112,
1529077183474,1.106961,0.3683186,-0.7651061,1.100629,0.3621565,-0.7262245,1.100821,0.3530181,-0.7011732,1.143877,0.3849342,-0.69616,1.142373,0.3753192,-0.6684701,1.134589,0.3610061,-0.6605695,1.163167,0.3749034,-0.6997561,1.162957,0.3660796,-0.6665202,1.154247,0.3529797,-0.6522537,1.178628,0.3618118,-0.7128944,1.179767,0.3522499,-0.6818738,1.171039,0.3396115,-0.667925,1.189515,0.3464038,-0.7288883,1.192737,0.3377979,-0.7061031,1.185269,0.3283002,-0.6947218,1.14576,0.368265,-0.7579658,0.05341066,
1529077183510,1.108799,0.3654774,-0.76674,1.10416,0.3618455,-0.7274238,1.105839,0.3529819,-0.7024517,1.147917,0.3831875,-0.6992875,1.14803,0.3770471,-0.6700339,1.140749,0.3648863,-0.6584865,1.166371,0.3709601,-0.702632,1.168353,0.3650165,-0.668283,1.161216,0.3545896,-0.6510893,1.1802,0.3559782,-0.7151908,1.182899,0.3487398,-0.683081,1.176476,0.3387501,-0.6654736,1.189441,0.339379,-0.7303663,1.193023,0.3323752,-0.7068303,1.186908,0.3244238,-0.693223,1.146927,0.3624749,-0.7601328,0.0573881,
