time,thumb1x,thumb1y,thumb1z,thumb2x,thumb2y,thumb2z,thumb3x,thumb3y,thumb3z,index1x,index1y,index1z,index2x,index2y,index2z,index3x,index3y,index3z,middle1x,middle1y,middle1z,middle2x,middle2y,middle2z,middle3x,middle3y,middle3z,ring1x,ring1y,ring1z,ring2x,ring2y,ring2z,ring3x,ring3y,ring3z,pinky1x,pinky1y,pinky1z,pinky2x,pinky2y,pinky2z,pinky3x,pinky3y,pinky3z,palmx,palmy,palmz,pinch,
1528812061697,0.7501427,0.4611712,-0.6232814,0.730594,0.4730374,-0.5911382,0.7179908,0.4742216,-0.5688342,0.7523073,0.4751464,-0.5545062,0.7283058,0.4701644,-0.5476186,0.7179855,0.4620775,-0.5599492,0.7549121,0.454778,-0.555188,0.7277772,0.4500374,-0.5588484,0.7232763,0.4453017,-0.5783308,0.7622395,0.4343714,-0.5582809,0.7376245,0.4317783,-0.5637144,0.7351293,0.4298711,-0.5836227,0.7678661,0.4162902,-0.5629815,0.7490602,0.4176349,-0.5660131,0.7482004,0.4184472,-0.5818609,0.772988,0.4452697,-0.6000854,0.01504735,
1528812061723,0.7465805,0.4641816,-0.6234374,0.7298729,0.4801008,-0.5914845,0.7185555,0.4846274,-0.5686414,0.7523351,0.4692183,-0.5533507,0.7287373,0.4628212,-0.5463096,0.7180139,0.4567738,-0.5593718,0.7564461,0.4510256,-0.551674,0.7280568,0.4472223,-0.5485533,0.717592,0.4435726,-0.5657948,0.7633418,0.4299212,-0.556188,0.736937,0.4277234,-0.5549068,0.7279703,0.4275602,-0.5728868,0.768146,0.4117547,-0.5628955,0.7482001,0.4130312,-0.5606166,0.7421929,0.4156389,-0.5750192,0.7700336,0.4427789,-0.6011355,0.02936058,
1528812061758,0.7415835,0.4678676,-0.6245376,0.728092,0.4862519,-0.5927065,0.718101,0.4906226,-0.5691748,0.7498352,0.4630958,-0.5531002,0.7262101,0.4572979,-0.5460246,0.7149963,0.4534405,-0.5594261,0.7544059,0.4455541,-0.5508659,0.7263359,0.4435225,-0.5432157,0.7127943,0.441486,-0.5582377,0.7597532,0.4238839,-0.5572101,0.733366,0.4227574,-0.5511155,0.7208829,0.4241879,-0.5665174,0.7629405,0.4059097,-0.5657417,0.7436404,0.4076497,-0.5597512,0.7351646,0.411378,-0.572369,0.7639462,0.4397397,-0.603202,0.03856408,
1528812061777,0.7417513,0.4682374,-0.6265711,0.729758,0.4872752,-0.5947583,0.7198666,0.4912919,-0.5710818,0.7492837,0.4593666,-0.5544093,0.7252809,0.4552814,-0.5470482,0.7135243,0.452813,-0.560277,0.7525731,0.4414784,-0.5525696,0.7247255,0.4415218,-0.5444631,0.7110041,0.4410889,-0.5594372,0.7561139,0.419571,-0.559692,0.7299967,0.420324,-0.5531927,0.7176852,0.4232588,-0.5684853,0.7577962,0.4016233,-0.5689315,0.7389206,0.4045944,-0.5625387,0.7307507,0.4094114,-0.5749724,0.7614347,0.4367683,-0.6055232,0.04046726,
1528812061804,0.7390985,0.4720736,-0.6260645,0.7278603,0.4903095,-0.5937603,0.7171935,0.4933466,-0.5702008,0.744459,0.4580355,-0.5532441,0.7201334,0.4565896,-0.5448627,0.7073916,0.4561043,-0.5573086,0.7450469,0.4396206,-0.5529634,0.7172806,0.4426042,-0.5448384,0.7036352,0.4446976,-0.5597273,0.7460427,0.4179409,-0.5613887,0.7201737,0.4214908,-0.5550863,0.708621,0.4266368,-0.5703652,0.7456555,0.4005346,-0.5718493,0.7273637,0.4054601,-0.5659247,0.7207029,0.411693,-0.578599,0.7544793,0.4367887,-0.6062191,0.04061127,
1528812061830,0.7342964,0.469346,-0.6257548,0.7232198,0.4862134,-0.5927055,0.7123384,0.488673,-0.5690699,0.7399678,0.4535971,-0.5536074,0.7154236,0.453429,-0.5446373,0.7019142,0.4538634,-0.5563408,0.7377086,0.4353185,-0.5561296,0.7102703,0.439883,-0.5525315,0.7003736,0.4428608,-0.5701723,0.7374028,0.4146534,-0.5654143,0.7125032,0.4205405,-0.5640727,0.7057908,0.4261621,-0.5820725,0.7366072,0.397662,-0.5754032,0.719095,0.4043666,-0.5724132,0.7158684,0.4103013,-0.5866313,0.7484121,0.4332421,-0.607227,0.03850201,
1528812061856,0.7299044,0.4684119,-0.6257554,0.7187384,0.484782,-0.5923678,0.7076983,0.48768,-0.568798,0.7348261,0.4530034,-0.554279,0.7099249,0.4542181,-0.5454901,0.6960384,0.4552607,-0.5568627,0.7304523,0.4350456,-0.5591627,0.7037443,0.4411959,-0.5597976,0.6974673,0.4443386,-0.5790312,0.7293901,0.4150536,-0.5685936,0.7055975,0.4228511,-0.5712082,0.702543,0.4281002,-0.5903144,0.728182,0.3982348,-0.577723,0.7113188,0.4064561,-0.5772077,0.7103589,0.4116621,-0.5921062,0.7427228,0.4321734,-0.6076946,0.03646122,
1528812061870,0.7280182,0.4674223,-0.6259816,0.7167489,0.4838458,-0.5925895,0.7056379,0.487144,-0.5690883,0.7324755,0.4525139,-0.5545538,0.7074832,0.4542849,-0.5457231,0.6934018,0.4555045,-0.5568901,0.7274466,0.4346574,-0.5601548,0.700946,0.4413707,-0.5619801,0.6955389,0.4444748,-0.5815029,0.7261302,0.4148118,-0.5695784,0.7027222,0.4232071,-0.5733997,0.7006807,0.4282226,-0.5927179,0.7247258,0.3980203,-0.578423,0.7081097,0.4067346,-0.5787627,0.7078612,0.4116283,-0.5938132,0.7402923,0.4312968,-0.6078667,0.03604968,
1528812061897,0.7154495,0.4676623,-0.6264338,0.7038931,0.4843192,-0.5930662,0.693212,0.4887278,-0.5694957,0.722012,0.4557742,-0.5549483,0.697035,0.4574436,-0.5451727,0.6820458,0.4580564,-0.5553001,0.7165767,0.4376928,-0.5614483,0.6900176,0.4439616,-0.5648254,0.6852751,0.4463592,-0.5846608,0.7156292,0.4178826,-0.5703889,0.6923744,0.4259598,-0.575964,0.6912162,0.4299373,-0.5955994,0.7145032,0.4009488,-0.5783033,0.6978787,0.4095811,-0.5800503,0.6981376,0.4133163,-0.5954441,0.7292221,0.4330126,-0.6078286,0.03559407,
1528812061930,0.7076061,0.4632507,-0.6323013,0.696152,0.4795001,-0.5986192,0.6859222,0.4839396,-0.5748498,0.7160216,0.4518533,-0.560977,0.6911936,0.4527407,-0.550383,0.6756567,0.4529189,-0.5597655,0.7107151,0.433636,-0.5680467,0.6839169,0.4391408,-0.5716347,0.679068,0.4414963,-0.5914805,0.710259,0.4139003,-0.5770601,0.6868219,0.4214094,-0.5829961,0.6857234,0.425416,-0.6026464,0.7095217,0.3970244,-0.5848502,0.692679,0.4052857,-0.5869743,0.6930059,0.4088929,-0.6024007,0.7228494,0.4293513,-0.6140666,0.03598889,
1528812061950,0.7042522,0.4625663,-0.6330455,0.6926768,0.4785535,-0.5992562,0.6825584,0.482829,-0.5754188,0.7136666,0.4511647,-0.5616287,0.689035,0.4513552,-0.5504702,0.6732607,0.4512234,-0.5594511,0.7085882,0.4328214,-0.5688162,0.6816376,0.4376885,-0.5720944,0.676553,0.4401708,-0.59187,0.7085247,0.4130796,-0.5779185,0.6848812,0.4201173,-0.583588,0.6835893,0.4245002,-0.6031464,0.7081258,0.3962371,-0.5857852,0.6910688,0.4041778,-0.5877231,0.6912881,0.4081474,-0.6030489,0.7205032,0.4289966,-0.6150125,0.03661052,
