time,thumb1x,thumb1y,thumb1z,thumb2x,thumb2y,thumb2z,thumb3x,thumb3y,thumb3z,index1x,index1y,index1z,index2x,index2y,index2z,index3x,index3y,index3z,middle1x,middle1y,middle1z,middle2x,middle2y,middle2z,middle3x,middle3y,middle3z,ring1x,ring1y,ring1z,ring2x,ring2y,ring2z,ring3x,ring3y,ring3z,pinky1x,pinky1y,pinky1z,pinky2x,pinky2y,pinky2z,pinky3x,pinky3y,pinky3z,palmx,palmy,palmz,pinch,
1529074757788,0.8959256,0.3705964,-0.9162019,0.880146,0.348685,-0.887973,0.8753932,0.3315282,-0.8702752,0.8976195,0.3731096,-0.8385329,0.889641,0.3524033,-0.8216182,0.8832545,0.3357054,-0.8219655,0.9165372,0.3661225,-0.8359612,0.9047527,0.3438118,-0.8163574,0.8944534,0.3260042,-0.8153236,0.9385445,0.3592837,-0.8428055,0.9289601,0.3379516,-0.8240741,0.9182479,0.3208634,-0.8229642,0.9567465,0.35013,-0.8549939,0.9506326,0.3331601,-0.8409828,0.9406253,0.3208169,-0.8403229,0.9254772,0.3769557,-0.8924198,0.04912313,
1529074757813,0.9015069,0.3669729,-0.9278411,0.8865712,0.3451162,-0.899094,0.8820791,0.3281087,-0.8811548,0.9049618,0.3676018,-0.8513443,0.8965496,0.3456773,-0.8374249,0.8905015,0.3296238,-0.8417252,0.9239805,0.3609415,-0.8494921,0.9116437,0.337403,-0.8326871,0.9014041,0.3198642,-0.8352267,0.9461013,0.3545777,-0.8569019,0.9360788,0.3322288,-0.8404143,0.9251278,0.31553,-0.842273,0.9647448,0.3463762,-0.8692335,0.9589632,0.3290938,-0.8557661,0.9487877,0.3169601,-0.8559469,0.9320148,0.3732069,-0.9051483,0.04034751,
1529074757846,0.9080815,0.35427,-0.9451796,0.8959512,0.331105,-0.9161603,0.8934411,0.3132081,-0.8987323,0.9155344,0.3503819,-0.8709464,0.9066055,0.3272638,-0.8616057,0.9008965,0.3135232,-0.8706527,0.934912,0.3438247,-0.8705196,0.9223648,0.3188519,-0.8568929,0.9119126,0.3023778,-0.8625826,0.9565504,0.3380504,-0.8794178,0.9463502,0.3144982,-0.8651441,0.9349288,0.2986631,-0.8690994,0.9747148,0.3308121,-0.8929539,0.9692718,0.3127389,-0.8803486,0.9588637,0.3008491,-0.8807942,0.9399537,0.3594514,-0.9247891,0.02905422,
1529074757868,0.9166248,0.3399401,-0.9566109,0.9056339,0.3165594,-0.9273512,0.9046638,0.2982206,-0.9104798,0.9255384,0.3348194,-0.8834895,0.9164134,0.3116149,-0.876025,0.9107101,0.2994608,-0.8869062,0.9449276,0.3280046,-0.8834646,0.9322352,0.3027408,-0.8711652,0.9214483,0.2870978,-0.8782398,0.9662733,0.3221627,-0.8927599,0.9559305,0.2984139,-0.8793501,0.9440951,0.2835604,-0.8846287,0.9839902,0.314905,-0.9067023,0.9786173,0.2966094,-0.8943318,0.9679583,0.2850378,-0.8948455,0.9487657,0.3445737,-0.9371523,0.02436826,
1529074757894,0.9233711,0.3304546,-0.9685755,0.9147018,0.3064343,-0.9392229,0.9161448,0.2872606,-0.923534,0.9339803,0.3224894,-0.8975289,0.9242017,0.2991635,-0.8924184,0.9182078,0.2886754,-0.9047085,0.9531815,0.3151956,-0.8983059,0.9397761,0.2896048,-0.8883139,0.9284152,0.2753802,-0.8971743,0.9737692,0.3093089,-0.9082677,0.962307,0.2854541,-0.8970981,0.9497815,0.2724085,-0.9046206,0.9906573,0.3022168,-0.9227111,0.9842201,0.2836778,-0.9112934,0.9728449,0.273002,-0.9126751,0.9558409,0.3336425,-0.9507074,0.01899101,
1529074757921,0.9345518,0.3090976,-0.9889107,0.9273657,0.2857735,-0.9588083,0.9311395,0.2666119,-0.9440621,0.9437916,0.3014691,-0.9208168,0.9332951,0.2786798,-0.9202119,0.9282554,0.2710336,-0.9350296,0.9627151,0.2939348,-0.9209661,0.9479008,0.2687101,-0.915333,0.9368447,0.2571672,-0.9278286,0.9835274,0.288215,-0.9294624,0.9708304,0.2646761,-0.91971,0.9581401,0.2528304,-0.9286257,1.000422,0.2807392,-0.9433563,0.99255,0.2626429,-0.9330443,0.9803139,0.2532648,-0.9359884,0.9666429,0.3120636,-0.971595,0.01046207,
1529074757947,0.9433495,0.2969651,-1.003216,0.9382354,0.273345,-0.9732646,0.9437072,0.2534826,-0.9600585,0.9521301,0.2865117,-0.9382151,0.9407949,0.2646486,-0.9411414,0.9356501,0.2601343,-0.9571007,0.9694755,0.2782357,-0.9392237,0.9528599,0.2546067,-0.9390534,0.9428266,0.2478506,-0.9551479,0.989961,0.2716131,-0.9475584,0.974938,0.2488706,-0.9426538,0.961984,0.2407752,-0.9549571,1.006281,0.2641871,-0.9609673,0.9957387,0.2466915,-0.9537538,0.9825503,0.2405713,-0.9596125,0.9746539,0.2981896,-0.986856,0.01085866,
1529074757973,0.9504672,0.2802141,-1.014101,0.9470923,0.2573431,-0.9832335,0.9531751,0.2380643,-0.9693717,0.960757,0.2691248,-0.951121,0.9499993,0.2473116,-0.9555783,0.9445243,0.2440755,-0.9717354,0.9775164,0.2614391,-0.9531102,0.9612957,0.2382414,-0.955705,0.9524128,0.2339707,-0.9729761,0.9974692,0.2552706,-0.9620346,0.9819834,0.2327554,-0.9603215,0.969589,0.2267682,-0.9742366,1.013563,0.2488305,-0.9747767,1.001942,0.231842,-0.9695271,0.988965,0.2274911,-0.9770762,0.9817045,0.2818521,-0.99892,0.01079617,
1529074757987,0.9574947,0.2656746,-1.027711,0.9537259,0.2423592,-0.9971523,0.9587573,0.2227721,-0.9829128,0.9685062,0.2505234,-0.9666383,0.9575088,0.2297988,-0.973227,0.9518974,0.2289659,-0.9896852,0.9845245,0.2428465,-0.9698715,0.9679252,0.2211882,-0.9758305,0.9600022,0.2201986,-0.9940573,1.003976,0.2367731,-0.9795405,0.9874605,0.2154837,-0.9816145,0.9755756,0.2129048,-0.9969708,1.01964,0.2309624,-0.9922085,1.006586,0.2146142,-0.9895903,0.9938245,0.2127763,-0.9983708,0.9890114,0.2658429,-1.013111,0.011458,
1529074758014,0.9651486,0.250359,-1.038269,0.9629218,0.2257429,-1.008323,0.9664971,0.2056655,-0.9936956,0.9809314,0.2275004,-0.9834203,0.9676971,0.2102852,-0.9932749,0.9614511,0.2146904,-1.008818,0.9952717,0.2197912,-0.9903091,0.977351,0.2042847,-1.000888,0.9715071,0.2116501,-1.018446,1.012398,0.2139364,-1.002506,0.9939187,0.1990635,-1.009768,0.9845321,0.205985,-1.025463,1.026676,0.2084931,-1.016115,1.011509,0.1957597,-1.016521,0.9998412,0.2007685,-1.025417,0.9978693,0.2465149,-1.028103,0.01831959,
