time,thumb1x,thumb1y,thumb1z,thumb2x,thumb2y,thumb2z,thumb3x,thumb3y,thumb3z,index1x,index1y,index1z,index2x,index2y,index2z,index3x,index3y,index3z,middle1x,middle1y,middle1z,middle2x,middle2y,middle2z,middle3x,middle3y,middle3z,ring1x,ring1y,ring1z,ring2x,ring2y,ring2z,ring3x,ring3y,ring3z,pinky1x,pinky1y,pinky1z,pinky2x,pinky2y,pinky2z,pinky3x,pinky3y,pinky3z,palmx,palmy,palmz,pinch,
1529074969646,0.9006215,0.3521121,-0.8502716,0.8922285,0.3260264,-0.8235602,0.8974804,0.3064306,-0.8092629,0.8878849,0.3517647,-0.7731075,0.8814341,0.3335957,-0.7519859,0.8764538,0.3171636,-0.7467809,0.9074593,0.3456969,-0.7675353,0.8984077,0.3254892,-0.7434244,0.8903126,0.3077595,-0.7367656,0.9291601,0.3410801,-0.7715659,0.9209008,0.3230338,-0.7474845,0.91264,0.3067243,-0.7387367,0.9480199,0.3326999,-0.7820909,0.9412442,0.3169709,-0.7662206,0.9328409,0.3037148,-0.763021,0.9216675,0.3582286,-0.824133,0.06679311,
1529074969687,0.9084599,0.3598438,-0.8739483,0.8954931,0.3360265,-0.8466161,0.8967687,0.3166388,-0.8311891,0.8994867,0.3597262,-0.7970061,0.8910757,0.3403429,-0.7779025,0.8846226,0.3239144,-0.7749769,0.9180475,0.3520487,-0.7923329,0.9059766,0.3307273,-0.770915,0.8958631,0.3132126,-0.7672988,0.9394487,0.3457182,-0.7968057,0.9285682,0.3264548,-0.7751332,0.9183089,0.3100867,-0.7686973,0.9577078,0.3362817,-0.8075069,0.949091,0.3203734,-0.7931296,0.9391136,0.3078773,-0.7915899,0.9325808,0.3639662,-0.8482565,0.05796787,
1529074969712,0.9136841,0.3548533,-0.8848131,0.8982808,0.3347935,-0.855504,0.8971768,0.3175634,-0.8376945,0.9056056,0.3599996,-0.8091863,0.896052,0.340013,-0.7915031,0.8894682,0.323439,-0.789986,0.923718,0.3526189,-0.8042958,0.9098229,0.3306946,-0.7852014,0.8993832,0.3130761,-0.7843082,0.9452677,0.345957,-0.8080091,0.9324263,0.3259085,-0.789227,0.9212052,0.3091185,-0.7876065,0.9640828,0.3362223,-0.8173946,0.9545316,0.3204571,-0.8039852,0.9440093,0.3083102,-0.804044,0.9392315,0.3609526,-0.859412,0.04868313,
1529074969739,0.920573,0.3502764,-0.9023772,0.9034175,0.3314218,-0.8730402,0.9000174,0.3151694,-0.8545394,0.9131845,0.3551926,-0.8278518,0.9025053,0.3337339,-0.8141149,0.896543,0.317411,-0.8176809,0.9311169,0.3479914,-0.8233564,0.9157268,0.324798,-0.8087124,0.9057882,0.3075662,-0.8131527,0.9533699,0.3413675,-0.8267264,0.9396815,0.3201059,-0.8112192,0.9286042,0.3036522,-0.8140608,0.9729474,0.3321978,-0.8354719,0.9634489,0.3160936,-0.8229239,0.9527649,0.3044559,-0.8248411,0.9473441,0.3568134,-0.8770597,0.03708969,
1529074969766,0.9260796,0.3424343,-0.9146025,0.908142,0.3243481,-0.8850985,0.903186,0.3089835,-0.8660764,0.9204654,0.3471999,-0.8408524,0.9100848,0.3248179,-0.8299112,0.9053761,0.3093755,-0.8368261,0.9385998,0.3405069,-0.8367038,0.923456,0.3164649,-0.8247502,0.9146938,0.2999648,-0.8324564,0.9611716,0.3342706,-0.8401983,0.9477285,0.3121421,-0.8264766,0.9371725,0.2960798,-0.8316339,0.9810715,0.3256314,-0.8489185,0.971954,0.3090045,-0.8369774,0.9613289,0.2976021,-0.8397586,0.9540841,0.3497267,-0.8896832,0.02933482,
1529074969779,0.9280989,0.3398266,-0.9203485,0.9102038,0.3219133,-0.890686,0.90493,0.3067156,-0.8715696,0.9243618,0.3435502,-0.8469012,0.9140489,0.3208556,-0.8372456,0.9097043,0.3060496,-0.8454506,0.9426287,0.3367513,-0.843379,0.9275563,0.3122762,-0.832641,0.9189988,0.2962623,-0.8413906,0.9651579,0.3304346,-0.8474726,0.9517504,0.307704,-0.8350348,0.9411995,0.2920411,-0.8412831,0.984931,0.3221217,-0.8564762,0.9758307,0.3051192,-0.8450809,0.9650655,0.2939164,-0.8481513,0.9571385,0.3468297,-0.8959821,0.02656006,
1529074969805,0.9360526,0.3317383,-0.9390829,0.9190513,0.3149159,-0.9083347,0.9148182,0.2996791,-0.8891332,0.9365779,0.3330389,-0.8674532,0.9254879,0.3101672,-0.8614448,0.9211071,0.2976514,-0.8727669,0.9544731,0.3251388,-0.8652006,0.9383497,0.3007344,-0.8580577,0.9295182,0.2871064,-0.8699597,0.9764129,0.3179447,-0.8700199,0.9618063,0.2952031,-0.8594944,0.9502657,0.2812427,-0.867494,0.9951169,0.3090365,-0.8797891,0.9849574,0.2921201,-0.8693066,0.9732158,0.2821824,-0.8730074,0.9668381,0.336366,-0.9166061,0.01764986,
1529074969841,0.9471273,0.3170691,-0.9573767,0.9327917,0.3003018,-0.9253964,0.9304798,0.2842008,-0.9066584,0.9516273,0.31349,-0.8891636,0.9393259,0.291469,-0.8883256,0.9351079,0.2829244,-0.9029444,0.9688617,0.3041162,-0.8886549,0.9513276,0.2810761,-0.8869193,0.942666,0.2723584,-0.9027587,0.9894295,0.2956767,-0.8949015,0.972688,0.2736562,-0.8889611,0.9603639,0.2637574,-0.9007162,1.006609,0.2864593,-0.9054445,0.9943463,0.2701446,-0.8974409,0.9815574,0.2633876,-0.9035309,0.979179,0.3180178,-0.9377462,0.006069834,
1529074969859,0.9506917,0.3118659,-0.9639177,0.9376078,0.2939182,-0.9321257,0.9366011,0.2769855,-0.9140967,0.9558765,0.3065682,-0.8967578,0.94394,0.2846235,-0.8975931,0.9402431,0.2773762,-0.9129813,0.9731441,0.2973314,-0.8968556,0.9559575,0.2744378,-0.8971211,0.9479626,0.2674233,-0.9139941,0.9936535,0.2893485,-0.9033087,0.9770155,0.2672815,-0.8990886,0.9650991,0.2587256,-0.9120629,1.010706,0.2807554,-0.9139988,0.998279,0.2643591,-0.9070084,0.9856285,0.2584182,-0.913963,0.9829738,0.3126892,-0.9448432,0.003828976,
1529074969886,0.9626556,0.2933457,-0.9836069,0.9505995,0.2745577,-0.9519844,0.9502507,0.2567909,-0.9347478,0.9691433,0.2841991,-0.9184249,0.9567297,0.2626583,-0.9215824,0.9523534,0.2575641,-0.9375768,0.9854745,0.2747227,-0.9195837,0.9675455,0.2527675,-0.9226805,0.9598805,0.2484994,-0.9404403,1.005288,0.2663401,-0.9269525,0.9875671,0.2451417,-0.9261647,0.975822,0.2396719,-0.9407896,1.021548,0.2580401,-0.9378399,1.007685,0.2423125,-0.9333479,0.9951382,0.2389939,-0.9419087,0.9950222,0.2924298,-0.9655331,0.003608649,
