time,thumb1x,thumb1y,thumb1z,thumb2x,thumb2y,thumb2z,thumb3x,thumb3y,thumb3z,index1x,index1y,index1z,index2x,index2y,index2z,index3x,index3y,index3z,middle1x,middle1y,middle1z,middle2x,middle2y,middle2z,middle3x,middle3y,middle3z,ring1x,ring1y,ring1z,ring2x,ring2y,ring2z,ring3x,ring3y,ring3z,pinky1x,pinky1y,pinky1z,pinky2x,pinky2y,pinky2z,pinky3x,pinky3y,pinky3z,palmx,palmy,palmz,pinch,
1529074529049,0.8262415,0.372337,-0.8854613,0.819492,0.3448317,-0.8597773,0.8262005,0.3246983,-0.8472154,0.807451,0.365775,-0.8111037,0.8011329,0.3454067,-0.7917116,0.7964177,0.3286258,-0.7876077,0.8258506,0.3590144,-0.8049206,0.815819,0.3363986,-0.7831338,0.8076059,0.3182499,-0.7783108,0.846384,0.3535058,-0.8089395,0.8351478,0.331648,-0.7897521,0.8257661,0.3142896,-0.7862278,0.8644847,0.345242,-0.8204845,0.8535064,0.3271615,-0.8145882,0.8445739,0.3171556,-0.822942,0.843415,0.3761886,-0.859004,0.06674964,
1529074529083,0.8290317,0.37292,-0.8877317,0.8220522,0.3460307,-0.8614628,0.8283306,0.3258398,-0.8487134,0.8114002,0.3673604,-0.8132766,0.8046063,0.3469291,-0.7942653,0.7993736,0.3301728,-0.7907786,0.8297725,0.3601377,-0.8073647,0.819308,0.3376644,-0.7857741,0.8105477,0.319672,-0.7813157,0.8500272,0.3538242,-0.8118771,0.8383296,0.3319878,-0.7930626,0.8284297,0.3148446,-0.7901678,0.8677069,0.3450987,-0.8235798,0.8562814,0.3273377,-0.8175837,0.8469309,0.3177634,-0.8259155,0.8468077,0.3763936,-0.8617988,0.06491318,
1529074529116,0.8350911,0.3713696,-0.8896568,0.8273636,0.3451239,-0.8629823,0.8328497,0.3247117,-0.8501314,0.8187569,0.3657364,-0.815165,0.8118887,0.3456066,-0.7956876,0.8062587,0.3291378,-0.7913729,0.8369302,0.3576196,-0.8096746,0.8263924,0.3353071,-0.7878071,0.817278,0.317624,-0.7825894,0.8567958,0.3505873,-0.8145287,0.8449262,0.3289857,-0.7953835,0.8346329,0.3121568,-0.791674,0.873515,0.3410105,-0.8272331,0.8613089,0.3236185,-0.8226251,0.8517842,0.3154357,-0.8321071,0.8533747,0.3738124,-0.8642497,0.06464701,
1529074529141,0.8353827,0.3745355,-0.8925413,0.8274467,0.3487371,-0.8655094,0.8326163,0.3282984,-0.8525373,0.8208966,0.3692369,-0.8176661,0.8139603,0.3493568,-0.7980048,0.8080709,0.3329986,-0.7935832,0.839039,0.3608664,-0.8125985,0.8283792,0.3388691,-0.7905742,0.8189447,0.3213456,-0.785369,0.8587291,0.3534943,-0.8179038,0.846742,0.3321897,-0.7986559,0.8361125,0.3155507,-0.7952522,0.8748586,0.3435089,-0.831234,0.8622839,0.3264122,-0.8267103,0.8525818,0.3186761,-0.8363218,0.8546818,0.3763932,-0.8676358,0.06403253,
1529074529168,0.837401,0.3763357,-0.8962371,0.8289189,0.3504329,-0.8694789,0.8337531,0.3298874,-0.8565153,0.8227288,0.3707643,-0.8212677,0.8153902,0.3509523,-0.8017809,0.8093002,0.3345867,-0.7977711,0.8408756,0.3623487,-0.8161733,0.8298163,0.3404394,-0.7943916,0.8201374,0.3229294,-0.7898189,0.860783,0.3549319,-0.8213913,0.8486918,0.3336731,-0.8023345,0.8379427,0.3170531,-0.7995375,0.8770891,0.3449553,-0.8345068,0.864658,0.3277885,-0.8293588,0.8548173,0.3197041,-0.8384901,0.8568925,0.3779672,-0.8711541,0.06380365,
1529074529208,0.8415035,0.3710688,-0.9073832,0.8307409,0.3473319,-0.8794335,0.834354,0.3278356,-0.864599,0.8258947,0.371893,-0.8322936,0.8168485,0.3529932,-0.8129253,0.8101779,0.3367456,-0.8097968,0.8437781,0.364223,-0.8260849,0.8306401,0.3438872,-0.8044554,0.8201355,0.3266817,-0.8013014,0.8643349,0.3565307,-0.8299565,0.8510318,0.3369968,-0.8104583,0.8397676,0.3206992,-0.8085152,0.8813696,0.3452783,-0.8415785,0.8689572,0.3287554,-0.8348496,0.859199,0.3200354,-0.8433948,0.8617866,0.3749378,-0.8815086,0.060557,
1529074529243,0.8445511,0.3692987,-0.9162171,0.8309733,0.3461979,-0.8887361,0.832367,0.3270565,-0.8730823,0.8284887,0.372606,-0.8411256,0.8176677,0.3533799,-0.8236644,0.8105999,0.3371254,-0.8233007,0.8463194,0.3650298,-0.8343631,0.8314404,0.3448108,-0.8145925,0.8204713,0.3277589,-0.8144097,0.867363,0.3569577,-0.8374944,0.8530949,0.3376912,-0.8192393,0.8414631,0.3215826,-0.8194732,0.8853025,0.345534,-0.8475813,0.8733222,0.3294092,-0.8386685,0.863003,0.3198183,-0.845421,0.8656964,0.3741786,-0.8893507,0.05525756,
1529074529275,0.8491804,0.3663112,-0.9249815,0.8322636,0.3440433,-0.8983649,0.8306069,0.3254946,-0.8819733,0.8330047,0.3711885,-0.849847,0.8209001,0.351581,-0.8344191,0.8140588,0.3354269,-0.8364775,0.851041,0.3638572,-0.8425403,0.8351016,0.34353,-0.8243128,0.8242481,0.3265938,-0.8261076,0.8728552,0.3558625,-0.8448,0.858429,0.3367252,-0.8269866,0.8468671,0.320672,-0.8281909,0.892088,0.3448383,-0.8532944,0.8815868,0.3290859,-0.8408837,0.87089,0.3178471,-0.8435447,0.871528,0.3719519,-0.8969773,0.04942025,
1529074529301,0.8527322,0.3648609,-0.9301889,0.834941,0.3434569,-0.903466,0.8326744,0.3252508,-0.8867686,0.8356745,0.3711596,-0.8559371,0.8226172,0.3513536,-0.8424718,0.8161668,0.3356259,-0.8468887,0.8534601,0.3637096,-0.8482035,0.8363268,0.3434875,-0.8314403,0.8254688,0.3269094,-0.8349046,0.8753513,0.3554641,-0.8497648,0.8599284,0.3367029,-0.83292,0.8481673,0.3210207,-0.8355234,0.8948854,0.3442921,-0.8573339,0.8841394,0.3292778,-0.8441169,0.8732492,0.3181125,-0.8460162,0.8751455,0.370665,-0.9019703,0.04439085,
1529074529327,0.857981,0.3607041,-0.9382249,0.8400342,0.3397018,-0.9111598,0.8370931,0.3220563,-0.893858,0.8409234,0.3681388,-0.8650492,0.8278064,0.3474795,-0.8539886,0.8227364,0.3322423,-0.860824,0.8589462,0.3612319,-0.8570566,0.8415924,0.3401457,-0.8421427,0.8315018,0.3235207,-0.8473063,0.8813447,0.3536704,-0.8579988,0.8659494,0.3345237,-0.8418005,0.8545756,0.3187082,-0.8451471,0.9016017,0.3430634,-0.8648643,0.8914895,0.3281811,-0.8509929,0.8807639,0.3167082,-0.8521756,0.8807992,0.3679006,-0.9100916,0.03743147,
