time,thumb1x,thumb1y,thumb1z,thumb2x,thumb2y,thumb2z,thumb3x,thumb3y,thumb3z,index1x,index1y,index1z,index2x,index2y,index2z,index3x,index3y,index3z,middle1x,middle1y,middle1z,middle2x,middle2y,middle2z,middle3x,middle3y,middle3z,ring1x,ring1y,ring1z,ring2x,ring2y,ring2z,ring3x,ring3y,ring3z,pinky1x,pinky1y,pinky1z,pinky2x,pinky2y,pinky2z,pinky3x,pinky3y,pinky3z,palmx,palmy,palmz,pinch,
1529074981954,1.002489,0.3178335,-0.9246134,0.9890583,0.2942697,-0.8964759,0.9844025,0.2760966,-0.8795496,1.012731,0.3089415,-0.8519847,1.001177,0.2857907,-0.8441117,0.9934202,0.2727521,-0.8529022,1.031199,0.3001534,-0.8531088,1.01599,0.2752251,-0.8414596,1.003558,0.2604819,-0.8477753,1.051644,0.2925827,-0.8633296,1.039052,0.26869,-0.8507242,1.025793,0.2543619,-0.8547447,1.068448,0.2846084,-0.8776125,1.061052,0.2663243,-0.8665276,1.049033,0.2562771,-0.8679552,1.035888,0.3187959,-0.9055629,0.02832999,
1529074981980,1.001211,0.307231,-0.9481468,0.9887854,0.2827471,-0.9203157,0.984835,0.2641198,-0.9037407,1.012092,0.2969933,-0.8755376,1.001109,0.2737557,-0.8678034,0.9937148,0.2609075,-0.8770746,1.030885,0.2888269,-0.8768862,1.016466,0.2636625,-0.8647128,1.004282,0.2483481,-0.8704068,1.051509,0.2820633,-0.8874358,1.03986,0.2580115,-0.8742229,1.027039,0.2433625,-0.8780397,1.06827,0.2747642,-0.9022286,1.061639,0.2563624,-0.8907032,1.0501,0.2457141,-0.891713,1.034591,0.3084637,-0.929484,0.02828873,
1529074982006,1.00075,0.2988049,-0.9617374,0.9888943,0.2741055,-0.9338409,0.98535,0.2554125,-0.9172671,1.011407,0.2884941,-0.8892583,1.000651,0.2651157,-0.8816391,0.9934608,0.2521653,-0.8909563,1.030407,0.2805376,-0.8906329,1.016341,0.25509,-0.8785244,1.004365,0.2395349,-0.8840996,1.051258,0.2742095,-0.901023,1.04013,0.2499859,-0.8875475,1.027583,0.2349203,-0.8909168,1.06806,0.2671655,-0.9158852,1.061785,0.2486566,-0.9042622,1.050503,0.2376622,-0.9050267,1.033893,0.3004193,-0.9431319,0.02772339,
1529074982033,1.001418,0.2852149,-0.9832244,0.9901326,0.2589278,-0.9565314,0.9869183,0.2395163,-0.9407527,1.012364,0.272697,-0.9104313,1.002706,0.2488778,-0.9028885,0.9960021,0.2359244,-0.9124315,1.031845,0.2655529,-0.9119517,1.019222,0.2393873,-0.8997104,1.007913,0.2234115,-0.9052785,1.053129,0.2604647,-0.9225267,1.043711,0.2355855,-0.9088088,1.03199,0.2198772,-0.911932,1.070191,0.2544649,-0.9379269,1.065404,0.2353471,-0.9264317,1.054955,0.223491,-0.926887,1.034373,0.2875075,-0.9642164,0.02995851,
1529074982067,1.004077,0.2662802,-0.9999,0.9933121,0.2397382,-0.9731994,0.9900392,0.2204152,-0.9573506,1.017145,0.2531551,-0.9272427,1.007875,0.2294838,-0.9195971,1.001325,0.2168366,-0.9295114,1.037067,0.2464485,-0.9292421,1.025547,0.2201429,-0.9154882,1.014492,0.2032118,-0.9188673,1.058299,0.2417961,-0.9406172,1.050527,0.2166937,-0.9253837,1.039755,0.1997336,-0.9256561,1.07506,0.2362686,-0.9566923,1.071759,0.2169837,-0.9444673,1.062515,0.2040286,-0.9430938,1.037566,0.2686914,-0.9817678,0.03025219,
1529074982099,1.006373,0.2516474,-1.017028,0.9942679,0.2262149,-0.9898037,0.9900292,0.2076418,-0.9732904,1.019179,0.2396718,-0.943966,1.010566,0.2158912,-0.9361354,1.004672,0.2029581,-0.9460804,1.039213,0.2334405,-0.9456336,1.028088,0.2069258,-0.9322476,1.017598,0.1896846,-0.9360647,1.0611,0.2294778,-0.9562044,1.053932,0.2044476,-0.9408075,1.043574,0.1874132,-0.9417349,1.078411,0.2242677,-0.9718027,1.075709,0.2051766,-0.9591953,1.066652,0.1922599,-0.958281,1.040387,0.2548357,-0.9983857,0.03125291,
1529074982126,1.007475,0.2433463,-1.028517,0.9943402,0.2183263,-1.001434,0.9900962,0.1994751,-0.9853887,1.020978,0.2280534,-0.9564998,1.011727,0.2044524,-0.9501367,1.005549,0.192659,-0.9612852,1.040895,0.2213722,-0.9583589,1.029121,0.1947936,-0.9458734,1.018073,0.1780772,-0.9503932,1.062574,0.2170412,-0.9692755,1.054971,0.1916742,-0.9544201,1.044259,0.17486,-0.9553838,1.079498,0.2118219,-0.9851303,1.076446,0.1923863,-0.9729161,1.067286,0.1795342,-0.9718932,1.042183,0.244387,-1.010407,0.02943166,
1529074982153,1.008838,0.2375967,-1.039901,0.9957495,0.2128275,-1.012576,0.9916517,0.1939214,-0.9966241,1.02348,0.2206676,-0.9686409,1.013945,0.1972057,-0.9625887,1.007332,0.1860639,-0.9740252,1.043068,0.213547,-0.9710414,1.030929,0.1870033,-0.9588427,1.019406,0.1706628,-0.9634925,1.06437,0.2088867,-0.9824304,1.056516,0.1834066,-0.9676834,1.045488,0.1668473,-0.9685081,1.080801,0.2035362,-0.9986382,1.077624,0.1839381,-0.9864525,1.06843,0.1711792,-0.9851074,1.043881,0.2373043,-1.022703,0.02860617,
1529074982178,1.013973,0.224518,-1.05757,1.001391,0.199524,-1.030313,0.9981474,0.1797291,-1.015393,1.029528,0.2020218,-0.9903522,1.017737,0.1791211,-0.9881588,1.010363,0.1708055,-1.001446,1.047868,0.1932167,-0.9947172,1.032339,0.16742,-0.9893335,1.01967,0.1569657,-1.000877,1.067859,0.187623,-1.006885,1.055588,0.1619609,-0.9981191,1.041987,0.1506845,-1.005538,1.082839,0.1823421,-1.023196,1.075615,0.1623,-1.014098,1.0637,0.1526187,-1.016042,1.049446,0.2205987,-1.042629,0.02057649,
1529074982193,1.015514,0.2180405,-1.061252,1.00374,0.1926403,-1.034046,1.000972,0.1724382,-1.01956,1.032947,0.1929698,-0.9957836,1.020791,0.170159,-0.9941683,1.012609,0.1622415,-1.007386,1.049767,0.1836264,-1.002595,1.032734,0.1587927,-1.001016,1.019993,0.1514755,-1.014775,1.069055,0.1781308,-1.015015,1.054766,0.1529883,-1.009198,1.040242,0.1431534,-1.017912,1.083141,0.1732522,-1.031454,1.073446,0.1537108,-1.024404,1.060382,0.1465681,-1.028408,1.051167,0.2129536,-1.047823,0.01968735,
1529074982219,1.018562,0.2053441,-1.075446,1.007314,0.1796488,-1.04844,1.005246,0.1587135,-1.035028,1.036884,0.1746448,-1.015159,1.023557,0.1531014,-1.017889,1.015853,0.1492996,-1.032869,1.050697,0.1663708,-1.026135,1.031784,0.1484983,-1.03469,1.024056,0.1524638,-1.052597,1.068405,0.1611895,-1.038264,1.049777,0.1434532,-1.043074,1.038391,0.1458992,-1.059143,1.082439,0.1572785,-1.052791,1.067827,0.1429808,-1.051729,1.056281,0.1448674,-1.061879,1.054761,0.1974494,-1.064609,0.01434531,
