time,thumb1x,thumb1y,thumb1z,thumb2x,thumb2y,thumb2z,thumb3x,thumb3y,thumb3z,index1x,index1y,index1z,index2x,index2y,index2z,index3x,index3y,index3z,middle1x,middle1y,middle1z,middle2x,middle2y,middle2z,middle3x,middle3y,middle3z,ring1x,ring1y,ring1z,ring2x,ring2y,ring2z,ring3x,ring3y,ring3z,pinky1x,pinky1y,pinky1z,pinky2x,pinky2y,pinky2z,pinky3x,pinky3y,pinky3z,palmx,palmy,palmz,pinch,
1529074953766,0.8515842,0.3466316,-0.9307767,0.8348727,0.3215625,-0.9060506,0.8305324,0.3021673,-0.8907667,0.840279,0.3408794,-0.854232,0.8308916,0.3194873,-0.8386759,0.8246008,0.3028854,-0.8399267,0.8583595,0.333347,-0.8495366,0.8445582,0.3101144,-0.8326956,0.8343299,0.2925492,-0.8346683,0.8806543,0.3272058,-0.8536988,0.8686401,0.3053726,-0.8365913,0.8578945,0.288407,-0.8369184,0.9001181,0.3190298,-0.8640034,0.8916653,0.3017727,-0.8518261,0.8816416,0.2897127,-0.8538508,0.8754448,0.3494471,-0.9034742,0.05118991,
1529074953792,0.8659029,0.3439564,-0.9484931,0.8477788,0.3222212,-0.921654,0.8423012,0.3046691,-0.904677,0.8555298,0.3424039,-0.8733959,0.8445787,0.3205476,-0.8616976,0.8389915,0.3052188,-0.8681577,0.873451,0.3349096,-0.8686054,0.8578875,0.3115863,-0.8556097,0.8481652,0.2952186,-0.8624987,0.8959808,0.3281044,-0.8722019,0.8823336,0.3062258,-0.8584243,0.8714215,0.2905306,-0.8638115,0.9159537,0.319311,-0.881497,0.9068264,0.3024027,-0.8702046,0.8962576,0.2914298,-0.8740503,0.8912007,0.3477489,-0.9218933,0.03667302,
1529074953820,0.8753061,0.3392899,-0.9603117,0.8568499,0.3183771,-0.9330474,0.8510332,0.3013836,-0.9156148,0.864784,0.3376973,-0.8867494,0.8537012,0.3152014,-0.8785322,0.8497602,0.3013451,-0.8881869,0.8827417,0.3305517,-0.8819906,0.8668973,0.3065433,-0.8726268,0.8587329,0.2914034,-0.8829559,0.9057324,0.3241947,-0.8849282,0.8917862,0.3017265,-0.8735222,0.8815712,0.2868179,-0.8814389,0.9263338,0.3159928,-0.8934585,0.9172451,0.29887,-0.8827424,0.9067556,0.2881385,-0.8872902,0.901156,0.3439438,-0.9338105,0.02745741,
1529074953852,0.8918825,0.3320994,-0.9800501,0.8743312,0.3108827,-0.9524108,0.8689641,0.2937644,-0.9349321,0.8843963,0.3282116,-0.9073984,0.8738345,0.3051507,-0.9018701,0.8708307,0.2928617,-0.9136341,0.9026911,0.3212383,-0.90357,0.8873343,0.2964221,-0.8965788,0.8797686,0.2823676,-0.9086925,0.9257474,0.3153778,-0.9072375,0.9121976,0.2920255,-0.8975186,0.9021283,0.2777792,-0.9066956,0.9463341,0.3079521,-0.9163201,0.937683,0.2902018,-0.9062966,0.927099,0.2797091,-0.9111371,0.9191303,0.3365608,-0.9545813,0.02139867,
1529074953873,0.9032447,0.3217115,-0.9928675,0.887058,0.3000998,-0.9648005,0.8833226,0.2823937,-0.9476062,0.8983123,0.3162245,-0.9214092,0.8877976,0.2929643,-0.9181336,0.8849223,0.2820276,-0.9312222,0.9167096,0.3089003,-0.9183708,0.9014224,0.2838494,-0.9136269,0.8939269,0.2713805,-0.9273417,0.9394164,0.3029612,-0.9226929,0.9256799,0.2792815,-0.9147158,0.9153402,0.2662343,-0.9251952,0.9594623,0.2956737,-0.9323066,0.9504353,0.2776885,-0.9233701,0.9394184,0.2680949,-0.9289786,0.9315427,0.3254851,-0.9684971,0.01646598,
1529074953898,0.9177464,0.3128411,-1.005936,0.9030008,0.2899629,-0.9781131,0.9004006,0.2713079,-0.9618226,0.9159116,0.30263,-0.93555,0.9054664,0.279304,-0.9341017,0.9020643,0.2698408,-0.9481719,0.9343358,0.294896,-0.9338524,0.9191449,0.2696909,-0.9309538,0.9111065,0.2589056,-0.9456889,0.956531,0.2890411,-0.9395839,0.9427455,0.2649375,-0.9334561,0.9318664,0.2531987,-0.9448733,0.9758165,0.2822991,-0.9503598,0.9665263,0.2638679,-0.9428511,0.9550728,0.2551447,-0.9490265,0.9470073,0.3146957,-0.9829799,0.01382975,
1529074953926,0.9380839,0.2985363,-1.026489,0.9262204,0.2741936,-0.9986591,0.9260625,0.2541813,-0.98413,0.9428757,0.2809162,-0.9592295,0.9321591,0.2579773,-0.960762,0.9272957,0.2513037,-0.9760282,0.9611869,0.2727192,-0.9597076,0.9457413,0.2475607,-0.9587223,0.9360385,0.2393422,-0.9739783,0.9820704,0.2670273,-0.9681724,0.9678955,0.2427901,-0.964265,0.9556767,0.2333518,-0.9763766,0.9996315,0.2610195,-0.9811958,0.9897301,0.2423571,-0.9755974,0.9772915,0.2352787,-0.9820995,0.9692454,0.2971387,-1.007105,0.008685699,
1529074953951,0.9500975,0.2935453,-1.040041,0.9402251,0.2678292,-1.012829,0.9413766,0.2467253,-1.000061,0.958825,0.2690977,-0.9771502,0.9472847,0.2468738,-0.9817289,0.9413208,0.2424585,-0.9975203,0.9766233,0.2607209,-0.9794089,0.9601828,0.2358921,-0.9808986,0.9492399,0.2295213,-0.996277,0.996191,0.2554719,-0.9898955,0.9806737,0.2318932,-0.9892476,0.9676586,0.2251661,-1.002367,1.012599,0.2504335,-1.00408,1.001313,0.2322702,-1.000876,0.9882201,0.2276558,-1.008245,0.9824925,0.2892071,-1.023813,0.004966131,
1529074953978,0.9682543,0.2770684,-1.060244,0.9609381,0.2499875,-1.033703,0.9638029,0.2281659,-1.022617,0.9802029,0.249811,-1.001601,0.9682135,0.2296646,-1.009715,0.9619728,0.229436,-1.026075,0.9970337,0.2418047,-1.004623,0.9796609,0.2187747,-1.009113,0.9689556,0.2158899,-1.025672,1.016216,0.2367289,-1.016413,0.9998244,0.2142332,-1.018204,0.9863072,0.2104231,-1.031926,1.031443,0.2324795,-1.031173,1.019031,0.2155212,-1.029726,1.005855,0.2143293,-1.037925,1.001236,0.2720693,-1.046441,0.004113331,
1529074953992,0.9756155,0.2666216,-1.067277,0.9692335,0.2387448,-1.041323,0.9724442,0.216717,-1.030427,0.9878476,0.2386026,-1.009578,0.9761976,0.2186702,-1.018532,0.9697719,0.2193042,-1.034744,1.004045,0.2310497,-1.013615,0.9867305,0.2090988,-1.020663,0.976795,0.2082577,-1.038043,1.023211,0.2264685,-1.025273,1.00648,0.2046849,-1.029224,0.9931374,0.2021261,-1.043636,1.038527,0.2228197,-1.039441,1.025638,0.2065229,-1.039256,1.012507,0.2061066,-1.047986,1.008425,0.2621539,-1.053504,0.005698371,
