time,thumb1x,thumb1y,thumb1z,thumb2x,thumb2y,thumb2z,thumb3x,thumb3y,thumb3z,index1x,index1y,index1z,index2x,index2y,index2z,index3x,index3y,index3z,middle1x,middle1y,middle1z,middle2x,middle2y,middle2z,middle3x,middle3y,middle3z,ring1x,ring1y,ring1z,ring2x,ring2y,ring2z,ring3x,ring3y,ring3z,pinky1x,pinky1y,pinky1z,pinky2x,pinky2y,pinky2z,pinky3x,pinky3y,pinky3z,palmx,palmy,palmz,pinch,
1529059838715,1.189701,0.4914234,-0.5518729,1.197898,0.5013138,-0.5156668,1.207409,0.5051646,-0.4913828,1.237083,0.5340471,-0.5190147,1.242347,0.5248823,-0.493616,1.2369,0.5091693,-0.4858824,1.252799,0.5260858,-0.525193,1.256792,0.518236,-0.4941896,1.248879,0.5030572,-0.4822386,1.26457,0.5121605,-0.5373492,1.267457,0.5042381,-0.5085347,1.257807,0.4902001,-0.4968074,1.272496,0.4960985,-0.5491045,1.274795,0.4912404,-0.5269484,1.265105,0.4826759,-0.51652,1.224064,0.500255,-0.5647259,0.03026528,
1529059838748,1.190862,0.4998509,-0.5578089,1.197134,0.5112264,-0.5216359,1.205109,0.5166461,-0.4970558,1.23552,0.5466607,-0.5254669,1.241299,0.5393282,-0.4995009,1.236944,0.5237861,-0.4909008,1.251756,0.5391757,-0.5311253,1.25581,0.5326782,-0.4999366,1.248544,0.5173829,-0.487767,1.264437,0.5256635,-0.5426503,1.267315,0.5189728,-0.5136429,1.258293,0.5046771,-0.5017228,1.273245,0.5097173,-0.5537152,1.275049,0.5056952,-0.5315139,1.265269,0.4966039,-0.5218047,1.225092,0.5104122,-0.5703338,0.03320074,
1529059838771,1.192729,0.5067275,-0.5628129,1.198489,0.518531,-0.5266829,1.20569,0.5246379,-0.5019678,1.236816,0.5546737,-0.5306475,1.243103,0.5482662,-0.5043327,1.239386,0.5330367,-0.4949923,1.2532,0.5471837,-0.5362498,1.257601,0.5411532,-0.5049722,1.250706,0.5259334,-0.4925137,1.266024,0.5338559,-0.5476905,1.269186,0.5276121,-0.5185663,1.2606,0.513339,-0.5062463,1.274934,0.5179623,-0.55863,1.276765,0.5142045,-0.5363559,1.26714,0.5049421,-0.5267731,1.22682,0.5177596,-0.5753318,0.03542007,
1529059838800,1.188247,0.5220968,-0.5751123,1.192634,0.5360736,-0.5395578,1.198955,0.5438105,-0.5150653,1.230432,0.5733693,-0.5448229,1.236638,0.5690027,-0.5181019,1.233449,0.5541959,-0.5080407,1.247298,0.5656502,-0.5498558,1.251503,0.5610003,-0.5184413,1.244749,0.5459751,-0.5057481,1.260549,0.5522329,-0.5604529,1.263357,0.5472187,-0.5311455,1.254892,0.5330809,-0.5186215,1.269865,0.536119,-0.5704286,1.270978,0.5331521,-0.5480654,1.261153,0.5237721,-0.538972,1.222424,0.5334752,-0.5876771,0.03670159,
1529059838825,1.186576,0.5329705,-0.5845374,1.189971,0.547093,-0.5489335,1.195407,0.5550929,-0.5242998,1.227613,0.5846701,-0.5534428,1.233325,0.5805207,-0.5264798,1.230104,0.5658327,-0.5162991,1.244837,0.5771891,-0.5581319,1.248553,0.5727507,-0.5267012,1.241604,0.5577195,-0.5140988,1.258462,0.5638388,-0.5683869,1.26105,0.5592018,-0.5388799,1.252662,0.545287,-0.5260322,1.267967,0.5478123,-0.5780462,1.268766,0.5451069,-0.5555745,1.258942,0.5357223,-0.5465725,1.220832,0.5447345,-0.5964357,0.03719196,
1529059838853,1.186352,0.5421028,-0.5930186,1.189814,0.5561669,-0.5573932,1.194869,0.5643661,-0.5326992,1.227839,0.5934939,-0.5617298,1.23382,0.5897501,-0.534529,1.23086,0.5754269,-0.5237921,1.24522,0.5861394,-0.5666003,1.249462,0.5822783,-0.535066,1.242784,0.56758,-0.5219294,1.258805,0.5726228,-0.5769625,1.26208,0.5684795,-0.547297,1.2541,0.5549715,-0.5337403,1.268041,0.5565543,-0.5866754,1.26928,0.5541785,-0.5641205,1.259729,0.5449308,-0.5547009,1.220616,0.5536286,-0.6048779,0.03869167,
1529059838877,1.181613,0.5583553,-0.6120223,1.184284,0.5729767,-0.5765538,1.18869,0.5816101,-0.5518574,1.222434,0.6104298,-0.5803767,1.228064,0.6079271,-0.5527431,1.225116,0.5942956,-0.5411818,1.240005,0.6030891,-0.5846606,1.243982,0.6007587,-0.5526979,1.237494,0.586943,-0.5384486,1.253918,0.5892793,-0.5944107,1.257268,0.586647,-0.5641934,1.249722,0.5741676,-0.5494493,1.263161,0.5730051,-0.6035171,1.264081,0.5715262,-0.5807835,1.254599,0.5625619,-0.5710375,1.216205,0.5695083,-0.6229816,0.04002207,
1529059838905,1.174301,0.5723481,-0.6272544,1.176851,0.5869718,-0.5917931,1.181321,0.5954379,-0.5670382,1.214778,0.6243343,-0.5950471,1.219264,0.622337,-0.5671901,1.215924,0.6089476,-0.5553002,1.232386,0.61671,-0.5988679,1.235411,0.6153279,-0.566556,1.228815,0.6022773,-0.5514267,1.246723,0.6024829,-0.6082431,1.24979,0.6007866,-0.57771,1.242257,0.5891545,-0.5622354,1.256127,0.5858995,-0.6170185,1.257258,0.5851874,-0.5940295,1.247968,0.576941,-0.5834688,1.209198,0.5828735,-0.6374872,0.03895693,
1529059838941,1.166827,0.5890586,-0.6460516,1.170458,0.6043267,-0.6109631,1.175628,0.6132827,-0.5864995,1.207705,0.6412641,-0.6156912,1.21245,0.6394573,-0.5877312,1.209579,0.6263323,-0.5752603,1.225259,0.6334851,-0.6198903,1.228751,0.6322839,-0.5874494,1.222683,0.6195658,-0.571713,1.239493,0.6191821,-0.6294922,1.243232,0.6177907,-0.5988337,1.236279,0.6065382,-0.5827945,1.248849,0.6026623,-0.6383633,1.250747,0.6023955,-0.6152409,1.24205,0.5945318,-0.6038803,1.201405,0.5993608,-0.6574354,0.03806947,
1529059838957,1.160965,0.5999941,-0.6597852,1.164515,0.6160275,-0.6250158,1.169422,0.6256446,-0.6007476,1.201252,0.6526815,-0.6303122,1.205344,0.6511855,-0.6022137,1.202464,0.6382187,-0.5894654,1.218798,0.6447174,-0.6343262,1.221739,0.6440182,-0.6016265,1.215811,0.6318046,-0.5853274,1.233066,0.6302704,-0.6436305,1.236186,0.6292672,-0.612806,1.229177,0.6182866,-0.5965342,1.242702,0.6137036,-0.6522788,1.244498,0.6139653,-0.6289999,1.23607,0.6065024,-0.6170825,1.195525,0.609999,-0.6713207,0.0371103,
