time,thumb1x,thumb1y,thumb1z,thumb2x,thumb2y,thumb2z,thumb3x,thumb3y,thumb3z,index1x,index1y,index1z,index2x,index2y,index2z,index3x,index3y,index3z,middle1x,middle1y,middle1z,middle2x,middle2y,middle2z,middle3x,middle3y,middle3z,ring1x,ring1y,ring1z,ring2x,ring2y,ring2z,ring3x,ring3y,ring3z,pinky1x,pinky1y,pinky1z,pinky2x,pinky2y,pinky2z,pinky3x,pinky3y,pinky3z,palmx,palmy,palmz,pinch,
1529059843929,1.084202,0.476316,-0.5676515,1.103471,0.4851823,-0.5357881,1.121244,0.4860014,-0.5166777,1.136495,0.5184712,-0.5489686,1.145246,0.5097299,-0.5234152,1.140961,0.4956382,-0.5121843,1.151361,0.5106328,-0.5574374,1.161807,0.5063462,-0.526579,1.15742,0.4942774,-0.5096618,1.160773,0.4952698,-0.5703602,1.171492,0.4917825,-0.5417265,1.16636,0.4812942,-0.5244989,1.16587,0.4772437,-0.5816193,1.175208,0.4754559,-0.5603337,1.16972,0.4697303,-0.5458531,1.114107,0.4831012,-0.5874428,0.02240151,
1529059843960,1.084034,0.4849363,-0.5736482,1.103145,0.4941246,-0.5417707,1.120714,0.4951962,-0.5224584,1.138056,0.5262454,-0.5552512,1.147651,0.5181156,-0.5298845,1.143482,0.5042832,-0.5183705,1.152612,0.5180047,-0.5638524,1.16377,0.514028,-0.5333327,1.159348,0.5020676,-0.5164382,1.161545,0.5024878,-0.5768436,1.17294,0.499314,-0.548479,1.167938,0.4889817,-0.5312201,1.165977,0.4841093,-0.5879793,1.175629,0.48228,-0.566769,1.170675,0.4766889,-0.5519549,1.11422,0.4908276,-0.5935158,0.02485291,
1529059843985,1.083786,0.4920409,-0.5787911,1.10201,0.5016997,-0.5465275,1.118964,0.5032582,-0.5266513,1.138439,0.5341969,-0.5600975,1.149255,0.5276513,-0.5345261,1.146129,0.5145956,-0.5218307,1.152648,0.5253842,-0.5681027,1.163816,0.5220641,-0.5375245,1.159356,0.5103788,-0.5204906,1.161742,0.5097369,-0.5807993,1.173287,0.5072312,-0.5522944,1.16851,0.4972763,-0.5348184,1.166162,0.49111,-0.5915573,1.175589,0.4895158,-0.5701517,1.170837,0.4841061,-0.5551358,1.114501,0.4976825,-0.5981055,0.02982787,
1529059844002,1.085522,0.4967702,-0.5821158,1.103135,0.5072492,-0.5497391,1.11964,0.5098848,-0.5295209,1.139643,0.5411776,-0.5638258,1.15205,0.5360104,-0.5385444,1.150307,0.523357,-0.5251982,1.15378,0.5325828,-0.5717186,1.165762,0.5300393,-0.5413985,1.162022,0.5183006,-0.5242917,1.163216,0.5172237,-0.5844687,1.175491,0.51545,-0.5561387,1.171571,0.5054865,-0.5384877,1.167964,0.4986168,-0.5951316,1.17737,0.4972681,-0.5737708,1.172657,0.4915324,-0.5588664,1.116144,0.5033668,-0.6014909,0.03377317,
1529059844026,1.089232,0.5036322,-0.5873625,1.105867,0.5155565,-0.5549354,1.121692,0.5195222,-0.5343566,1.142744,0.5503007,-0.5698979,1.156386,0.5471091,-0.5447348,1.155908,0.5353608,-0.5304996,1.156841,0.5416708,-0.5772544,1.169192,0.5405243,-0.5469841,1.16596,0.5292099,-0.529539,1.166719,0.5262754,-0.589627,1.179356,0.5258014,-0.5613118,1.17606,0.5163214,-0.543295,1.171794,0.5074236,-0.5996946,1.180868,0.5066751,-0.5782279,1.175853,0.5009255,-0.5634674,1.120032,0.5105385,-0.6066115,0.0379012,
1529059844051,1.090254,0.511603,-0.591283,1.105504,0.5251901,-0.5588144,1.120383,0.5305198,-0.5378124,1.143792,0.5597,-0.5745969,1.158331,0.558628,-0.5495335,1.158946,0.5481188,-0.5343737,1.157876,0.5507826,-0.58125,1.170522,0.5513079,-0.5509247,1.167828,0.5408928,-0.5328698,1.168085,0.5351853,-0.5930668,1.181114,0.5363434,-0.5647043,1.178563,0.5278559,-0.5461069,1.173204,0.5159068,-0.6022616,1.181715,0.5158069,-0.5805889,1.176286,0.5102178,-0.565948,1.121597,0.5181432,-0.6101335,0.04252829,
1529059844079,1.088416,0.5304881,-0.6052548,1.102321,0.5469116,-0.5734954,1.116263,0.5546386,-0.5525213,1.141455,0.5809083,-0.5910823,1.156774,0.58237,-0.5665343,1.158383,0.5728741,-0.5508418,1.155785,0.5719563,-0.5975419,1.169271,0.5747994,-0.5676746,1.167626,0.5653542,-0.5489874,1.166361,0.5562229,-0.6089714,1.180248,0.5595512,-0.5811241,1.178814,0.5520867,-0.5619761,1.171816,0.5367413,-0.6173842,1.180787,0.5381171,-0.5958967,1.175888,0.532872,-0.5810169,1.120016,0.5367137,-0.6245632,0.04592839,
1529059844113,1.090781,0.5450479,-0.6164811,1.104342,0.5625099,-0.5850887,1.117432,0.5717651,-0.564044,1.143638,0.5964886,-0.6036539,1.159683,0.5991762,-0.5795718,1.162357,0.5902373,-0.5636979,1.158226,0.5876037,-0.6107046,1.173008,0.591477,-0.5814394,1.172695,0.582598,-0.5623808,1.168795,0.5718839,-0.6224574,1.183859,0.5758694,-0.5952893,1.183554,0.5687165,-0.5759352,1.174359,0.5524805,-0.6310501,1.184437,0.5543595,-0.6100512,1.180422,0.5492019,-0.594925,1.122197,0.551374,-0.6365849,0.04857555,
1529059844131,1.095059,0.5465467,-0.6187792,1.108287,0.5647537,-0.5876477,1.120745,0.5750402,-0.5666344,1.146744,0.5992602,-0.6065364,1.163034,0.6026987,-0.5825943,1.16647,0.5941723,-0.5666002,1.161666,0.5907483,-0.6140181,1.177143,0.5954262,-0.5850722,1.177812,0.586982,-0.5658169,1.172519,0.5752214,-0.6259903,1.188299,0.5798233,-0.5992233,1.188908,0.5729792,-0.5797487,1.178527,0.5560185,-0.6347848,1.189426,0.5584036,-0.6141568,1.186194,0.5533637,-0.598847,1.126045,0.5535324,-0.6392392,0.04956602,
1529059844159,1.09667,0.5612395,-0.6388543,1.108943,0.5822533,-0.6091214,1.120154,0.5951266,-0.5887295,1.147456,0.6153992,-0.6290555,1.16345,0.6211915,-0.6053394,1.167606,0.6139039,-0.5888512,1.162936,0.6068944,-0.6369768,1.179128,0.6143709,-0.6088313,1.181126,0.6076419,-0.5889778,1.174118,0.5907288,-0.6485369,1.190746,0.597313,-0.622587,1.19254,0.5918145,-0.6027223,1.18057,0.5713867,-0.6569285,1.192782,0.5755308,-0.6370826,1.191102,0.5716561,-0.6212187,1.127723,0.5673449,-0.6598059,0.05103271,
1529059844185,1.094204,0.573107,-0.6532712,1.105962,0.5951577,-0.6240811,1.11636,0.6090569,-0.603899,1.145829,0.6265365,-0.6438785,1.161361,0.6329885,-0.6200055,1.165355,0.6262111,-0.6032293,1.16156,0.6177471,-0.651924,1.177878,0.626282,-0.6241047,1.180001,0.6203988,-0.6039963,1.172659,0.6009241,-0.6630502,1.189532,0.6081225,-0.6373864,1.191533,0.6033525,-0.6173081,1.178979,0.5813355,-0.6711758,1.191774,0.586111,-0.6517482,1.190759,0.5830424,-0.635605,1.125828,0.5779335,-0.6739857,0.05191556,
