time,thumb1x,thumb1y,thumb1z,thumb2x,thumb2y,thumb2z,thumb3x,thumb3y,thumb3z,index1x,index1y,index1z,index2x,index2y,index2z,index3x,index3y,index3z,middle1x,middle1y,middle1z,middle2x,middle2y,middle2z,middle3x,middle3y,middle3z,ring1x,ring1y,ring1z,ring2x,ring2y,ring2z,ring3x,ring3y,ring3z,pinky1x,pinky1y,pinky1z,pinky2x,pinky2y,pinky2z,pinky3x,pinky3y,pinky3z,palmx,palmy,palmz,pinch,
1529060008842,0.7773854,0.5071101,-0.8903319,0.7659756,0.5164735,-0.8549659,0.7621485,0.521003,-0.829068,0.8075941,0.5569574,-0.8407083,0.8118341,0.5568048,-0.8107632,0.8113918,0.5487766,-0.7937177,0.8256245,0.5527699,-0.8408291,0.8268085,0.5533119,-0.8064131,0.8229935,0.5449398,-0.786925,0.843851,0.5427738,-0.8484718,0.846617,0.5443868,-0.8159941,0.843437,0.5379445,-0.7960129,0.8586141,0.528069,-0.8570771,0.8629527,0.5291288,-0.8326795,0.860236,0.5246596,-0.8166832,0.8144844,0.5217117,-0.8882065,0.06667773,
1529060008871,0.7763281,0.5179993,-0.8949269,0.7649772,0.5318658,-0.860993,0.7602824,0.5399872,-0.8361002,0.8092575,0.5719396,-0.8507888,0.8128924,0.5753639,-0.8212882,0.8116677,0.5681495,-0.8040349,0.8276092,0.5669686,-0.851139,0.8287517,0.571111,-0.8174349,0.8240471,0.5633271,-0.7980617,0.8455256,0.5546638,-0.85805,0.8482141,0.5579256,-0.8262211,0.8435717,0.5509626,-0.806863,0.8596326,0.5382794,-0.8655752,0.8636959,0.5400494,-0.8415948,0.8591606,0.5351987,-0.8262305,0.8144456,0.5310458,-0.8948489,0.06679632,
1529060008899,0.7743916,0.5214518,-0.8990911,0.7637243,0.5380876,-0.8661697,0.7590808,0.5483103,-0.8420439,0.8094785,0.5768806,-0.8586836,0.8123106,0.5818656,-0.829614,0.8102597,0.5746477,-0.8125332,0.8280032,0.5710275,-0.8591613,0.828744,0.5765451,-0.8260865,0.8230631,0.5684775,-0.8072321,0.8456001,0.5570765,-0.8655097,0.8478481,0.5605052,-0.8342112,0.8415972,0.5524878,-0.81594,0.8589836,0.5396578,-0.8723428,0.8623948,0.5414191,-0.8487163,0.8559367,0.5359999,-0.8344011,0.8131903,0.5328842,-0.9004382,0.06468246,
1529060008933,0.7693652,0.5258822,-0.9068273,0.7595546,0.5448695,-0.8749478,0.7558634,0.556448,-0.8513089,0.8062916,0.5821373,-0.8694932,0.807845,0.5884377,-0.8410104,0.8045793,0.5808057,-0.8244597,0.824838,0.5750725,-0.8696307,0.8245195,0.5814916,-0.8372741,0.8174311,0.5728657,-0.8193053,0.8418864,0.5594153,-0.8750232,0.8427693,0.5626507,-0.8442904,0.8344698,0.5536455,-0.8275245,0.8543475,0.5411909,-0.8809627,0.8560546,0.5429057,-0.8577627,0.847149,0.5369296,-0.8452662,0.8087979,0.5353175,-0.9088147,0.06072401,
1529060008964,0.7625041,0.5280898,-0.9145588,0.7538686,0.5485363,-0.8832629,0.7514503,0.5607179,-0.859812,0.7998633,0.5849738,-0.8796824,0.8000449,0.5922225,-0.8516184,0.7957507,0.5846238,-0.8353477,0.8184098,0.5768827,-0.8790986,0.8169824,0.5840642,-0.8471415,0.8088511,0.5756779,-0.8295158,0.8349131,0.5601612,-0.8834143,0.8343886,0.5637176,-0.8529787,0.8247513,0.5548027,-0.8368973,0.8466516,0.5414886,-0.888355,0.8467746,0.5436301,-0.8654462,0.8364275,0.5377601,-0.8541094,0.8018487,0.5360786,-0.916641,0.05596889,
1529060008991,0.7555072,0.5244074,-0.9196846,0.7486967,0.5466419,-0.8892554,0.7486465,0.5591203,-0.8659636,0.7922614,0.5834525,-0.889418,0.7909193,0.5933543,-0.8621541,0.785738,0.5875041,-0.8453922,0.8107437,0.5737086,-0.8868949,0.8078646,0.5821289,-0.8553153,0.798609,0.574852,-0.8376637,0.8258361,0.5558403,-0.8890734,0.8221037,0.5594735,-0.8591927,0.8103998,0.5504313,-0.8445709,0.8364844,0.5368444,-0.8920894,0.8326421,0.5389848,-0.8701037,0.8199425,0.5325708,-0.8619758,0.7943666,0.5313289,-0.9219337,0.0510353,
1529060009017,0.7495192,0.520115,-0.922397,0.7444392,0.5427347,-0.8919716,0.746065,0.5547937,-0.8685999,0.7866818,0.5789267,-0.8937148,0.7847619,0.5891256,-0.8666313,0.7790267,0.5835204,-0.8499493,0.8048615,0.5681593,-0.8903964,0.8013051,0.5763244,-0.8587943,0.7913479,0.5692375,-0.841418,0.8187193,0.5495246,-0.8918266,0.8131112,0.5523067,-0.8622459,0.8002532,0.5429697,-0.8488087,0.8285444,0.5305557,-0.8943324,0.8226275,0.5322825,-0.8729631,0.8090777,0.5257055,-0.8664997,0.7879743,0.5260944,-0.9248777,0.04753461,
1529060009043,0.7418981,0.515086,-0.9265637,0.7382553,0.5372944,-0.8957201,0.7412539,0.5480814,-0.8719609,0.780824,0.5716689,-0.8966706,0.7785852,0.5811845,-0.8694947,0.7719501,0.5751259,-0.8533511,0.7983791,0.5598395,-0.8929186,0.7943215,0.5673481,-0.8612893,0.7833307,0.5601857,-0.8446532,0.8103836,0.5400528,-0.8939826,0.8026935,0.5413787,-0.8650181,0.7883427,0.5315654,-0.8537112,0.8191895,0.5210097,-0.8965116,0.811411,0.5220509,-0.8759631,0.7970669,0.5155257,-0.8717021,0.7802604,0.519223,-0.9282374,0.04494426,
1529060009069,0.7303513,0.5045133,-0.9307662,0.7273431,0.5268406,-0.900091,0.73123,0.5363514,-0.8760623,0.7700931,0.5592372,-0.8994905,0.766567,0.5683408,-0.8726076,0.7583599,0.5617513,-0.8574928,0.7865307,0.5464022,-0.894523,0.7804855,0.5535721,-0.8633697,0.767681,0.5462565,-0.8482661,0.7960914,0.5252115,-0.8946108,0.7842914,0.5248348,-0.8677251,0.7680202,0.514127,-0.8607392,0.8041072,0.5063859,-0.8966258,0.7932206,0.5068711,-0.8782469,0.7784863,0.5000755,-0.8782584,0.7685356,0.5066749,-0.9304827,0.04154529,
1529060009096,0.7223457,0.4967636,-0.9346687,0.7186369,0.5187215,-0.903979,0.7222018,0.5267086,-0.879481,0.7613766,0.549868,-0.9000912,0.7561547,0.5588167,-0.8736373,0.7463555,0.5520496,-0.8596592,0.7766832,0.5363494,-0.8937896,0.7682875,0.5434114,-0.8633536,0.7538018,0.5361027,-0.84999,0.7843716,0.5142726,-0.8932481,0.7690768,0.5127922,-0.8692015,0.7520322,0.5015004,-0.8668494,0.7919807,0.4955411,-0.8947459,0.7788545,0.4957862,-0.8785657,0.7646585,0.4889719,-0.881954,0.7601472,0.4973987,-0.9312578,0.04023024,
1529060009133,0.7118907,0.4821305,-0.9389175,0.7080473,0.5036861,-0.9080317,0.711157,0.5108514,-0.8832196,0.7503949,0.5337696,-0.9021956,0.7438711,0.5423905,-0.876122,0.7329024,0.5353752,-0.8632498,0.7644804,0.5194891,-0.8950252,0.7540284,0.5260378,-0.8653067,0.7382797,0.5186023,-0.8536006,0.7708437,0.4970147,-0.894402,0.753321,0.4951275,-0.8723361,0.7359987,0.4839343,-0.872328,0.7779696,0.4783017,-0.8955831,0.7633636,0.4785329,-0.8810242,0.7497661,0.4718927,-0.8863689,0.7490329,0.4815236,-0.9335778,0.03838062,
1529060009150,0.7046745,0.4726622,-0.9411737,0.7009696,0.4941052,-0.9101638,0.7038597,0.5012618,-0.8852842,0.7431446,0.5233573,-0.9037159,0.7360994,0.5315734,-0.8776513,0.7247679,0.524473,-0.865109,0.7568057,0.5087957,-0.8964682,0.7456886,0.5150597,-0.8668505,0.7296141,0.5077505,-0.8554827,0.7623248,0.4860072,-0.8961305,0.7437119,0.4835739,-0.8750675,0.7265102,0.472312,-0.8763257,0.7692453,0.4674261,-0.8973563,0.7538294,0.4674424,-0.8835967,0.7405484,0.460801,-0.8896891,0.741572,0.471511,-0.9354646,0.03718803,
1529060009175,0.6987522,0.4692681,-0.9447075,0.6951314,0.4904054,-0.9133658,0.6975825,0.4979812,-0.8884507,0.737199,0.5182506,-0.9056712,0.7299101,0.5254288,-0.8792642,0.7185574,0.5180241,-0.8668389,0.7503944,0.5030465,-0.8988724,0.7384734,0.5075889,-0.8691691,0.7222224,0.4995778,-0.858643,0.7550905,0.4800422,-0.8998883,0.7352594,0.4757007,-0.8805773,0.718871,0.4638537,-0.8841968,0.7620865,0.4619468,-0.9017864,0.7457293,0.4608408,-0.8893419,0.7334179,0.4537222,-0.8967659,0.7356055,0.4676241,-0.9390734,0.03617642,
1529060009202,0.6886733,0.4604286,-0.9493201,0.6844556,0.4817376,-0.9180669,0.6858872,0.4899014,-0.8931942,0.7266858,0.5078119,-0.9083657,0.7185969,0.5146983,-0.8819965,0.7067741,0.5074686,-0.8698763,0.7388966,0.4918334,-0.901402,0.7254467,0.4955219,-0.8720617,0.7086713,0.4874836,-0.8624675,0.7430638,0.4686485,-0.9030573,0.7220256,0.4634904,-0.8858273,0.7064561,0.4518325,-0.8920154,0.7497911,0.4507817,-0.9051069,0.7325216,0.4493144,-0.8940173,0.7210861,0.4422838,-0.9026477,0.7253373,0.457852,-0.9426764,0.03589701,
1529060009229,0.6855848,0.4546301,-0.9527853,0.6814545,0.4767739,-0.9220009,0.6821338,0.4858878,-0.8973881,0.7239704,0.5009168,-0.9115731,0.7148551,0.508754,-0.8856863,0.702172,0.5025431,-0.8738194,0.7346997,0.4841745,-0.9038125,0.7196766,0.4888965,-0.8751267,0.7021101,0.4820435,-0.8660065,0.7378722,0.4608551,-0.9050125,0.7156088,0.4568742,-0.8890983,0.7000574,0.4458868,-0.8962606,0.7437112,0.4426228,-0.9064099,0.7256211,0.4421801,-0.8963443,0.7143052,0.4357877,-0.9055359,0.7214138,0.4504137,-0.9447553,0.03513424,
1529060009255,0.6855586,0.4506006,-0.9575132,0.6788017,0.4726583,-0.9270495,0.6773521,0.4821399,-0.9025863,0.7199637,0.4971244,-0.9133354,0.7087626,0.5043823,-0.888132,0.6953986,0.4976187,-0.8773976,0.7304202,0.480444,-0.9050506,0.7132243,0.4845197,-0.8773721,0.6952877,0.4772159,-0.8696183,0.734189,0.4571892,-0.9063308,0.7110574,0.4523236,-0.8926734,0.6969506,0.441025,-0.9018935,0.7405776,0.4393635,-0.9074802,0.7219982,0.4383253,-0.8988969,0.7119263,0.43132,-0.9090563,0.7209148,0.4469672,-0.9471454,0.03463727,
1529060009283,0.6859128,0.4455816,-0.9628803,0.6779863,0.4672698,-0.9324328,0.6752138,0.4763454,-0.9079391,0.7190091,0.4901294,-0.9158546,0.7064247,0.497713,-0.891233,0.6921015,0.491807,-0.8811829,0.7281081,0.4729546,-0.9071131,0.7093047,0.4777374,-0.8803208,0.6906336,0.4715793,-0.8732862,0.7312738,0.4498342,-0.9082162,0.7070928,0.446251,-0.8955266,0.6926884,0.4358255,-0.9051774,0.7366592,0.4313668,-0.9093243,0.7172956,0.4312176,-0.9018173,0.7071326,0.4252943,-0.9125391,0.7202371,0.440541,-0.9503468,0.0352157,
1529060009321,0.6859198,0.4456533,-0.9690903,0.6765955,0.467832,-0.9394036,0.6720999,0.477084,-0.9152361,0.7173642,0.4891773,-0.919945,0.7032021,0.4987511,-0.8966354,0.6877031,0.4948626,-0.8873018,0.7241552,0.4713987,-0.9100423,0.7030736,0.4779718,-0.8854986,0.6833159,0.4732879,-0.8803138,0.7267772,0.4487959,-0.9097141,0.7017527,0.4483323,-0.8976449,0.686067,0.4392163,-0.9069201,0.7306172,0.4295208,-0.9100201,0.7109487,0.4315666,-0.9030517,0.6999599,0.4268285,-0.9137321,0.7182325,0.4386922,-0.9532859,0.03660411,
1529060009337,0.6855283,0.4446976,-0.9718248,0.6752617,0.4666838,-0.9422971,0.6701025,0.4756747,-0.9181989,0.7154825,0.4891497,-0.9224074,0.7007489,0.4991302,-0.8996489,0.6850163,0.4953422,-0.890695,0.7218028,0.471253,-0.9121367,0.6997951,0.4777689,-0.8885201,0.6798703,0.4728479,-0.8841717,0.7249672,0.4489224,-0.9112422,0.6998088,0.4488341,-0.899322,0.6840233,0.4397446,-0.9084949,0.7288954,0.4295979,-0.911198,0.7092298,0.4318912,-0.9041953,0.6980373,0.42715,-0.9147189,0.7174504,0.4381869,-0.9552372,0.03695531,
1529060009363,0.6852535,0.4438779,-0.9763923,0.6744049,0.4649484,-0.9463922,0.6693521,0.4734074,-0.9221087,0.7141288,0.4901347,-0.9277396,0.6995856,0.4991357,-0.9046245,0.6843576,0.4940884,-0.8955156,0.7213536,0.4721959,-0.917791,0.6991977,0.4765116,-0.8942068,0.6797262,0.4696937,-0.8904148,0.7261042,0.4503082,-0.917112,0.7013297,0.4485297,-0.9046851,0.6859529,0.4384794,-0.9136183,0.7312936,0.431425,-0.9172421,0.7117962,0.4324942,-0.9097037,0.7007418,0.4269087,-0.9199427,0.7179881,0.4393896,-0.9608462,0.03687903,
1529060009390,0.6826619,0.4461483,-0.9762146,0.6712897,0.4665754,-0.9459564,0.6662811,0.4746902,-0.9215701,0.710214,0.4939114,-0.9281703,0.69565,0.5021231,-0.9049085,0.6808736,0.4960333,-0.8957716,0.7183363,0.4760386,-0.9183869,0.6961651,0.4785986,-0.8949312,0.6772105,0.470249,-0.891726,0.7243093,0.4545544,-0.9178723,0.6999526,0.4513403,-0.9052987,0.685243,0.4404436,-0.9143509,0.7305038,0.4361629,-0.9181402,0.7111876,0.4362073,-0.9103116,0.7005309,0.4297665,-0.9204017,0.7159404,0.4433612,-0.9613823,0.03652437,
1529060009416,0.6807454,0.4494863,-0.9793079,0.6686686,0.468547,-0.9484389,0.6638023,0.4755754,-0.9237635,0.7065436,0.4977692,-0.9305452,0.6921177,0.5042377,-0.9069864,0.6780295,0.4963411,-0.8982935,0.7160179,0.4800467,-0.9213671,0.6943451,0.4801495,-0.8978013,0.6761555,0.4700324,-0.8952564,0.7238153,0.45943,-0.9212863,0.7002155,0.4549198,-0.9071087,0.6852465,0.4434791,-0.9149882,0.731083,0.4414082,-0.9222646,0.7122278,0.4402904,-0.9133487,0.7014975,0.4333256,-0.9229071,0.7146316,0.4483998,-0.9652154,0.03580994,
1529060009443,0.6798528,0.452859,-0.9820986,0.6672544,0.4710419,-0.9509611,0.6624053,0.4770241,-0.9260734,0.7046863,0.5006381,-0.9321429,0.6901512,0.5063819,-0.9085744,0.6762158,0.4978957,-0.9002703,0.7145734,0.482912,-0.9231756,0.6930268,0.4821975,-0.8996149,0.6750021,0.471703,-0.8973284,0.7229753,0.4627229,-0.923287,0.6995282,0.4580703,-0.9081779,0.684027,0.4467006,-0.9150888,0.7304068,0.4446378,-0.9247023,0.7116058,0.4431676,-0.915437,0.7007284,0.4362712,-0.9248171,0.7137644,0.4520651,-0.9677616,0.03594647,
1529060009469,0.6780775,0.4582676,-0.9852186,0.6649976,0.4745378,-0.953304,0.6604363,0.4788586,-0.92805,0.7020797,0.5039172,-0.9327838,0.6878163,0.5074519,-0.9086435,0.6745,0.4977305,-0.900708,0.7129911,0.4862614,-0.9250439,0.6920159,0.4830184,-0.9013383,0.6745407,0.4714478,-0.8995445,0.7224881,0.4667787,-0.9263303,0.6996385,0.4604854,-0.910368,0.6839843,0.4488493,-0.9166432,0.7307373,0.449051,-0.9288462,0.7123549,0.446275,-0.9190923,0.7013867,0.4394934,-0.9285043,0.7126973,0.4580134,-0.9713107,0.03607671,
1529060009496,0.6780168,0.4612426,-0.9892267,0.6644779,0.4763666,-0.957036,0.6597854,0.4793573,-0.9316353,0.7020616,0.5042229,-0.9342541,0.6878129,0.5070311,-0.9099244,0.674381,0.4972814,-0.9022617,0.7128089,0.4862998,-0.9271417,0.6917724,0.4823711,-0.9036136,0.674243,0.4708779,-0.9023532,0.7220867,0.4666173,-0.9292306,0.6990713,0.4596992,-0.9138153,0.6835078,0.448482,-0.920894,0.7302734,0.4489096,-0.9324418,0.7117944,0.4457434,-0.9230973,0.7009797,0.4396381,-0.9330947,0.7126371,0.4598762,-0.9746234,0.03737795,
1529060009520,0.6781884,0.4614681,-0.9924182,0.6639665,0.4755255,-0.9600987,0.6590184,0.4775133,-0.9346647,0.7015472,0.5032308,-0.9358997,0.6872275,0.5055034,-0.911476,0.6738093,0.4956455,-0.9039499,0.7125435,0.4853997,-0.9290241,0.6916311,0.4810336,-0.9054352,0.6741518,0.4694919,-0.9042892,0.7219996,0.4656873,-0.9314491,0.6990538,0.4583481,-0.9159253,0.6833574,0.4473404,-0.9230002,0.7303485,0.4480393,-0.9350326,0.7119048,0.4445529,-0.9255607,0.7008934,0.4388586,-0.9355674,0.7128156,0.4599409,-0.9772953,0.03861277,
1529060009549,0.679076,0.4588869,-0.99603,0.665095,0.472754,-0.9635601,0.6606632,0.474667,-0.9380197,0.7031382,0.5010806,-0.9398807,0.689564,0.5030816,-0.9149573,0.6766295,0.4929992,-0.9068878,0.714815,0.4836109,-0.9333115,0.6947991,0.4787953,-0.9090517,0.6776694,0.4668162,-0.9073404,0.7247854,0.4640774,-0.9359583,0.7025858,0.4561898,-0.9195496,0.6868503,0.4448628,-0.925985,0.7334832,0.4466089,-0.9397982,0.7154871,0.4426518,-0.9296548,0.7041808,0.4368139,-0.939261,0.7143774,0.4580913,-0.9816539,0.03949923,
1529060009575,0.6789254,0.4565615,-0.9976769,0.664803,0.4701295,-0.9651675,0.660506,0.4718458,-0.9395945,0.70323,0.4982762,-0.9410381,0.6900908,0.4996879,-0.9158601,0.6774874,0.4892413,-0.9077482,0.7152276,0.4809631,-0.9348937,0.6956307,0.4753687,-0.9105694,0.6788145,0.4629472,-0.9090334,0.7255688,0.4616403,-0.9379237,0.7037847,0.4530494,-0.9214385,0.6882482,0.4415002,-0.9279776,0.7345799,0.4444173,-0.9420918,0.716872,0.4399564,-0.9318794,0.7056833,0.4340679,-0.9415997,0.7146192,0.4560604,-0.9835415,0.04006442,
1529060009602,0.6809176,0.4526036,-1.002699,0.6664553,0.466082,-0.9703506,0.661994,0.4676285,-0.9447831,0.7056223,0.4932062,-0.9450521,0.6928198,0.4943718,-0.9196031,0.6802756,0.4840001,-0.9112641,0.7177294,0.4759979,-0.9391526,0.6984849,0.4702786,-0.914475,0.6816537,0.4579256,-0.9125937,0.7281781,0.4567129,-0.9424068,0.7066666,0.4480097,-0.925449,0.6909006,0.4365869,-0.9316097,0.7370787,0.4394443,-0.9469664,0.7195017,0.4347916,-0.9366687,0.7082366,0.4291084,-0.9464203,0.7169015,0.4516966,-0.9883159,0.04154235,
1529060009629,0.6824289,0.4500164,-1.005687,0.6680044,0.4638094,-0.9734573,0.663556,0.4656712,-0.9478903,0.7077167,0.4902853,-0.9480261,0.6951427,0.4912196,-0.9224278,0.6827306,0.4807663,-0.9139699,0.7198645,0.4731382,-0.9423687,0.7007646,0.4671667,-0.9176279,0.6840156,0.4546927,-0.9156888,0.7304811,0.4539573,-0.945731,0.709168,0.4451097,-0.9285411,0.693345,0.4336408,-0.9344931,0.7393566,0.4367348,-0.9504508,0.7218905,0.4319578,-0.9401274,0.7106707,0.4262715,-0.9499273,0.7186744,0.448956,-0.9914522,0.04178659,
1529060009656,0.6838786,0.4476945,-1.008492,0.6696979,0.4615566,-0.9761845,0.6654285,0.4635549,-0.9505767,0.7099282,0.487029,-0.9506036,0.6976749,0.4872968,-0.9248203,0.6854705,0.4765737,-0.9163659,0.7222071,0.4700041,-0.9454497,0.7033707,0.4634107,-0.9207525,0.6867923,0.4506839,-0.9190579,0.7329883,0.4509915,-0.9491892,0.711978,0.4417176,-0.9319841,0.696254,0.4302014,-0.9380907,0.741902,0.4339588,-0.9542418,0.7246498,0.42893,-0.9439074,0.7135674,0.4232468,-0.9538472,0.7205044,0.4464697,-0.9946904,0.04173185,
1529060009683,0.6858504,0.4452459,-1.012675,0.6716387,0.4596396,-0.9806176,0.6673058,0.4621132,-0.9550416,0.7118974,0.4836997,-0.9545096,0.6995521,0.4830894,-0.9287958,0.6874626,0.4719608,-0.9206649,0.7241185,0.4668262,-0.9497453,0.7050234,0.4594308,-0.9255776,0.6886703,0.4463734,-0.9246221,0.7350475,0.4480013,-0.9537305,0.7139331,0.438126,-0.9373182,0.6986736,0.4265106,-0.9443166,0.7441709,0.4313346,-0.958833,0.7269573,0.426042,-0.949038,0.7165385,0.4202387,-0.9595637,0.7226801,0.4438215,-0.9988592,0.04104913,
1529060009706,0.687169,0.4435591,-1.014993,0.6731753,0.4579906,-0.9828578,0.6689848,0.4604706,-0.9572574,0.7136604,0.481792,-0.9568965,0.7014487,0.4811378,-0.931121,0.6893708,0.4700164,-0.9229605,0.7258469,0.4648812,-0.9522404,0.7068458,0.4574747,-0.9280087,0.6904645,0.4444553,-0.9270253,0.7367013,0.4460367,-0.956319,0.7156405,0.4361833,-0.9398381,0.7003238,0.424628,-0.9468091,0.7457476,0.4293616,-0.9614971,0.7285717,0.4241008,-0.9516414,0.7181085,0.4183469,-0.9621481,0.7242162,0.4420123,-1.001436,0.0410243,
1529060009722,0.6879722,0.4429755,-1.016806,0.6737225,0.4576713,-0.9849125,0.6693089,0.4603947,-0.9593579,0.7142794,0.4802765,-0.9581841,0.7018862,0.4788524,-0.9325593,0.6898431,0.467392,-0.9248096,0.7264096,0.4634927,-0.9538082,0.7071419,0.4554427,-0.9301367,0.6909198,0.4422018,-0.9298851,0.737451,0.444824,-0.9580215,0.7163228,0.4345868,-0.9420604,0.7012656,0.4230418,-0.9495883,0.7466263,0.4283792,-0.9632676,0.7294759,0.4229392,-0.9537514,0.7193757,0.4171731,-0.9645959,0.7250016,0.4411538,-1.002953,0.04079458,
1529060009749,0.6911149,0.4404724,-1.020942,0.6764112,0.4551437,-0.9892682,0.6716015,0.4578119,-0.9637588,0.7167213,0.476611,-0.96139,0.7039347,0.4745409,-0.935993,0.691776,0.4629052,-0.9286683,0.7288105,0.4599724,-0.9571029,0.7092009,0.4515729,-0.933884,0.6929964,0.4383267,-0.9341717,0.7398023,0.4413323,-0.9614557,0.7184087,0.4308331,-0.94622,0.7036403,0.4194127,-0.9544533,0.7490462,0.425012,-0.9667543,0.7317649,0.4194494,-0.957753,0.7220913,0.4138096,-0.9690182,0.7280695,0.4382674,-1.006504,0.04079575,
1529060009776,0.6936817,0.4384752,-1.023726,0.6786001,0.4531213,-0.99224,0.6734239,0.4557076,-0.9667798,0.7186871,0.4739843,-0.9634735,0.7056156,0.4718693,-0.9381832,0.693278,0.4603463,-0.9309586,0.7306225,0.4573293,-0.9590937,0.7107096,0.4490015,-0.9360818,0.6944007,0.4358885,-0.936537,0.7413859,0.4385631,-0.9635121,0.7196736,0.4280416,-0.9489149,0.7051373,0.4167481,-0.9577081,0.7506311,0.4222454,-0.9687703,0.7331851,0.416704,-0.9602405,0.7238777,0.4111791,-0.9718457,0.7303705,0.4358532,-1.008661,0.04121718,
