Scene,Camera X,Camera Y,Camera Z
mediumclamp_x+,0.8392658,1.399528,-0.9984598
mediumclamp_x+,0.8386857,1.399855,-0.9984357
mediumclamp_x+,0.834493,1.404962,-0.9941654
mediumclamp_x+,0.8476303,1.410056,-1.003214
mediumclamp_x+,0.849237,1.410333,-1.00538
mediumclamp_x+,0.849645,1.410358,-1.005857
mediumclamp_x+,0.8499432,1.410502,-1.00624
mediumclamp_x+,0.8504111,1.411167,-1.007359
mediumclamp_x+,0.8499615,1.411946,-1.007478
mediumclamp_x+,0.8496343,1.412317,-1.008366
mediumclamp_x+,0.8492931,1.412541,-1.009809
mediumclamp_x+,0.849398,1.411998,-1.008807
mediumclamp_x+,0.8495231,1.412449,-1.011128
mediumclamp_x+,0.849425,1.413244,-1.012228
mediumclamp_x+,0.8486049,1.413887,-1.011736
mediumclamp_x+,0.8479206,1.414513,-1.012144
mediumclamp_x+,0.8478452,1.415211,-1.012387
mediumclamp_x+,0.8477632,1.416463,-1.012276
mediumclamp_x+,0.8473997,1.417673,-1.011684
mediumclamp_x+,0.8473926,1.418318,-1.011656
mediumclamp_x+,0.8471953,1.418489,-1.013115
mediumclamp_x+,0.8468156,1.419623,-1.012828
mediumclamp_x+,0.8467028,1.420401,-1.013552
mediumclamp_x+,0.846759,1.421065,-1.014624
mediumclamp_x+,0.8474197,1.42046,-1.013723
mediumclamp_x+,0.8470417,1.421113,-1.014805
mediumclamp_x+,0.8470462,1.421448,-1.015677
mediumclamp_x+,0.8487297,1.420748,-1.01613
mediumclamp_x+,0.8504003,1.421291,-1.01947
mediumclamp_x+,0.8503696,1.420586,-1.016189
mediumclamp_x+,0.8501589,1.421783,-1.020215
mediumclamp_x+,0.8501533,1.421983,-1.021326
mediumclamp_x+,0.8503104,1.421958,-1.022371
mediumclamp_x+,0.8507729,1.422143,-1.022555
mediumclamp_x+,0.8516135,1.421947,-1.023171
mediumclamp_x+,0.8520015,1.421721,-1.022553
mediumclamp_x+,0.8519304,1.421828,-1.021518
mediumclamp_x+,0.8527089,1.42137,-1.021057
mediumclamp_x+,0.852012,1.421161,-1.019779
mediumclamp_x+,0.851309,1.420312,-1.018954
mediumclamp_x+,0.8504648,1.419382,-1.017891
mediumclamp_x+,0.8494051,1.417817,-1.016526
mediumclamp_x+,0.8481972,1.415446,-1.015356
mediumclamp_x+,0.8477572,1.413755,-1.016001
mediumclamp_x+,0.8471844,1.41202,-1.014016
mediumclamp_x+,0.8462575,1.410329,-1.01366
mediumclamp_x+,0.8453761,1.408926,-1.012985
mediumclamp_x+,0.8445821,1.407467,-1.011967
mediumclamp_x+,0.844025,1.405842,-1.011335
mediumclamp_x+,0.8436989,1.404293,-1.010539
mediumclamp_x+,0.8434872,1.40289,-1.009734
mediumclamp_x+,0.8431017,1.401748,-1.0085
mediumclamp_x+,0.8426052,1.401073,-1.007363
mediumclamp_x+,0.8416127,1.399097,-1.007322
mediumclamp_x+,0.8404856,1.399261,-1.005905
mediumclamp_x+,0.8394049,1.397792,-1.004164
mediumclamp_x+,0.8376669,1.396243,-1.003244
mediumclamp_x+,0.8364276,1.395432,-1.002966
mediumclamp_x+,0.8358377,1.394904,-1.003183
mediumclamp_x+,0.8357792,1.394251,-1.002868
mediumclamp_x+,0.8342914,1.395502,-1.005801
mediumclamp_x+,0.8341581,1.391928,-1.002112
mediumclamp_x+,0.8335518,1.391784,-1.00249
mediumclamp_x+,0.8337595,1.391603,-1.003242
mediumclamp_x+,0.8332986,1.390507,-1.003676
mediumclamp_x+,0.8330151,1.389375,-1.004276
mediumclamp_x+,0.8327716,1.387681,-1.00461
mediumclamp_x+,0.8328045,1.3868,-1.004535
mediumclamp_x+,0.8326921,1.386433,-1.00415
mediumclamp_x+,0.832864,1.385647,-1.004128
mediumclamp_x+,0.8328887,1.384278,-1.004897
mediumclamp_x+,0.8340675,1.380256,-1.003505
mediumclamp_x+,0.8334612,1.381427,-1.004977
mediumclamp_x+,0.8333589,1.379186,-1.004256
mediumclamp_x+,0.8332867,1.37814,-1.004256
mediumclamp_x+,0.8335877,1.377391,-1.004251
mediumclamp_x+,0.8338714,1.374554,-1.003703
mediumclamp_x+,0.833862,1.372935,-1.00317
mediumclamp_x+,0.8336505,1.371828,-1.002523
mediumclamp_x+,0.8335811,1.370813,-1.001739
mediumclamp_x+,0.8334706,1.369694,-1.000896
mediumclamp_x+,0.8337401,1.368701,-1.000216
mediumclamp_x+,0.8339753,1.367614,-0.999475
mediumclamp_x+,0.834111,1.366404,-0.9984772
mediumclamp_x+,0.8340729,1.365254,-0.9975602
mediumclamp_x+,0.834055,1.364277,-0.996952
mediumclamp_x+,0.8340786,1.363389,-0.9963701
mediumclamp_x+,0.8344077,1.362741,-0.9952277
mediumclamp_x+,0.8342685,1.360843,-0.9923746
mediumclamp_x+,0.8340922,1.360056,-0.991225
mediumclamp_x+,0.8338683,1.359647,-0.9905885
mediumclamp_x+,0.8336673,1.358936,-0.9899701
mediumclamp_x+,0.8331777,1.358504,-0.9892645
mediumclamp_x+,0.8324684,1.357345,-0.9886202
mediumclamp_x+,0.831539,1.356045,-0.9888363
mediumclamp_x+,0.8311675,1.355507,-0.9883322
mediumclamp_x+,0.830516,1.353847,-0.9884086
mediumclamp_x+,0.829759,1.352282,-0.9886209
mediumclamp_x+,0.8287312,1.350726,-0.9890159
mediumclamp_x+,0.8284511,1.349905,-0.9904063
mediumclamp_x+,0.8281289,1.350233,-0.9897763
mediumclamp_x+,0.8281568,1.350929,-0.9901679
mediumclamp_x+,0.8280637,1.350765,-0.9904115
mediumclamp_x+,0.8282059,1.351454,-0.9919033
mediumclamp_x+,0.8286532,1.352559,-0.9939523
mediumclamp_x+,0.8291571,1.353441,-0.995818
mediumclamp_x+,0.8295077,1.354808,-0.99887
mediumclamp_x+,0.8300673,1.355731,-1.000306
mediumclamp_x+,0.8305522,1.35661,-1.001782
mediumclamp_x+,0.8302297,1.356966,-1.003074
mediumclamp_x+,0.8305084,1.357638,-1.004703
mediumclamp_x+,0.8305445,1.358242,-1.005454
mediumclamp_x+,0.8305297,1.359102,-1.006725
mediumclamp_x+,0.8302917,1.359457,-1.007296
mediumclamp_x+,0.8302127,1.360194,-1.008297
mediumclamp_x+,0.8298817,1.36059,-1.009631
mediumclamp_x+,0.8297064,1.360458,-1.010659
mediumclamp_x+,0.8293765,1.360304,-1.011433
mediumclamp_x+,0.8292518,1.359914,-1.012384
mediumclamp_x+,0.8293589,1.359464,-1.013684
mediumclamp_x+,0.8314738,1.357664,-1.016225
mediumclamp_x+,0.8333151,1.356963,-1.017296
mediumclamp_x+,0.8349939,1.356494,-1.018157
mediumclamp_x+,0.8383705,1.356007,-1.019395
mediumclamp_x+,0.8421828,1.355475,-1.020905
mediumclamp_x+,0.846338,1.355267,-1.022834
mediumclamp_x+,0.8510367,1.355368,-1.024966
mediumclamp_x+,0.8554019,1.355469,-1.026976
mediumclamp_x+,0.8614534,1.355572,-1.029736
mediumclamp_x+,0.8666394,1.355168,-1.032066
mediumclamp_x+,0.8718688,1.354388,-1.0347
mediumclamp_x+,0.8744373,1.354067,-1.035905
mediumclamp_x+,0.8766212,1.354108,-1.0367
mediumclamp_x+,0.8817477,1.353791,-1.038806
mediumclamp_x+,0.8868918,1.354008,-1.040369
mediumclamp_x+,0.8934596,1.355012,-1.042355
mediumclamp_x+,0.8964006,1.355265,-1.043083
mediumclamp_x+,0.9015588,1.355744,-1.045089
mediumclamp_x+,0.9065745,1.355893,-1.047347
mediumclamp_x+,0.9115757,1.355642,-1.049388
mediumclamp_x+,0.9170159,1.354955,-1.051556
mediumclamp_x+,0.922162,1.35395,-1.053692
mediumclamp_x+,0.9276657,1.352518,-1.056325
mediumclamp_x+,0.9341064,1.350292,-1.059607
mediumclamp_x+,0.9372107,1.349353,-1.060889
mediumclamp_x+,0.9413441,1.347802,-1.062933
mediumclamp_x+,0.945218,1.34609,-1.06557
mediumclamp_x+,0.9472275,1.345669,-1.066508
mediumclamp_x+,0.9506227,1.344424,-1.068955
mediumclamp_x+,0.9534761,1.343511,-1.071112
mediumclamp_x+,0.9557816,1.342801,-1.073241
mediumclamp_x+,0.957694,1.342022,-1.076174
mediumclamp_x+,0.958659,1.341649,-1.077884
mediumclamp_x+,0.9586286,1.341373,-1.079887
mediumclamp_x+,0.9579849,1.341276,-1.081924
mediumclamp_x+,0.9561229,1.341548,-1.084802
mediumclamp_x+,0.9563931,1.341429,-1.084895
mediumclamp_x+,0.954703,1.34185,-1.086731
mediumclamp_x+,0.9530722,1.342355,-1.088373
mediumclamp_x+,0.951035,1.342878,-1.090454
mediumclamp_x+,0.9481421,1.343652,-1.092666
mediumclamp_x+,0.947751,1.343581,-1.091835
mediumclamp_x+,0.9459376,1.343795,-1.092339
