time,thumb1x,thumb1y,thumb1z,thumb2x,thumb2y,thumb2z,thumb3x,thumb3y,thumb3z,index1x,index1y,index1z,index2x,index2y,index2z,index3x,index3y,index3z,middle1x,middle1y,middle1z,middle2x,middle2y,middle2z,middle3x,middle3y,middle3z,ring1x,ring1y,ring1z,ring2x,ring2y,ring2z,ring3x,ring3y,ring3z,pinky1x,pinky1y,pinky1z,pinky2x,pinky2y,pinky2z,pinky3x,pinky3y,pinky3z,palmx,palmy,palmz,pinch,
1528887994904,0.8970069,0.9509613,-0.8837335,0.8763967,0.9422232,-0.8538435,0.8683472,0.9320611,-0.8331749,0.8944566,0.9751144,-0.8162718,0.8786982,0.9601946,-0.7999505,0.8694851,0.9455822,-0.7999574,0.9101773,0.9652318,-0.8103857,0.8901885,0.9493837,-0.7925564,0.8768327,0.9346676,-0.7926928,0.9288375,0.9533737,-0.8120553,0.9104701,0.9386557,-0.7944826,0.896293,0.9252102,-0.7940513,0.9447727,0.9401723,-0.81725,0.9315155,0.9300294,-0.8022956,0.9187801,0.9212716,-0.8011127,0.9257444,0.9585516,-0.8616006,0.035882,
1528887994944,0.9027888,0.949221,-0.8882495,0.8827524,0.9402145,-0.8580463,0.8749602,0.9298695,-0.8373464,0.9012272,0.9725676,-0.8205496,0.8855163,0.9576457,-0.8041185,0.8761097,0.9431554,-0.8040353,0.917047,0.9624447,-0.814921,0.8972635,0.9466256,-0.7967483,0.8837057,0.9320897,-0.7965722,0.9356372,0.950509,-0.8169242,0.9176043,0.9359316,-0.7987307,0.9032693,0.9226837,-0.7975852,0.9513631,0.937143,-0.8225649,0.938499,0.9269912,-0.8071663,0.925761,0.9183303,-0.8053291,0.9317683,0.9562708,-0.8665171,0.03588129,
1528887994971,0.9078833,0.9477613,-0.8932182,0.8884051,0.9384388,-0.86274,0.8809114,0.927963,-0.8419759,0.9072779,0.970797,-0.8252665,0.8919247,0.9558674,-0.8085194,0.882552,0.9413728,-0.8083037,0.923312,0.9607313,-0.8198608,0.9040276,0.9449191,-0.8012103,0.8905199,0.9303628,-0.8008246,0.9419472,0.9487772,-0.8222663,0.9244924,0.9341402,-0.8034937,0.9102352,0.9208772,-0.8018304,0.9576043,0.9354299,-0.8283046,0.9452486,0.92514,-0.8125522,0.932621,0.9164124,-0.8102871,0.937065,0.9548358,-0.8719225,0.03628135,
1528887994998,0.9124599,0.944949,-0.8943423,0.8935373,0.9355929,-0.8635001,0.886241,0.9252636,-0.8425717,0.9128791,0.9681463,-0.8263941,0.8979129,0.9532576,-0.8092083,0.8885837,0.9387333,-0.8085761,0.929157,0.9581609,-0.8212303,0.9104094,0.9423374,-0.8019628,0.8969638,0.9277316,-0.8009632,0.9478591,0.9463379,-0.8239454,0.9309912,0.9316927,-0.8046128,0.9168647,0.9183595,-0.8024091,0.9634889,0.9330079,-0.8303024,0.9516387,0.9226272,-0.8142048,0.93915,0.9138073,-0.8115337,0.9419588,0.952198,-0.8735857,0.0366418,
1528887995024,0.9155255,0.9439164,-0.8969647,0.8968351,0.9345195,-0.8659904,0.8896313,0.9241304,-0.8450565,0.9166108,0.9669145,-0.8289325,0.9015816,0.9521703,-0.8116975,0.8920892,0.9377528,-0.8110745,0.9328467,0.9567095,-0.8239105,0.9140846,0.9410636,-0.8045253,0.9004746,0.9266164,-0.8034664,0.9513839,0.9446081,-0.8268525,0.9345223,0.9300405,-0.8074313,0.920262,0.9168641,-0.8051068,0.9667944,0.9311179,-0.8333973,0.9549556,0.9207542,-0.8172691,0.9423919,0.9120615,-0.8145158,0.9451959,0.950798,-0.8764186,0.03669319,
1528887995050,0.9205515,0.9407825,-0.8996621,0.902386,0.9311527,-0.868448,0.8955234,0.9206027,-0.847478,0.9227788,0.9634806,-0.8315074,0.9080001,0.9487709,-0.813895,0.8983738,0.9344476,-0.8128089,0.9391001,0.953176,-0.8267555,0.9207057,0.9375451,-0.8069088,0.9070182,0.9231899,-0.8053187,0.9574838,0.9409349,-0.8301166,0.9409711,0.926282,-0.8103397,0.9267141,0.9131718,-0.8074467,0.9727037,0.9273756,-0.8370063,0.9611505,0.9168454,-0.820709,0.9486496,0.9081646,-0.8175638,0.9504727,0.9475165,-0.8795487,0.03743999,
1528887995077,0.9233277,0.9391069,-0.9017874,0.905564,0.9292877,-0.8703866,0.8988607,0.9187162,-0.8493628,0.9260339,0.9618915,-0.8337043,0.9113051,0.9471923,-0.8160619,0.9016869,0.9328516,-0.8149332,0.9424251,0.9515504,-0.8291358,0.9241281,0.935909,-0.8091773,0.910446,0.9215541,-0.8074282,0.9607774,0.9392784,-0.8327073,0.9443611,0.9245656,-0.8128686,0.9301225,0.911445,-0.8098173,0.9759293,0.9257176,-0.8397657,0.9644217,0.9151126,-0.8234812,0.9519268,0.9064252,-0.8203169,0.9533986,0.9459416,-0.8819914,0.03732546,
1528887995112,0.9278307,0.9367702,-0.9044464,0.9104061,0.9270439,-0.8728017,0.9036162,0.9166799,-0.8516656,0.9316002,0.9597153,-0.8365265,0.9167221,0.9452932,-0.8186591,0.9068634,0.9311198,-0.8170769,0.9480264,0.9490945,-0.8321767,0.9297422,0.9336848,-0.8119035,0.9158734,0.9195393,-0.8096349,0.9661031,0.9364576,-0.8361018,0.949648,0.9217784,-0.8161676,0.9352845,0.9088324,-0.8127501,0.9809408,0.9226514,-0.8434095,0.9693183,0.9119387,-0.8272492,0.9567147,0.9033942,-0.8240458,0.9582202,0.9433886,-0.8851145,0.03762225,
1528887995144,0.9311633,0.9364756,-0.906827,0.9144042,0.9266092,-0.8748596,0.9079003,0.9162062,-0.8536311,0.9362888,0.9591324,-0.8389528,0.9214258,0.9448715,-0.8209006,0.911432,0.9308063,-0.8190827,0.9527905,0.9482675,-0.8349906,0.9346759,0.932959,-0.8144367,0.9207045,0.9189505,-0.8118211,0.9706745,0.9354254,-0.839385,0.954414,0.9207546,-0.8192251,0.9400066,0.90793,-0.8154389,0.9852239,0.9214876,-0.8471013,0.9737402,0.9106994,-0.8308597,0.9611257,0.9022397,-0.8274207,0.9619314,0.9427738,-0.888119,0.03767262,
1528887995171,0.9366879,0.9353812,-0.9094681,0.920769,0.9252381,-0.8771392,0.9145987,0.9148421,-0.8557782,0.9432246,0.9577257,-0.841661,0.92869,0.9434087,-0.8233274,0.9187554,0.9293312,-0.8211892,0.9599454,0.9468684,-0.8381557,0.9423432,0.9314449,-0.8171732,0.9284805,0.9174063,-0.8140669,0.9777579,0.9340627,-0.8431106,0.9620063,0.9192034,-0.8226233,0.9477598,0.9063166,-0.8183953,0.9921348,0.9201924,-0.8513113,0.981003,0.909196,-0.8349366,0.9685079,0.9006578,-0.8312184,0.9678267,0.9417294,-0.8915189,0.03773082,
1528887995197,0.9419349,0.9344279,-0.9115334,0.9266219,0.9241231,-0.8789463,0.9207139,0.9138162,-0.8574488,0.9494317,0.9568175,-0.8438161,0.9354525,0.9423014,-0.8251849,0.9257606,0.9280904,-0.8227922,0.9663957,0.946241,-0.8406147,0.9494437,0.9306058,-0.8192326,0.935856,0.9163789,-0.8157611,0.9843199,0.9336985,-0.8459146,0.9692265,0.9186381,-0.8250626,0.9552759,0.9055488,-0.8204904,0.9987483,0.9200201,-0.8544165,0.98813,0.9088453,-0.8378202,0.9758496,0.9001122,-0.8338395,0.9732997,0.9412029,-0.8941438,0.03781931,
1528887995224,0.9483328,0.9337951,-0.9131502,0.933827,0.9230929,-0.8803233,0.928525,0.9125739,-0.8587756,0.9566143,0.956023,-0.8455348,0.9431301,0.9411805,-0.8268119,0.9336963,0.9268033,-0.824419,0.9737533,0.945676,-0.8426896,0.9573187,0.9296562,-0.8212125,0.943985,0.9152002,-0.8176988,0.9917678,0.9334338,-0.8483377,0.9771563,0.9180347,-0.8274459,0.9634244,0.9047066,-0.8229371,1.006242,0.920015,-0.8571337,0.9959808,0.9086259,-0.8404922,0.9838336,0.8997196,-0.8365184,0.9798905,0.9410009,-0.8963084,0.03754449,
1528887995251,0.9608415,0.9321354,-0.9142809,0.9473207,0.9212561,-0.8810879,0.9427013,0.9106497,-0.85944,0.9711068,0.9541193,-0.8469022,0.9583623,0.9389933,-0.8278531,0.9491146,0.924538,-0.825201,0.9883583,0.9438983,-0.8446274,0.9727187,0.9275786,-0.8227386,0.9596121,0.9130141,-0.8187854,1.006326,0.9319676,-0.8507685,0.9925178,0.9164542,-0.8294449,0.9790249,0.9030166,-0.8245699,1.020607,0.9186712,-0.8600521,1.011002,0.907209,-0.8430616,0.9990827,0.8982008,-0.8386482,0.9928984,0.9395211,-0.8983688,0.03750095,
