time,thumb1x,thumb1y,thumb1z,thumb2x,thumb2y,thumb2z,thumb3x,thumb3y,thumb3z,index1x,index1y,index1z,index2x,index2y,index2z,index3x,index3y,index3z,middle1x,middle1y,middle1z,middle2x,middle2y,middle2z,middle3x,middle3y,middle3z,ring1x,ring1y,ring1z,ring2x,ring2y,ring2z,ring3x,ring3y,ring3z,pinky1x,pinky1y,pinky1z,pinky2x,pinky2y,pinky2z,pinky3x,pinky3y,pinky3z,palmx,palmy,palmz,pinch,
1528887694057,1.126043,0.9712413,-0.7749326,1.109862,0.9664661,-0.7415091,1.10363,0.9610376,-0.7183004,1.126418,1.005287,-0.7137328,1.115414,0.9909419,-0.6919192,1.108899,0.9769434,-0.6834955,1.1456,1.000514,-0.7083739,1.132609,0.9853166,-0.6829264,1.123069,0.9707052,-0.6728249,1.166128,0.9924592,-0.7110847,1.154956,0.9785571,-0.6861439,1.145383,0.9652263,-0.6749908,1.18388,0.9810396,-0.7168752,1.176543,0.970046,-0.6976588,1.168249,0.9601789,-0.6886154,1.155667,0.9879712,-0.7592249,0.03862816,
1528887694082,1.120835,0.9668732,-0.7844337,1.104508,0.9618628,-0.7511286,1.098355,0.9561033,-0.7280012,1.120804,1.000421,-0.7227498,1.1093,0.9862573,-0.7011555,1.102509,0.9721749,-0.6931602,1.139957,0.9953142,-0.7172073,1.126504,0.9802483,-0.692027,1.116619,0.9655213,-0.6825116,1.160432,0.9868568,-0.7198489,1.14884,0.972883,-0.6952209,1.138874,0.9593671,-0.6847234,1.178061,0.9752149,-0.7256178,1.170373,0.96417,-0.7066104,1.161735,0.9542629,-0.6979678,1.150331,0.9829659,-0.7682509,0.03859342,
1528887694115,1.114947,0.9618651,-0.7927114,1.098812,0.9559683,-0.7594603,1.092831,0.9495604,-0.7364627,1.115407,0.9942534,-0.7299459,1.104071,0.9799652,-0.7084699,1.097314,0.9656124,-0.7010137,1.134645,0.9890212,-0.7245731,1.121425,0.9738603,-0.6994715,1.111512,0.9588614,-0.6904952,1.155088,0.980341,-0.727615,1.143762,0.9660695,-0.7031213,1.133763,0.9522583,-0.6931114,1.172616,0.9687078,-0.7338015,1.165168,0.9574647,-0.7148523,1.156517,0.9474009,-0.7064372,1.144601,0.9774696,-0.7762555,0.03917125,
1528887694150,1.108894,0.9581457,-0.8006206,1.093451,0.951075,-0.7672611,1.087739,0.9438667,-0.7444118,1.111556,0.9886269,-0.736412,1.100652,0.9743389,-0.7147114,1.093773,0.9600887,-0.7071472,1.13088,0.9828791,-0.7316911,1.118281,0.9676567,-0.7063155,1.108369,0.9527543,-0.6971747,1.1511,0.9738348,-0.7356055,1.140447,0.9593196,-0.7109659,1.130553,0.9454916,-0.7008855,1.168248,0.962005,-0.7427128,1.161396,0.9504611,-0.7237285,1.15291,0.940322,-0.7152454,1.139121,0.9726858,-0.7842872,0.041088,
1528887694176,1.104211,0.9577508,-0.8064511,1.088819,0.9501317,-0.7732028,1.083222,0.9424863,-0.7504682,1.106923,0.9875677,-0.7417522,1.095857,0.9732955,-0.7201257,1.088844,0.9590805,-0.7126086,1.126187,0.9815914,-0.7371181,1.113398,0.9662745,-0.7119057,1.103356,0.9513677,-0.7028984,1.146361,0.972469,-0.7411311,1.135521,0.9578359,-0.7166622,1.125492,0.9439656,-0.7067712,1.163435,0.960633,-0.7483733,1.156407,0.9490284,-0.7295048,1.147789,0.9388613,-0.7211965,1.13451,0.9718943,-0.7898632,0.04171716,
1528887694202,1.098729,0.9579206,-0.8124732,1.082928,0.9502891,-0.7794372,1.077224,0.94249,-0.7567959,1.101009,0.9876826,-0.7475723,1.089685,0.9735874,-0.7259773,1.08245,0.9594607,-0.7185014,1.120018,0.9814745,-0.7427448,1.106743,0.9663134,-0.7177163,1.096409,0.9514881,-0.7089065,1.140114,0.9721406,-0.7465055,1.128745,0.9576311,-0.7222406,1.118379,0.9438123,-0.7126379,1.157128,0.9601774,-0.7535145,1.149644,0.9487507,-0.7347372,1.140719,0.9386783,-0.7266497,1.128946,0.9717294,-0.7954361,0.04221117,
1528887694229,1.091949,0.9565687,-0.8202103,1.076178,0.9492483,-0.7871099,1.070705,0.9415239,-0.7644051,1.094582,0.9870414,-0.7554559,1.083375,0.9732507,-0.7336916,1.076118,0.9591103,-0.7262997,1.113435,0.9807448,-0.7506235,1.100082,0.9658922,-0.7255613,1.089618,0.9510449,-0.7169922,1.133501,0.9712493,-0.7542832,1.12206,0.957038,-0.7299763,1.111512,0.9432184,-0.7206194,1.150441,0.9591768,-0.761147,1.1429,0.9481199,-0.7422383,1.133771,0.9381516,-0.7342827,1.122248,0.9703429,-0.8032712,0.04231562,
1528887694256,1.087082,0.9554675,-0.8249282,1.071567,0.9484036,-0.7916576,1.066361,0.940847,-0.7688414,1.090169,0.9864382,-0.7604225,1.079334,0.9726669,-0.7384995,1.072278,0.9584465,-0.7310723,1.109063,0.9803318,-0.7557091,1.096041,0.965529,-0.7304865,1.085747,0.9505919,-0.7218836,1.129162,0.9709665,-0.7594523,1.118031,0.9568523,-0.7349746,1.107637,0.9429871,-0.725517,1.146139,0.9589735,-0.7663463,1.138847,0.9480385,-0.7472856,1.129833,0.9380615,-0.7392122,1.117486,0.9695392,-0.8083387,0.04208623,
1528887694283,1.08069,0.9549762,-0.8318847,1.065048,0.9476279,-0.7987659,1.06005,0.9396027,-0.7760961,1.083915,0.9849576,-0.7669764,1.072745,0.9709285,-0.7454321,1.06539,0.9566304,-0.7384623,1.102536,0.9783884,-0.7622464,1.088971,0.9632999,-0.737535,1.078286,0.9483171,-0.7295218,1.12246,0.9687425,-0.765933,1.11075,0.9543948,-0.7419345,1.099897,0.9404655,-0.7331427,1.139219,0.9566022,-0.7728152,1.131429,0.9456227,-0.754014,1.122015,0.9357026,-0.746361,1.111189,0.9683021,-0.8149221,0.04165046,
1528887694315,1.076044,0.9511157,-0.8369633,1.060495,0.9449062,-0.8035661,1.055583,0.9377521,-0.7805873,1.07882,0.9830799,-0.7734419,1.067705,0.969192,-0.7517444,1.060589,0.9549248,-0.7444279,1.097586,0.9769361,-0.768544,1.08413,0.9619866,-0.7436386,1.073699,0.9470168,-0.7352169,1.117701,0.9676531,-0.7718657,1.106109,0.9536264,-0.7475984,1.095482,0.9397587,-0.7383984,1.134687,0.9555891,-0.7783299,1.126975,0.9448516,-0.7593555,1.117676,0.9349678,-0.7515023,1.106475,0.9653649,-0.8205535,0.04034189,
1528887694334,1.074192,0.9516523,-0.8389373,1.05847,0.945463,-0.8056276,1.05355,0.9382265,-0.7826912,1.07706,0.983182,-0.7752551,1.065871,0.9691246,-0.753734,1.058719,0.9547569,-0.7466748,1.095769,0.9769717,-0.7703544,1.082185,0.9618858,-0.7456231,1.071675,0.9468556,-0.7374202,1.115872,0.9676508,-0.7736702,1.104169,0.9535123,-0.7495383,1.093456,0.9396011,-0.7405094,1.132839,0.9556048,-0.7801355,1.125039,0.9448349,-0.7612336,1.115645,0.9349349,-0.7535273,1.104689,0.9657031,-0.8224058,0.0399644,
1528887694363,1.065269,0.9484324,-0.8479667,1.05021,0.9430783,-0.8142,1.045626,0.9363873,-0.791019,1.069587,0.9805133,-0.7851145,1.058522,0.9664121,-0.7635612,1.051392,0.9520462,-0.7564498,1.088369,0.9741836,-0.7805084,1.074979,0.9591022,-0.755658,1.06448,0.9441343,-0.7473029,1.108297,0.9647582,-0.7840552,1.096743,0.950772,-0.7597517,1.086036,0.9370009,-0.7504711,1.125014,0.952521,-0.7906631,1.117271,0.9418834,-0.771657,1.107864,0.9321283,-0.7637631,1.09617,0.9622982,-0.8323138,0.03838582,
1528887694390,1.062421,0.9472588,-0.8500762,1.047893,0.9423173,-0.8159988,1.043562,0.9360757,-0.7926359,1.067429,0.9795761,-0.787738,1.057062,0.9651014,-0.7660778,1.050417,0.9505408,-0.758875,1.086379,0.9737848,-0.7834712,1.07369,0.9584274,-0.758401,1.063679,0.9432589,-0.7497922,1.106426,0.964838,-0.7873287,1.095529,0.9507098,-0.7627817,1.085305,0.9367937,-0.753141,1.123289,0.9529732,-0.7941471,1.116009,0.9422857,-0.7749915,1.106918,0.9323771,-0.7669069,1.093517,0.9618035,-0.8352236,0.03736362,
1528887694415,1.057134,0.9461495,-0.8566003,1.042716,0.9405892,-0.8225685,1.038448,0.9339384,-0.7993083,1.062492,0.9772675,-0.7936511,1.052347,0.9622827,-0.772302,1.045809,0.947448,-0.7656175,1.081365,0.9714687,-0.7896165,1.06875,0.9555694,-0.7649254,1.058767,0.9400944,-0.7568858,1.101427,0.9625993,-0.7937486,1.090591,0.9478982,-0.769583,1.080341,0.9336429,-0.7605166,1.118307,0.950955,-0.8008416,1.1111,0.9399312,-0.7818878,1.101968,0.9298235,-0.7741235,1.088293,0.9605119,-0.8416446,0.03703734,
1528887694442,1.053081,0.9461482,-0.8607427,1.038652,0.9407117,-0.8267032,1.034469,0.9341046,-0.8034239,1.05806,0.97753,-0.7980299,1.047722,0.9624802,-0.7768723,1.041171,0.9475441,-0.7704504,1.07689,0.9717627,-0.7938951,1.064001,0.9558287,-0.7694223,1.053937,0.9402643,-0.7616768,1.096922,0.9628664,-0.7979108,1.08574,0.9481455,-0.7739447,1.075351,0.9338371,-0.7651315,1.113812,0.9512613,-0.8048395,1.106254,0.9403198,-0.7859913,1.096953,0.9302253,-0.7784143,1.084169,0.9605432,-0.8457399,0.03623248,
1528887694468,1.049753,0.9466553,-0.8647546,1.03574,0.9411505,-0.8305625,1.031919,0.9344462,-0.8072532,1.055068,0.978068,-0.8021003,1.044777,0.963043,-0.7809395,1.038237,0.9480661,-0.7746322,1.073938,0.9722187,-0.7980862,1.061139,0.9562756,-0.7736094,1.05107,0.9406737,-0.7659672,1.093878,0.9632351,-0.8022573,1.082709,0.9484465,-0.7783633,1.072276,0.934078,-0.7697169,1.110667,0.9516155,-0.8092883,1.103062,0.9406614,-0.7904859,1.093689,0.930557,-0.7830225,1.080853,0.9610053,-0.8499835,0.0359103,
