time,thumb1x,thumb1y,thumb1z,thumb2x,thumb2y,thumb2z,thumb3x,thumb3y,thumb3z,index1x,index1y,index1z,index2x,index2y,index2z,index3x,index3y,index3z,middle1x,middle1y,middle1z,middle2x,middle2y,middle2z,middle3x,middle3y,middle3z,ring1x,ring1y,ring1z,ring2x,ring2y,ring2z,ring3x,ring3y,ring3z,pinky1x,pinky1y,pinky1z,pinky2x,pinky2y,pinky2z,pinky3x,pinky3y,pinky3z,palmx,palmy,palmz,pinch,
1529408558640,0.9090356,0.6134148,-0.9184381,0.884859,0.628863,-0.8962908,0.8716449,0.6349438,-0.8777556,0.9094645,0.6635283,-0.8646032,0.8936436,0.6675479,-0.8464583,0.8820759,0.6573808,-0.842442,0.923355,0.655421,-0.8522539,0.9050485,0.661213,-0.8321718,0.8898294,0.6517161,-0.8288399,0.9386325,0.6393743,-0.8456442,0.9226604,0.644515,-0.8245509,0.9067892,0.6373473,-0.8197198,0.9505289,0.6202728,-0.842588,0.9400525,0.6237247,-0.8252602,0.9266665,0.6195206,-0.822131,0.9356917,0.618739,-0.8937982,0.04311927,
1529408558667,0.9264474,0.6181524,-0.9169223,0.9059134,0.6341066,-0.8917525,0.8960178,0.6397896,-0.8712329,0.9339089,0.669036,-0.8649429,0.9198132,0.6729965,-0.8456171,0.9087001,0.6626526,-0.8408937,0.9486602,0.660701,-0.8541139,0.9321094,0.6665246,-0.8327704,0.9171992,0.656916,-0.8283733,0.9641911,0.6443599,-0.8488938,0.9500859,0.649737,-0.8266428,0.9345775,0.6426872,-0.820596,0.9757313,0.6252344,-0.8468616,0.966666,0.6293044,-0.8287824,0.9535335,0.6254878,-0.824393,0.9556416,0.6232779,-0.8959346,0.04005028,
1529408558694,0.9389949,0.6189594,-0.9148601,0.9206859,0.6361344,-0.8887397,0.9121397,0.6428149,-0.8679044,0.9525135,0.6699054,-0.8642303,0.9397116,0.6747032,-0.8439147,0.9283868,0.6651876,-0.8377074,0.9677364,0.6610447,-0.8544573,0.9528179,0.6679585,-0.8318048,0.9376938,0.6595693,-0.8253654,0.9830183,0.6440996,-0.8502133,0.9707295,0.6503732,-0.8268498,0.9554474,0.6444345,-0.8189578,0.9938884,0.62458,-0.8488513,0.9863033,0.6293074,-0.8300253,0.9734995,0.6263717,-0.824062,0.9702559,0.6230775,-0.8961606,0.04094346,
1529408558721,0.955888,0.6194209,-0.9133495,0.939835,0.6381692,-0.8867765,0.9326292,0.645985,-0.8658295,0.9759648,0.6708303,-0.8652066,0.9646662,0.6774305,-0.8440261,0.9531037,0.6695876,-0.8359032,0.9914612,0.6611433,-0.8560896,0.9786828,0.6699135,-0.8322581,0.9635378,0.6635507,-0.8235078,1.006179,0.6434487,-0.8524233,0.9965346,0.6515919,-0.8279102,0.9819107,0.6478338,-0.817564,1.015919,0.6231979,-0.8512228,1.01056,0.6289653,-0.8315817,0.9985781,0.627632,-0.8234723,0.9887034,0.6221545,-0.896749,0.04326511,
1529408558747,0.9649645,0.6203188,-0.9122275,0.950736,0.6403047,-0.8854913,0.9447613,0.6491325,-0.8645531,0.9892381,0.6730506,-0.8675026,0.979315,0.6810038,-0.8458432,0.9681184,0.6742295,-0.8362991,1.005195,0.6631663,-0.8588859,0.9942641,0.6732793,-0.8343589,0.9796768,0.6681994,-0.8238498,1.01994,0.6454145,-0.8555831,1.012657,0.6551732,-0.8305353,0.9991294,0.6529526,-0.8183604,1.029278,0.6248836,-0.8542026,1.025827,0.6316026,-0.8342668,1.014795,0.6312175,-0.8248309,0.9991515,0.62296,-0.8979192,0.04442639,
1529408558788,0.9794955,0.6232345,-0.9073778,0.9684265,0.6456226,-0.8810459,0.9645507,0.6562645,-0.8604293,1.010087,0.6776432,-0.8687097,1.002754,0.6880724,-0.8467853,0.9923953,0.6831326,-0.8353837,1.026583,0.6673612,-0.8607541,1.018891,0.6797586,-0.8358033,1.00543,0.6765761,-0.8232272,1.040983,0.6495092,-0.8579037,1.037392,0.6619962,-0.8329807,1.02568,0.6620357,-0.8189423,1.049587,0.6285346,-0.8559247,1.049071,0.6369787,-0.8361917,1.039556,0.6381074,-0.825336,1.015074,0.6251419,-0.8963314,0.04609231,
1529408558822,0.9866393,0.6255333,-0.9065477,0.9777441,0.6487952,-0.8802195,0.9757627,0.6596428,-0.8594943,1.020925,0.6802278,-0.8710322,1.015719,0.6917868,-0.8490674,1.006232,0.6874194,-0.8368934,1.037899,0.6697012,-0.8639446,1.032721,0.6830612,-0.8388628,1.020264,0.6804041,-0.8253633,1.05205,0.6517737,-0.8618363,1.050696,0.6651781,-0.8372381,1.039966,0.665602,-0.8226341,1.060434,0.6306666,-0.8600037,1.061638,0.6397874,-0.8406616,1.052818,0.6411966,-0.8294157,1.023027,0.6268792,-0.8977563,0.04701842,
1529408558854,0.9950198,0.6280516,-0.9096416,0.986908,0.6514888,-0.8832941,0.9856,0.6621463,-0.8624232,1.030399,0.682649,-0.8747165,1.026024,0.694919,-0.8529227,1.016725,0.6910365,-0.8405576,1.047405,0.6719257,-0.8676952,1.043199,0.6858664,-0.8428013,1.03094,0.6834846,-0.8292661,1.061239,0.6537611,-0.8655516,1.060745,0.6675643,-0.8411586,1.050218,0.6681541,-0.8266284,1.069245,0.6325079,-0.8636059,1.071028,0.641845,-0.8444018,1.062384,0.6434212,-0.8331602,1.031399,0.6289083,-0.9010166,0.04776536,
1529408558881,1.001828,0.6292775,-0.9121858,0.9943262,0.6532642,-0.886206,0.99351,0.6641136,-0.8654161,1.038263,0.6843464,-0.8788779,1.034394,0.6974812,-0.8575099,1.025164,0.6941434,-0.8449955,1.055193,0.6733999,-0.8715615,1.051501,0.6879305,-0.8470308,1.039243,0.6858642,-0.8335236,1.068984,0.6551052,-0.8691615,1.06959,0.669749,-0.845162,1.059583,0.6711915,-0.8303922,1.076593,0.6337445,-0.8667213,1.079168,0.6435769,-0.8477929,1.070978,0.6457486,-0.836333,1.038224,0.6298341,-0.9037582,0.04817427,
1529408558908,1.008359,0.6316464,-0.9145976,1.002172,0.6561701,-0.8888528,1.002462,0.6670266,-0.868081,1.04601,0.6875422,-0.8841908,1.042728,0.7016486,-0.8634487,1.033649,0.6988309,-0.85073,1.06287,0.6762902,-0.8764925,1.059656,0.6912899,-0.8523705,1.047407,0.6894586,-0.8387914,1.076947,0.6580909,-0.8741262,1.079481,0.6741728,-0.8508958,1.070778,0.6772379,-0.8355473,1.084208,0.6366169,-0.8710304,1.088315,0.6472991,-0.8526443,1.081367,0.6506038,-0.8405852,1.044673,0.6320139,-0.9069628,0.04780386,
