time,thumb1x,thumb1y,thumb1z,thumb2x,thumb2y,thumb2z,thumb3x,thumb3y,thumb3z,index1x,index1y,index1z,index2x,index2y,index2z,index3x,index3y,index3z,middle1x,middle1y,middle1z,middle2x,middle2y,middle2z,middle3x,middle3y,middle3z,ring1x,ring1y,ring1z,ring2x,ring2y,ring2z,ring3x,ring3y,ring3z,pinky1x,pinky1y,pinky1z,pinky2x,pinky2y,pinky2z,pinky3x,pinky3y,pinky3z,palmx,palmy,palmz,pinch,
1529408235913,0.8398318,0.5761865,-0.9400966,0.8087606,0.5635558,-0.9297487,0.7914681,0.5530202,-0.9204803,0.7995178,0.5866574,-0.880279,0.7818652,0.576826,-0.8667285,0.7749633,0.5630747,-0.865541,0.8148391,0.5842047,-0.8642513,0.7962306,0.5758307,-0.8450496,0.7858383,0.561995,-0.8415418,0.8345776,0.5787584,-0.8570931,0.8181992,0.5710934,-0.8373818,0.8073983,0.5583608,-0.8324281,0.8554761,0.5685367,-0.8550493,0.8464677,0.5603883,-0.8386455,0.8385114,0.5497066,-0.8350866,0.8514452,0.5819984,-0.9064773,0.05823945,
1529408235938,0.8457617,0.5839949,-0.9448638,0.813795,0.5733745,-0.9349813,0.7951221,0.5646665,-0.926398,0.8059902,0.5982053,-0.8853658,0.7884198,0.5888529,-0.8712845,0.7814187,0.5752164,-0.8694308,0.820712,0.5959553,-0.8695112,0.801698,0.587777,-0.8507107,0.7912868,0.5739008,-0.8472961,0.8401195,0.5905094,-0.8620274,0.8230504,0.5832345,-0.8427515,0.8120044,0.5706636,-0.8378584,0.8608919,0.5804842,-0.8591266,0.851302,0.5732989,-0.8425856,0.8429528,0.5630536,-0.8385192,0.8575883,0.5914151,-0.9111625,0.05953433,
1529408235966,0.8551539,0.5948412,-0.9504192,0.8227902,0.5855604,-0.9404184,0.8033255,0.5782045,-0.9321905,0.8158456,0.6127684,-0.8917176,0.7982873,0.6038085,-0.8773063,0.791155,0.5902803,-0.8749107,0.8299726,0.6106119,-0.8761239,0.8104133,0.6025199,-0.8578688,0.7998767,0.5886424,-0.8545185,0.8491762,0.60514,-0.8683106,0.8314242,0.5981267,-0.8494804,0.820073,0.5857717,-0.844492,0.8696711,0.5953251,-0.8647289,0.8592919,0.5889596,-0.8482664,0.8504872,0.5791895,-0.8437734,0.8671457,0.6037283,-0.9170256,0.05979068,
1529408235993,0.8619983,0.6013522,-0.953419,0.8295271,0.5931953,-0.9428079,0.8098536,0.5867074,-0.9343035,0.8232951,0.622519,-0.8956696,0.8056488,0.6139697,-0.8811312,0.7983307,0.6005622,-0.8785312,0.8369082,0.6202009,-0.8803248,0.8167669,0.6124101,-0.862561,0.8059142,0.5987007,-0.859303,0.855857,0.6143436,-0.8722873,0.8374341,0.6076363,-0.8539219,0.8256619,0.5955907,-0.8489431,0.8758435,0.604426,-0.8682902,0.8645247,0.5987327,-0.8521597,0.8551685,0.5894482,-0.847596,0.8741935,0.6113607,-0.920568,0.05861128,
1529408236029,0.8723239,0.6104115,-0.9573199,0.8397164,0.6041684,-0.9458918,0.8199425,0.5989294,-0.9367532,0.8347757,0.6354799,-0.9008231,0.8171824,0.62752,-0.8858483,0.8096676,0.6143088,-0.8826679,0.8478515,0.6334563,-0.885821,0.8271444,0.6264287,-0.8682821,0.8158898,0.613078,-0.8646286,0.8665285,0.6273726,-0.8775293,0.847435,0.6213658,-0.8595151,0.835235,0.6097777,-0.8542708,0.8858107,0.6174642,-0.8731042,0.8732961,0.6127739,-0.8575033,0.8633342,0.6040702,-0.8529357,0.8850319,0.6217219,-0.9252013,0.05716043,
1529408236059,0.8842505,0.6174912,-0.9601943,0.8513854,0.6139803,-0.9484756,0.8316703,0.6102439,-0.9385311,0.8471262,0.6475222,-0.9064962,0.8289059,0.6408455,-0.8914604,0.8207535,0.628197,-0.8875709,0.859605,0.6459709,-0.8913248,0.837943,0.6407263,-0.874008,0.8258635,0.6283314,-0.869601,0.8777776,0.6395331,-0.8822668,0.8577731,0.6350176,-0.8646828,0.8449384,0.6242626,-0.8591331,0.8961644,0.6293191,-0.8769297,0.8824117,0.6259575,-0.8620138,0.8718008,0.6179547,-0.8575736,0.8970449,0.6301743,-0.928793,0.05512202,
1529408236085,0.8934001,0.6214942,-0.9615768,0.8607945,0.6194727,-0.9489302,0.8415579,0.6164398,-0.9379159,0.8572172,0.6544757,-0.9093971,0.8386337,0.6489323,-0.8942255,0.8298824,0.6368408,-0.8898319,0.8695561,0.6529356,-0.8942162,0.8475201,0.6490228,-0.8768823,0.8348666,0.637378,-0.8720071,0.8874637,0.6459826,-0.8849049,0.8671497,0.6424494,-0.8673944,0.8539222,0.6322916,-0.8616107,0.9052708,0.6353748,-0.8793347,0.8909963,0.6327643,-0.8647611,0.880029,0.6251918,-0.860404,0.9065294,0.6347083,-0.9309801,0.05352182,
1529408236113,0.9034791,0.6282642,-0.9625718,0.8716072,0.6280968,-0.9481703,0.8533226,0.6260266,-0.935474,0.8691511,0.6650984,-0.912382,0.8503714,0.6609291,-0.8968278,0.8410758,0.6495898,-0.8915032,0.881622,0.6638016,-0.8974062,0.8594408,0.6611528,-0.8799049,0.8464265,0.6501911,-0.874307,0.8995355,0.656625,-0.8879226,0.8792156,0.6540064,-0.870237,0.8658329,0.6443105,-0.863982,0.9170105,0.6458716,-0.8821146,0.9025857,0.644017,-0.8675841,0.8914548,0.6367826,-0.8630481,0.9174867,0.6425302,-0.933446,0.05136769,
1529408236139,0.9086131,0.6330519,-0.9626356,0.877492,0.6336342,-0.946808,0.8601505,0.6318665,-0.9328464,0.8761123,0.6710994,-0.9125358,0.8575473,0.6672333,-0.8965631,0.8482861,0.6561043,-0.8907454,0.889037,0.669934,-0.8979622,0.8671489,0.6673726,-0.8800607,0.8543046,0.6564209,-0.8740659,0.9073071,0.6627604,-0.8888009,0.8874183,0.6600072,-0.8706951,0.8743211,0.6501049,-0.8642036,0.9249043,0.6520653,-0.8832991,0.9107946,0.6500736,-0.868537,0.8998481,0.642617,-0.8639644,0.9237522,0.6478581,-0.9344584,0.05000729,
1529408236165,0.9176045,0.6393683,-0.9624245,0.8873693,0.6402178,-0.9450005,0.870876,0.6386501,-0.930032,0.8874022,0.6782396,-0.9117632,0.8693318,0.67444,-0.895151,0.8603222,0.6633945,-0.8887929,0.9010364,0.6772686,-0.8978109,0.8797625,0.6746277,-0.879154,0.8672482,0.6636338,-0.8725499,0.919929,0.6702197,-0.8892682,0.9009001,0.6672245,-0.87032,0.8882742,0.6570879,-0.8633107,0.937858,0.6596127,-0.8844004,0.9244958,0.6573226,-0.8690282,0.9138913,0.6496224,-0.8640921,0.9340615,0.6547292,-0.9354004,0.04923753,
