time,thumb1x,thumb1y,thumb1z,thumb2x,thumb2y,thumb2z,thumb3x,thumb3y,thumb3z,index1x,index1y,index1z,index2x,index2y,index2z,index3x,index3y,index3z,middle1x,middle1y,middle1z,middle2x,middle2y,middle2z,middle3x,middle3y,middle3z,ring1x,ring1y,ring1z,ring2x,ring2y,ring2z,ring3x,ring3y,ring3z,pinky1x,pinky1y,pinky1z,pinky2x,pinky2y,pinky2z,pinky3x,pinky3y,pinky3z,palmx,palmy,palmz,pinch,
1529408171764,1.212699,0.6275535,-0.8888406,1.187181,0.6483697,-0.8765521,1.171024,0.6614658,-0.8681419,1.222913,0.6874448,-0.844849,1.218795,0.7079264,-0.829347,1.21345,0.7180844,-0.8182153,1.238442,0.680068,-0.8308544,1.235258,0.7006768,-0.8097552,1.229626,0.7107999,-0.7955685,1.253054,0.6655118,-0.8232161,1.25168,0.6835204,-0.8017513,1.247365,0.693015,-0.7870665,1.264674,0.6462539,-0.8175278,1.267041,0.6567914,-0.7991976,1.265299,0.6625938,-0.7862589,1.241677,0.6356535,-0.8647318,0.08659282,
1529408171806,1.212257,0.6293677,-0.891238,1.188066,0.6519647,-0.8794684,1.172983,0.6659728,-0.8705591,1.224473,0.6910143,-0.8508251,1.21995,0.7117989,-0.8360111,1.213979,0.7217761,-0.8250363,1.239924,0.6840684,-0.8368016,1.236105,0.7053548,-0.8166592,1.229559,0.7154952,-0.8028892,1.254384,0.6693625,-0.8283641,1.252514,0.6877996,-0.8074299,1.247329,0.6972189,-0.7929886,1.265697,0.650319,-0.8218907,1.267818,0.6615787,-0.804016,1.265637,0.6678344,-0.7913522,1.241767,0.6376647,-0.8680181,0.0828674,
1529408171857,1.211936,0.6315104,-0.893828,1.189087,0.6551058,-0.8815833,1.175495,0.6690925,-0.8706014,1.226842,0.6937546,-0.8554695,1.221772,0.7142588,-0.8406802,1.21483,0.7233365,-0.8295591,1.241833,0.6867265,-0.8415616,1.237008,0.7080969,-0.8219872,1.228917,0.717461,-0.8085817,1.255029,0.6711124,-0.8321162,1.250491,0.6882706,-0.8109275,1.242127,0.6954735,-0.7967752,1.265828,0.6523327,-0.8253856,1.265937,0.6635671,-0.8075986,1.261327,0.6693004,-0.7953521,1.242088,0.6393312,-0.8712289,0.0785756,
1529408171897,1.211257,0.632079,-0.8944858,1.188938,0.6559538,-0.8819976,1.176094,0.6697345,-0.869994,1.227132,0.6945146,-0.8569573,1.221404,0.7147323,-0.8421459,1.213768,0.723084,-0.8309773,1.242148,0.6875484,-0.8432288,1.236673,0.7088855,-0.823934,1.227682,0.7175753,-0.8107643,1.25491,0.6715901,-0.8334317,1.248887,0.6879174,-0.8123055,1.238588,0.6932359,-0.7988125,1.265786,0.6529382,-0.8266251,1.265044,0.6640267,-0.8089451,1.258781,0.6689857,-0.7972135,1.241988,0.639792,-0.8722354,0.07607802,
1529408171938,1.210105,0.6336913,-0.8968456,1.188204,0.6577274,-0.884001,1.175658,0.6713567,-0.8715411,1.226982,0.6947244,-0.8575574,1.220933,0.71439,-0.8421493,1.212931,0.7221366,-0.8308634,1.241834,0.6871353,-0.8439434,1.2362,0.7079292,-0.8241559,1.226695,0.7158727,-0.8110189,1.253883,0.670433,-0.8342581,1.247329,0.6858855,-0.8126733,1.236503,0.6905028,-0.7993993,1.264328,0.65148,-0.8278353,1.262993,0.661845,-0.8098626,1.255587,0.6659091,-0.7986044,1.240932,0.6401315,-0.8740785,0.07498343,
1529408171964,1.209189,0.6345012,-0.8975257,1.187514,0.6586605,-0.8845428,1.175186,0.672308,-0.8719062,1.226843,0.6954308,-0.8584141,1.220779,0.7150743,-0.8429829,1.212722,0.7226866,-0.8316829,1.241856,0.6877494,-0.8449335,1.23638,0.7085494,-0.8251301,1.226807,0.7163028,-0.8120053,1.253799,0.6708963,-0.835299,1.24742,0.6863658,-0.8136413,1.236681,0.6909974,-0.8003383,1.264171,0.6518759,-0.828948,1.262832,0.6621497,-0.8109715,1.255122,0.665967,-0.7999066,1.240366,0.640726,-0.8749979,0.07459801,
1529408172001,1.207548,0.6355615,-0.8996683,1.185999,0.6598635,-0.8867532,1.173793,0.6735384,-0.8740512,1.225537,0.6965781,-0.8609301,1.219261,0.7162819,-0.8456516,1.211043,0.7238733,-0.8344783,1.240567,0.688859,-0.8473758,1.235037,0.7097805,-0.8277224,1.225315,0.7175008,-0.8147452,1.252329,0.671921,-0.8376009,1.246048,0.6876649,-0.8160176,1.23546,0.6926322,-0.8027378,1.262504,0.6528317,-0.8310951,1.260985,0.6631193,-0.813172,1.252932,0.6668006,-0.8023798,1.23873,0.6416614,-0.877129,0.07407572,
1529408172031,1.20786,0.6362193,-0.9009777,1.186665,0.660663,-0.8877865,1.174798,0.6742184,-0.874692,1.226609,0.6970041,-0.8623568,1.220325,0.7167367,-0.8471291,1.211995,0.7242719,-0.836033,1.241605,0.6890384,-0.8487255,1.236278,0.7099998,-0.8290726,1.2265,0.7176833,-0.8161779,1.252945,0.6718482,-0.838877,1.246724,0.6876229,-0.8172624,1.236147,0.6927116,-0.8040437,1.262785,0.6526049,-0.8323352,1.261113,0.6627814,-0.8143972,1.252728,0.6662998,-0.8038867,1.239185,0.6419167,-0.8785419,0.07337241,
1529408172058,1.206501,0.637165,-0.9033108,1.18561,0.6618059,-0.8899868,1.174001,0.6753497,-0.8767033,1.226151,0.6977707,-0.864876,1.219951,0.7175529,-0.8497335,1.211471,0.7249175,-0.8386919,1.241162,0.6895407,-0.8511637,1.236196,0.7105528,-0.8314978,1.226452,0.7182443,-0.8186259,1.252238,0.6722109,-0.8413363,1.24637,0.6881585,-0.8197474,1.235898,0.6934394,-0.8065403,1.261686,0.6527333,-0.8347299,1.260141,0.6628604,-0.8167573,1.251684,0.6663659,-0.8063637,1.237935,0.6424562,-0.8809723,0.07284096,
1529408172083,1.204846,0.6380239,-0.9051977,1.184182,0.662894,-0.8919291,1.172744,0.6765229,-0.8786219,1.225165,0.6985494,-0.866995,1.218971,0.7183304,-0.8519251,1.21029,0.7254276,-0.8409268,1.240224,0.6901734,-0.853233,1.235522,0.7112443,-0.8336035,1.225774,0.7189248,-0.8207632,1.251162,0.672792,-0.8434053,1.245544,0.6888711,-0.8219028,1.235024,0.6941754,-0.8087728,1.260312,0.6531355,-0.8366948,1.25892,0.6632618,-0.8187155,1.250453,0.6668005,-0.8083795,1.236398,0.6430522,-0.88292,0.07226554,
1529408172112,1.202897,0.6386352,-0.9077869,1.182621,0.6638244,-0.8945051,1.171472,0.6775896,-0.8811322,1.224445,0.6987789,-0.8695584,1.218419,0.7184232,-0.8543814,1.209522,0.7249426,-0.8433183,1.239633,0.6901416,-0.8559254,1.235348,0.7111011,-0.8361778,1.225558,0.718515,-0.8232849,1.250629,0.6726909,-0.846332,1.245612,0.6888188,-0.8248481,1.234947,0.6938025,-0.8118584,1.2593,0.6527379,-0.8396376,1.258156,0.6627303,-0.821606,1.24965,0.6661852,-0.8113188,1.234727,0.64315,-0.88567,0.07155428,
1529408172137,1.201052,0.638678,-0.9088688,1.181212,0.6640493,-0.8952814,1.17036,0.6778752,-0.8817292,1.224117,0.6982471,-0.8704266,1.21839,0.7175165,-0.8548813,1.209265,0.7231788,-0.8436725,1.239228,0.6892373,-0.8569652,1.235148,0.709726,-0.8368782,1.225041,0.7164376,-0.8239433,1.25026,0.6716973,-0.8477467,1.24578,0.6876897,-0.826196,1.234959,0.6922926,-0.8133275,1.258348,0.6514994,-0.8411711,1.257229,0.661289,-0.8231056,1.248502,0.6645616,-0.8129834,1.23328,0.6425914,-0.8870314,0.07081171,
1529408172163,1.200356,0.6374964,-0.9099469,1.180625,0.6628644,-0.8961829,1.169873,0.6767627,-0.8826095,1.224083,0.6970745,-0.8718036,1.218432,0.7160304,-0.8560056,1.209203,0.721042,-0.8446572,1.239321,0.6880765,-0.8585913,1.235201,0.7082599,-0.8383406,1.224895,0.714431,-0.8253452,1.250701,0.67066,-0.8496712,1.24655,0.6866286,-0.8281277,1.235745,0.6910123,-0.8152182,1.258704,0.6504149,-0.8431379,1.257622,0.660134,-0.8250762,1.248844,0.6632695,-0.8149518,1.233023,0.6414657,-0.8886014,0.07034104,
1529408172191,1.199226,0.6349661,-0.9101636,1.179406,0.6603402,-0.8965107,1.168551,0.6743571,-0.8831218,1.223019,0.6946093,-0.872061,1.21732,0.7133582,-0.8561355,1.207994,0.7179799,-0.8447351,1.238301,0.6856508,-0.8589133,1.234064,0.7056334,-0.8385556,1.223629,0.7114962,-0.8255376,1.249905,0.6683748,-0.8501545,1.245831,0.6843332,-0.8286484,1.234983,0.6885777,-0.8157452,1.257871,0.6481044,-0.843588,1.256738,0.6577779,-0.8255104,1.247952,0.6608491,-0.8153597,1.232011,0.6390447,-0.8889077,0.07022993,
1529408172228,1.197408,0.6320282,-0.9099026,1.177268,0.6574813,-0.8968267,1.166085,0.6717939,-0.8839935,1.220225,0.6923134,-0.8723736,1.214096,0.7111214,-0.8566645,1.204674,0.7158366,-0.8453194,1.235524,0.6837045,-0.8590919,1.230756,0.7038354,-0.8389586,1.220235,0.7098334,-0.8259962,1.247449,0.6667465,-0.8501893,1.242999,0.6829442,-0.8289396,1.232057,0.6872731,-0.816094,1.255626,0.6466277,-0.8433313,1.254234,0.6565323,-0.8253536,1.245516,0.6597458,-0.8151182,1.230092,0.6366868,-0.8885667,0.07017524,
1529408172257,1.194775,0.6313001,-0.9096925,1.174195,0.6568502,-0.8974758,1.162641,0.6715943,-0.8854226,1.215858,0.692784,-0.8736209,1.2087,0.7115977,-0.8583077,1.199099,0.7163026,-0.8470322,1.231539,0.6850456,-0.8604761,1.225687,0.7055207,-0.8409408,1.214959,0.7116274,-0.8281019,1.244413,0.6686762,-0.85137,1.239599,0.6854393,-0.8305672,1.228825,0.690111,-0.8176038,1.25337,0.648929,-0.8441186,1.251971,0.6593636,-0.8263646,1.243626,0.6629009,-0.8158319,1.227561,0.6371742,-0.8886916,0.06929526,
1529408172284,1.188038,0.630723,-0.9089589,1.166867,0.6562196,-0.8976583,1.154802,0.6710453,-0.8862087,1.206899,0.6927681,-0.8730417,1.198643,0.7115319,-0.8581651,1.188591,0.716281,-0.8472545,1.222332,0.6854776,-0.8594518,1.215245,0.7060778,-0.8404007,1.204038,0.7122962,-0.8279718,1.2354,0.6694192,-0.8498085,1.229714,0.686432,-0.829349,1.218678,0.6913598,-0.8166424,1.244525,0.6498796,-0.8420785,1.242551,0.6605402,-0.8244458,1.234138,0.6642897,-0.8139877,1.220122,0.6372726,-0.8872011,0.06859548,
1529408172310,1.184558,0.630328,-0.9090307,1.163093,0.6557651,-0.8981543,1.150746,0.6705877,-0.8869938,1.202029,0.6925348,-0.873031,1.193108,0.7112437,-0.8584077,1.182778,0.7160789,-0.8477563,1.217185,0.6854388,-0.8591363,1.209289,0.7060637,-0.8403826,1.197759,0.712369,-0.8282518,1.230264,0.6694986,-0.8491296,1.223963,0.686588,-0.8288579,1.212725,0.6916734,-0.8163462,1.239379,0.6500475,-0.8411261,1.23694,0.6607758,-0.8235542,1.228417,0.6646304,-0.8131889,1.216081,0.6371393,-0.8867232,0.0680816,
