time,thumb1x,thumb1y,thumb1z,thumb2x,thumb2y,thumb2z,thumb3x,thumb3y,thumb3z,index1x,index1y,index1z,index2x,index2y,index2z,index3x,index3y,index3z,middle1x,middle1y,middle1z,middle2x,middle2y,middle2z,middle3x,middle3y,middle3z,ring1x,ring1y,ring1z,ring2x,ring2y,ring2z,ring3x,ring3y,ring3z,pinky1x,pinky1y,pinky1z,pinky2x,pinky2y,pinky2z,pinky3x,pinky3y,pinky3z,palmx,palmy,palmz,pinch,
1528803265675,0.8549538,0.5390803,-0.5432304,0.845059,0.5553192,-0.5169061,0.8408257,0.5604241,-0.4962902,0.8843825,0.5854636,-0.5038149,0.8845488,0.6014432,-0.4844759,0.8797915,0.6083502,-0.4715149,0.8951039,0.5727847,-0.4930992,0.8944899,0.5881882,-0.4693182,0.8869115,0.5944029,-0.4547164,0.9011768,0.5536856,-0.4876933,0.8983313,0.5645481,-0.4635513,0.8892,0.5686796,-0.4494296,0.9036566,0.5335964,-0.4852291,0.9005339,0.5390869,-0.4663306,0.8912918,0.5415654,-0.4565098,0.8821216,0.5365105,-0.5298913,0.0665511,
1528803265701,0.85063,0.5407641,-0.5427433,0.8401569,0.5560427,-0.5161465,0.8355911,0.5600113,-0.4953788,0.8786727,0.5866044,-0.5016977,0.8787189,0.6025302,-0.4822879,0.8740059,0.6096077,-0.4693713,0.8889503,0.5736042,-0.4907341,0.8880827,0.5887263,-0.466707,0.8806309,0.5950431,-0.4520366,0.8949903,0.55439,-0.4854682,0.89204,0.5649138,-0.4611375,0.8830736,0.5690759,-0.4468755,0.8972291,0.5342402,-0.4832931,0.893696,0.5393636,-0.4643949,0.8841801,0.541661,-0.4547914,0.8770692,0.5380141,-0.5286093,0.06791087,
1528803265735,0.8441162,0.5424225,-0.5420814,0.8324651,0.5565683,-0.5154318,0.8269827,0.5591708,-0.4946969,0.8691937,0.5876129,-0.498686,0.8685402,0.6037734,-0.4793869,0.8638377,0.6115027,-0.4667745,0.8787587,0.5742505,-0.4871927,0.8775694,0.5896016,-0.4631148,0.8708127,0.596821,-0.4483982,0.8843449,0.5547569,-0.4817567,0.8812365,0.5653186,-0.4572397,0.8732156,0.5702469,-0.4425185,0.8860729,0.5344419,-0.4797732,0.8820878,0.5393272,-0.4607615,0.872716,0.5417583,-0.451017,0.869105,0.5393699,-0.5264549,0.06983245,
1528803265769,0.8394908,0.542901,-0.5426018,0.8267128,0.5559437,-0.5159529,0.8205675,0.5575352,-0.4953218,0.8601806,0.5892456,-0.498484,0.8587082,0.6060134,-0.4796278,0.8543003,0.6146046,-0.4674026,0.8698525,0.5762701,-0.4864978,0.8686795,0.5925516,-0.4627798,0.8633547,0.6010319,-0.4480335,0.8763217,0.5570184,-0.4806874,0.8746429,0.5686628,-0.4561864,0.8691527,0.5749431,-0.4407573,0.8786948,0.5364972,-0.4784254,0.8767146,0.5417481,-0.4587296,0.8707712,0.5448706,-0.4465155,0.8629941,0.5407919,-0.5259564,0.07193263,
1528803265795,0.8321625,0.5446387,-0.5404333,0.8183443,0.5569274,-0.5139862,0.8116469,0.5578449,-0.4934984,0.8499452,0.5918883,-0.4959881,0.8482534,0.6090688,-0.477464,0.8441442,0.6181886,-0.4654906,0.8597631,0.5792416,-0.4836122,0.859001,0.5961345,-0.4601837,0.8547547,0.6053737,-0.4454994,0.8667513,0.5601512,-0.4774289,0.8661797,0.5723699,-0.4530154,0.8622999,0.5793393,-0.4373731,0.8696231,0.5395514,-0.4749418,0.8691896,0.5449672,-0.4550064,0.8654437,0.5483476,-0.442009,0.854844,0.5433632,-0.5230823,0.07403967,
1528803265822,0.8270857,0.5465966,-0.5393394,0.8125955,0.5579324,-0.5128425,0.8056171,0.5581412,-0.4924356,0.8437335,0.5938223,-0.4941335,0.842697,0.6110163,-0.4755437,0.8392254,0.6203202,-0.4634952,0.8538413,0.5812061,-0.4817858,0.8543072,0.5981197,-0.4582959,0.8513743,0.6076359,-0.4434457,0.8611449,0.5621573,-0.4757009,0.8620456,0.5743259,-0.4512025,0.8596944,0.5814601,-0.4353247,0.8642956,0.5415413,-0.4734194,0.8653139,0.5467851,-0.4533786,0.8631251,0.5501059,-0.4400246,0.8492905,0.5456905,-0.5216784,0.07637598,
1528803265848,0.8220692,0.5486687,-0.5381379,0.8069663,0.5595279,-0.5117713,0.7996774,0.5594952,-0.4914736,0.8382894,0.5959862,-0.4925285,0.838119,0.6132509,-0.4739612,0.8353054,0.6227184,-0.4618632,0.8486195,0.5834115,-0.4801732,0.8503733,0.6003647,-0.4567346,0.8485894,0.6100734,-0.4418211,0.8560153,0.5644157,-0.4740871,0.8580948,0.5765463,-0.4496102,0.8568124,0.5837537,-0.4336475,0.8592703,0.543813,-0.4718822,0.861273,0.5489461,-0.4518512,0.8600605,0.5522124,-0.4383711,0.8441041,0.5480477,-0.5201923,0.07837922,
1528803265875,0.8163289,0.5518212,-0.5374795,0.8005249,0.5621772,-0.5113072,0.792803,0.5618968,-0.491166,0.8321256,0.5990819,-0.4913409,0.8327215,0.6163858,-0.4728118,0.8304033,0.625952,-0.4606867,0.8425406,0.5864674,-0.4789504,0.8454168,0.6034038,-0.4555854,0.8444781,0.613201,-0.4406561,0.8498601,0.5674776,-0.4728447,0.8527837,0.5795096,-0.4483933,0.8520688,0.5866793,-0.4323887,0.8530745,0.5468786,-0.4707252,0.8557554,0.5519009,-0.4507251,0.8551012,0.5551001,-0.4372032,0.8381518,0.5513806,-0.5191663,0.08028594,
1528803265901,0.8118815,0.5545506,-0.5363072,0.7953373,0.5649062,-0.5104935,0.7871064,0.5651448,-0.4905301,0.8279384,0.6017954,-0.4897887,0.8293842,0.6189767,-0.471211,0.8274309,0.6283823,-0.4589101,0.8388109,0.5892694,-0.4775394,0.842855,0.6059942,-0.4541952,0.8424892,0.6156011,-0.4391404,0.8463123,0.570475,-0.4715539,0.8499762,0.5823303,-0.4471268,0.8495015,0.5892874,-0.4310381,0.8498281,0.5500607,-0.4695759,0.85318,0.5551231,-0.4496855,0.8528376,0.5582916,-0.4361642,0.8341098,0.5544062,-0.5178041,0.0813933,
1528803265928,0.8066007,0.5579441,-0.5364261,0.7895257,0.5683303,-0.5109406,0.780828,0.5687231,-0.4911714,0.8224846,0.6047677,-0.4892915,0.8240536,0.6218295,-0.470636,0.8219677,0.6310846,-0.4582564,0.833236,0.5921279,-0.4770213,0.8373164,0.6086651,-0.4535766,0.8366212,0.6180645,-0.4384241,0.8404944,0.5733088,-0.4710569,0.8438005,0.5849748,-0.4465232,0.8426969,0.591705,-0.4303794,0.8439327,0.5528892,-0.469183,0.8470255,0.5578637,-0.4492453,0.84617,0.5609345,-0.4357404,0.828717,0.5575932,-0.5175432,0.08163839,
