time,thumb1x,thumb1y,thumb1z,thumb2x,thumb2y,thumb2z,thumb3x,thumb3y,thumb3z,index1x,index1y,index1z,index2x,index2y,index2z,index3x,index3y,index3z,middle1x,middle1y,middle1z,middle2x,middle2y,middle2z,middle3x,middle3y,middle3z,ring1x,ring1y,ring1z,ring2x,ring2y,ring2z,ring3x,ring3y,ring3z,pinky1x,pinky1y,pinky1z,pinky2x,pinky2y,pinky2z,pinky3x,pinky3y,pinky3z,palmx,palmy,palmz,pinch,
1528803107368,0.4945065,0.8845321,-0.4355546,0.4683793,0.9019987,-0.4254414,0.4521904,0.9131534,-0.4154014,0.4829271,0.9442531,-0.4133128,0.4643068,0.951426,-0.4002251,0.4534178,0.9443629,-0.3920946,0.4944299,0.9445604,-0.4002019,0.4725398,0.9541798,-0.3863707,0.4578164,0.94827,-0.3787029,0.5097132,0.9374217,-0.3882146,0.4907022,0.9477842,-0.3731953,0.4756879,0.9440691,-0.3652838,0.5227697,0.9260696,-0.3781119,0.510112,0.9350754,-0.3654144,0.4976945,0.9332376,-0.3597832,0.5160522,0.9010795,-0.4189247,0.03897108,
1528803107418,0.5055392,0.8682273,-0.4563582,0.4795412,0.8845002,-0.4442706,0.46392,0.8946888,-0.4324583,0.4940173,0.9274955,-0.4316937,0.4762195,0.9353021,-0.417143,0.4652474,0.9295304,-0.4080318,0.5063499,0.9279143,-0.4190616,0.4856466,0.9378495,-0.4033846,0.4712192,0.9326798,-0.3945698,0.5223968,0.9208843,-0.4081554,0.5048103,0.9319246,-0.39143,0.4903396,0.9295824,-0.3819854,0.5361691,0.9093173,-0.3988823,0.5247847,0.918241,-0.3847492,0.5129494,0.9170206,-0.3777133,0.5275199,0.8850514,-0.440242,0.04257165,
1528803107459,0.5139449,0.8534628,-0.4682252,0.4879497,0.8686372,-0.4548949,0.4726747,0.8780765,-0.4420328,0.5010769,0.9124249,-0.4430524,0.4835616,0.920899,-0.4278148,0.4723964,0.9169176,-0.4177621,0.5140502,0.9134365,-0.4306557,0.4940698,0.9241765,-0.4138545,0.4797741,0.9208364,-0.4037521,0.5305656,0.9068329,-0.4203033,0.5137367,0.9182194,-0.4026147,0.4998264,0.9171013,-0.3919895,0.5450737,0.8956542,-0.4114513,0.5345025,0.9046563,-0.3964671,0.5233308,0.904192,-0.3882268,0.5357219,0.8710868,-0.4527395,0.04580143,
1528803107499,0.5248891,0.8339369,-0.4837663,0.4989342,0.8485284,-0.469774,0.4836694,0.8575795,-0.4565658,0.512138,0.8930523,-0.4579065,0.4950303,0.9028785,-0.4424667,0.483598,0.9010004,-0.4319711,0.5254474,0.8940984,-0.4455061,0.5063264,0.9063514,-0.4281731,0.4921407,0.9051464,-0.4173517,0.5421574,0.8873386,-0.4352875,0.5264123,0.8996919,-0.4169505,0.5130125,0.9001044,-0.4055513,0.5569177,0.8758453,-0.4265348,0.547585,0.885152,-0.4107278,0.5371413,0.8856527,-0.4015207,0.5466776,0.8516431,-0.4683158,0.04990276,
1528803107582,0.5434226,0.7999464,-0.5040305,0.5174422,0.8148116,-0.4902669,0.5016029,0.824305,-0.4779823,0.5326575,0.8597566,-0.4774003,0.5166675,0.8713946,-0.4617087,0.5055287,0.8714582,-0.4507042,0.5467232,0.8608404,-0.4654545,0.5293373,0.8752524,-0.4476296,0.5157837,0.8763431,-0.4359456,0.5636729,0.8535025,-0.4555627,0.5496787,0.8669595,-0.4364577,0.5371668,0.868668,-0.4241564,0.5785173,0.8415033,-0.4472409,0.5707129,0.8512082,-0.4307145,0.5612856,0.8527006,-0.4204911,0.5661088,0.8174563,-0.4888347,0.05461621,
1528803107617,0.556252,0.7747663,-0.5150844,0.530033,0.7897238,-0.501804,0.5136018,0.7994322,-0.4904467,0.5467249,0.8343145,-0.4867938,0.5312963,0.8460249,-0.4706027,0.5204582,0.8461187,-0.4593082,0.5610014,0.8351556,-0.4752495,0.5440888,0.8494529,-0.4569385,0.5307884,0.8503482,-0.4449608,0.5781268,0.8274846,-0.4657652,0.564564,0.8405304,-0.4461256,0.5522892,0.841824,-0.4335479,0.5930334,0.8152822,-0.4579827,0.5854565,0.824596,-0.4411459,0.576167,0.8257852,-0.4307559,0.5796295,0.7919307,-0.4995937,0.0565354,
1528803107673,0.5729965,0.7432199,-0.5294175,0.547206,0.7581539,-0.5152611,0.5309366,0.7677931,-0.5036083,0.5661175,0.8013409,-0.4971325,0.5518618,0.8125926,-0.4796377,0.5415843,0.812263,-0.4678438,0.5807046,0.8011798,-0.4861526,0.5648624,0.8146169,-0.4663689,0.5520707,0.8148029,-0.4538383,0.597964,0.7926685,-0.4778087,0.5853657,0.8046503,-0.4569377,0.5735606,0.8051803,-0.4438754,0.6128434,0.7798179,-0.4713295,0.6058879,0.7881501,-0.4537609,0.5968645,0.7886634,-0.4430957,0.5974198,0.7590361,-0.5135866,0.05805217,
1528803107711,0.5827272,0.725003,-0.5362134,0.5578245,0.7398628,-0.5204685,0.5422348,0.7493162,-0.5077857,0.5786552,0.7818226,-0.5009966,0.5655736,0.7929105,-0.4824992,0.5557846,0.7925861,-0.4702778,0.5936307,0.7806746,-0.4905011,0.5791357,0.793701,-0.4694326,0.5669242,0.7938012,-0.4563216,0.6109378,0.7713711,-0.4832596,0.5996731,0.7828371,-0.4613366,0.5885071,0.7832695,-0.447708,0.6256882,0.7578237,-0.4779555,0.6198035,0.7655455,-0.4597135,0.6113229,0.7658778,-0.4486029,0.6080906,0.7394457,-0.5205539,0.0588449,
1528803107768,0.5975043,0.6987493,-0.5436904,0.5744222,0.7132893,-0.5251217,0.56023,0.7222612,-0.5105999,0.5984619,0.7530981,-0.5043581,0.5872749,0.7638497,-0.4844254,0.5782796,0.7636384,-0.4715731,0.6140385,0.7502768,-0.4947723,0.6018911,0.762634,-0.4718221,0.590717,0.7628254,-0.4577807,0.6312851,0.7396854,-0.4893827,0.6224215,0.7503201,-0.4659353,0.612429,0.7507253,-0.4513996,0.6456462,0.7250162,-0.4860354,0.6418029,0.7317766,-0.4668518,0.6344184,0.7319676,-0.454971,0.624423,0.710791,-0.5286915,0.05967376,
1528803107804,0.6144191,0.67583,-0.5503604,0.5929371,0.6901381,-0.5297909,0.5799227,0.6987737,-0.5140235,0.6191747,0.7285231,-0.5091074,0.6093271,0.7389899,-0.4883084,0.6008971,0.7388458,-0.475053,0.6350458,0.7245631,-0.5002435,0.6245695,0.7365022,-0.4762088,0.6141629,0.7368735,-0.461561,0.6520655,0.7130972,-0.4960853,0.6448724,0.723208,-0.4718059,0.6357228,0.7236869,-0.4567042,0.6659638,0.6977028,-0.4939926,0.6635239,0.703867,-0.4743531,0.6569432,0.7040548,-0.4619918,0.6422137,0.6862789,-0.5363081,0.05970265,
