time,thumb1x,thumb1y,thumb1z,thumb2x,thumb2y,thumb2z,thumb3x,thumb3y,thumb3z,index1x,index1y,index1z,index2x,index2y,index2z,index3x,index3y,index3z,middle1x,middle1y,middle1z,middle2x,middle2y,middle2z,middle3x,middle3y,middle3z,ring1x,ring1y,ring1z,ring2x,ring2y,ring2z,ring3x,ring3y,ring3z,pinky1x,pinky1y,pinky1z,pinky2x,pinky2y,pinky2z,pinky3x,pinky3y,pinky3z,palmx,palmy,palmz,pinch,
1529328667263,0.8441593,0.5702877,-1.024452,0.8258508,0.5836207,-1.001757,0.818143,0.5878847,-0.9822333,0.8373212,0.619115,-0.9900122,0.8201541,0.616968,-0.9753578,0.8116677,0.6050565,-0.9729607,0.8474518,0.6128865,-0.9784706,0.8259211,0.6096072,-0.9641384,0.8142737,0.5970565,-0.9637169,0.8604977,0.6015543,-0.9708215,0.839829,0.5979995,-0.9577933,0.8273716,0.58658,-0.9584571,0.8717667,0.5890161,-0.9653844,0.8558695,0.5881191,-0.9555638,0.8448901,0.5808382,-0.9579018,0.8656967,0.5803204,-1.009046,0.0205617,
1529328667288,0.8403661,0.5707748,-1.028895,0.8216685,0.5839674,-1.006427,0.8137119,0.5881777,-0.9870019,0.8329785,0.6197214,-0.9947724,0.8155727,0.6174836,-0.9803616,0.8070812,0.6055493,-0.9779619,0.8430527,0.6135532,-0.98307,0.821311,0.6102048,-0.9689401,0.8096029,0.5976812,-0.9684795,0.8559563,0.6021256,-0.9753253,0.8350707,0.5981835,-0.9627558,0.822791,0.5865883,-0.9637359,0.8671978,0.5896199,-0.9697158,0.8510818,0.5883356,-0.9603299,0.8402752,0.5809189,-0.9630635,0.8617854,0.5810453,-1.013321,0.02067509,
1529328667315,0.8347384,0.571375,-1.034271,0.815908,0.584524,-1.01184,0.8076648,0.588791,-0.992532,0.8273237,0.6196293,-0.9996338,0.8097841,0.6169026,-0.9853872,0.8012731,0.6049052,-0.9832206,0.8374228,0.6134083,-0.9879293,0.8155864,0.6097965,-0.9738753,0.8037455,0.5973629,-0.9735484,0.8502784,0.6019112,-0.9802688,0.8293,0.597834,-0.9677197,0.8168806,0.5863961,-0.9687715,0.8614644,0.5892954,-0.9747406,0.8452967,0.5878857,-0.9653088,0.8343338,0.5806756,-0.9680279,0.856134,0.5813596,-1.018488,0.01967806,
1529328667342,0.8319895,0.5717362,-1.03734,0.8127475,0.5848504,-1.015277,0.8042618,0.5889199,-0.9960572,0.8241184,0.620185,-1.002764,0.8062979,0.6177594,-0.9888935,0.7976553,0.6058336,-0.9869161,0.8339073,0.6138481,-0.99081,0.8117998,0.6105014,-0.9772176,0.7998939,0.5981376,-0.9771855,0.8464662,0.6021554,-0.9829043,0.8252347,0.5981556,-0.97092,0.8128992,0.5867015,-0.9724414,0.8574468,0.5894335,-0.977144,0.8410954,0.5880569,-0.968168,0.8302754,0.580839,-0.9713383,0.8530865,0.5815947,-1.021034,0.02032925,
1529328667368,0.8286575,0.5710646,-1.041272,0.8091353,0.5837805,-1.019256,0.8005953,0.5874311,-1.000002,0.820305,0.6193887,-1.006345,0.8023985,0.6169668,-0.9926413,0.7937679,0.605019,-0.9908314,0.8299829,0.61294,-0.9943153,0.8078071,0.6094959,-0.980953,0.7959822,0.5970719,-0.9811839,0.842443,0.6011123,-0.986416,0.8211522,0.5968246,-0.9748209,0.8090544,0.585216,-0.9768089,0.8533966,0.588354,-0.9806579,0.8369778,0.5867161,-0.9720284,0.8264067,0.5793798,-0.9756649,0.8495888,0.5809392,-1.024671,0.0209771,
1529328667401,0.8245353,0.5719647,-1.044682,0.8048228,0.5845838,-1.022808,0.7962214,0.5880622,-1.003568,0.8159046,0.6202832,-1.009691,0.7979265,0.6178678,-0.9961807,0.7893556,0.605867,-0.9945607,0.8254517,0.6137773,-0.9975935,0.8032027,0.6102819,-0.9845066,0.7914931,0.5977738,-0.9850044,0.8378229,0.6019017,-0.9896166,0.8164704,0.5975239,-0.9783347,0.8045343,0.5858244,-0.9806406,0.8487158,0.5891365,-0.9837968,0.8322355,0.5874466,-0.9754204,0.8218231,0.580044,-0.9793282,0.8453702,0.5818906,-1.027935,0.02110179,
1529328667421,0.8228934,0.5723096,-1.045915,0.803058,0.5845622,-1.023946,0.7944448,0.5877678,-1.004674,0.8140161,0.6201243,-1.010368,0.7960794,0.6173062,-0.9969147,0.7876848,0.6051633,-0.9955056,0.8236287,0.6135395,-0.9983681,0.8014321,0.6095859,-0.9853779,0.7899107,0.5969224,-0.9861199,0.836097,0.601676,-0.9905514,0.8147978,0.5968845,-0.979397,0.8030485,0.5850613,-0.981957,0.8470776,0.5889418,-0.984897,0.830599,0.5869415,-0.9766257,0.8203194,0.5794702,-0.9807291,0.8436772,0.5820916,-1.028939,0.02079343,
1529328667448,0.8174613,0.5764362,-1.048571,0.7972664,0.5886939,-1.026972,0.788529,0.5918161,-1.007774,0.8078113,0.6248126,-1.013683,0.789753,0.6222156,-1.000587,0.7815588,0.6099603,-0.9993567,0.8171736,0.6182526,-1.001479,0.7948655,0.6142661,-0.9890486,0.7837322,0.6013315,-0.9901865,0.8295586,0.6064929,-0.993314,0.8081963,0.6016338,-0.9827119,0.7968792,0.5895394,-0.9857268,0.8404871,0.5938963,-0.9873619,0.8239282,0.5919138,-0.9795353,0.8140194,0.5841984,-0.984008,0.8379229,0.5865026,-1.031347,0.02118133,
1529328667474,0.8152487,0.5772665,-1.049917,0.7948502,0.5895199,-1.028512,0.7860575,0.5927013,-1.009363,0.805136,0.6259397,-1.015408,0.7871302,0.623359,-1.00235,0.7791432,0.6109924,-1.00109,0.8145331,0.619503,-1.003133,0.7923092,0.6153628,-0.9907839,0.781466,0.60221,-0.9919794,0.8270413,0.6079274,-0.9948361,0.8057781,0.6029215,-0.9842793,0.7947196,0.590624,-0.9873509,0.8380769,0.5954849,-0.9887851,0.8215581,0.5933976,-0.9810122,0.8118254,0.5854982,-0.9855263,0.8356159,0.5876725,-1.032713,0.02123237,
1529328667502,0.8126062,0.5786786,-1.051227,0.7919022,0.5907009,-1.029988,0.7829504,0.5937687,-1.010899,0.8018059,0.627306,-1.016673,0.7837945,0.6246433,-1.003694,0.7759587,0.6121947,-1.00249,0.8112316,0.6210022,-1.004317,0.7890446,0.6167643,-0.9920322,0.7783685,0.6034973,-0.9932874,0.823864,0.6096074,-0.9959105,0.8026485,0.6046084,-0.9852839,0.7916556,0.592252,-0.9882926,0.8350035,0.5972411,-0.9898246,0.8185263,0.5951408,-0.9819829,0.8088407,0.5871577,-0.9864278,0.8328276,0.589335,-1.03389,0.0214272,
