time,thumb1x,thumb1y,thumb1z,thumb2x,thumb2y,thumb2z,thumb3x,thumb3y,thumb3z,index1x,index1y,index1z,index2x,index2y,index2z,index3x,index3y,index3z,middle1x,middle1y,middle1z,middle2x,middle2y,middle2z,middle3x,middle3y,middle3z,ring1x,ring1y,ring1z,ring2x,ring2y,ring2z,ring3x,ring3y,ring3z,pinky1x,pinky1y,pinky1z,pinky2x,pinky2y,pinky2z,pinky3x,pinky3y,pinky3z,palmx,palmy,palmz,pinch,
1528887794432,1.211358,0.9295753,-0.6631388,1.195763,0.9264613,-0.6292136,1.189914,0.9225815,-0.6056171,1.211461,0.9727727,-0.6044275,1.201823,0.9630326,-0.5804287,1.196281,0.9492217,-0.5711935,1.230788,0.9698918,-0.5992081,1.218793,0.9603164,-0.5714418,1.209852,0.9461852,-0.5604432,1.252461,0.9623163,-0.6015526,1.243111,0.9536767,-0.5743747,1.234039,0.9407403,-0.5626418,1.271195,0.9508403,-0.6066659,1.266164,0.9445996,-0.5852005,1.258253,0.9355143,-0.5752835,1.240456,0.9495254,-0.6496528,0.04399126,
1528887794459,1.214836,0.9324657,-0.6784057,1.199281,0.9297051,-0.6444421,1.193586,0.9260598,-0.6207721,1.214444,0.9760207,-0.6203287,1.20472,0.966065,-0.5964389,1.199291,0.952175,-0.587246,1.233874,0.9733758,-0.6150065,1.221882,0.963606,-0.5873136,1.213049,0.9493539,-0.5763725,1.25553,0.9658308,-0.6172562,1.246061,0.9568801,-0.5902078,1.237031,0.943782,-0.5786227,1.274288,0.9545299,-0.6221977,1.269036,0.9481097,-0.6008181,1.261098,0.9389578,-0.5909727,1.243842,0.9526916,-0.6650941,0.04287827,
1528887794486,1.215788,0.933902,-0.6836759,1.199931,0.9316592,-0.6498204,1.193995,0.9283811,-0.6261444,1.214936,0.9779197,-0.6261628,1.205035,0.9680164,-0.6023134,1.199599,0.9541357,-0.5931287,1.234381,0.9753897,-0.6206483,1.222237,0.9656942,-0.5930014,1.213375,0.9514539,-0.5820644,1.256033,0.9678093,-0.6226683,1.246356,0.9588394,-0.5957108,1.237253,0.9456885,-0.5842583,1.27481,0.9565494,-0.6273378,1.269331,0.9501668,-0.6060038,1.261297,0.9410377,-0.59621,1.244687,0.9543136,-0.6704176,0.04224622,
1528887794520,1.217645,0.9356293,-0.6959416,1.201767,0.9343767,-0.6620516,1.195828,0.93168,-0.6383003,1.217495,0.9801676,-0.6390608,1.207462,0.9706972,-0.61502,1.201852,0.9571128,-0.6055025,1.236992,0.9774886,-0.633534,1.224834,0.9682863,-0.6056706,1.215842,0.9544145,-0.5943412,1.258528,0.9696227,-0.6355084,1.248829,0.9610723,-0.6083853,1.239629,0.9482431,-0.5966304,1.277128,0.9580909,-0.6400691,1.271611,0.9520035,-0.6186281,1.263553,0.9431561,-0.6085762,1.24689,0.9556764,-0.6830136,0.04193825,
1528887794553,1.218835,0.9371909,-0.7064754,1.203165,0.9368026,-0.6724623,1.197306,0.9347401,-0.6486259,1.219355,0.9827986,-0.6505642,1.209743,0.9737854,-0.6261003,1.204268,0.9605397,-0.6160256,1.238888,0.9803106,-0.6451969,1.227178,0.9715963,-0.6169517,1.218386,0.9579901,-0.6051495,1.260379,0.9724239,-0.6472486,1.251058,0.9642643,-0.6198571,1.242051,0.951649,-0.6077126,1.278926,0.9608306,-0.6517637,1.273654,0.9549856,-0.6301919,1.265722,0.9462748,-0.6199127,1.248228,0.9575481,-0.6942996,0.0421528,
1528887794579,1.218379,0.939982,-0.7199249,1.203097,0.9398382,-0.6857471,1.197636,0.9377751,-0.6618251,1.220053,0.9851618,-0.663798,1.210433,0.9762716,-0.6392517,1.204775,0.9631885,-0.6290549,1.239582,0.9822869,-0.6585966,1.227916,0.9736607,-0.6302721,1.218981,0.9602365,-0.6183541,1.260885,0.9740353,-0.6608614,1.251576,0.9659037,-0.6334243,1.242459,0.953465,-0.6211581,1.279155,0.9621708,-0.6655759,1.273838,0.9563136,-0.643996,1.265856,0.9477379,-0.6336259,1.248119,0.9596651,-0.7078914,0.04207951,
1528887794604,1.218316,0.9413782,-0.7281377,1.20351,0.9413576,-0.6937446,1.198179,0.9394531,-0.6697566,1.220324,0.9867706,-0.6723382,1.210968,0.9779757,-0.647578,1.205353,0.9651132,-0.6370625,1.239901,0.9838794,-0.6672378,1.228591,0.975384,-0.6386369,1.219782,0.9622455,-0.626289,1.261148,0.9756272,-0.6696094,1.252172,0.9676285,-0.6419544,1.243222,0.9554191,-0.6293258,1.279314,0.963715,-0.6743971,1.274235,0.9579051,-0.6527039,1.266463,0.9495007,-0.6420079,1.248045,0.9611222,-0.7164786,0.04217592,
1528887794633,1.218982,0.9420737,-0.7343879,1.204641,0.9424888,-0.6997939,1.199546,0.9408888,-0.6757296,1.221668,0.9877898,-0.6791259,1.212584,0.9790878,-0.6541772,1.207011,0.9664228,-0.6433761,1.241223,0.9848813,-0.6741787,1.230172,0.9765438,-0.6453912,1.221436,0.9636002,-0.6327707,1.262341,0.9765182,-0.6766737,1.253548,0.9686941,-0.6488635,1.244692,0.9567378,-0.635893,1.28037,0.9644428,-0.681514,1.275366,0.9586492,-0.6597794,1.267642,0.9503442,-0.6489629,1.248793,0.9617788,-0.7232535,0.04188639,
1528887794659,1.219645,0.9440467,-0.7441792,1.205864,0.9446837,-0.7093692,1.201261,0.9431342,-0.6852114,1.222778,0.9897795,-0.6892232,1.213705,0.9810774,-0.6642412,1.208051,0.9685309,-0.6533161,1.242313,0.9866841,-0.6843476,1.231278,0.9783278,-0.6555387,1.222478,0.9654783,-0.6428477,1.263253,0.9780727,-0.6869228,1.254363,0.9701546,-0.6591409,1.245431,0.9582844,-0.6461213,1.281083,0.9658467,-0.6917954,1.275889,0.9599446,-0.6701137,1.268067,0.9516858,-0.6593258,1.249485,0.9635176,-0.7333457,0.04133269,
1528887794686,1.219202,0.9456666,-0.7508475,1.205875,0.9461871,-0.7158597,1.201563,0.9445628,-0.6916498,1.222592,0.9911275,-0.6958036,1.213719,0.9822896,-0.6707778,1.208153,0.9697394,-0.6598017,1.242146,0.9880431,-0.6910875,1.231321,0.9795498,-0.6622194,1.222632,0.9666934,-0.6494472,1.263038,0.9794813,-0.6938548,1.254309,0.9714558,-0.6660352,1.245487,0.9595785,-0.6529365,1.280806,0.9673002,-0.6989037,1.275674,0.9613101,-0.6772228,1.26792,0.9530151,-0.6664101,1.248988,0.9651031,-0.7402139,0.04112896,
