time,thumb1x,thumb1y,thumb1z,thumb2x,thumb2y,thumb2z,thumb3x,thumb3y,thumb3z,index1x,index1y,index1z,index2x,index2y,index2z,index3x,index3y,index3z,middle1x,middle1y,middle1z,middle2x,middle2y,middle2z,middle3x,middle3y,middle3z,ring1x,ring1y,ring1z,ring2x,ring2y,ring2z,ring3x,ring3y,ring3z,pinky1x,pinky1y,pinky1z,pinky2x,pinky2y,pinky2z,pinky3x,pinky3y,pinky3z,palmx,palmy,palmz,pinch,
1528887941543,1.250027,0.9924363,-0.8418461,1.226744,1.021571,-0.837676,1.209391,1.038734,-0.8335785,1.22275,1.026203,-0.7793539,1.199323,1.039853,-0.7730781,1.182681,1.042944,-0.7769381,1.219643,1.010326,-0.7668868,1.193946,1.027043,-0.7587526,1.175622,1.032957,-0.7635037,1.218867,0.9864912,-0.7608102,1.193468,0.9988411,-0.7508638,1.175132,1.004238,-0.7546501,1.218066,0.9625694,-0.7609146,1.198428,0.9688527,-0.7513475,1.183941,0.9734213,-0.7540756,1.247645,0.9767943,-0.8045325,0.06276386,
1528887941569,1.237406,0.9931224,-0.8397224,1.214189,1.02231,-0.8355408,1.196915,1.03956,-0.8314602,1.210185,1.027133,-0.7774574,1.186705,1.040696,-0.7714113,1.170101,1.043603,-0.7755314,1.207014,1.011348,-0.7650008,1.181274,1.028068,-0.7572011,1.163003,1.033849,-0.7622747,1.206149,0.9875497,-0.7588688,1.180698,0.9999659,-0.7492502,1.162422,1.005309,-0.7533544,1.205281,0.9636699,-0.7588911,1.185598,0.970093,-0.7495531,1.17118,0.974695,-0.7525289,1.235019,0.9776062,-0.8024069,0.06215606,
1528887941595,1.228776,0.99261,-0.8410088,1.20559,1.021757,-0.8363823,1.18838,1.039006,-0.8320222,1.202181,1.026332,-0.7784473,1.178668,1.039723,-0.7723569,1.162066,1.042444,-0.7765782,1.199084,1.010531,-0.7660952,1.173326,1.02714,-0.7583131,1.155055,1.032781,-0.7635205,1.198226,0.9867297,-0.7600896,1.172777,0.9991015,-0.7505156,1.15452,1.00439,-0.7547495,1.197318,0.9628876,-0.7602111,1.177644,0.9693483,-0.7509113,1.16326,0.9739842,-0.75397,1.226736,0.9769632,-0.8038284,0.06146778,
1528887941623,1.220124,0.9933002,-0.842907,1.197035,1.02252,-0.8382687,1.179884,1.039822,-0.8338815,1.193777,1.027268,-0.7804457,1.170222,1.040551,-0.774501,1.153641,1.043062,-0.778903,1.190698,1.011568,-0.7680624,1.16491,1.028149,-0.7605192,1.146666,1.033614,-0.7659698,1.189821,0.9878186,-0.7619648,1.164351,1.000236,-0.7526313,1.146139,1.005427,-0.7571279,1.18888,0.9640207,-0.7619663,1.169199,0.9706168,-0.752822,1.154867,0.975261,-0.7560683,1.218225,0.9777868,-0.8056419,0.06100659,
1528887941649,1.208606,0.9948117,-0.8462588,1.185623,1.024073,-0.8413619,1.168559,1.04141,-0.8367735,1.183117,1.028932,-0.7835815,1.15959,1.042129,-0.7775149,1.142985,1.044476,-0.7818917,1.180179,1.013301,-0.7711633,1.154438,1.029849,-0.7635702,1.136166,1.035162,-0.7690519,1.179351,0.9895979,-0.7650096,1.153957,1.002055,-0.7556564,1.135749,1.007151,-0.760236,1.178392,0.9658482,-0.7649186,1.158803,0.9725823,-0.7557327,1.144495,0.9772401,-0.7590327,1.207186,0.9793859,-0.80894,0.06062527,
1528887941675,1.202396,0.9955603,-0.8481956,1.179446,1.024855,-0.843361,1.162357,1.042171,-0.8387998,1.1766,1.029565,-0.7855512,1.153065,1.042749,-0.7795806,1.136497,1.045069,-0.7840906,1.173574,1.013908,-0.7731869,1.147812,1.030441,-0.7657118,1.129587,1.035732,-0.7713445,1.172683,0.9902031,-0.7671019,1.14725,1.002656,-0.7579132,1.129101,1.007731,-0.7626938,1.171703,0.9664613,-0.7670565,1.152077,0.9732106,-0.7580066,1.137828,0.9778792,-0.7614902,1.200758,0.9800559,-0.8108993,0.06058243,
1528887941711,1.193172,0.9971387,-0.8510524,1.170221,1.02638,-0.8459452,1.153067,1.04357,-0.8411767,1.167454,1.030555,-0.7879615,1.144021,1.043808,-0.7817383,1.127449,1.046254,-0.786149,1.164409,1.014724,-0.7757406,1.138724,1.031238,-0.7679542,1.120498,1.036631,-0.7734566,1.163501,0.9909554,-0.7699209,1.138126,1.003351,-0.7605191,1.11999,1.008482,-0.7652372,1.162504,0.9671998,-0.7701309,1.142915,0.9738681,-0.7609837,1.128685,0.9785715,-0.7644662,1.191515,0.9812298,-0.8138782,0.06075779,
1528887941729,1.187297,0.9981937,-0.8526601,1.164506,1.0275,-0.8472542,1.147374,1.044653,-0.8422902,1.161452,1.030808,-0.7890762,1.13819,1.044259,-0.7825813,1.121641,1.04701,-0.7868922,1.158234,1.014744,-0.7770888,1.132708,1.031357,-0.7689358,1.114523,1.037047,-0.7742695,1.157158,0.9908782,-0.7716514,1.131895,1.003303,-0.7619653,1.113796,1.008662,-0.7665461,1.156013,0.9671001,-0.7722608,1.136478,0.9737024,-0.7629612,1.122269,0.9785424,-0.7663434,1.185303,0.9816959,-0.8157181,0.06112808,
1528887941755,1.177019,1.00053,-0.8560706,1.154302,1.029777,-0.8501155,1.137146,1.046784,-0.8447581,1.151816,1.032242,-0.7916074,1.128784,1.045818,-0.7845145,1.112208,1.048829,-0.7885081,1.148609,1.015913,-0.7798021,1.123311,1.032511,-0.7708939,1.105093,1.038434,-0.775813,1.147504,0.9919867,-0.7747642,1.122479,1.004376,-0.7644362,1.104357,1.009923,-0.7686484,1.146247,0.9681974,-0.7757864,1.126891,0.9746934,-0.7660876,1.112663,0.9796426,-0.769221,1.175179,0.9834071,-0.8193202,0.06156383,
1528887941782,1.169641,1.000318,-0.8596168,1.14699,1.029578,-0.8535103,1.129824,1.046515,-0.8479829,1.145218,1.032192,-0.7947983,1.122432,1.045985,-0.7872853,1.10582,1.049156,-0.790962,1.142097,1.015791,-0.782882,1.117044,1.032483,-0.7734419,1.098776,1.038509,-0.7780033,1.14103,0.9918855,-0.7778209,1.116268,1.004369,-0.7669904,1.098106,1.009989,-0.7708742,1.139718,0.9680706,-0.7788291,1.120582,0.9745994,-0.76876,1.106319,0.9795769,-0.7716692,1.168117,0.9832041,-0.822789,0.06192358,
1528887941809,1.162163,1.000624,-0.8627517,1.139416,1.029753,-0.8564102,1.12217,1.046527,-0.8506516,1.13851,1.032506,-0.7975801,1.115805,1.046209,-0.7897058,1.099129,1.049269,-0.7931464,1.135659,1.016095,-0.7855734,1.110691,1.032659,-0.775745,1.09233,1.038545,-0.7800717,1.134827,0.9922122,-0.7804435,1.11021,1.004596,-0.7692337,1.091974,1.010092,-0.7728994,1.133649,0.9683843,-0.7813746,1.114686,0.9748486,-0.770992,1.100364,0.9797435,-0.7737328,1.161264,0.9835801,-0.825838,0.06201008,
1528887941834,1.15457,1.000019,-0.8661642,1.131471,1.028864,-0.8597749,1.114105,1.045483,-0.8539239,1.131923,1.032676,-0.8010865,1.10915,1.046153,-0.7930453,1.092363,1.048867,-0.7962373,1.129591,1.016432,-0.7887431,1.104559,1.032773,-0.7787441,1.086026,1.038275,-0.7828442,1.129239,0.9926423,-0.7832003,1.104666,1.004862,-0.7717551,1.086278,1.010013,-0.7751882,1.128396,0.9687945,-0.7837096,1.109547,0.9751875,-0.7730986,1.095104,0.9798332,-0.7756658,1.154812,0.9836196,-0.8289824,0.06174052,
