time,thumb1x,thumb1y,thumb1z,thumb2x,thumb2y,thumb2z,thumb3x,thumb3y,thumb3z,index1x,index1y,index1z,index2x,index2y,index2z,index3x,index3y,index3z,middle1x,middle1y,middle1z,middle2x,middle2y,middle2z,middle3x,middle3y,middle3z,ring1x,ring1y,ring1z,ring2x,ring2y,ring2z,ring3x,ring3y,ring3z,pinky1x,pinky1y,pinky1z,pinky2x,pinky2y,pinky2z,pinky3x,pinky3y,pinky3z,palmx,palmy,palmz,pinch,
1528887724164,1.145551,0.9633501,-0.6191345,1.131137,0.9596925,-0.5847809,1.126708,0.9544412,-0.5612465,1.152697,1.003361,-0.5558251,1.147004,0.9976484,-0.5292119,1.141363,0.9862807,-0.517167,1.170509,0.9973304,-0.5514402,1.161002,0.9898226,-0.5221832,1.151657,0.9769348,-0.5101817,1.191218,0.9886081,-0.5549899,1.184703,0.9831357,-0.5259885,1.176252,0.9728451,-0.5114087,1.20665,0.9737287,-0.5618746,1.201134,0.9666744,-0.5408957,1.19213,0.957374,-0.5324823,1.175697,0.9784868,-0.6045934,0.05631617,
1528887724190,1.146942,0.9676242,-0.6356136,1.131524,0.9650427,-0.6015803,1.126125,0.9606268,-0.578051,1.152857,1.008968,-0.5734324,1.145942,1.003123,-0.5471795,1.139719,0.9916083,-0.5355755,1.170455,1.002832,-0.5685558,1.159566,0.9952015,-0.5398898,1.149605,0.9821277,-0.5286425,1.191314,0.9939394,-0.5713034,1.183568,0.9884351,-0.5427094,1.17433,0.9779831,-0.5287269,1.207061,0.9793949,-0.5773326,1.201337,0.9735185,-0.5558861,1.192454,0.9649787,-0.5465676,1.177088,0.9829221,-0.620819,0.05430305,
1528887724216,1.147344,0.9696216,-0.6465727,1.131624,0.9672789,-0.6126452,1.125775,0.9630756,-0.5891694,1.153123,1.010952,-0.5846307,1.145394,1.004529,-0.558921,1.138712,0.9923687,-0.5483399,1.170668,1.004553,-0.5796323,1.158996,0.9964277,-0.5516198,1.148576,0.9828504,-0.5415444,1.191528,0.995325,-0.5821452,1.183089,0.9892766,-0.5540338,1.173183,0.9782193,-0.5410758,1.207369,0.9811154,-0.5879308,1.201615,0.9758467,-0.5663333,1.192633,0.9676508,-0.5568221,1.177551,0.9847101,-0.6317066,0.05188918,
1528887724244,1.149146,0.970039,-0.6638629,1.132958,0.9677863,-0.6301526,1.127006,0.9635141,-0.6067595,1.154215,1.011771,-0.6023332,1.145595,1.004752,-0.5772847,1.13852,0.9919124,-0.5679415,1.171772,1.005263,-0.596999,1.159351,0.9968082,-0.5695795,1.148554,0.9829316,-0.5603746,1.192454,0.9957208,-0.5991098,1.183013,0.9891456,-0.5716282,1.172407,0.9775673,-0.5597537,1.208571,0.9818755,-0.6044376,1.20238,0.9769657,-0.5830309,1.192908,0.9687732,-0.5740029,1.179379,0.9851362,-0.6486847,0.04945566,
1528887724270,1.149409,0.97046,-0.6749494,1.133686,0.9678383,-0.6410477,1.128072,0.9633041,-0.6176225,1.155468,1.011547,-0.6133413,1.146842,1.003709,-0.5886126,1.139801,0.9904259,-0.5799507,1.173205,1.004928,-0.6083109,1.160978,0.9957649,-0.5810645,1.150214,0.9816526,-0.572142,1.193705,0.9952974,-0.6107934,1.184248,0.9878991,-0.5836243,1.173536,0.9758489,-0.5723429,1.209863,0.981773,-0.6163983,1.203848,0.9766712,-0.595055,1.19433,0.9683572,-0.5861777,1.179923,0.9855329,-0.660179,0.04787836,
1528887724309,1.149956,0.9697997,-0.6897573,1.134855,0.9665878,-0.6556302,1.129815,0.9615974,-0.6321881,1.156494,1.010306,-0.6280212,1.147824,1.001681,-0.6037428,1.140839,0.9878381,-0.596118,1.174415,1.003691,-0.6232166,1.162325,0.9939336,-0.5962369,1.151583,0.979484,-0.587881,1.194751,0.9940141,-0.6260203,1.18519,0.9859086,-0.5992567,1.174303,0.9733143,-0.5888246,1.211035,0.9808257,-0.6318554,1.205109,0.9755762,-0.6106691,1.195429,0.9670377,-0.6021872,1.180596,0.9848597,-0.6752579,0.04594733,
1528887724337,1.149034,0.9700793,-0.7041527,1.134258,0.9663725,-0.669944,1.129599,0.9609405,-0.646539,1.155791,1.009907,-0.6421309,1.147072,1.000789,-0.6180947,1.140019,0.9867495,-0.6109827,1.173686,1.003202,-0.6373945,1.161568,0.9931294,-0.6105399,1.150732,0.9786433,-0.6023574,1.193791,0.9933463,-0.6403414,1.183967,0.9847608,-0.6138675,1.172888,0.9719535,-0.6039379,1.210051,0.9802271,-0.646283,1.203939,0.9747045,-0.6252827,1.194073,0.9660524,-0.6171136,1.17965,0.9849925,-0.6896359,0.04515455,
1528887724363,1.147286,0.9714543,-0.7169567,1.133215,0.9673777,-0.6824986,1.129069,0.9617369,-0.6590416,1.154664,1.011017,-0.6548748,1.146409,1.001663,-0.6307555,1.139589,0.9875222,-0.6236491,1.172695,1.004508,-0.6504462,1.161114,0.9942763,-0.6233946,1.150533,0.9797063,-0.6150419,1.192676,0.9947284,-0.6538025,1.183156,0.9858251,-0.627333,1.172282,0.9728335,-0.6173939,1.209007,0.9818346,-0.6600449,1.203128,0.9761149,-0.6390737,1.193372,0.9672874,-0.6309386,1.17796,0.986517,-0.7028503,0.04503536,
1528887724390,1.144705,0.9716319,-0.7298942,1.131213,0.9673625,-0.6952261,1.127414,0.9615964,-0.6717359,1.153023,1.010767,-0.6676954,1.14512,1.001262,-0.6435168,1.138379,0.9870787,-0.6364652,1.171085,1.004214,-0.6635695,1.159868,0.9938335,-0.6364386,1.14937,0.9792108,-0.628089,1.190895,0.9943478,-0.6673006,1.181591,0.9851853,-0.6408716,1.170753,0.9720414,-0.6311532,1.207103,0.9814569,-0.6738529,1.201337,0.9755031,-0.6529548,1.191578,0.9665716,-0.6449139,1.175523,0.9865661,-0.7161737,0.04487335,
1528887724416,1.141912,0.9729735,-0.7378014,1.128572,0.9688504,-0.7030597,1.124856,0.9630539,-0.6795688,1.150951,1.011756,-0.6756076,1.14283,1.002262,-0.6514822,1.1358,0.9881876,-0.6444939,1.168893,1.004851,-0.671505,1.157463,0.994581,-0.6444113,1.146668,0.9801533,-0.6360875,1.188431,0.9946019,-0.675279,1.178859,0.985536,-0.6489019,1.167734,0.9725853,-0.6392549,1.204345,0.9813977,-0.6818637,1.198339,0.9754772,-0.6610278,1.188368,0.9667207,-0.6530213,1.172955,0.9872444,-0.7241195,0.04451655,
