time,thumb1x,thumb1y,thumb1z,thumb2x,thumb2y,thumb2z,thumb3x,thumb3y,thumb3z,index1x,index1y,index1z,index2x,index2y,index2z,index3x,index3y,index3z,middle1x,middle1y,middle1z,middle2x,middle2y,middle2z,middle3x,middle3y,middle3z,ring1x,ring1y,ring1z,ring2x,ring2y,ring2z,ring3x,ring3y,ring3z,pinky1x,pinky1y,pinky1z,pinky2x,pinky2y,pinky2z,pinky3x,pinky3y,pinky3z,palmx,palmy,palmz,pinch,
1528887907168,0.9120265,0.9672893,-0.8201993,0.8851535,0.9653099,-0.7947243,0.8735197,0.9585481,-0.7744427,0.8992378,1.006339,-0.7557499,0.8830787,1.002794,-0.7346512,0.8720748,0.9908202,-0.7297876,0.9139879,0.9987583,-0.7440782,0.8945721,0.9962465,-0.7205594,0.8796345,0.9847236,-0.7153755,0.9326496,0.9861202,-0.7398555,0.9163433,0.9848824,-0.7151886,0.9013299,0.9760209,-0.7068128,0.9484251,0.9694355,-0.7401156,0.9380569,0.9677514,-0.7201086,0.9257895,0.961567,-0.7132298,0.9354604,0.976337,-0.7930824,0.05511491,
1528887907194,0.9184066,0.9669631,-0.8210506,0.8919505,0.965548,-0.7949295,0.8798506,0.9596368,-0.7745664,0.9076107,1.007003,-0.7569671,0.8914774,1.003648,-0.7358944,0.8803496,0.9917453,-0.7311214,0.9224224,0.9992977,-0.7456268,0.9030482,0.9973068,-0.7220552,0.8879183,0.9860709,-0.7167507,0.9409292,0.9860497,-0.7416537,0.9247204,0.9849207,-0.7169813,0.909588,0.9761668,-0.7086951,0.9564686,0.9690607,-0.7420988,0.946268,0.9674621,-0.7220591,0.9338905,0.9613885,-0.7153388,0.9426292,0.9760711,-0.7947411,0.05402473,
1528887907220,0.9235846,0.967047,-0.8224695,0.8976819,0.9664347,-0.7956387,0.8852743,0.9615822,-0.7750961,0.9155063,1.008111,-0.7587975,0.8996223,1.004846,-0.7374984,0.888456,0.9930449,-0.732415,0.9306039,1.000365,-0.7478895,0.9115949,0.9986459,-0.7239571,0.8964233,0.9876369,-0.7181398,0.9490886,0.9866855,-0.7443089,0.93329,0.9853964,-0.7194583,0.9182178,0.9765573,-0.7111344,0.9644508,0.9694897,-0.7450398,0.9546323,0.9677532,-0.7248845,0.9422625,0.961673,-0.718168,0.9490135,0.9763929,-0.7972028,0.0531197,
1528887907248,0.933267,0.9643238,-0.8249118,0.9076407,0.9639595,-0.7977383,0.8949335,0.9595907,-0.7772105,0.926897,1.005199,-0.7610048,0.9110911,1.001856,-0.73962,0.8998218,0.9901494,-0.7344397,0.9421315,0.9972046,-0.7504336,0.9233041,0.9954595,-0.7263226,0.9080624,0.9845946,-0.7203473,0.9605167,0.983091,-0.7472458,0.94491,0.9814235,-0.7223314,0.9298239,0.9724942,-0.7141159,0.975724,0.9657146,-0.7483488,0.9661224,0.9636421,-0.7281498,0.9537325,0.9575276,-0.7215071,0.9592589,0.973421,-0.8001984,0.05279272,
1528887907264,0.9354639,0.96252,-0.8261089,0.9099296,0.9617016,-0.7988013,0.8968863,0.9574032,-0.7784142,0.9292083,1.003113,-0.7620203,0.9133927,0.9994664,-0.7407055,0.9021611,0.9876497,-0.7356791,0.944494,0.995053,-0.7515787,0.9256584,0.9929786,-0.7275274,0.9104408,0.9819819,-0.7216976,0.9628872,0.9807687,-0.7485617,0.9472258,0.978498,-0.7237923,0.9321458,0.9692409,-0.7159674,0.9781382,0.9634412,-0.7498646,0.9685086,0.9609177,-0.7297671,0.9560863,0.9546021,-0.7234026,0.9616431,0.9716457,-0.8014889,0.05262089,
1528887907290,0.943774,0.9591237,-0.8299298,0.9182091,0.9580816,-0.8026466,0.9049519,0.9535804,-0.7824267,0.9385639,0.9981815,-0.7647046,0.9225739,0.994449,-0.7436277,0.9110948,0.9826939,-0.7391275,0.9537449,0.9894212,-0.7545227,0.9348402,0.9871877,-0.730652,0.9194039,0.9762713,-0.7254222,0.9718199,0.9744241,-0.7519461,0.9560807,0.9716149,-0.7273819,0.9407749,0.9622717,-0.7202374,0.9867125,0.9567386,-0.7537962,0.9770123,0.9536386,-0.7339211,0.9643508,0.9472644,-0.7282001,0.9702448,0.9669684,-0.8051212,0.05253711,
1528887907327,0.9500856,0.9537371,-0.8345724,0.9253811,0.9515506,-0.8065573,0.9126915,0.9463819,-0.7861197,0.9462214,0.9912871,-0.7683501,0.9307895,0.9869035,-0.7470165,0.9195473,0.9749059,-0.7426334,0.9617339,0.982305,-0.7587983,0.9434528,0.9792125,-0.7345631,0.9282708,0.9679679,-0.7293658,0.9800026,0.9673225,-0.7570838,0.9649245,0.9635606,-0.7322534,0.9498942,0.9538023,-0.7251509,0.9950699,0.9497738,-0.7597814,0.9859945,0.9458408,-0.7398047,0.9735153,0.9391106,-0.7341746,0.9770685,0.9613451,-0.8103755,0.05245643,
1528887907354,0.9533519,0.9495865,-0.8374282,0.9291968,0.9472942,-0.8089481,0.9168823,0.9420911,-0.7882841,0.9511569,0.9868022,-0.7709304,0.9362014,0.9821935,-0.7493117,0.9251221,0.9701008,-0.7447872,0.9669207,0.977792,-0.7618179,0.9491596,0.9743708,-0.7372754,0.9341651,0.9629521,-0.731959,0.9852701,0.9628183,-0.7606273,0.9706969,0.9586676,-0.7356031,0.9558465,0.9486916,-0.7284569,1.000353,0.9453276,-0.7637716,0.9917028,0.9410913,-0.7436979,0.979336,0.9342275,-0.7380064,0.9810643,0.9571265,-0.8138005,0.05238713,
1528887907381,0.9586884,0.9468843,-0.8415325,0.9353338,0.9443163,-0.8124353,0.9237348,0.9387939,-0.7914523,0.9584292,0.9833574,-0.7745776,0.9440433,0.9785357,-0.7526296,0.9331186,0.9663692,-0.7479581,0.9744167,0.9742008,-0.7660431,0.9572525,0.9704257,-0.7411267,0.942434,0.9588868,-0.7356057,0.9927847,0.9592203,-0.7655492,0.9787626,0.9546671,-0.7402884,0.9641025,0.9445236,-0.7330138,1.007825,0.9418002,-0.7693002,0.9996173,0.9372563,-0.7491107,0.9873825,0.9302828,-0.7433031,0.9871346,0.9541575,-0.8185976,0.05234695,
1528887907407,0.9606669,0.9454435,-0.8446169,0.9379199,0.9430447,-0.8150316,0.9267218,0.9376419,-0.7937932,0.962498,0.9813281,-0.7774524,0.9486341,0.9762384,-0.7551889,0.9378655,0.9640119,-0.7502459,0.9787853,0.9721689,-0.7694511,0.9622543,0.9680804,-0.744132,0.9476333,0.9564385,-0.7382907,0.9972048,0.9572283,-0.7695884,0.9838152,0.9523411,-0.7440526,0.9693727,0.942058,-0.7365171,1.012166,0.9398654,-0.7738749,1.004441,0.9350568,-0.7535537,0.9923652,0.9279915,-0.7474918,0.9900425,0.9524705,-0.8224006,0.05211455,
