time,thumb1x,thumb1y,thumb1z,thumb2x,thumb2y,thumb2z,thumb3x,thumb3y,thumb3z,index1x,index1y,index1z,index2x,index2y,index2z,index3x,index3y,index3z,middle1x,middle1y,middle1z,middle2x,middle2y,middle2z,middle3x,middle3y,middle3z,ring1x,ring1y,ring1z,ring2x,ring2y,ring2z,ring3x,ring3y,ring3z,pinky1x,pinky1y,pinky1z,pinky2x,pinky2y,pinky2z,pinky3x,pinky3y,pinky3z,palmx,palmy,palmz,pinch,
1528887757565,1.274197,0.9778857,-0.9004996,1.248623,1.00446,-0.8937247,1.230087,1.019276,-0.8868442,1.259809,1.018794,-0.8373395,1.238916,1.034001,-0.8258483,1.222185,1.038407,-0.8238926,1.260222,1.00297,-0.8220021,1.236691,1.019047,-0.8070673,1.217729,1.024843,-0.805015,1.262601,0.9801345,-0.8138748,1.239976,0.991908,-0.7974775,1.221178,0.9966468,-0.7947454,1.263313,0.9559765,-0.8117497,1.246105,0.9610491,-0.7973071,1.231118,0.9642586,-0.7947747,1.28179,0.9674453,-0.8624119,0.06626716,
1528887757591,1.270267,0.9759743,-0.8994051,1.244117,1.001891,-0.8923485,1.225177,1.016026,-0.8851984,1.25493,1.016421,-0.8362422,1.233789,1.03129,-0.82484,1.216967,1.035288,-0.8231812,1.255388,1.000464,-0.8210075,1.231521,1.016093,-0.8062109,1.212438,1.021463,-0.8045211,1.257955,0.9775877,-0.8130414,1.234976,0.9888877,-0.7968825,1.216054,0.9932143,-0.7945991,1.258926,0.9534498,-0.8111178,1.24142,0.9582028,-0.7969919,1.22633,0.9611621,-0.7949721,1.277723,0.965463,-0.8614791,0.06545677,
1528887757619,1.264778,0.9740984,-0.8978363,1.237878,0.9989948,-0.8900274,1.218464,1.012115,-0.8822931,1.248927,1.013938,-0.8346395,1.227355,1.02814,-0.823388,1.210385,1.031403,-0.8222542,1.249352,0.9977897,-0.819681,1.224858,1.012623,-0.8053312,1.20557,1.017194,-0.8044988,1.252074,0.9749163,-0.8120294,1.228472,0.9855491,-0.7965479,1.209379,0.9891969,-0.7953911,1.253244,0.950981,-0.8104432,1.235202,0.9555759,-0.797133,1.220009,0.9583284,-0.796335,1.272433,0.9635987,-0.860318,0.06357638,
1528887757645,1.261769,0.9738649,-0.8973075,1.23445,0.9980398,-0.8888122,1.214709,1.010301,-0.8805765,1.245456,1.012706,-0.8337852,1.223589,1.026439,-0.82278,1.206549,1.029182,-0.8223543,1.245552,0.9962007,-0.8191828,1.220663,1.010486,-0.8052016,1.201321,1.014619,-0.8052251,1.248033,0.973191,-0.8120413,1.22398,0.9833375,-0.7971537,1.204864,0.9866515,-0.7970496,1.249053,0.949363,-0.8110073,1.23058,0.9538006,-0.7984275,1.215418,0.9565383,-0.798726,1.269128,0.962859,-0.8601725,0.0617489,
1528887757672,1.260541,0.9732739,-0.897842,1.23289,0.99688,-0.8889094,1.21286,1.008402,-0.880368,1.243522,1.011081,-0.8339857,1.221445,1.024511,-0.8232552,1.204393,1.026936,-0.8234794,1.243262,0.9942021,-0.8197038,1.2181,1.008098,-0.8059987,1.198777,1.011997,-0.8067117,1.245489,0.9710414,-0.8130509,1.221115,0.9808168,-0.7985954,1.202047,0.9839702,-0.7992932,1.246368,0.947257,-0.8125422,1.227599,0.9515039,-0.8004818,1.212529,0.954267,-0.8016016,1.267402,0.9617038,-0.8610241,0.06042788,
1528887757704,1.257836,0.9715866,-0.8987871,1.229252,0.9941081,-0.8901355,1.208583,1.004446,-0.8816726,1.238798,1.00987,-0.8359793,1.216199,1.022931,-0.826237,1.199156,1.02476,-0.8275027,1.238095,0.99299,-0.8217356,1.212203,1.006471,-0.8093134,1.1929,1.009811,-0.8113098,1.240228,0.9699485,-0.8150281,1.215101,0.9794682,-0.8020314,1.19614,0.9821523,-0.8042626,1.241231,0.9463454,-0.8144627,1.221842,0.9507158,-0.8037389,1.207,0.9533385,-0.8064102,1.263876,0.9605544,-0.8620476,0.05861676,
1528887757737,1.254292,0.9716796,-0.8996655,1.225065,0.9932655,-0.8909653,1.203993,1.002477,-0.8822792,1.234367,1.010817,-0.8378619,1.21143,1.02349,-0.8287599,1.194429,1.024727,-0.8307344,1.233406,0.9940203,-0.8235403,1.207023,1.007055,-0.81203,1.187775,1.009808,-0.8149707,1.235478,0.9711661,-0.8167018,1.209851,0.9804236,-0.8048811,1.191064,0.9825966,-0.8083603,1.236568,0.947778,-0.8159259,1.216804,0.9522868,-0.8063165,1.202293,0.954718,-0.8103265,1.26005,0.9614529,-0.8630856,0.05695094,
1528887757764,1.249896,0.9724058,-0.9003245,1.220397,0.9929661,-0.8903444,1.199301,1.001004,-0.8806482,1.231011,1.011396,-0.8382981,1.207988,1.023405,-0.8288711,1.190976,1.024007,-0.830911,1.230418,0.9945514,-0.8240745,1.203941,1.006902,-0.812359,1.184672,1.009048,-0.8154923,1.232799,0.9717795,-0.8174081,1.207145,0.9805319,-0.8055169,1.188392,0.9822615,-0.8092417,1.234137,0.9485467,-0.8167034,1.214432,0.9528967,-0.8070835,1.199996,0.9551535,-0.8113477,1.256593,0.9624618,-0.864222,0.0554278,
1528887757791,1.247117,0.9725821,-0.9005482,1.217502,0.9922662,-0.889419,1.196441,0.9991626,-0.8788884,1.228913,1.011011,-0.8381786,1.205878,1.022659,-0.8284662,1.188861,1.023078,-0.8305039,1.228374,0.9939389,-0.8242022,1.201838,1.005844,-0.8122392,1.182543,1.007848,-0.8153428,1.230827,0.9711387,-0.8178597,1.205157,0.9795471,-0.805782,1.186375,0.98123,-0.8094374,1.23221,0.9479417,-0.8174185,1.212535,0.9520658,-0.8076137,1.198045,0.9543567,-0.8117049,1.254329,0.9624801,-0.8649079,0.05450172,
1528887757817,1.244932,0.9724008,-0.9012206,1.215118,0.9916537,-0.8900096,1.193905,0.9978092,-0.8794049,1.226032,1.010436,-0.8388877,1.202895,1.02201,-0.8293633,1.185908,1.022498,-0.8316598,1.225141,0.993193,-0.8251101,1.198431,1.004968,-0.8134228,1.179185,1.007052,-0.8168122,1.227381,0.9703547,-0.8189713,1.201536,0.9786755,-0.8072353,1.182816,0.980458,-0.8111957,1.228663,0.947176,-0.8187113,1.208869,0.9512559,-0.8091406,1.194442,0.95366,-0.8134058,1.251603,0.9620791,-0.8657308,0.05434243,
1528887757844,1.239206,0.9707524,-0.9023563,1.209169,0.9898672,-0.8915122,1.18783,0.9959348,-0.8811141,1.21945,1.008806,-0.8403189,1.196097,1.0202,-0.8310784,1.179092,1.020559,-0.8334576,1.218625,0.9916012,-0.8264785,1.191666,1.00316,-0.815085,1.172386,1.00509,-0.8185354,1.221047,0.9688144,-0.8202325,1.194977,0.9769184,-0.8087958,1.176221,0.9785257,-0.812826,1.222567,0.9456651,-0.8198582,1.202609,0.9495953,-0.8105228,1.188145,0.9518448,-0.8148401,1.245717,0.9605831,-0.8667178,0.05434933,
1528887757871,1.233742,0.9693722,-0.9030774,1.203586,0.9884739,-0.8925265,1.182158,0.9945924,-0.8823313,1.21344,1.007467,-0.8412729,1.189958,1.018864,-0.8322499,1.172926,1.019302,-0.8346268,1.212556,0.9902641,-0.8274111,1.185431,1.001782,-0.8162371,1.166117,1.003755,-0.8196542,1.214993,0.9675032,-0.8211259,1.188754,0.975567,-0.8099145,1.169948,0.9771914,-0.8138909,1.216568,0.9443525,-0.8207097,1.196452,0.9482237,-0.8115641,1.181926,0.9504414,-0.8158007,1.240058,0.9592711,-0.8673449,0.05451171,
1528887757906,1.22431,0.9672238,-0.904089,1.193737,0.9857649,-0.8937463,1.172151,0.99146,-0.8836519,1.203087,1.005663,-0.8429981,1.179267,1.016839,-0.8344448,1.162208,1.017147,-0.8368916,1.202317,0.9885451,-0.8290017,1.174825,0.9998081,-0.8182558,1.155448,1.001632,-0.8216468,1.205045,0.9659033,-0.8224794,1.178526,0.9737753,-0.811555,1.159629,0.9752612,-0.8153842,1.206924,0.9427486,-0.8218369,1.186599,0.9464086,-0.8128335,1.171925,0.9484431,-0.8168064,1.230614,0.9576245,-0.86832,0.05426968,
1528887757924,1.217032,0.9665339,-0.904853,1.186169,0.9844035,-0.8941866,1.164563,0.9896205,-0.8838761,1.195669,1.004968,-0.8439631,1.171648,1.015809,-0.8354053,1.154538,1.015955,-0.8376848,1.195232,0.9878855,-0.829897,1.167569,0.9987905,-0.8190461,1.148097,1.000444,-0.8221477,1.198361,0.9653287,-0.8232752,1.171773,0.972905,-0.8120968,1.152737,0.9742573,-0.8154659,1.200565,0.942165,-0.8225629,1.180214,0.9455119,-0.8132774,1.16534,0.9473641,-0.8167102,1.223747,0.957297,-0.8692411,0.05410776,
1528887757951,1.204994,0.9656086,-0.9045045,1.173609,0.9825951,-0.8937607,1.151932,0.987631,-0.8834485,1.182721,1.003673,-0.8439032,1.158195,1.01352,-0.8353734,1.141009,1.013027,-0.8373399,1.183215,0.9868096,-0.8296907,1.155079,0.9966702,-0.8188443,1.135444,0.9975957,-0.8215489,1.18746,0.9645187,-0.8227885,1.160614,0.9711703,-0.8114011,1.141378,0.971846,-0.8141683,1.190651,0.9414734,-0.8218548,1.170178,0.9440906,-0.8123365,1.155058,0.9453213,-0.815125,1.21265,0.9570306,-0.8688331,0.05376099,
1528887757977,1.191738,0.9650867,-0.9041792,1.15999,0.9815387,-0.8932917,1.138361,0.9876344,-0.8831801,1.169343,1.003023,-0.8437763,1.144292,1.011203,-0.8349185,1.127087,1.009401,-0.8362287,1.171598,0.9868884,-0.8292837,1.143007,0.9951612,-0.8182282,1.123227,0.9946578,-0.8203178,1.177698,0.9652128,-0.8218514,1.15067,0.9704849,-0.8100938,1.131282,0.9698188,-0.8121597,1.182476,0.9425621,-0.8203795,1.161983,0.9443148,-0.810601,1.146701,0.9444962,-0.8129142,1.20145,0.9578735,-0.8684036,0.05296545,
1528887758004,1.181462,0.963755,-0.9030984,1.149588,0.979955,-0.8919806,1.12806,0.9869246,-0.8820614,1.159298,1.001455,-0.842798,1.133888,1.008087,-0.8337445,1.116813,1.00504,-0.8346788,1.162935,0.9860413,-0.8282377,1.134012,0.9929442,-0.8171479,1.114256,0.991169,-0.818936,1.170437,0.9649191,-0.8205247,1.143248,0.969007,-0.8086416,1.123868,0.9672008,-0.8103333,1.176425,0.9426765,-0.8187193,1.155856,0.9437007,-0.8089355,1.140538,0.9430428,-0.8110408,1.192981,0.9576007,-0.867307,0.05195916,
1528887758030,1.168808,0.9645863,-0.8985767,1.136935,0.9811132,-0.8878938,1.115402,0.9886065,-0.8783333,1.146453,1.002976,-0.8389115,1.120894,1.009371,-0.8301511,1.103871,1.006024,-0.8311436,1.15025,0.9879541,-0.8241561,1.121178,0.9947883,-0.813452,1.101456,0.9927444,-0.8153658,1.157924,0.9670287,-0.8160729,1.130603,0.9711026,-0.8044957,1.111248,0.9690765,-0.8062879,1.164075,0.944898,-0.8138811,1.143394,0.9459848,-0.8043346,1.128093,0.9451773,-0.8065511,1.180358,0.9591675,-0.8627616,0.0516063,
1528887758057,1.160083,0.9612635,-0.8991669,1.127868,0.9768695,-0.8879722,1.106321,0.9844314,-0.8784345,1.137867,0.9980682,-0.8387516,1.112074,1.002086,-0.8296672,1.095533,0.9968915,-0.8306633,1.143201,0.9838194,-0.824355,1.113892,0.9886721,-0.8135904,1.094467,0.9848729,-0.8156359,1.152474,0.9633862,-0.8164118,1.125103,0.965629,-0.8046597,1.105977,0.9620823,-0.806472,1.160074,0.9418043,-0.8143194,1.139456,0.9417412,-0.8046932,1.124239,0.9399282,-0.8069465,1.173683,0.9564565,-0.8634148,0.05053454,
1528887758084,1.153106,0.9626434,-0.897848,1.121159,0.9788966,-0.8867373,1.099747,0.9872332,-0.8775173,1.131364,0.9987717,-0.8370116,1.105521,1.002632,-0.8282058,1.089071,0.9972705,-0.8295537,1.136633,0.9845139,-0.8228938,1.107261,0.9895465,-0.8124825,1.087861,0.9858207,-0.8148202,1.145756,0.9638344,-0.8151302,1.118294,0.9661769,-0.8036075,1.099156,0.9627728,-0.8055823,1.153182,0.9421501,-0.8132704,1.132456,0.9421507,-0.8038521,1.117231,0.9404845,-0.8062044,1.166818,0.9571667,-0.8620551,0.05015213,
