time,thumb1x,thumb1y,thumb1z,thumb2x,thumb2y,thumb2z,thumb3x,thumb3y,thumb3z,index1x,index1y,index1z,index2x,index2y,index2z,index3x,index3y,index3z,middle1x,middle1y,middle1z,middle2x,middle2y,middle2z,middle3x,middle3y,middle3z,ring1x,ring1y,ring1z,ring2x,ring2y,ring2z,ring3x,ring3y,ring3z,pinky1x,pinky1y,pinky1z,pinky2x,pinky2y,pinky2z,pinky3x,pinky3y,pinky3z,palmx,palmy,palmz,pinch,
1528888055946,0.8943345,0.8847041,-0.8454144,0.9059023,0.8758302,-0.8111229,0.9135205,0.8635985,-0.7912434,0.9554364,0.8808947,-0.8041936,0.9629445,0.8718956,-0.7787716,0.959034,0.8639609,-0.7637312,0.9632515,0.8628616,-0.8124641,0.9740272,0.8527395,-0.7837636,0.9722431,0.8453175,-0.7652156,0.9629282,0.8450142,-0.8266199,0.9731212,0.8337455,-0.8002648,0.9713191,0.8262197,-0.7821214,0.9555941,0.8282573,-0.8397489,0.9609945,0.8182543,-0.81988,0.9575015,0.8130865,-0.8054159,0.9231746,0.8689561,-0.8535978,0.05318394,
1528888055972,0.9021649,0.8827124,-0.8480914,0.9144489,0.8743418,-0.813916,0.9226061,0.8625091,-0.7939947,0.9633195,0.880154,-0.8072928,0.9707811,0.8713253,-0.7818136,0.9668266,0.8633819,-0.7667922,0.9712356,0.8621588,-0.8154391,0.9817507,0.8522272,-0.7865945,0.979719,0.8448478,-0.768062,0.9709632,0.844326,-0.8293445,0.9805848,0.8334208,-0.8026673,0.9781713,0.8260934,-0.7845366,0.9639999,0.8274861,-0.8423761,0.9690016,0.8179727,-0.8222694,0.9647173,0.8132437,-0.8079101,0.9311021,0.8674389,-0.8564542,0.05192477,
1528888055998,0.9080568,0.882059,-0.8502136,0.9209207,0.8736869,-0.8162582,0.9295059,0.8618196,-0.7965439,0.9691484,0.8797399,-0.8097576,0.9766309,0.8705766,-0.7843585,0.9728682,0.8624057,-0.7693952,0.9770535,0.8618386,-0.8180208,0.9873036,0.8514465,-0.7891982,0.9853365,0.8437676,-0.7707574,0.9768605,0.8443044,-0.8319742,0.9860455,0.8332129,-0.8051842,0.9834851,0.8257173,-0.7871336,0.970197,0.8276603,-0.8451421,0.9748952,0.8182101,-0.8249276,0.9703498,0.8134781,-0.8106619,0.9369984,0.8672247,-0.8588557,0.05116326,
1528888056014,0.9142142,0.8804286,-0.8523927,0.9274259,0.871919,-0.8185989,0.9362273,0.8600132,-0.7990021,0.9753318,0.8778839,-0.8123486,0.9826678,0.8684989,-0.7869457,0.9789795,0.860245,-0.7719915,0.983048,0.8599637,-0.8207248,0.9929491,0.8492099,-0.7918697,0.9909792,0.8413746,-0.7734728,0.9827483,0.8425939,-0.8347463,0.9915218,0.8312669,-0.807873,0.9888574,0.8236703,-0.7898691,0.9761912,0.8261311,-0.8480386,0.9807633,0.8166043,-0.8277775,0.9762365,0.8118244,-0.8135302,0.9430757,0.8657018,-0.8613601,0.0505705,
1528888056038,0.9197033,0.8790537,-0.854824,0.9330215,0.870671,-0.8210546,0.9419013,0.8587862,-0.8014763,0.980134,0.8764818,-0.8144907,0.9867466,0.8669359,-0.7888663,0.9829941,0.8587053,-0.7738692,0.9876295,0.8584655,-0.8227079,0.9963229,0.8474004,-0.7935153,0.9939491,0.8395098,-0.7751537,0.9874914,0.8412372,-0.8366894,0.995174,0.8298293,-0.8094563,0.9920425,0.8222738,-0.7914934,0.9812896,0.8248812,-0.8500791,0.9852421,0.8154389,-0.8296,0.9803669,0.8107832,-0.8154405,0.9485607,0.8643237,-0.8637391,0.0495053,
1528888056054,0.9218331,0.8780009,-0.8556959,0.9353921,0.8699167,-0.8219429,0.9444716,0.8582703,-0.8023053,0.982049,0.8759374,-0.8154736,0.988318,0.8663504,-0.7897507,0.9845003,0.8581197,-0.774753,0.9894653,0.8579414,-0.8235443,0.9974252,0.8468553,-0.7941528,0.9946215,0.8389815,-0.7758328,0.9895693,0.8407651,-0.8374731,0.9968364,0.8294955,-0.8100495,0.9935712,0.8220169,-0.7920598,0.9836949,0.8243961,-0.8508424,0.9876955,0.8151233,-0.8302395,0.9830399,0.8104677,-0.8159977,0.9507408,0.8634445,-0.8646393,0.04859477,
1528888056080,0.927417,0.8765177,-0.8594463,0.9412817,0.8687943,-0.8257244,0.950485,0.8574439,-0.8059587,0.9870473,0.8735913,-0.8194968,0.9922607,0.8637407,-0.7935637,0.9881551,0.8556138,-0.7785376,0.9939541,0.8554696,-0.8274186,1.000281,0.8441036,-0.7977276,0.996674,0.8363088,-0.7794732,0.9941565,0.8383549,-0.841344,1.000628,0.8270016,-0.8136836,0.9971686,0.8196518,-0.7956593,0.9884272,0.8221145,-0.8546999,0.9925422,0.8128307,-0.8339617,0.9885579,0.8081028,-0.8195255,0.9560063,0.8614944,-0.8685135,0.0466294,
1528888056125,0.9310417,0.8739443,-0.8631917,0.9448805,0.86619,-0.8294704,0.9541471,0.8548431,-0.8097247,0.9894823,0.8704175,-0.8227863,0.9935203,0.8600014,-0.7967144,0.9894556,0.8517017,-0.7817105,0.9964909,0.8524123,-0.8309418,1.00141,0.840287,-0.8011761,0.9976192,0.8321252,-0.7830647,0.9971828,0.8356137,-0.8451537,1.002863,0.8236408,-0.8174276,0.9996706,0.8158939,-0.7994729,0.9920433,0.8196322,-0.8589002,0.9961739,0.8098015,-0.8382053,0.9932997,0.8043771,-0.8236899,0.9598032,0.8590162,-0.8724253,0.04518136,
1528888056158,0.9318625,0.8723782,-0.8665072,0.9456451,0.8648459,-0.8327194,0.9549364,0.8535917,-0.8129357,0.9894303,0.8691349,-0.8256064,0.9927059,0.8585207,-0.7994431,0.9885948,0.8501902,-0.7844316,0.9966307,0.8512595,-0.8336565,1.000673,0.8390241,-0.8037629,0.9967036,0.8308146,-0.7856789,0.9977887,0.8345417,-0.8478527,1.002991,0.8225754,-0.8199788,0.9998551,0.8147929,-0.8019997,0.9930786,0.8185016,-0.8616818,0.9975162,0.8085151,-0.8409574,0.9957851,0.8026982,-0.8263841,0.960742,0.8576458,-0.8754918,0.04423735,
1528888056174,0.9315781,0.8722172,-0.8679096,0.9452202,0.8645161,-0.8340973,0.9544225,0.8532315,-0.8142784,0.9889932,0.8691233,-0.8268787,0.9920238,0.8585495,-0.8006669,0.9878384,0.8502574,-0.7856429,0.9962959,0.8512837,-0.8349092,1.000284,0.8391588,-0.8049498,0.9963114,0.8310106,-0.7868437,0.9975051,0.8345144,-0.8491139,1.002719,0.8225957,-0.8212084,0.9996399,0.8148386,-0.8032096,0.9927731,0.8184228,-0.8629444,0.9973779,0.8083674,-0.842234,0.996195,0.8023959,-0.8276542,0.9605197,0.8576016,-0.8768475,0.04410738,
