time,thumb1x,thumb1y,thumb1z,thumb2x,thumb2y,thumb2z,thumb3x,thumb3y,thumb3z,index1x,index1y,index1z,index2x,index2y,index2z,index3x,index3y,index3z,middle1x,middle1y,middle1z,middle2x,middle2y,middle2z,middle3x,middle3y,middle3z,ring1x,ring1y,ring1z,ring2x,ring2y,ring2z,ring3x,ring3y,ring3z,pinky1x,pinky1y,pinky1z,pinky2x,pinky2y,pinky2z,pinky3x,pinky3y,pinky3z,palmx,palmy,palmz,pinch,
1528887865502,1.16631,0.9805076,-0.6185167,1.166653,0.9883275,-0.5819563,1.171105,0.9887851,-0.5578645,1.218244,1.012307,-0.5735494,1.222321,1.008481,-0.5474353,1.217254,0.9972125,-0.5354222,1.234558,1.002267,-0.5784672,1.238463,1.000289,-0.5481936,1.231167,0.9901192,-0.5329524,1.247028,0.9857375,-0.590303,1.25282,0.9822608,-0.5622027,1.245676,0.9728851,-0.5468834,1.253943,0.9670761,-0.6024693,1.260604,0.963419,-0.5817379,1.254611,0.9574381,-0.5689511,1.205671,0.9806809,-0.6230608,0.05200415,
1528887865540,1.174154,0.9798604,-0.629673,1.17442,0.9881499,-0.5931755,1.178236,0.9896705,-0.5689076,1.222341,1.014556,-0.5845467,1.224462,1.011104,-0.55795,1.218965,1.000175,-0.5457288,1.23891,1.004627,-0.5884399,1.240613,1.003222,-0.5577435,1.232686,0.9934432,-0.5424956,1.252338,0.987986,-0.5992162,1.256573,0.9853483,-0.5705331,1.249158,0.9765902,-0.5548583,1.259982,0.9691873,-0.6103126,1.265387,0.9663534,-0.5889463,1.259172,0.9608757,-0.575941,1.212835,0.9811759,-0.6332903,0.04802486,
1528887865568,1.182604,0.9776803,-0.6383943,1.183137,0.9866754,-0.6020458,1.186816,0.9889419,-0.5777799,1.228477,1.014473,-0.5941913,1.228702,1.011067,-0.5675398,1.222254,1.000151,-0.5557857,1.245113,1.004294,-0.5971266,1.244919,1.003242,-0.5663426,1.236031,0.9937599,-0.5514226,1.258911,0.987313,-0.6067654,1.261643,0.9853818,-0.5777893,1.253458,0.977237,-0.5621221,1.266731,0.9682792,-0.6166865,1.270936,0.9663025,-0.5948991,1.264191,0.9615021,-0.5818396,1.220675,0.9793968,-0.641508,0.04318831,
1528887865594,1.183405,0.9763981,-0.6467227,1.18329,0.9853734,-0.6103674,1.186637,0.9875534,-0.5860624,1.226795,1.015034,-0.602394,1.22551,1.011228,-0.5760121,1.218163,0.9998979,-0.5653068,1.243311,1.004784,-0.6042771,1.241018,1.003305,-0.5737413,1.230976,0.993459,-0.5598142,1.25758,0.9879768,-0.6128659,1.258388,0.9862535,-0.5838169,1.249108,0.9781584,-0.5687397,1.265785,0.9691237,-0.6218164,1.268229,0.9677867,-0.5997686,1.26041,0.9632202,-0.5872227,1.221158,0.9790961,-0.6488659,0.03971214,
1528887865621,1.186269,0.9747014,-0.6538168,1.185528,0.983876,-0.6175249,1.188685,0.9860466,-0.593226,1.226896,1.015353,-0.6098273,1.224075,1.010783,-0.5839221,1.215945,0.998889,-0.5745499,1.24333,1.005301,-0.6106758,1.238835,1.003065,-0.5807071,1.227623,0.9925141,-0.5683122,1.258145,0.9889156,-0.6181598,1.25692,0.9873157,-0.5892448,1.246468,0.9790409,-0.5751037,1.26682,0.9703203,-0.6260781,1.267299,0.9695438,-0.604023,1.258146,0.9649771,-0.592459,1.223615,0.9786634,-0.6551352,0.0354517,
1528887865647,1.191112,0.9722236,-0.6626782,1.190773,0.9799694,-0.6260276,1.193986,0.9813166,-0.6016666,1.231052,1.012065,-0.6182262,1.227534,1.006237,-0.5926397,1.218866,0.9941227,-0.5841023,1.247141,1.001777,-0.6188464,1.241558,0.9981159,-0.5892646,1.229603,0.9871366,-0.5780458,1.261721,0.9855559,-0.6262068,1.259357,0.9829851,-0.5974083,1.248216,0.9744656,-0.5839723,1.270023,0.9672678,-0.6340675,1.269036,0.9659857,-0.6121278,1.258912,0.9611981,-0.6015402,1.227995,0.9765592,-0.6637998,0.03303795,
1528887865673,1.194337,0.9697495,-0.6674826,1.194643,0.9763899,-0.6305901,1.197959,0.9772791,-0.6061954,1.234935,1.008544,-0.6228663,1.231616,1.002164,-0.5972635,1.222898,0.9901215,-0.5886682,1.250896,0.9979664,-0.6237509,1.245632,0.9936345,-0.5940627,1.233708,0.9827489,-0.5827123,1.264964,0.9816427,-0.631446,1.262571,0.9782346,-0.602663,1.251386,0.9696122,-0.5893049,1.272803,0.963495,-0.6396266,1.271466,0.9615827,-0.6177419,1.261114,0.9566841,-0.60743,1.230964,0.974084,-0.6689398,0.03307716,
1528887865700,1.196382,0.9672005,-0.6721055,1.197163,0.9727711,-0.6350152,1.200374,0.9734499,-0.6105611,1.23692,1.0054,-0.6272048,1.233699,0.9984426,-0.6015892,1.225187,0.9863179,-0.5928303,1.252919,0.9948,-0.6284393,1.247888,0.9897717,-0.5986281,1.236261,0.9788109,-0.5869844,1.266774,0.9786088,-0.6365433,1.26434,0.9743893,-0.6077418,1.253366,0.9655308,-0.594309,1.274426,0.9607222,-0.6451198,1.272714,0.9581765,-0.6232679,1.262305,0.9530123,-0.6131246,1.232821,0.971935,-0.6739142,0.03310015,
1528887865722,1.198848,0.965794,-0.6761372,1.200036,0.9698575,-0.6388509,1.203153,0.969753,-0.6143488,1.240549,1.001334,-0.6301734,1.237111,0.9938896,-0.6045649,1.22838,0.9819772,-0.5956678,1.256281,0.990123,-0.6318051,1.251412,0.9845451,-0.6018165,1.23983,0.973973,-0.5897067,1.269333,0.9736075,-0.6404405,1.266746,0.9685193,-0.6116489,1.255728,0.9597623,-0.5981309,1.276218,0.9557063,-0.6495948,1.274145,0.9523652,-0.6278188,1.263552,0.9472548,-0.6178137,1.235278,0.9695045,-0.6779364,0.03368664,
1528887865754,1.203367,0.9606175,-0.6798605,1.205732,0.9626973,-0.6424388,1.209093,0.9618396,-0.6179461,1.247558,0.9924695,-0.6333524,1.245008,0.9838766,-0.6078935,1.23655,0.971724,-0.5991189,1.263329,0.9810469,-0.6363734,1.260238,0.9741821,-0.6061853,1.249509,0.9634603,-0.5934382,1.275585,0.9646821,-0.6465803,1.274558,0.9579916,-0.6178675,1.264367,0.9487834,-0.604017,1.281687,0.9471778,-0.6571376,1.28072,0.9424456,-0.6354815,1.270618,0.9369419,-0.6252103,1.239793,0.9637028,-0.6828628,0.03472837,
1528887865780,1.206666,0.9579602,-0.6852366,1.208876,0.9581482,-0.6477331,1.211758,0.9564123,-0.6232111,1.251696,0.9859392,-0.6366236,1.249116,0.9768461,-0.6112324,1.240707,0.9646227,-0.6025603,1.267475,0.9742233,-0.6405349,1.265094,0.9666239,-0.6102133,1.254995,0.9559238,-0.5968922,1.279283,0.9580008,-0.6518861,1.278971,0.9501994,-0.623243,1.269458,0.9407147,-0.6090652,1.284871,0.9408065,-0.6636512,1.284474,0.9349138,-0.6421144,1.274905,0.9290353,-0.6315245,1.24318,0.9602102,-0.6881911,0.03649511,
1528887865806,1.207651,0.9576597,-0.6907344,1.208552,0.9579391,-0.6531774,1.210603,0.9561078,-0.628592,1.250917,0.9843715,-0.6401943,1.246575,0.9756323,-0.6149164,1.237472,0.9636117,-0.6066514,1.266659,0.9720833,-0.6435512,1.262622,0.9647286,-0.6132519,1.251827,0.9544024,-0.600145,1.278605,0.9556006,-0.6544858,1.276989,0.9480436,-0.6256914,1.267016,0.9389573,-0.6115347,1.284236,0.9382561,-0.6661038,1.282988,0.9325001,-0.6444002,1.273338,0.9268774,-0.6337002,1.244251,0.9584718,-0.6921772,0.03549165,
1528887865833,1.208744,0.9597478,-0.6971486,1.208152,0.9607607,-0.6596073,1.209283,0.95904,-0.6349701,1.24948,0.9854518,-0.645229,1.242028,0.9772184,-0.6205469,1.231539,0.9657246,-0.6130539,1.264464,0.9718755,-0.6473063,1.256873,0.9648544,-0.6175254,1.2444,0.9553475,-0.6052048,1.275936,0.9546529,-0.6569623,1.270829,0.9476487,-0.6282709,1.259339,0.9395517,-0.6145581,1.281235,0.9368697,-0.6677002,1.277231,0.9317013,-0.6459625,1.266722,0.9269739,-0.6355257,1.245051,0.9586121,-0.6965538,0.03194309,
1528887865849,1.211236,0.9611654,-0.7034163,1.209868,0.9623276,-0.6659079,1.210497,0.9604267,-0.6412712,1.24986,0.9859051,-0.6506727,1.239874,0.9777026,-0.6270206,1.228282,0.9664334,-0.6207594,1.264177,0.9714518,-0.651879,1.253678,0.9644263,-0.6230032,1.239761,0.9553807,-0.6118593,1.275278,0.9537773,-0.6606667,1.267349,0.9469938,-0.6325515,1.254389,0.9394887,-0.6197871,1.280391,0.9357766,-0.6708211,1.274421,0.9310011,-0.6493568,1.263151,0.9269372,-0.6393774,1.247111,0.9587316,-0.7014329,0.02780507,
1528887865874,1.218271,0.9616755,-0.7142157,1.21523,0.9630961,-0.6768243,1.214782,0.9609118,-0.6522353,1.254174,0.9843736,-0.6595885,1.241533,0.9763908,-0.6374749,1.228884,0.9653673,-0.6334215,1.267821,0.9690199,-0.6598802,1.254368,0.9621952,-0.6323748,1.23886,0.9536523,-0.6231669,1.278567,0.9508675,-0.6678928,1.267913,0.9444019,-0.6407077,1.253377,0.9375298,-0.6294008,1.283614,0.9326771,-0.6776258,1.276025,0.928285,-0.6566026,1.263928,0.9248843,-0.6473858,1.253535,0.9572592,-0.7101401,0.02393108,
