time,thumb1x,thumb1y,thumb1z,thumb2x,thumb2y,thumb2z,thumb3x,thumb3y,thumb3z,index1x,index1y,index1z,index2x,index2y,index2z,index3x,index3y,index3z,middle1x,middle1y,middle1z,middle2x,middle2y,middle2z,middle3x,middle3y,middle3z,ring1x,ring1y,ring1z,ring2x,ring2y,ring2z,ring3x,ring3y,ring3z,pinky1x,pinky1y,pinky1z,pinky2x,pinky2y,pinky2z,pinky3x,pinky3y,pinky3z,palmx,palmy,palmz,pinch,
1529669533812,1.185351,0.6579632,-0.9308228,1.170402,0.6885105,-0.9248097,1.158906,0.7059644,-0.91536,1.189528,0.7053581,-0.8784437,1.173374,0.719394,-0.8649273,1.15798,0.7192062,-0.8616417,1.194018,0.6946118,-0.8632366,1.175381,0.7105834,-0.8486063,1.157401,0.7115656,-0.8471175,1.198273,0.6761625,-0.8529652,1.180895,0.6903003,-0.837385,1.163438,0.6923577,-0.835628,1.199958,0.6560516,-0.8465794,1.188056,0.6662372,-0.8325956,1.174495,0.6698675,-0.8305742,1.200587,0.6525229,-0.8973829,0.05533402,
1529669533843,1.182224,0.6637996,-0.9446954,1.170178,0.695672,-0.9409553,1.159697,0.7131884,-0.9309506,1.18575,0.7125521,-0.8939232,1.168061,0.7244948,-0.8829445,1.153165,0.7203991,-0.8834625,1.188478,0.7026083,-0.8786628,1.167752,0.7165744,-0.868296,1.150499,0.7133803,-0.8716438,1.191681,0.684831,-0.8672054,1.172337,0.6979452,-0.8557847,1.155515,0.6966108,-0.8593328,1.192312,0.6657293,-0.8598752,1.178892,0.6766632,-0.8490966,1.165326,0.6789489,-0.8513589,1.195125,0.6590793,-0.90973,0.0484746,
1529669533872,1.171419,0.6670032,-0.9569638,1.160921,0.6991152,-0.9538169,1.150659,0.7158058,-0.9426692,1.172811,0.715559,-0.9074532,1.153449,0.7243226,-0.8996218,1.140438,0.7167873,-0.9034489,1.174189,0.7061063,-0.8926852,1.15162,0.717025,-0.8867702,1.136705,0.7100223,-0.893684,1.176751,0.6888674,-0.8804713,1.155661,0.699448,-0.8737745,1.140992,0.6946003,-0.8816046,1.177088,0.6707197,-0.8726147,1.162079,0.6811422,-0.8654966,1.149887,0.6809731,-0.8717542,1.182472,0.6626794,-0.9212238,0.04054192,
1529669533897,1.165487,0.6659768,-0.9623275,1.155633,0.6978307,-0.9585129,1.145484,0.7131329,-0.9457716,1.165528,0.7125731,-0.9130588,1.145215,0.717855,-0.9073516,1.13471,0.7080271,-0.9133326,1.166644,0.703267,-0.8990292,1.143085,0.7108225,-0.8959008,1.130913,0.7011689,-0.9047076,1.169225,0.6864172,-0.8868635,1.147326,0.6941456,-0.8833866,1.135286,0.686766,-0.8935879,1.170091,0.6691599,-0.8788676,1.154312,0.6782358,-0.8745968,1.144175,0.675603,-0.8832813,1.17651,0.6613104,-0.9263731,0.03456077,
1529669533938,1.1532,0.661518,-0.9679823,1.142929,0.6923884,-0.9615746,1.132442,0.7054199,-0.9468089,1.151796,0.7044456,-0.9191282,1.130346,0.7066221,-0.9156772,1.12156,0.6959293,-0.9231181,1.152749,0.6949304,-0.9058043,1.127987,0.6997992,-0.905093,1.117371,0.6893554,-0.9150693,1.155047,0.6780921,-0.8943349,1.132055,0.683482,-0.8937151,1.12169,0.6753317,-0.9053364,1.156258,0.6616213,-0.8865529,1.139804,0.6691132,-0.8850152,1.131507,0.6650538,-0.8952544,1.164309,0.6556434,-0.9326777,0.02774449,
1529669533963,1.148383,0.6570899,-0.9698444,1.137094,0.6877786,-0.9637253,1.126207,0.7010968,-0.9493839,1.146842,0.7006086,-0.9221401,1.124684,0.7028576,-0.9186373,1.114931,0.6923753,-0.9252516,1.147954,0.6913022,-0.9086804,1.12242,0.6963726,-0.9079023,1.11067,0.686358,-0.9171151,1.150246,0.6744893,-0.8971598,1.126521,0.6796709,-0.8968173,1.115494,0.6716074,-0.9079452,1.15157,0.658202,-0.8891763,1.134683,0.6652527,-0.8883476,1.126419,0.6608833,-0.8985991,1.160188,0.6518348,-0.9346132,0.02802816,
1529669533991,1.141925,0.6540418,-0.9718305,1.129461,0.6846678,-0.9668338,1.117761,0.6985859,-0.9536297,1.139002,0.6986963,-0.9248146,1.116304,0.7017375,-0.9213885,1.105534,0.691805,-0.9272437,1.139965,0.6895803,-0.9110436,1.114002,0.6954584,-0.910337,1.101278,0.6861391,-0.9189945,1.142069,0.672765,-0.8992764,1.117872,0.6783764,-0.8990192,1.106035,0.6707546,-0.9096581,1.143225,0.6563678,-0.8911779,1.126006,0.6633354,-0.8907844,1.117553,0.6590655,-0.9009904,1.153243,0.6495775,-0.9362327,0.02986122,
1529669534025,1.129507,0.6488185,-0.9746196,1.115012,0.6790228,-0.9709988,1.101971,0.6935045,-0.9595438,1.124079,0.6945925,-0.9270146,1.101077,0.699261,-0.9231297,1.088999,0.6905118,-0.9281175,1.124931,0.6853698,-0.9129223,1.098869,0.6925454,-0.911697,1.085195,0.684266,-0.9198674,1.127013,0.6682339,-0.9011683,1.102548,0.6745498,-0.9003396,1.089897,0.6676239,-0.9104325,1.128137,0.651279,-0.8933568,1.110598,0.6581569,-0.8928342,1.101854,0.6542203,-0.9029209,1.140113,0.6449201,-0.9384302,0.03412995,
1529669534056,1.1236,0.6472888,-0.9749507,1.107867,0.6770918,-0.9718039,1.094353,0.6918641,-0.9611322,1.117418,0.6937287,-0.9263394,1.094696,0.6993415,-0.9209528,1.081858,0.6912834,-0.9249614,1.118873,0.6843876,-0.9120501,1.093043,0.6920191,-0.9091824,1.078809,0.6840886,-0.9166232,1.121674,0.66703,-0.900432,1.097275,0.6733868,-0.8980252,1.08403,0.6666186,-0.9073787,1.1234,0.6497327,-0.8929327,1.105777,0.6562871,-0.8913894,1.096606,0.6523468,-0.9010632,1.134618,0.6437533,-0.9386428,0.03827254,
1529669534083,1.115638,0.6468065,-0.9753994,1.099606,0.6765884,-0.9724734,1.086044,0.691684,-0.9622527,1.109878,0.694047,-0.9260261,1.087743,0.7012796,-0.9191873,1.074053,0.6943641,-0.9221749,1.111564,0.68453,-0.911527,1.08626,0.693235,-0.9071251,1.071426,0.6859872,-0.9138888,1.11457,0.6670078,-0.9000313,1.09057,0.6739976,-0.8962485,1.076864,0.6675581,-0.9050077,1.11643,0.6494503,-0.8927689,1.099034,0.6562724,-0.8902323,1.089452,0.6524872,-0.8994751,1.126867,0.6433977,-0.9391301,0.04191915,
