time,thumb1x,thumb1y,thumb1z,thumb2x,thumb2y,thumb2z,thumb3x,thumb3y,thumb3z,index1x,index1y,index1z,index2x,index2y,index2z,index3x,index3y,index3z,middle1x,middle1y,middle1z,middle2x,middle2y,middle2z,middle3x,middle3y,middle3z,ring1x,ring1y,ring1z,ring2x,ring2y,ring2z,ring3x,ring3y,ring3z,pinky1x,pinky1y,pinky1z,pinky2x,pinky2y,pinky2z,pinky3x,pinky3y,pinky3z,palmx,palmy,palmz,pinch,
1529669782250,1.206532,0.5826623,-0.8913544,1.172268,0.5882409,-0.8757945,1.148495,0.5866486,-0.8631856,1.183364,0.6136882,-0.8246608,1.172112,0.6275588,-0.7988218,1.161865,0.6347153,-0.7841023,1.188748,0.5948211,-0.8106377,1.177825,0.6050367,-0.7779701,1.168089,0.6105459,-0.7588786,1.195548,0.5718168,-0.8068742,1.184804,0.5751725,-0.7748077,1.175858,0.5767959,-0.755054,1.200143,0.5472897,-0.8110732,1.190638,0.5414786,-0.7877957,1.1832,0.5374359,-0.7727361,1.213673,0.5734894,-0.8605443,0.09350584,
1529669782277,1.203469,0.5929748,-0.8956949,1.168845,0.6000384,-0.8814042,1.144539,0.600261,-0.8696795,1.179739,0.6254959,-0.8297784,1.168449,0.6400994,-0.804379,1.158055,0.6476618,-0.7899737,1.184853,0.6068469,-0.8151998,1.173849,0.6178282,-0.7828238,1.163882,0.623758,-0.7639853,1.191504,0.5838549,-0.8107744,1.180816,0.5879112,-0.7787752,1.171751,0.5899357,-0.7591213,1.19618,0.5591344,-0.8142749,1.187128,0.5537183,-0.790723,1.179867,0.5499067,-0.775525,1.210101,0.583962,-0.8641812,0.09371518,
1529669782304,1.200727,0.6042426,-0.9042468,1.165913,0.6156279,-0.8930105,1.141189,0.6224077,-0.8843514,1.178434,0.6424468,-0.8403027,1.167905,0.6591803,-0.8160231,1.157276,0.6675681,-0.8022888,1.184183,0.625186,-0.8238677,1.174306,0.6386369,-0.7921627,1.164087,0.645623,-0.7738594,1.191205,0.6030169,-0.8172842,1.181833,0.609836,-0.7854046,1.17251,0.6131701,-0.7660962,1.1967,0.5781521,-0.8181335,1.19024,0.5749091,-0.7933809,1.18368,0.5722499,-0.7776885,1.207918,0.5981136,-0.8711872,0.09503964,
1529669782331,1.200166,0.6114345,-0.9100724,1.165488,0.6252334,-0.9013253,1.140995,0.6347535,-0.8950092,1.178103,0.6516789,-0.8467317,1.167434,0.6691751,-0.8230647,1.156818,0.6779468,-0.8095429,1.184244,0.635204,-0.8294758,1.174316,0.6495597,-0.7982035,1.16409,0.6569685,-0.7800556,1.191548,0.6136585,-0.8219798,1.182041,0.6216817,-0.7904497,1.172602,0.6256747,-0.7712989,1.197743,0.5890779,-0.8215569,1.191765,0.5870982,-0.7965816,1.185008,0.5850913,-0.7808905,1.207819,0.6064052,-0.8758252,0.09705934,
1529669782357,1.197067,0.6188825,-0.9149345,1.162961,0.6349225,-0.9079543,1.138972,0.6463921,-0.9031723,1.175845,0.6611967,-0.8520983,1.164683,0.6793291,-0.829107,1.154097,0.6884761,-0.8157949,1.182402,0.6457928,-0.8342636,1.171643,0.6611969,-0.8037724,1.161049,0.6691132,-0.7860441,1.190407,0.6251616,-0.8259543,1.180258,0.6348681,-0.795145,1.170126,0.6397145,-0.7765541,1.197479,0.6012408,-0.8241714,1.191826,0.6015451,-0.799074,1.184811,0.6009067,-0.7833919,1.205744,0.6149281,-0.8796448,0.09815616,
1529669782384,1.193405,0.6288897,-0.9221388,1.160024,0.6471177,-0.9174328,1.136273,0.6593566,-0.9134862,1.171657,0.67452,-0.8613732,1.158232,0.6930873,-0.8399894,1.146529,0.7023349,-0.8276989,1.177626,0.6608067,-0.8430074,1.163193,0.6776402,-0.8149427,1.150206,0.6860147,-0.799109,1.186091,0.6413584,-0.8333767,1.17294,0.6535606,-0.8047264,1.160578,0.6596568,-0.7879412,1.193755,0.6185851,-0.829603,1.186316,0.6226789,-0.805367,1.177728,0.6244574,-0.7905703,1.202414,0.6266639,-0.8856832,0.09649754,
1529669782418,1.194443,0.6361552,-0.9277767,1.161858,0.6559816,-0.9242183,1.138383,0.6687125,-0.9202802,1.171865,0.6836486,-0.8688797,1.156263,0.70234,-0.8491217,1.143534,0.7116129,-0.8378962,1.177253,0.6709662,-0.8503348,1.159958,0.6887078,-0.8245087,1.145651,0.6976172,-0.8101478,1.185926,0.6521633,-0.839771,1.170464,0.665847,-0.8130017,1.156876,0.6728408,-0.7975509,1.193568,0.630075,-0.8348203,1.184217,0.6363786,-0.8117575,1.174481,0.6396166,-0.7979339,1.203263,0.6346486,-0.8907017,0.09302746,
1529669782437,1.193392,0.640703,-0.9310881,1.161537,0.6618068,-0.9288847,1.138278,0.6749368,-0.9251308,1.169199,0.6900331,-0.8747934,1.151519,0.7089802,-0.8570956,1.137887,0.7184495,-0.8471504,1.173964,0.6783334,-0.8559688,1.154164,0.6970157,-0.8326768,1.138827,0.7065678,-0.8198551,1.182648,0.6600739,-0.8442743,1.165067,0.6749854,-0.8195229,1.150475,0.6827615,-0.8054013,1.190141,0.6384817,-0.8381199,1.178978,0.6463586,-0.8163793,1.168362,0.6506445,-0.8035025,1.20161,0.6402125,-0.8935273,0.08929981,
1529669782463,1.189743,0.6447762,-0.9339638,1.158343,0.6665926,-0.9331471,1.135189,0.6800329,-0.9299278,1.163051,0.6949445,-0.8800635,1.143744,0.7138054,-0.8639697,1.129641,0.7234639,-0.8548871,1.167436,0.684154,-0.8610177,1.145729,0.7032084,-0.8397482,1.129769,0.7131395,-0.8280135,1.176248,0.6665341,-0.8483537,1.157067,0.682105,-0.8251938,1.141964,0.6904163,-0.8119279,1.183959,0.6454256,-0.8411345,1.171588,0.654153,-0.8203655,1.160639,0.6590523,-0.8079795,1.196988,0.6451874,-0.8960754,0.08688007,
1529669782491,1.189014,0.647866,-0.9366431,1.158136,0.6704184,-0.9363947,1.135323,0.6845164,-0.933526,1.161864,0.6987394,-0.8840371,1.141895,0.7176933,-0.8688042,1.127821,0.7277082,-0.8600546,1.166474,0.6886765,-0.8649256,1.144039,0.7081454,-0.8447477,1.128006,0.7184848,-0.833472,1.175575,0.6715162,-0.8517509,1.155737,0.6875956,-0.8294568,1.140577,0.6963447,-0.8165333,1.183627,0.6507411,-0.8438381,1.170804,0.6599981,-0.823552,1.159863,0.6652899,-0.811309,1.196451,0.6489691,-0.8986555,0.08555609,
1529669782517,1.186267,0.6530908,-0.9398158,1.155816,0.6762019,-0.9403439,1.133266,0.6908035,-0.9379169,1.158428,0.705091,-0.8891071,1.137949,0.7243447,-0.8748891,1.123944,0.7348334,-0.8665896,1.163195,0.6958847,-0.8697979,1.140243,0.7159827,-0.8507852,1.124234,0.7268795,-0.8400133,1.172435,0.6792577,-0.8559988,1.152016,0.6959943,-0.8346772,1.136862,0.705312,-0.8221431,1.180742,0.6588737,-0.8472357,1.167449,0.6687303,-0.8275114,1.156544,0.6744869,-0.8154368,1.193659,0.6551982,-0.9017802,0.08433929,
1529669782543,1.184398,0.6561868,-0.9417435,1.154279,0.6797098,-0.9423529,1.131917,0.6945827,-0.9398507,1.156562,0.7085534,-0.8916176,1.136146,0.7280266,-0.8775812,1.122349,0.7388151,-0.8693179,1.161396,0.6996472,-0.8722855,1.138517,0.7201,-0.8535369,1.122693,0.7313212,-0.8428305,1.170572,0.6831475,-0.8583499,1.150084,0.7001907,-0.8373132,1.135065,0.7098112,-0.8248459,1.178885,0.6628717,-0.8493254,1.165471,0.6729575,-0.829784,1.154673,0.6789333,-0.8177156,1.191775,0.6585533,-0.9037884,0.08380286,
1529669782570,1.182289,0.6610475,-0.9430922,1.152486,0.6849533,-0.9436482,1.1303,0.7000443,-0.9409367,1.154681,0.7139311,-0.8935468,1.134541,0.7336944,-0.8795028,1.120981,0.7447413,-0.8711911,1.159534,0.705303,-0.8741904,1.13695,0.7261804,-0.8555398,1.121353,0.7377147,-0.8448367,1.16857,0.6889293,-0.8601644,1.14823,0.7064025,-0.8393205,1.133412,0.7163759,-0.8268909,1.176784,0.6687696,-0.850932,1.163408,0.6792498,-0.8315604,1.152784,0.6855522,-0.8195011,1.189605,0.6636594,-0.9052793,0.08336131,
1529669782598,1.181365,0.6639184,-0.9420264,1.151811,0.6880935,-0.9423599,1.129702,0.7031931,-0.9391766,1.153839,0.7171085,-0.8928794,1.134081,0.7370616,-0.8785578,1.120785,0.7482806,-0.8700516,1.158565,0.7086782,-0.873577,1.136326,0.7298843,-0.854877,1.12097,0.7416755,-0.8441035,1.167392,0.6924434,-0.85955,1.147278,0.7103731,-0.8388647,1.132669,0.7207044,-0.826479,1.17542,0.6724223,-0.8502218,1.162145,0.6834446,-0.8310746,1.151692,0.6901649,-0.8190894,1.188415,0.6666456,-0.9043928,0.08301008,
1529669782631,1.181131,0.6675767,-0.9400104,1.151825,0.691973,-0.9394712,1.12979,0.7068855,-0.9351967,1.15444,0.7209718,-0.8907459,1.135433,0.7411234,-0.8757048,1.122586,0.7525083,-0.8667389,1.159041,0.7125791,-0.871628,1.137495,0.7341162,-0.8525015,1.122552,0.7461681,-0.8414338,1.167642,0.6964141,-0.8578227,1.148151,0.7149292,-0.837052,1.133963,0.7257101,-0.8245586,1.175384,0.6764917,-0.8486413,1.162534,0.6882734,-0.8296503,1.152421,0.6955609,-0.8177052,1.188156,0.6701682,-0.9026829,0.08258221,
1529669782650,1.181583,0.6693438,-0.9379888,1.152176,0.6935704,-0.9373356,1.130009,0.7081839,-0.932753,1.154347,0.7227393,-0.889095,1.13544,0.7428701,-0.8739012,1.122663,0.7542582,-0.8648373,1.158787,0.7144739,-0.8699919,1.137255,0.7360373,-0.8508822,1.122324,0.7481132,-0.8398215,1.167311,0.6984774,-0.8561608,1.147818,0.7171706,-0.835552,1.13363,0.7280676,-0.8231599,1.174998,0.6787118,-0.8469374,1.162103,0.6908228,-0.8281848,1.151967,0.6983299,-0.816397,1.188231,0.672056,-0.9007567,0.08239748,
1529669782677,1.180392,0.6714587,-0.9354008,1.150901,0.6954894,-0.9338925,1.128692,0.7097689,-0.9285179,1.153873,0.7249317,-0.8862822,1.135462,0.7450927,-0.8705341,1.122896,0.7564461,-0.8611405,1.158355,0.7166276,-0.8672533,1.137361,0.7382693,-0.8476496,1.122651,0.7503554,-0.8363068,1.166861,0.7006222,-0.8535743,1.147951,0.7195084,-0.832608,1.134017,0.7304956,-0.8200125,1.174415,0.6808661,-0.8445588,1.161968,0.6932628,-0.8256946,1.152036,0.7009495,-0.8138522,1.187188,0.6741173,-0.8985052,0.08217099,
1529669782704,1.179827,0.6728655,-0.9313928,1.149861,0.6960284,-0.9275487,1.127605,0.7095235,-0.9205669,1.156123,0.7259543,-0.8804454,1.138412,0.745764,-0.8635383,1.125848,0.7565532,-0.853513,1.161343,0.7171391,-0.8616636,1.141399,0.7383612,-0.8405994,1.126997,0.7500087,-0.8284383,1.170414,0.7008064,-0.8486155,1.152874,0.7193273,-0.8262117,1.139431,0.729921,-0.8127874,1.178114,0.6807081,-0.840382,1.166891,0.6926777,-0.8205137,1.157466,0.7000179,-0.8080618,1.188456,0.6751655,-0.8951337,0.08192132,
1529669782730,1.18067,0.671643,-0.9281114,1.150342,0.6940722,-0.9229594,1.128054,0.7069563,-0.9150187,1.158633,0.7247207,-0.8763548,1.14118,0.7442341,-0.8588833,1.128528,0.7545998,-0.8485361,1.164427,0.7157658,-0.8577642,1.144851,0.7366275,-0.8360322,1.130528,0.7479387,-0.8234675,1.174063,0.6994176,-0.8450412,1.157084,0.7176186,-0.8219795,1.143795,0.7278848,-0.8081584,1.182126,0.679311,-0.8371629,1.171513,0.6910672,-0.8168513,1.1623,0.6981957,-0.8041265,1.190704,0.6741086,-0.8922662,0.08179281,
1529669782758,1.183557,0.669444,-0.9245594,1.152743,0.6908852,-0.9183174,1.13031,0.7028496,-0.9094437,1.161657,0.7219735,-0.8722377,1.14415,0.7408305,-0.854137,1.131371,0.750638,-0.8434101,1.167921,0.7130883,-0.8538696,1.148396,0.7333803,-0.8315654,1.134134,0.7443209,-0.818603,1.178094,0.6969367,-0.8414533,1.161235,0.7147098,-0.8179802,1.148016,0.7246575,-0.8038583,1.186666,0.6770878,-0.8338956,1.176232,0.6887665,-0.813453,1.167065,0.6957821,-0.8006333,1.194307,0.6721286,-0.8891029,0.08151866,
1529669782784,1.188376,0.6674441,-0.919008,1.156946,0.6871955,-0.9107385,1.134437,0.697529,-0.9002149,1.166639,0.7182497,-0.8649981,1.149437,0.7358953,-0.8454571,1.136783,0.7448103,-0.833838,1.17364,0.7092566,-0.8471215,1.154478,0.7283267,-0.8234611,1.140495,0.7385033,-0.8095971,1.184577,0.6933091,-0.8355088,1.168019,0.710075,-0.8110963,1.155046,0.7193552,-0.7962996,1.193941,0.6738172,-0.8287644,1.183766,0.6850668,-0.8079561,1.174747,0.691734,-0.7948478,1.200122,0.6700157,-0.8841833,0.08152858,
1529669782817,1.190583,0.6675553,-0.9120529,1.158659,0.6856585,-0.9021465,1.136221,0.6944428,-0.8902397,1.168689,0.7167673,-0.8567131,1.151587,0.7333026,-0.8361434,1.139034,0.7414289,-0.8238573,1.176556,0.7078148,-0.8392216,1.157554,0.7256481,-0.8144813,1.143774,0.7350391,-0.7998776,1.188434,0.692222,-0.8282537,1.1721,0.7079279,-0.802985,1.159431,0.7165384,-0.7875295,1.198808,0.6731954,-0.8221502,1.188898,0.6838716,-0.8009146,1.180069,0.6900799,-0.7874565,1.20337,0.6703769,-0.8778384,0.0813771,
1529669782837,1.190667,0.6683259,-0.9061158,1.158268,0.6846753,-0.8945963,1.135829,0.6926006,-0.8820561,1.169779,0.7161136,-0.8489563,1.153052,0.7317873,-0.8274489,1.140622,0.7390841,-0.8145461,1.179155,0.7070954,-0.8318062,1.160947,0.7236287,-0.8056221,1.147479,0.7319427,-0.7901129,1.192335,0.6916213,-0.8215951,1.176986,0.7056992,-0.7947984,1.164814,0.7130494,-0.7783295,1.203871,0.6727673,-0.8163425,1.194924,0.6818463,-0.7939625,1.186592,0.6868145,-0.7796962,1.205232,0.6714113,-0.8725477,0.08210535,
1529669782863,1.193912,0.6698191,-0.8982419,1.161154,0.6840672,-0.8850708,1.138813,0.6904114,-0.8714924,1.172591,0.7159972,-0.8400126,1.155842,0.730944,-0.81802,1.143399,0.7376199,-0.8048098,1.18302,0.7069241,-0.8230715,1.165224,0.7223766,-0.7959729,1.15194,0.7298373,-0.7798988,1.197073,0.6914785,-0.813403,1.182238,0.7040425,-0.7855905,1.170416,0.710312,-0.7684482,1.209415,0.672707,-0.8088436,1.200824,0.6801066,-0.7857293,1.192683,0.6838059,-0.7709907,1.209308,0.6730288,-0.865208,0.08183062,
1529669782890,1.195309,0.6703743,-0.8900239,1.162491,0.6820518,-0.8747376,1.140719,0.6863912,-0.8595697,1.17359,0.7159157,-0.831615,1.157167,0.7302696,-0.8089851,1.145044,0.7364873,-0.7952684,1.1853,0.7075541,-0.8149604,1.168217,0.7223651,-0.7870653,1.155342,0.7292084,-0.7704047,1.200444,0.6927449,-0.8057425,1.186344,0.7044611,-0.7771963,1.175005,0.710012,-0.7594914,1.213827,0.6744685,-0.8016196,1.205793,0.6809617,-0.7780473,1.19797,0.6838434,-0.7629664,1.211586,0.6748574,-0.8580574,0.08162709,
1529669782918,1.198775,0.6706905,-0.8720303,1.167626,0.6789839,-0.8519175,1.148601,0.6806203,-0.833029,1.179526,0.7158716,-0.8128068,1.165294,0.7292264,-0.788136,1.154863,0.7347842,-0.7728188,1.193875,0.7095861,-0.7976608,1.179372,0.7236933,-0.7679844,1.168251,0.7298367,-0.7498428,1.211161,0.6967418,-0.7900977,1.19945,0.7080098,-0.7603139,1.189809,0.7130333,-0.7414675,1.226615,0.6800002,-0.7871662,1.220519,0.6863238,-0.7629764,1.214013,0.6887388,-0.7472015,1.217734,0.6781653,-0.8430428,0.08122938,
1529669782943,1.20203,0.6719581,-0.8579196,1.173592,0.6778468,-0.8334904,1.157495,0.6775143,-0.8120348,1.186975,0.7162451,-0.7971123,1.175236,0.7287276,-0.7707457,1.166385,0.7336689,-0.7542728,1.202772,0.709927,-0.7833562,1.191246,0.7228389,-0.7518982,1.181943,0.7281125,-0.7325072,1.220388,0.697393,-0.7777712,1.210924,0.7076207,-0.7468389,1.202826,0.7119935,-0.7271205,1.236115,0.6810162,-0.7765741,1.231429,0.6865976,-0.751894,1.22577,0.688338,-0.7357313,1.222914,0.6800188,-0.8314164,0.08104826,
1529669782971,1.205137,0.6728933,-0.8353266,1.18111,0.6751291,-0.8060545,1.169648,0.672222,-0.7820125,1.194941,0.7169402,-0.7734086,1.186085,0.7281352,-0.7454001,1.179185,0.7320435,-0.7277495,1.212764,0.7115141,-0.7618467,1.204631,0.7228026,-0.7287732,1.197465,0.7266723,-0.7081742,1.231231,0.70035,-0.7588888,1.224402,0.7094189,-0.7269441,1.217956,0.7126466,-0.7064102,1.247124,0.6844693,-0.7597968,1.243675,0.6888683,-0.7346387,1.239428,0.6900262,-0.7179859,1.227944,0.683375,-0.812659,0.08132678,
1529669782998,1.206939,0.6730794,-0.8195727,1.187425,0.6714967,-0.7871184,1.180213,0.6659201,-0.761972,1.201982,0.715396,-0.7555515,1.196088,0.7248938,-0.726202,1.191059,0.7273877,-0.7076898,1.221094,0.7099128,-0.7462057,1.216294,0.7187561,-0.7118028,1.211124,0.7206408,-0.6903567,1.239826,0.6995299,-0.7458913,1.235689,0.7064509,-0.7130018,1.230773,0.7077461,-0.6918529,1.25537,0.682988,-0.7491243,1.253003,0.6837279,-0.7234741,1.249701,0.6825234,-0.7065613,1.23149,0.6847013,-0.7996288,0.08271904,
1529669783030,1.211804,0.6712968,-0.7993596,1.196426,0.6662092,-0.7652042,1.193384,0.6581495,-0.7400177,1.209672,0.711566,-0.7337215,1.205478,0.71979,-0.7037244,1.201641,0.7212893,-0.6848408,1.229396,0.70635,-0.7261362,1.226204,0.7132931,-0.6911482,1.22215,0.7137556,-0.6694021,1.248354,0.6968344,-0.7278047,1.2453,0.7015991,-0.6944931,1.240875,0.7007878,-0.67324,1.262428,0.6790097,-0.7332739,1.257325,0.6740263,-0.7087037,1.251334,0.6679047,-0.6936773,1.237055,0.6838596,-0.7812305,0.08425728,
1529669783051,1.213913,0.6681671,-0.7882681,1.200421,0.6617904,-0.753563,1.199178,0.6530119,-0.7285024,1.212069,0.7077843,-0.7222511,1.20854,0.7157416,-0.6920739,1.205304,0.7172325,-0.6730753,1.231826,0.7031381,-0.7153252,1.228951,0.7097327,-0.6802227,1.225312,0.7100669,-0.6584003,1.250966,0.6941501,-0.7176425,1.248111,0.6982918,-0.6842182,1.243995,0.6970528,-0.6629297,1.264673,0.6757064,-0.7241762,1.257542,0.6670769,-0.7017207,1.248672,0.6566885,-0.6909125,1.238893,0.6816041,-0.7709091,0.08505274,
1529669783078,1.221728,0.664764,-0.7726753,1.210827,0.6562797,-0.7376018,1.212521,0.6462786,-0.7132077,1.219676,0.7034329,-0.7059925,1.21696,0.7108496,-0.6755872,1.214413,0.7120076,-0.6564658,1.239328,0.6994286,-0.6997294,1.236772,0.7052752,-0.6644382,1.233672,0.7054154,-0.642521,1.258678,0.6913739,-0.7028035,1.255929,0.6944965,-0.6692544,1.252049,0.6924216,-0.6480032,1.272109,0.6719115,-0.7110677,1.263303,0.6589812,-0.692986,1.253027,0.6457698,-0.6904778,1.246186,0.6793671,-0.7559083,0.08685357,
1529669783105,1.234618,0.6546008,-0.7488732,1.225036,0.6441857,-0.7138897,1.228445,0.6339815,-0.6899232,1.227849,0.6936382,-0.6823707,1.224294,0.7002201,-0.6519008,1.22149,0.7002099,-0.6328014,1.247535,0.6917652,-0.676003,1.243887,0.6971854,-0.6407654,1.240357,0.6965939,-0.6189311,1.267832,0.6857327,-0.6788874,1.26457,0.6884938,-0.645398,1.260641,0.6856652,-0.6242462,1.282453,0.666376,-0.6876537,1.273784,0.6511399,-0.6728425,1.264674,0.6374363,-0.676012,1.256949,0.6723033,-0.732028,0.08773528,
1529669783130,1.242154,0.6486238,-0.7336013,1.234421,0.6368353,-0.6985961,1.239633,0.6265339,-0.6751255,1.234249,0.6869193,-0.6666152,1.231251,0.6920814,-0.6358774,1.229045,0.6905491,-0.6167785,1.253835,0.6865564,-0.6607755,1.250379,0.6909307,-0.6254241,1.247116,0.6890616,-0.6036386,1.274586,0.6819059,-0.664119,1.271929,0.683758,-0.630558,1.268584,0.6798795,-0.6094841,1.289927,0.6630176,-0.6738225,1.28225,0.6465079,-0.6606315,1.27405,0.6329803,-0.6659427,1.263352,0.6681412,-0.717119,0.08726074,
