time,thumb1x,thumb1y,thumb1z,thumb2x,thumb2y,thumb2z,thumb3x,thumb3y,thumb3z,index1x,index1y,index1z,index2x,index2y,index2z,index3x,index3y,index3z,middle1x,middle1y,middle1z,middle2x,middle2y,middle2z,middle3x,middle3y,middle3z,ring1x,ring1y,ring1z,ring2x,ring2y,ring2z,ring3x,ring3y,ring3z,pinky1x,pinky1y,pinky1z,pinky2x,pinky2y,pinky2z,pinky3x,pinky3y,pinky3z,palmx,palmy,palmz,pinch,
1529669764903,0.8611683,0.5171567,-0.9013248,0.8311966,0.4995448,-0.8860762,0.8163727,0.4837053,-0.8708028,0.8190953,0.5392469,-0.8380869,0.7996184,0.5378435,-0.8140993,0.7871927,0.5299004,-0.801898,0.8319303,0.5319419,-0.8232558,0.8092541,0.5243909,-0.797523,0.7946256,0.5121572,-0.7867643,0.8502631,0.5251883,-0.8169008,0.8281114,0.5174178,-0.793135,0.8129838,0.5063782,-0.7824106,0.8688321,0.507853,-0.821156,0.8543565,0.4903295,-0.8185362,0.8496358,0.479079,-0.8299368,0.8711472,0.5275109,-0.8684099,0.08793937,
1529669764930,0.8648997,0.5241054,-0.9054821,0.8354896,0.5058455,-0.8898661,0.8206814,0.4898471,-0.8745641,0.8232925,0.5483012,-0.8421044,0.8039094,0.548924,-0.8179538,0.7912112,0.5425962,-0.8050058,0.8370004,0.5412632,-0.8266411,0.8154541,0.5360174,-0.7992746,0.8009982,0.5254165,-0.7865912,0.8553971,0.5344582,-0.8203723,0.834388,0.5287142,-0.7949662,0.8195896,0.5190419,-0.7825428,0.8734878,0.5172698,-0.8235217,0.8586954,0.5007123,-0.8177851,0.8528529,0.4886274,-0.8276012,0.8749846,0.5353179,-0.8727682,0.09213746,
1529669764956,0.8674684,0.5304837,-0.9095396,0.839152,0.5110642,-0.8932106,0.824875,0.494527,-0.877885,0.8275676,0.5549911,-0.8446983,0.8086956,0.5570064,-0.820105,0.7960955,0.5520599,-0.8064331,0.8427797,0.5483704,-0.8291271,0.8232001,0.5451204,-0.7998983,0.8095082,0.535982,-0.7853556,0.8615935,0.5413545,-0.8234709,0.8427402,0.5369977,-0.7961042,0.8289453,0.5283822,-0.7818503,0.8797019,0.5253753,-0.8257069,0.8651971,0.5105341,-0.8147822,0.8572515,0.4974814,-0.8208977,0.8784106,0.5418898,-0.8770828,0.09614405,
1529669764983,0.8703282,0.5347704,-0.9124401,0.8420141,0.5155278,-0.8958162,0.8272697,0.4993063,-0.8804986,0.831004,0.5617585,-0.8478542,0.812101,0.5655647,-0.823364,0.7993091,0.562372,-0.809323,0.8467352,0.55523,-0.8319324,0.8278924,0.5541164,-0.8019112,0.8144208,0.5469539,-0.7860491,0.865774,0.5480895,-0.8261184,0.8481004,0.5459082,-0.7976288,0.834831,0.5391198,-0.7819212,0.8845105,0.5331035,-0.8266425,0.8711372,0.5215123,-0.8099025,0.861133,0.5084495,-0.8095088,0.8815531,0.546845,-0.8801738,0.09912137,
1529669765017,0.8756076,0.5395212,-0.9166186,0.8463633,0.5214903,-0.9000447,0.8299547,0.5065963,-0.8849632,0.8357109,0.5721958,-0.8544936,0.8164597,0.5787926,-0.8307763,0.8033375,0.577871,-0.8166853,0.8514207,0.5660545,-0.8375844,0.8326,0.5673403,-0.8075483,0.8189952,0.5616495,-0.7911963,0.8701596,0.559008,-0.8310415,0.8524194,0.5592455,-0.8025486,0.8389335,0.5538633,-0.7864664,0.8894635,0.5451002,-0.8294565,0.8773794,0.5384978,-0.8084199,0.8667611,0.5286426,-0.7994453,0.8864505,0.5538016,-0.8847761,0.1022273,
1529669765050,0.8811121,0.5436947,-0.9209013,0.850221,0.5275082,-0.9052388,0.8311498,0.5145024,-0.8914126,0.8406292,0.5817475,-0.8618068,0.8213154,0.5902832,-0.8387319,0.8080518,0.5908536,-0.8247371,0.8554034,0.575745,-0.8440979,0.8359694,0.5788054,-0.8145382,0.8219445,0.5745403,-0.7980621,0.8732153,0.5690236,-0.8368711,0.8541299,0.5717052,-0.8093841,0.8397031,0.5679899,-0.7936273,0.8928226,0.5555439,-0.833263,0.8810749,0.553129,-0.8107941,0.8710556,0.5478374,-0.7977861,0.8913528,0.5599023,-0.8894075,0.1039646,
1529669765077,0.8868217,0.54984,-0.9262543,0.8549972,0.5352378,-0.910805,0.8343085,0.523807,-0.8978001,0.8471398,0.5915569,-0.8688902,0.8282322,0.60098,-0.8458345,0.8151323,0.602066,-0.8317167,0.8612195,0.5856062,-0.8510162,0.8415138,0.5894238,-0.8217218,0.8272825,0.5857108,-0.805272,0.8784015,0.5791546,-0.8436345,0.8584825,0.5832512,-0.8169196,0.8434767,0.5805166,-0.8014883,0.8979377,0.5658349,-0.8390208,0.8860333,0.5656854,-0.8163923,0.876132,0.5625628,-0.8025855,0.897227,0.5672684,-0.895255,0.1042076,
1529669765090,0.888213,0.5517421,-0.9280372,0.8561145,0.5376011,-0.9127094,0.835013,0.5266027,-0.8999712,0.848805,0.5942624,-0.8710489,0.8300083,0.6038647,-0.8479797,0.8169501,0.6050454,-0.8338321,0.8626882,0.5882772,-0.8531461,0.8429019,0.5922204,-0.8239222,0.8286083,0.5886023,-0.8075029,0.8797058,0.5818528,-0.8457305,0.8595771,0.5862192,-0.819216,0.8444273,0.5836806,-0.8038887,0.8991778,0.5685574,-0.8409035,0.8871382,0.5688144,-0.8183473,0.8771654,0.566045,-0.804513,0.8987055,0.569369,-0.8971103,0.104182,
1529669765116,0.8922347,0.5557939,-0.931794,0.8591813,0.5433421,-0.9170031,0.8369046,0.5337829,-0.905091,0.8540268,0.6003579,-0.8755816,0.83554,0.6104338,-0.8524952,0.8225561,0.6117224,-0.8383009,0.8673311,0.5942259,-0.857681,0.8472057,0.5984627,-0.82876,0.8326259,0.5948936,-0.8125931,0.8839971,0.5876454,-0.8501302,0.8633039,0.5923215,-0.8241605,0.8477076,0.5897378,-0.8093123,0.9033051,0.5745809,-0.8448371,0.8908893,0.5758693,-0.8225609,0.8804978,0.5736398,-0.8089411,0.9032406,0.5738229,-0.9010043,0.1036405,
1529669765143,0.895986,0.5598165,-0.937595,0.861515,0.5502102,-0.9239241,0.8379629,0.5427734,-0.9129912,0.8599032,0.6073318,-0.882423,0.8418631,0.6187327,-0.8596011,0.8289632,0.6208179,-0.845438,0.8725127,0.6011008,-0.8644451,0.8520164,0.6065086,-0.8360112,0.8370229,0.6035353,-0.8201169,0.8887162,0.5938944,-0.8566013,0.8674742,0.5992505,-0.8312485,0.8514143,0.5969148,-0.8168818,0.9077098,0.5809031,-0.8507308,0.894875,0.5833853,-0.828859,0.88366,0.581167,-0.8159724,0.9080112,0.5780315,-0.9067398,0.1036116,
