time,thumb1x,thumb1y,thumb1z,thumb2x,thumb2y,thumb2z,thumb3x,thumb3y,thumb3z,index1x,index1y,index1z,index2x,index2y,index2z,index3x,index3y,index3z,middle1x,middle1y,middle1z,middle2x,middle2y,middle2z,middle3x,middle3y,middle3z,ring1x,ring1y,ring1z,ring2x,ring2y,ring2z,ring3x,ring3y,ring3z,pinky1x,pinky1y,pinky1z,pinky2x,pinky2y,pinky2z,pinky3x,pinky3y,pinky3z,palmx,palmy,palmz,pinch,
1529669884021,1.191734,0.600849,-0.5879892,1.189892,0.5781257,-0.5578019,1.198255,0.5619392,-0.5387776,1.189609,0.6109096,-0.5125999,1.189552,0.597629,-0.4847153,1.189905,0.5835255,-0.4716333,1.208942,0.6120087,-0.5096122,1.207585,0.5962757,-0.477973,1.205976,0.5805864,-0.4625384,1.229813,0.6126059,-0.5166042,1.229787,0.5961187,-0.4877729,1.228142,0.5792682,-0.4743515,1.24782,0.6081157,-0.5291882,1.2465,0.5906571,-0.5136753,1.240857,0.5754568,-0.5159619,1.213294,0.6175946,-0.5686378,0.07102146,
1529669884053,1.191261,0.6120396,-0.5973067,1.186757,0.5896442,-0.5669739,1.192427,0.5731387,-0.5471576,1.188989,0.6196753,-0.5226873,1.187091,0.6027324,-0.4971537,1.186504,0.5862025,-0.4874214,1.208795,0.620923,-0.519471,1.206127,0.6028177,-0.4892045,1.203682,0.5860335,-0.4750782,1.230412,0.6227307,-0.5258051,1.230377,0.6069963,-0.4962596,1.228876,0.5915273,-0.4811539,1.248692,0.618091,-0.5382674,1.247872,0.6010213,-0.5215483,1.242279,0.5860611,-0.5226768,1.213975,0.6281216,-0.5778531,0.0614342,
1529669884104,1.191003,0.6289392,-0.6101134,1.180897,0.6078662,-0.5798901,1.180073,0.5914673,-0.5589693,1.188451,0.6326451,-0.5374948,1.182608,0.6107554,-0.5176635,1.180446,0.5921106,-0.5146089,1.209291,0.6342803,-0.5329214,1.203451,0.6137258,-0.5049934,1.198777,0.594985,-0.4948876,1.23171,0.6353564,-0.5387348,1.229658,0.6181631,-0.5102264,1.226179,0.6012226,-0.4975355,1.250847,0.6309643,-0.5505924,1.250786,0.6154799,-0.531134,1.245495,0.6010188,-0.5284383,1.216106,0.6428139,-0.5904484,0.0443667,
1529669884121,1.190232,0.6369799,-0.6161606,1.17765,0.6167725,-0.5862145,1.174386,0.6005968,-0.5653165,1.187924,0.6394449,-0.5439032,1.17969,0.6173011,-0.5254527,1.176202,0.5986788,-0.5237319,1.209283,0.6401829,-0.5389104,1.201681,0.6206535,-0.5103599,1.195653,0.6030029,-0.4990734,1.231837,0.6396447,-0.5448827,1.22841,0.6226108,-0.5163057,1.22387,0.6063153,-0.5029717,1.25108,0.6345772,-0.5566674,1.250533,0.6196798,-0.5366295,1.244813,0.6053734,-0.5322295,1.216806,0.64873,-0.5964144,0.04166834,
1529669884146,1.188283,0.6495785,-0.627893,1.173427,0.6310421,-0.5978547,1.16754,0.6155668,-0.5770137,1.188639,0.6508889,-0.5561579,1.177123,0.6291739,-0.5403392,1.171755,0.6111867,-0.5425655,1.21088,0.6496058,-0.5511714,1.201705,0.6329041,-0.5210022,1.194301,0.6186785,-0.5057345,1.23296,0.6460469,-0.5581735,1.22848,0.6310704,-0.5283884,1.222896,0.6171285,-0.5127981,1.251382,0.6386495,-0.5707783,1.251153,0.6256177,-0.5489793,1.245705,0.6128004,-0.5401287,1.217234,0.6571723,-0.6091649,0.03498049,
1529669884173,1.186594,0.6572204,-0.6387137,1.171592,0.6392487,-0.6083914,1.165272,0.6241547,-0.5874381,1.188107,0.6588364,-0.5672961,1.175728,0.6375313,-0.5528579,1.170623,0.6203609,-0.5578533,1.210949,0.6574894,-0.5622334,1.202098,0.6431351,-0.5306243,1.195024,0.6310537,-0.5135041,1.232659,0.6530787,-0.5697995,1.228385,0.6398965,-0.5390698,1.223064,0.6275766,-0.5220314,1.250816,0.6450961,-0.582734,1.251575,0.6339452,-0.55975,1.247692,0.6227035,-0.5478343,1.216232,0.6638858,-0.620681,0.03030309,
1529669884199,1.186243,0.6656169,-0.6531825,1.171491,0.6481743,-0.6224159,1.164771,0.6337177,-0.6010844,1.188991,0.6686745,-0.5819178,1.176576,0.6477526,-0.5677266,1.17197,0.631052,-0.5738667,1.212218,0.667873,-0.5769966,1.203752,0.6550251,-0.5446618,1.196732,0.6435596,-0.5271236,1.233865,0.6631413,-0.5850065,1.230283,0.6514801,-0.5535624,1.225466,0.6402255,-0.5356255,1.252018,0.6550647,-0.5981575,1.254106,0.6457806,-0.5743474,1.252406,0.6365148,-0.5599806,1.216277,0.6725807,-0.6358451,0.02827949,
1529669884234,1.186235,0.6721462,-0.6679549,1.171209,0.6553084,-0.6369786,1.163681,0.6415904,-0.6153802,1.189941,0.6767359,-0.5966904,1.177569,0.6562282,-0.5825016,1.173295,0.6397736,-0.5891994,1.213145,0.6764084,-0.5919498,1.20439,0.6646391,-0.5593742,1.197021,0.6534649,-0.5417697,1.234978,0.6713896,-0.6001609,1.231799,0.661067,-0.5682129,1.227337,0.6507838,-0.5495831,1.253193,0.6631652,-0.6134173,1.255973,0.6551948,-0.5892224,1.255684,0.64757,-0.5737134,1.216742,0.6794885,-0.6510206,0.02794925,
1529669884266,1.182486,0.6753817,-0.685202,1.167814,0.6582116,-0.6542393,1.1606,0.6444691,-0.6325711,1.186379,0.6814414,-0.6137186,1.175363,0.6606058,-0.5989542,1.172177,0.6438042,-0.6052936,1.209366,0.6826237,-0.6091869,1.200899,0.6704282,-0.5768297,1.193773,0.6582648,-0.5597962,1.231573,0.6789652,-0.6173421,1.228738,0.6687773,-0.5854009,1.22455,0.6580446,-0.5669637,1.250448,0.6719807,-0.6304834,1.253559,0.664708,-0.6061964,1.253532,0.6572362,-0.5906069,1.212876,0.6849571,-0.6682897,0.02963986,
1529669884293,1.177767,0.6796869,-0.7011217,1.163935,0.6629593,-0.6695372,1.157934,0.6491295,-0.6476527,1.183877,0.685974,-0.6297402,1.173053,0.6654912,-0.6145906,1.16926,0.6488823,-0.6210387,1.206931,0.6866724,-0.6258551,1.199471,0.6752851,-0.5929042,1.192842,0.6639074,-0.5751317,1.228582,0.6823298,-0.6345967,1.226547,0.672892,-0.6022955,1.222896,0.6629965,-0.5832818,1.246898,0.6746913,-0.6481817,1.250721,0.6678435,-0.6238117,1.251203,0.6608379,-0.6080192,1.208718,0.6884568,-0.685118,0.02892481,
