time,thumb1x,thumb1y,thumb1z,thumb2x,thumb2y,thumb2z,thumb3x,thumb3y,thumb3z,index1x,index1y,index1z,index2x,index2y,index2z,index3x,index3y,index3z,middle1x,middle1y,middle1z,middle2x,middle2y,middle2z,middle3x,middle3y,middle3z,ring1x,ring1y,ring1z,ring2x,ring2y,ring2z,ring3x,ring3y,ring3z,pinky1x,pinky1y,pinky1z,pinky2x,pinky2y,pinky2z,pinky3x,pinky3y,pinky3z,palmx,palmy,palmz,pinch,
1529669538057,1.215468,0.6993409,-0.8861868,1.191979,0.7181537,-0.8704284,1.175998,0.7218375,-0.8548284,1.193598,0.7322807,-0.8318727,1.171581,0.7346691,-0.8192329,1.156645,0.7290992,-0.8194851,1.198291,0.7212271,-0.8178651,1.173487,0.7268488,-0.8034626,1.155298,0.723942,-0.8035098,1.20685,0.7045771,-0.8096172,1.185477,0.7118339,-0.7925055,1.167767,0.7125475,-0.7878929,1.213806,0.6861584,-0.8063234,1.199905,0.6926048,-0.7910999,1.186485,0.6949676,-0.7860218,1.224014,0.6922106,-0.8560991,0.04094416,
1529669538083,1.210071,0.7109665,-0.8929663,1.188056,0.7308415,-0.8767631,1.172506,0.73452,-0.8607849,1.190667,0.7452919,-0.8385724,1.169083,0.7485772,-0.8262106,1.154461,0.743127,-0.8279673,1.194382,0.7341036,-0.8246943,1.170116,0.7410495,-0.8109452,1.152368,0.7382613,-0.8130674,1.201343,0.7168727,-0.816685,1.18002,0.7252402,-0.8007103,1.16212,0.7258853,-0.7988231,1.207011,0.6982426,-0.8133981,1.193583,0.7060983,-0.7985709,1.180126,0.70938,-0.7944911,1.21775,0.7033119,-0.863133,0.03842819,
1529669538098,1.203127,0.7214949,-0.8997528,1.182353,0.7418283,-0.8826602,1.167217,0.7454008,-0.8662984,1.186477,0.7558587,-0.8447188,1.165225,0.7590299,-0.8331498,1.151949,0.7530771,-0.837486,1.189405,0.7445239,-0.8313315,1.165443,0.7518193,-0.8188667,1.14893,0.7484195,-0.8238887,1.195177,0.7267377,-0.8237217,1.173848,0.7355559,-0.8087223,1.15638,0.7357534,-0.8096546,1.200339,0.7081224,-0.820537,1.187787,0.7169417,-0.8057494,1.174374,0.7207941,-0.8027362,1.210579,0.7130436,-0.8703495,0.03349925,
1529669538124,1.193961,0.7347405,-0.9006675,1.175661,0.754303,-0.8802179,1.161675,0.7568426,-0.8626945,1.182978,0.767588,-0.846154,1.161533,0.7693474,-0.8398994,1.151818,0.7624784,-0.8495339,1.185057,0.7559495,-0.8335624,1.161074,0.7627796,-0.8262299,1.148137,0.7579736,-0.83683,1.187759,0.736654,-0.8275197,1.164813,0.743268,-0.8204811,1.151577,0.7402354,-0.8312744,1.193169,0.7181991,-0.8235393,1.18165,0.7277268,-0.8083486,1.168824,0.7323941,-0.8065371,1.202541,0.7246988,-0.8731022,0.01738172,
1529669538150,1.191335,0.7410979,-0.9032608,1.173351,0.7593833,-0.8813189,1.159445,0.7608453,-0.8636784,1.181876,0.7737694,-0.8518963,1.160152,0.774738,-0.8503792,1.153207,0.7671466,-0.861943,1.181946,0.7615646,-0.8406137,1.157832,0.7663711,-0.8404551,1.149668,0.7595401,-0.8544959,1.183491,0.7421006,-0.8344511,1.160834,0.7471101,-0.8343751,1.152677,0.7426215,-0.8490536,1.186789,0.7244881,-0.8298565,1.171188,0.7327489,-0.8234533,1.161867,0.7330007,-0.8327687,1.200293,0.7310569,-0.8767936,0.009034943,
1529669538177,1.185506,0.7487122,-0.9100927,1.167373,0.765625,-0.887025,1.153503,0.7658599,-0.8694819,1.177607,0.7820671,-0.8633149,1.156027,0.7817173,-0.8663146,1.151627,0.7728979,-0.878494,1.176184,0.7692958,-0.853259,1.152738,0.771721,-0.8594753,1.148768,0.7631411,-0.8746742,1.176601,0.7502196,-0.8469836,1.155035,0.7534884,-0.8535835,1.151808,0.7476172,-0.8699247,1.177364,0.7335173,-0.8425409,1.161178,0.7399098,-0.8447338,1.157166,0.7374548,-0.8579355,1.194926,0.7396599,-0.8846141,0.01158753,
1529669538213,1.179931,0.7524407,-0.9179423,1.161132,0.7685142,-0.8946608,1.14712,0.7678836,-0.8774937,1.172871,0.7873667,-0.8752832,1.151576,0.7857271,-0.880953,1.148333,0.7754931,-0.8924803,1.170746,0.7742689,-0.8656588,1.148152,0.7747526,-0.8756671,1.146423,0.7649165,-0.8905588,1.170501,0.7555747,-0.8592619,1.150362,0.7572865,-0.8702397,1.150378,0.7504822,-0.8865194,1.170081,0.7393003,-0.8545877,1.154675,0.7444357,-0.8615904,1.153977,0.7412095,-0.8753064,1.189653,0.7449702,-0.8928804,0.01685151,
1529669538244,1.17542,0.7534647,-0.9278803,1.154799,0.7697988,-0.90617,1.139907,0.7697463,-0.8897972,1.166063,0.7914569,-0.888202,1.144405,0.7895933,-0.8946779,1.140296,0.7787291,-0.9054435,1.163544,0.7785949,-0.8780712,1.140832,0.7783531,-0.8893522,1.138662,0.7678872,-0.9038537,1.16321,0.76007,-0.8711824,1.143558,0.7605451,-0.883974,1.144305,0.7527557,-0.89977,1.162591,0.7438079,-0.8660172,1.147808,0.7479447,-0.8753394,1.148853,0.7443427,-0.8888507,1.184249,0.7482047,-0.9023523,0.01804578,
1529669538270,1.170738,0.755361,-0.9347359,1.149698,0.7722418,-0.9137421,1.134562,0.7727431,-0.8976715,1.160745,0.7943985,-0.8955973,1.13889,0.7928734,-0.9019686,1.134202,0.7820475,-0.9125881,1.158087,0.7816664,-0.8853005,1.135191,0.7815647,-0.8965589,1.132463,0.7709868,-0.9109548,1.157699,0.7631385,-0.8783261,1.138083,0.7633473,-0.8913105,1.138684,0.7550697,-0.9069124,1.157011,0.746712,-0.8730983,1.142476,0.7505554,-0.8829523,1.144053,0.7468402,-0.8963518,1.179227,0.7506667,-0.9089947,0.01758432,
1529669538297,1.164043,0.7579168,-0.9425232,1.142508,0.7750874,-0.9221941,1.127171,0.7759182,-0.9063821,1.152903,0.7978021,-0.9036168,1.130788,0.7965554,-0.9096195,1.125513,0.7858889,-0.9201548,1.150292,0.7851905,-0.8931242,1.127065,0.7852095,-0.9040322,1.123689,0.7746685,-0.9183702,1.1501,0.7666348,-0.8860714,1.130245,0.7665854,-0.8988926,1.130401,0.7579861,-0.9143804,1.149611,0.7500417,-0.8807559,1.135015,0.7535417,-0.890708,1.136585,0.7496908,-0.9040855,1.17227,0.7537327,-0.9165417,0.01708362,
