time,thumb1x,thumb1y,thumb1z,thumb2x,thumb2y,thumb2z,thumb3x,thumb3y,thumb3z,index1x,index1y,index1z,index2x,index2y,index2z,index3x,index3y,index3z,middle1x,middle1y,middle1z,middle2x,middle2y,middle2z,middle3x,middle3y,middle3z,ring1x,ring1y,ring1z,ring2x,ring2y,ring2z,ring3x,ring3y,ring3z,pinky1x,pinky1y,pinky1z,pinky2x,pinky2y,pinky2z,pinky3x,pinky3y,pinky3z,palmx,palmy,palmz,pinch,
1529669927720,1.257568,0.6385179,-0.9455692,1.221969,0.6472414,-0.9317924,1.199334,0.6518386,-0.9182306,1.233376,0.6955253,-0.8938262,1.212404,0.7065501,-0.874059,1.198221,0.706278,-0.8613961,1.24982,0.694184,-0.8777027,1.227761,0.705283,-0.8527156,1.211673,0.70419,-0.8380808,1.27051,0.6851945,-0.867743,1.252226,0.6937436,-0.8414061,1.2375,0.6918253,-0.8260244,1.290148,0.6717458,-0.8614496,1.279629,0.6768637,-0.8393365,1.268449,0.6742039,-0.8268811,1.279634,0.6574818,-0.9158623,0.07870857,
1529669927748,1.25425,0.6385722,-0.9461871,1.218141,0.647557,-0.9338967,1.194803,0.6525257,-0.9216865,1.227854,0.6955416,-0.8960023,1.205551,0.7061667,-0.8774416,1.190699,0.7059577,-0.86552,1.243859,0.6943471,-0.8792129,1.220456,0.7051173,-0.8552214,1.203783,0.7043052,-0.8411571,1.264552,0.6857131,-0.8684131,1.245304,0.6942519,-0.8426964,1.230153,0.692701,-0.8276294,1.284095,0.6722511,-0.8613025,1.272917,0.6771724,-0.8393907,1.261577,0.6747646,-0.8269721,1.275365,0.6578034,-0.9159693,0.07763048,
1529669927774,1.252049,0.6382989,-0.9454143,1.215698,0.6475269,-0.9339927,1.192002,0.6527309,-0.9225827,1.224655,0.6951808,-0.8959603,1.201688,0.7055535,-0.8780596,1.18646,0.7052948,-0.8666052,1.240279,0.6938485,-0.8787613,1.216123,0.7043633,-0.8553771,1.199063,0.7035492,-0.8417667,1.260759,0.6851798,-0.8674754,1.24082,0.6935689,-0.8422232,1.225286,0.6920362,-0.827534,1.280094,0.6715232,-0.8598812,1.268392,0.6762078,-0.8381546,1.256826,0.6738401,-0.8259217,1.272586,0.6574095,-0.9147981,0.07698815,
1529669927801,1.250916,0.6376616,-0.944171,1.214483,0.6468853,-0.9329714,1.190639,0.6521201,-0.9218778,1.223172,0.6942384,-0.8947451,1.199933,0.7043098,-0.8769994,1.184575,0.703945,-0.8657156,1.238662,0.6927837,-0.8774197,1.214223,0.70305,-0.8541772,1.19704,0.7022133,-0.8407204,1.259065,0.6840749,-0.8660166,1.238871,0.6922857,-0.840885,1.223212,0.6907489,-0.8263215,1.278312,0.6702625,-0.8583024,1.266442,0.6747182,-0.8365804,1.25485,0.672372,-0.8243591,1.271249,0.6566181,-0.9133963,0.07666021,
1529669927834,1.247502,0.6372012,-0.9427463,1.210938,0.6459123,-0.9315536,1.187002,0.6507913,-0.9204956,1.218976,0.6931089,-0.8930705,1.195548,0.7027072,-0.8752847,1.180164,0.7021061,-0.8640465,1.234422,0.69173,-0.8757119,1.209804,0.7015924,-0.8524411,1.192609,0.7006044,-0.8390115,1.254864,0.6831905,-0.8643084,1.234507,0.691083,-0.8391738,1.218843,0.6894462,-0.8246207,1.2742,0.66948,-0.8566009,1.262227,0.673671,-0.8348444,1.250695,0.6712629,-0.8225733,1.267557,0.6562508,-0.9118424,0.07659289,
1529669927854,1.245116,0.6381389,-0.9421805,1.208577,0.6464592,-0.9306142,1.184693,0.6510353,-0.9193186,1.216444,0.6934806,-0.8919891,1.193046,0.7028182,-0.87402,1.177708,0.7020417,-0.862738,1.231925,0.6919977,-0.8746865,1.207347,0.7015676,-0.8512399,1.190203,0.7004037,-0.8377699,1.252396,0.6834168,-0.8634257,1.232054,0.6909879,-0.8381713,1.216433,0.6891813,-0.8235917,1.271778,0.6696858,-0.8558975,1.259809,0.6736007,-0.8340698,1.248336,0.6710763,-0.821765,1.2651,0.6569738,-0.9112266,0.07649715,
1529669927881,1.238221,0.6390737,-0.9401728,1.201982,0.6473449,-0.9276461,1.178342,0.6518967,-0.9158299,1.21089,0.6943125,-0.8890985,1.188052,0.7036021,-0.8704069,1.173027,0.7027577,-0.8587207,1.22666,0.6926912,-0.8722191,1.202663,0.7022133,-0.8481721,1.185812,0.7009296,-0.8343675,1.247251,0.6839335,-0.8614718,1.227412,0.6913788,-0.8357964,1.212047,0.6894281,-0.8209769,1.266675,0.6700706,-0.8544337,1.255072,0.6738828,-0.8323867,1.243795,0.6713054,-0.8199183,1.258888,0.6577522,-0.9096847,0.07665873,
1529669927907,1.23413,0.639984,-0.9403273,1.19789,0.6477641,-0.9274874,1.174271,0.651974,-0.9155022,1.206454,0.6946939,-0.888849,1.183715,0.7037535,-0.8699207,1.168784,0.7027618,-0.8581303,1.222218,0.6930974,-0.8720776,1.198246,0.7023137,-0.847891,1.181455,0.7007853,-0.8340511,1.242837,0.6844249,-0.8614722,1.222945,0.6915534,-0.8357472,1.207606,0.6893749,-0.8209369,1.262346,0.670698,-0.8545856,1.250648,0.6743139,-0.8325478,1.239379,0.6716012,-0.8201014,1.254655,0.6586645,-0.9098579,0.07681827,
1529669927933,1.226841,0.6415097,-0.9396648,1.19064,0.6490177,-0.9265363,1.167018,0.6530229,-0.9144825,1.199227,0.6953646,-0.8872563,1.176666,0.7041144,-0.867981,1.161824,0.7029011,-0.8561019,1.214936,0.6935025,-0.8706023,1.191051,0.7023404,-0.8461993,1.174292,0.7005516,-0.8323578,1.235497,0.6846379,-0.8601941,1.21561,0.6913674,-0.834355,1.200273,0.6889626,-0.8195795,1.254967,0.670818,-0.8535671,1.243229,0.674144,-0.8314938,1.23196,0.6713057,-0.8190755,1.247334,0.659765,-0.9090593,0.07696178,
1529669927960,1.222808,0.6422564,-0.9397303,1.186649,0.6489766,-0.9260933,1.163171,0.6523024,-0.9135733,1.195146,0.6945261,-0.8855755,1.172953,0.7026209,-0.8656451,1.158359,0.7007449,-0.8535826,1.210883,0.6924016,-0.8691671,1.187257,0.7004394,-0.8442975,1.17065,0.6978803,-0.8304371,1.231473,0.6834623,-0.8591887,1.211732,0.6894823,-0.8330828,1.196492,0.6865122,-0.8183331,1.251038,0.669646,-0.8530544,1.239358,0.6724321,-0.8308822,1.228131,0.6691812,-0.8185412,1.243235,0.6598676,-0.9087512,0.07725742,
