time,thumb1x,thumb1y,thumb1z,thumb2x,thumb2y,thumb2z,thumb3x,thumb3y,thumb3z,index1x,index1y,index1z,index2x,index2y,index2z,index3x,index3y,index3z,middle1x,middle1y,middle1z,middle2x,middle2y,middle2z,middle3x,middle3y,middle3z,ring1x,ring1y,ring1z,ring2x,ring2y,ring2z,ring3x,ring3y,ring3z,pinky1x,pinky1y,pinky1z,pinky2x,pinky2y,pinky2z,pinky3x,pinky3y,pinky3z,palmx,palmy,palmz,pinch,
1529669795050,0.9882926,0.6166858,-0.9593037,0.9769454,0.6527147,-0.9578066,0.9647802,0.6756346,-0.9508868,0.9843776,0.6762544,-0.9137572,0.9687945,0.7007345,-0.9019017,0.9560102,0.7140815,-0.8962086,0.9813708,0.6682602,-0.8965343,0.9627951,0.6964413,-0.8847843,0.9477292,0.7119879,-0.8802024,0.9792025,0.6515036,-0.8831652,0.9614735,0.6777145,-0.8713735,0.9468958,0.6931081,-0.8665192,0.9762062,0.6325029,-0.873495,0.9644869,0.6523833,-0.8623276,0.9539419,0.6651502,-0.857519,0.9915401,0.6162922,-0.9223491,0.06741495,
1529669795078,1.001101,0.6176929,-0.9605765,0.9906706,0.6539143,-0.9594449,0.9786943,0.6768293,-0.9523074,0.9964101,0.6780915,-0.9165839,0.9807929,0.7027234,-0.9050045,0.9682118,0.7162907,-0.8993813,0.9932009,0.6706829,-0.8993265,0.9747664,0.6992253,-0.8880947,0.9601309,0.7152067,-0.8835543,0.9908078,0.6544048,-0.8857031,0.9733881,0.681155,-0.8745093,0.9593933,0.6970965,-0.869675,0.9876564,0.6358674,-0.8757851,0.9762083,0.6563686,-0.8654332,0.9660614,0.6695724,-0.8609399,1.003221,0.6181737,-0.923957,0.06684498,
1529669795092,1.005174,0.6170583,-0.960941,0.9952091,0.6533327,-0.9599103,0.9832842,0.6761786,-0.9525287,1.0001,0.6778322,-0.9177853,0.9842271,0.7023884,-0.9063814,0.9715407,0.7159029,-0.9008677,0.9968483,0.6707684,-0.9005265,0.9783509,0.6994138,-0.8896073,0.9638109,0.7155136,-0.8851666,0.9943559,0.6547571,-0.8867687,0.9769996,0.681724,-0.8759175,0.9632362,0.697884,-0.8711376,0.9911394,0.6364864,-0.8767155,0.9797619,0.6572697,-0.8668245,0.9697741,0.6706619,-0.8625321,1.006881,0.6180114,-0.9244823,0.06621775,
1529669795117,1.015265,0.6209785,-0.9626876,1.004693,0.6570275,-0.9620054,0.9922942,0.679633,-0.9546465,1.008323,0.6824379,-0.9212058,0.9912673,0.7063441,-0.9102416,0.9776361,0.7190844,-0.9051706,1.005487,0.6758979,-0.9037324,0.9861228,0.7041109,-0.8932759,0.9707974,0.7195748,-0.8893496,1.003463,0.6602584,-0.889587,0.9855111,0.6869853,-0.879107,0.9712477,0.7027841,-0.8746729,1.000678,0.6422426,-0.8791857,0.9887931,0.6629647,-0.8697776,0.9783533,0.6761317,-0.8659406,1.016909,0.6228988,-0.9264985,0.06495491,
1529669795131,1.017997,0.6220142,-0.9639956,1.006913,0.6579276,-0.9633572,0.9942355,0.6805074,-0.956293,1.009255,0.6830395,-0.9221237,0.9915802,0.7064456,-0.9111168,0.9775254,0.7187444,-0.9061353,1.006496,0.6764144,-0.904695,0.9866846,0.7042618,-0.8941095,0.9711246,0.7194759,-0.8901411,1.004655,0.6606498,-0.8906387,0.9863425,0.6870542,-0.8799529,0.9719064,0.7026533,-0.8753837,1.002029,0.6424856,-0.8804549,0.9897381,0.6629366,-0.8709649,0.9791064,0.6759242,-0.8670371,1.018993,0.6237386,-0.9277712,0.06524639,
1529669795157,1.027689,0.6222116,-0.9650261,1.015876,0.6579877,-0.9647077,1.003141,0.6808668,-0.9585192,1.017362,0.683102,-0.9229918,0.9996659,0.7062819,-0.911504,0.985734,0.7185524,-0.9061012,1.014913,0.6764346,-0.9053876,0.9951441,0.70403,-0.894029,0.9797097,0.7192044,-0.8894365,1.013569,0.6606333,-0.891273,0.9953852,0.6867888,-0.8797522,0.9810508,0.7022846,-0.8745618,1.011294,0.6423224,-0.8812407,0.9989915,0.6625204,-0.8712045,0.9884721,0.6754228,-0.8666959,1.028475,0.6239923,-0.9288326,0.06686439,
1529669795184,1.036651,0.6198211,-0.967376,1.02429,0.6555394,-0.967834,1.011799,0.6789503,-0.9630302,1.026078,0.6811619,-0.9253367,1.009411,0.7046934,-0.912946,0.9962316,0.7174228,-0.906763,1.023973,0.6745554,-0.9073392,1.005216,0.7022991,-0.8946321,0.9902927,0.7176603,-0.889119,1.02299,0.6588448,-0.8931146,1.005696,0.6850497,-0.8803931,0.9917486,0.7006078,-0.8744255,1.020887,0.6404498,-0.8831086,1.009204,0.6605713,-0.8721789,0.9991481,0.6735425,-0.8668535,1.037621,0.6220065,-0.9311891,0.06991757,
1529669795217,1.045748,0.6194387,-0.9706701,1.033783,0.655355,-0.9718659,1.021947,0.6793248,-0.968147,1.036412,0.6816655,-0.9293308,1.020751,0.7059109,-0.917001,1.008119,0.7191666,-0.9107899,1.034348,0.6752132,-0.9109306,1.016859,0.7035882,-0.8977866,1.002671,0.7194918,-0.8918986,1.033227,0.6596583,-0.8964294,1.017158,0.686371,-0.8831721,1.00384,0.7023252,-0.8768622,1.030719,0.6412771,-0.8862453,1.019838,0.6615812,-0.8748361,1.010255,0.6747542,-0.8691585,1.0468,0.6220702,-0.9344728,0.07119284,
1529669795237,1.049347,0.6194577,-0.9712031,1.037761,0.6555107,-0.9724147,1.026255,0.6796769,-0.9689075,1.040398,0.6817433,-0.9297513,1.025209,0.7061883,-0.917238,1.012812,0.7196215,-0.9109408,1.038144,0.6752313,-0.9112341,1.021223,0.7037516,-0.8976747,1.00736,0.7198473,-0.8915381,1.036803,0.6596859,-0.8967775,1.021337,0.6865469,-0.8831265,1.008353,0.7026826,-0.8765846,1.033962,0.6412371,-0.8866454,1.023528,0.6615316,-0.8748133,1.014226,0.6747792,-0.8688496,1.05011,0.6220716,-0.9351335,0.07166894,
1529669795263,1.061219,0.6209444,-0.9736239,1.049935,0.6570687,-0.974519,1.038497,0.6812273,-0.9707315,1.052127,0.6831723,-0.9322502,1.037081,0.7076674,-0.919661,1.024806,0.7212033,-0.9133333,1.049546,0.6766124,-0.9137127,1.032688,0.7051018,-0.9000266,1.018896,0.7212498,-0.8938342,1.048038,0.6611881,-0.8994195,1.032789,0.6882011,-0.8858533,1.019953,0.7044983,-0.8793817,1.045007,0.6427407,-0.8893119,1.034925,0.6631685,-0.8774098,1.025873,0.6765682,-0.8713918,1.061433,0.6234807,-0.9377245,0.07127483,
