time,thumb1x,thumb1y,thumb1z,thumb2x,thumb2y,thumb2z,thumb3x,thumb3y,thumb3z,index1x,index1y,index1z,index2x,index2y,index2z,index3x,index3y,index3z,middle1x,middle1y,middle1z,middle2x,middle2y,middle2z,middle3x,middle3y,middle3z,ring1x,ring1y,ring1z,ring2x,ring2y,ring2z,ring3x,ring3y,ring3z,pinky1x,pinky1y,pinky1z,pinky2x,pinky2y,pinky2z,pinky3x,pinky3y,pinky3z,palmx,palmy,palmz,pinch,
1529327254547,1.067835,0.5600865,-0.8936905,1.053941,0.5649014,-0.859866,1.048582,0.5661696,-0.8360674,1.072129,0.6066827,-0.8433567,1.062723,0.5976026,-0.8193573,1.056896,0.5836413,-0.8110849,1.09009,0.601821,-0.8384101,1.077389,0.591507,-0.8117721,1.067576,0.5770161,-0.8020675,1.109181,0.5921168,-0.8403019,1.097044,0.5816066,-0.8157117,1.086228,0.5673922,-0.8079122,1.125502,0.5806174,-0.8438636,1.116232,0.5742239,-0.824526,1.105681,0.5647814,-0.8183777,1.097216,0.5777241,-0.8846141,0.03159907,
1529327254587,1.053794,0.5526202,-0.8914654,1.039608,0.5592349,-0.8580438,1.033655,0.561988,-0.8345003,1.058742,0.6010607,-0.8428943,1.049423,0.5928736,-0.8187284,1.044099,0.5787777,-0.8105887,1.076996,0.5961453,-0.8382133,1.064548,0.5860969,-0.8116418,1.055143,0.5710291,-0.8026274,1.096075,0.5860244,-0.8403033,1.083977,0.5749682,-0.8163148,1.073421,0.5599897,-0.8099767,1.112195,0.5747777,-0.8438454,1.102394,0.5680658,-0.8252301,1.091737,0.5579696,-0.8206829,1.083589,0.570533,-0.8835,0.03102798,
1529327254623,1.040926,0.5530829,-0.8918579,1.027398,0.5601362,-0.8582601,1.022292,0.5627453,-0.8345803,1.048991,0.6012706,-0.8426679,1.039032,0.5938884,-0.8190836,1.033577,0.5793436,-0.8122026,1.067364,0.5940387,-0.8385139,1.054468,0.5830109,-0.8132514,1.044747,0.5669565,-0.8069148,1.085627,0.5824031,-0.8414775,1.072582,0.5695957,-0.8199071,1.06164,0.5538813,-0.8176574,1.100927,0.5708152,-0.8455798,1.089926,0.5630361,-0.8288956,1.078859,0.5525541,-0.8279646,1.072109,0.5692383,-0.8842158,0.03006049,
1529327254653,1.030991,0.5490458,-0.891705,1.016554,0.5559182,-0.8584561,1.010732,0.5580601,-0.8348973,1.041791,0.5946693,-0.8395289,1.031187,0.5877553,-0.8165387,1.024945,0.5731048,-0.8109745,1.059596,0.58555,-0.8354774,1.045772,0.5741067,-0.811734,1.035399,0.5578076,-0.8085219,1.077045,0.5725195,-0.8389435,1.062877,0.5591048,-0.8194726,1.051413,0.5438375,-0.8206003,1.091691,0.5603377,-0.8434578,1.079872,0.5522771,-0.8281955,1.068553,0.5423736,-0.8299,1.063541,0.5623727,-0.8824719,0.03163321,
1529327254693,1.012733,0.548815,-0.88482,0.9970161,0.5573452,-0.8525695,0.9902025,0.5602674,-0.8293485,1.024904,0.5944395,-0.8323861,1.012755,0.589116,-0.8100786,1.005452,0.5748347,-0.804888,1.042057,0.5838637,-0.8274395,1.026575,0.5739194,-0.8044131,1.015228,0.5582256,-0.8021167,1.058948,0.5700582,-0.8299265,1.04343,0.5588083,-0.8100626,1.030992,0.5443065,-0.8105253,1.072739,0.5564106,-0.8339788,1.059956,0.5496795,-0.8189873,1.048218,0.5403827,-0.8210154,1.046178,0.5595872,-0.8740996,0.0322964,
1529327254733,1.003058,0.5467979,-0.8838931,0.9856861,0.5553191,-0.8525492,0.9778987,0.5576558,-0.829573,1.014187,0.5906513,-0.8293228,1.000354,0.5859698,-0.807928,0.9919398,0.5720754,-0.8034172,1.030577,0.5791345,-0.8233769,1.013303,0.570167,-0.8011255,1.000888,0.5552416,-0.7992983,1.047037,0.5646998,-0.8249681,1.030043,0.5546418,-0.80557,1.016753,0.540922,-0.8062348,1.060191,0.5501503,-0.8286176,1.046349,0.5440917,-0.8143969,1.034325,0.535383,-0.8172085,1.036404,0.5553595,-0.8705018,0.0330031,
1529327254759,0.9910945,0.5481431,-0.8831825,0.9721608,0.5570731,-0.8528963,0.9632569,0.559613,-0.8303295,1.000482,0.5920209,-0.8278899,0.9858544,0.5879783,-0.8067878,0.976972,0.5744111,-0.8020493,1.016759,0.5807543,-0.8210893,0.9988355,0.572886,-0.7986841,0.9859924,0.5584054,-0.7961591,1.033419,0.5663161,-0.8218201,1.016111,0.5573699,-0.801865,1.002396,0.5439797,-0.8014216,1.046604,0.5513792,-0.8249743,1.032639,0.5458796,-0.8104873,1.020345,0.5372896,-0.8126926,1.024169,0.5562837,-0.8681276,0.03473983,
1529327254786,0.9838393,0.5496933,-0.8833988,0.9637929,0.5591966,-0.8540387,0.9539983,0.5620461,-0.8318576,0.9917068,0.5940878,-0.8280791,0.9761742,0.5907888,-0.8074628,0.9667265,0.5775761,-0.8027637,1.007518,0.5827627,-0.8203856,0.9886291,0.5759597,-0.7983428,0.9752656,0.5619551,-0.7957201,1.024112,0.5681603,-0.8200942,1.006131,0.5604213,-0.8001303,0.9919506,0.5475061,-0.7992899,1.037166,0.5527351,-0.8225036,1.022862,0.5480328,-0.8079044,1.010241,0.5397783,-0.8096746,1.016363,0.5573433,-0.8669026,0.03535029,
1529327254824,0.9765391,0.5502604,-0.8836813,0.9555688,0.5597913,-0.8550156,0.9451175,0.5627058,-0.8331099,0.9816889,0.5957999,-0.8288631,0.9654011,0.5932534,-0.8084226,0.9555346,0.5805452,-0.8030602,0.9974498,0.5851171,-0.8202664,0.977969,0.5794647,-0.7980819,0.9642847,0.5659307,-0.7944673,1.014207,0.5705692,-0.8190345,0.9958067,0.5636802,-0.7988309,0.9814761,0.5509856,-0.7971596,1.027457,0.555006,-0.8207129,1.012879,0.550693,-0.8059719,1.000168,0.5424427,-0.8071491,1.008107,0.5585549,-0.8661313,0.03646569,
1529327254852,0.9689531,0.5531923,-0.8838222,0.947473,0.5631156,-0.8556672,0.9363233,0.5662721,-0.8341064,0.9737708,0.5974131,-0.8278487,0.9571118,0.5951951,-0.80739,0.9464123,0.5831647,-0.8018582,0.9889196,0.5867862,-0.8189971,0.9688967,0.5822741,-0.796827,0.9544718,0.5695995,-0.7929043,1.005441,0.571811,-0.817293,0.9868073,0.5662163,-0.796549,0.9717532,0.5545157,-0.7939,1.018416,0.5556921,-0.818718,1.004019,0.5523071,-0.8030994,0.9906924,0.5448994,-0.8027942,0.9999996,0.5601555,-0.8651255,0.03777689,
1529327254879,0.9630964,0.5572381,-0.8852894,0.9413638,0.566677,-0.8571822,0.9299675,0.5693219,-0.8356689,0.9669421,0.5992306,-0.8277787,0.9500926,0.5962583,-0.8073781,0.9389998,0.5843892,-0.8021709,0.9816512,0.5887519,-0.818946,0.9612553,0.5842481,-0.7969141,0.9464037,0.5720214,-0.793034,0.9979539,0.5735819,-0.8172071,0.9790288,0.5681549,-0.7963271,0.9635861,0.5570319,-0.7932104,1.010903,0.5573078,-0.818664,0.9965844,0.5540781,-0.8025097,0.9829562,0.5472459,-0.8010216,0.9934527,0.5631776,-0.8656652,0.03782495,
1529327254906,0.9556415,0.560083,-0.886254,0.9341391,0.5677797,-0.8574423,0.9228603,0.5692093,-0.8357275,0.9589682,0.599223,-0.8268536,0.9423991,0.5949196,-0.8063804,0.9313182,0.5828221,-0.8016732,0.9737021,0.5890115,-0.8184525,0.9535698,0.583912,-0.7962108,0.9386718,0.5717393,-0.7924458,0.9902047,0.5739332,-0.8172392,0.9717674,0.5681711,-0.7957822,0.9563085,0.557267,-0.7922073,1.003381,0.5576566,-0.8193197,0.9898335,0.5541161,-0.8022532,0.9762512,0.5475528,-0.7995076,0.9855803,0.5655032,-0.8665005,0.03763684,
1529327254932,0.9512753,0.5616038,-0.8865365,0.9300449,0.5674413,-0.8571379,0.9192622,0.5672203,-0.8351538,0.9535742,0.5985396,-0.8256526,0.9372326,0.5932373,-0.8053487,0.9262157,0.5808479,-0.8014765,0.9680607,0.5883011,-0.8175097,0.9479346,0.5824751,-0.7955502,0.9330722,0.5701323,-0.7925537,0.9846218,0.5733628,-0.816616,0.9662513,0.567131,-0.7952589,0.950808,0.5561715,-0.7921079,0.9979818,0.5572337,-0.8190967,0.9847507,0.5534564,-0.8017459,0.9712437,0.5469263,-0.7987419,0.980507,0.5665089,-0.8664169,0.03698954,
1529327254960,0.9454206,0.5617523,-0.8891001,0.9246957,0.5663606,-0.8591248,0.9143608,0.565164,-0.8369829,0.9484191,0.5976688,-0.8272288,0.932618,0.5921392,-0.8069268,0.9217448,0.5795268,-0.8039336,0.9628978,0.5872911,-0.8193947,0.9433096,0.5815363,-0.797253,0.9285244,0.569165,-0.7948745,0.9794266,0.572237,-0.818947,0.9616648,0.5661515,-0.7972909,0.946225,0.5552489,-0.7944268,0.9927397,0.5560023,-0.8219306,0.9802644,0.5524045,-0.8040818,0.9668208,0.5459794,-0.8009394,0.9745404,0.5662687,-0.8692198,0.03678415,
1529327254996,0.9411114,0.5619503,-0.8908433,0.920923,0.5673523,-0.8606647,0.9110073,0.5659611,-0.8384169,0.9463755,0.5977887,-0.8286077,0.9304461,0.5938339,-0.8084638,0.9188771,0.581907,-0.8062924,0.9599684,0.5862505,-0.8207071,0.9402192,0.5823222,-0.7987564,0.9247801,0.5709292,-0.7973039,0.9752623,0.5698698,-0.8202671,0.9572073,0.5652996,-0.7989694,0.9410789,0.5553843,-0.7971253,0.9874268,0.5525493,-0.82328,0.9749697,0.5500434,-0.8054754,0.9610847,0.5445644,-0.8029894,0.9699644,0.5640811,-0.8707449,0.03671762,
1529327255026,0.9371523,0.5607896,-0.8924325,0.9174638,0.5654349,-0.8618171,0.908375,0.5633792,-0.8393388,0.9429913,0.5979506,-0.8309181,0.9273109,0.5938412,-0.8108873,0.9162794,0.5814425,-0.8090262,0.956901,0.5863819,-0.8232346,0.937338,0.5817895,-0.8014485,0.9223094,0.569803,-0.8002687,0.9726173,0.5703648,-0.8229333,0.9547617,0.5651837,-0.8019425,0.9389396,0.5546547,-0.8006245,0.9852089,0.5534409,-0.8259711,0.9728907,0.5507073,-0.8083942,0.9590883,0.5447896,-0.8064408,0.9666401,0.5642141,-0.8731182,0.03616098,
1529327255052,0.9351864,0.5580435,-0.8937461,0.9153978,0.5631041,-0.8632543,0.9064174,0.5614958,-0.8407103,0.9403049,0.5973916,-0.8337262,0.9244474,0.5932409,-0.813977,0.9138907,0.5804178,-0.8121307,0.9544262,0.5860854,-0.8257951,0.9346069,0.5810158,-0.8044783,0.9200263,0.5684135,-0.8035699,0.9704767,0.5704882,-0.8250688,0.952284,0.5648909,-0.8046845,0.9368488,0.5537379,-0.8039948,0.9834689,0.5539808,-0.8275599,0.9706573,0.5511605,-0.810587,0.9569705,0.5447632,-0.8094773,0.9648371,0.5629051,-0.8747179,0.03508116,
1529327255079,0.9316161,0.5559744,-0.8934234,0.9121985,0.5622728,-0.8628751,0.9037094,0.5620503,-0.84012,0.9361914,0.5993187,-0.8367575,0.9206461,0.5950691,-0.8166082,0.9109846,0.58168,-0.8135501,0.9511375,0.5887278,-0.8286986,0.9316933,0.5825207,-0.8071728,0.9180106,0.5688546,-0.8054567,0.9678502,0.574191,-0.8276839,0.9497179,0.5673205,-0.8078825,0.9352683,0.5548007,-0.8076186,0.9817119,0.5586746,-0.8294507,0.9685065,0.5552019,-0.8131362,0.955272,0.5477394,-0.8127043,0.9618255,0.5639352,-0.8759452,0.03382614,
