time,thumb1x,thumb1y,thumb1z,thumb2x,thumb2y,thumb2z,thumb3x,thumb3y,thumb3z,index1x,index1y,index1z,index2x,index2y,index2z,index3x,index3y,index3z,middle1x,middle1y,middle1z,middle2x,middle2y,middle2z,middle3x,middle3y,middle3z,ring1x,ring1y,ring1z,ring2x,ring2y,ring2z,ring3x,ring3y,ring3z,pinky1x,pinky1y,pinky1z,pinky2x,pinky2y,pinky2z,pinky3x,pinky3y,pinky3z,palmx,palmy,palmz,pinch,
1529327021993,0.9263113,0.7088769,-0.8612506,0.9060993,0.7380309,-0.8464749,0.8938594,0.753267,-0.829056,0.926234,0.7527531,-0.813527,0.9059639,0.7418619,-0.8066375,0.9042504,0.7274353,-0.8168068,0.9339631,0.7421582,-0.8026645,0.9097908,0.7299973,-0.8006407,0.9091693,0.7142802,-0.8137954,0.9453032,0.7266893,-0.793831,0.9221338,0.7163685,-0.7943767,0.9214679,0.7034097,-0.8095363,0.9548302,0.7132306,-0.7865078,0.9354951,0.7097146,-0.7860974,0.9335744,0.7000238,-0.7982303,0.9527806,0.7113727,-0.832424,0.03041868,
1529327022065,0.9382176,0.6615233,-0.9052331,0.9187847,0.6897604,-0.88753,0.9069724,0.7039094,-0.8690417,0.9429151,0.6932485,-0.8494682,0.9230178,0.6799871,-0.8448147,0.9218956,0.6665633,-0.856636,0.9513981,0.6797606,-0.8422198,0.9284887,0.6657687,-0.8435059,0.9302106,0.6529531,-0.8592353,0.9628769,0.6628456,-0.8375599,0.9408092,0.6519533,-0.8415269,0.941511,0.6426295,-0.8594812,0.9720852,0.6478977,-0.8340169,0.9537089,0.643361,-0.8365026,0.9539905,0.6370918,-0.8511082,0.9675167,0.6569272,-0.8765608,0.04208723,
1529327022100,0.9464829,0.6379818,-0.9287957,0.9300613,0.6659413,-0.9083079,0.9204698,0.6781381,-0.8874331,0.9540195,0.6652977,-0.8704903,0.9332994,0.6532658,-0.8657666,0.9302558,0.6409388,-0.8784963,0.9618444,0.6511483,-0.864014,0.9375067,0.6392604,-0.8647453,0.9366146,0.6275718,-0.881476,0.9724264,0.6334163,-0.86064,0.9490273,0.624437,-0.8634266,0.9472923,0.6158868,-0.8816942,0.9808245,0.6174665,-0.858533,0.9620591,0.6145437,-0.8600501,0.9607805,0.6094788,-0.8751369,0.9755597,0.6293322,-0.9009154,0.03948959,
1529327022154,0.9499816,0.6072878,-0.9659621,0.9365419,0.6346191,-0.9429985,0.9290158,0.645156,-0.9204358,0.9595802,0.6307645,-0.9066132,0.9388638,0.6192822,-0.9022347,0.9358978,0.6077017,-0.9156094,0.9673787,0.6163992,-0.9002637,0.9425067,0.6060739,-0.8999772,0.9401244,0.5952389,-0.917127,0.977381,0.5982153,-0.8979515,0.9533554,0.5906251,-0.899048,0.9500643,0.5824847,-0.9171404,0.9852307,0.5818428,-0.897074,0.9661572,0.5798156,-0.8967485,0.9630792,0.5743767,-0.9114139,0.9788556,0.595596,-0.9394324,0.0383859,
1529327022180,0.9476873,0.5984743,-0.9779788,0.9347392,0.6247212,-0.9536914,0.9278995,0.6338111,-0.9303403,0.9582927,0.6208779,-0.9186299,0.9378691,0.609184,-0.9142819,0.935128,0.5980039,-0.927977,0.9663911,0.6065087,-0.9124823,0.9416873,0.5962204,-0.9118471,0.9390729,0.5859253,-0.9292908,0.9765137,0.5883472,-0.9107149,0.95259,0.5807884,-0.9113412,0.9489987,0.5730964,-0.9295626,0.9844675,0.5720553,-0.910311,0.9654474,0.5699944,-0.9093938,0.961899,0.5646895,-0.9240229,0.9771273,0.586446,-0.9524184,0.03660595,
1529327022201,0.9460331,0.5905268,-0.9913942,0.9331626,0.6157103,-0.9659821,0.9264956,0.6237816,-0.9422133,0.9572273,0.6113222,-0.9316053,0.9368819,0.5995171,-0.9274065,0.9341608,0.5887461,-0.9413867,0.9654014,0.5967048,-0.9259634,0.940769,0.5864178,-0.9254586,0.9380527,0.5767267,-0.9432487,0.9755207,0.5785145,-0.9248809,0.9516674,0.5709546,-0.9255928,0.948045,0.5638133,-0.9440408,0.9834818,0.562272,-0.9250478,0.9644514,0.5601305,-0.9240164,0.9607358,0.5550922,-0.9387091,0.9758087,0.5779425,-0.9666454,0.03587379,
1529327022220,0.9443687,0.5851091,-1.003371,0.931154,0.6090136,-0.9769461,0.9240113,0.6158047,-0.9529154,0.9541776,0.6035442,-0.9427421,0.9336483,0.5918845,-0.9395955,0.9314691,0.5815949,-0.9539949,0.9619746,0.5885074,-0.93758,0.9373238,0.5784873,-0.9382993,0.9352475,0.5693716,-0.9565008,0.9717948,0.5701865,-0.9369891,0.9480232,0.5628846,-0.9388036,0.9451804,0.5562057,-0.9575731,0.9795613,0.5538646,-0.937572,0.960506,0.5518611,-0.9371947,0.9572379,0.5470897,-0.9520898,0.9733479,0.571241,-0.9785984,0.03502984,
1529327022247,0.9426314,0.5802128,-1.018576,0.9284909,0.6030122,-0.9916379,0.9205627,0.6088616,-0.9676098,0.9502037,0.5970644,-0.9571697,0.929587,0.5853291,-0.9548599,0.9279437,0.5751806,-0.9694123,0.9578365,0.5817155,-0.9524074,0.9333042,0.5715607,-0.9543361,0.9320303,0.5627465,-0.9727692,0.9676878,0.5634398,-0.9520953,0.9441307,0.5559876,-0.9550602,0.9422451,0.5495065,-0.9740262,0.9755746,0.5471777,-0.9528705,0.9565825,0.5450144,-0.9532501,0.9540233,0.5403395,-0.9683083,0.9707272,0.5656876,-0.9934202,0.03452726,
1529327022262,0.9412031,0.5791534,-1.023114,0.9266325,0.6015623,-0.996074,0.9182864,0.6070703,-0.9721084,0.9474924,0.5956048,-0.9614685,0.9267518,0.583953,-0.9595271,0.9252938,0.5737466,-0.9740633,0.9549519,0.5800998,-0.956838,0.9304684,0.5699501,-0.9593918,0.9296466,0.5610912,-0.9778361,0.9647734,0.5617138,-0.9564828,0.9413078,0.5543455,-0.9600898,0.9398826,0.5480932,-0.9791759,0.9726434,0.5454458,-0.9572235,0.9537116,0.5433364,-0.9580738,0.9515629,0.5388657,-0.9732593,0.968658,0.5643832,-0.9976513,0.03410862,
1529327022297,0.9363005,0.5735905,-1.042191,0.9202344,0.5945982,-1.014756,0.9110563,0.5993763,-0.9909161,0.9404285,0.5902204,-0.9804368,0.9197425,0.5780374,-0.9786364,0.9184755,0.5674978,-0.9929553,0.9481237,0.5744933,-0.9763741,0.9241666,0.5633594,-0.9800353,0.9244218,0.5544224,-0.9985002,0.9585575,0.5563734,-0.975924,0.9356083,0.5482242,-0.9806597,0.9352449,0.5422573,-0.9999205,0.9669881,0.5404311,-0.976521,0.9482119,0.5376719,-0.9781458,0.9468436,0.5333739,-0.9934759,0.9635965,0.5598177,-1.016643,0.03279391,
