time,thumb1x,thumb1y,thumb1z,thumb2x,thumb2y,thumb2z,thumb3x,thumb3y,thumb3z,index1x,index1y,index1z,index2x,index2y,index2z,index3x,index3y,index3z,middle1x,middle1y,middle1z,middle2x,middle2y,middle2z,middle3x,middle3y,middle3z,ring1x,ring1y,ring1z,ring2x,ring2y,ring2z,ring3x,ring3y,ring3z,pinky1x,pinky1y,pinky1z,pinky2x,pinky2y,pinky2z,pinky3x,pinky3y,pinky3z,palmx,palmy,palmz,pinch,
1529327275481,1.059114,0.5172193,-0.9279046,1.045357,0.5166757,-0.8938131,1.040114,0.5117275,-0.8705169,1.083863,0.5568099,-0.8665854,1.087666,0.5633513,-0.8393438,1.085501,0.5622921,-0.8219922,1.099548,0.5432138,-0.8609751,1.102468,0.5469149,-0.8289289,1.098329,0.5444337,-0.8095796,1.11152,0.5270975,-0.8641788,1.110912,0.5286909,-0.8338404,1.104239,0.525327,-0.8156216,1.121076,0.5083237,-0.8706434,1.1206,0.507242,-0.8479524,1.112681,0.5033039,-0.8352818,1.090454,0.5211855,-0.913649,0.08349514,
1529327275520,1.047246,0.5142465,-0.9270605,1.03247,0.5135032,-0.8933937,1.026619,0.508289,-0.8703505,1.070542,0.5530893,-0.8646784,1.073366,0.5591534,-0.8372664,1.070355,0.5575843,-0.8200979,1.085908,0.5394953,-0.8588093,1.087522,0.5429229,-0.8267018,1.082228,0.5400149,-0.807754,1.097758,0.5230323,-0.8618071,1.095727,0.523939,-0.8315686,1.087877,0.5199742,-0.8139937,1.107224,0.5042964,-0.8681886,1.105298,0.5027221,-0.8457006,1.096267,0.4984489,-0.8339636,1.07826,0.5178834,-0.9119165,0.08287444,
1529327275547,1.038012,0.5109725,-0.9251826,1.022423,0.5102329,-0.8918985,1.016148,0.5049597,-0.8689856,1.059092,0.550367,-0.8623993,1.060851,0.5566372,-0.8349472,1.057262,0.5551809,-0.8178699,1.074316,0.537049,-0.8560531,1.074498,0.540776,-0.8239761,1.068341,0.5379057,-0.8052748,1.086424,0.520427,-0.8586174,1.083289,0.5213494,-0.8284434,1.074973,0.5174228,-0.8110602,1.096194,0.5017518,-0.8646385,1.093308,0.5001326,-0.8422481,1.083857,0.4957859,-0.8308591,1.068661,0.5149676,-0.9092462,0.08261575,
1529327275587,1.03,0.5119377,-0.9213219,1.01395,0.511449,-0.8882841,1.007367,0.5062003,-0.8654298,1.049457,0.5510681,-0.8581083,1.050037,0.5572762,-0.8305957,1.04572,0.5558174,-0.8136799,1.064372,0.5378846,-0.8514731,1.062876,0.5417127,-0.8195409,1.055515,0.5387319,-0.8012764,1.076675,0.5209305,-0.8537338,1.072667,0.5219018,-0.8236294,1.064016,0.51819,-0.8063297,1.086671,0.5021299,-0.8595182,1.083513,0.5005044,-0.8370728,1.074173,0.4963389,-0.8254879,1.060104,0.5155364,-0.9047298,0.08130726,
1529327275638,1.020617,0.5167866,-0.9184704,1.002852,0.5177405,-0.8863983,0.9956573,0.5125542,-0.8638789,1.037043,0.5571078,-0.8552982,1.035587,0.5640407,-0.8281009,1.02956,0.5627251,-0.8117378,1.051151,0.5438615,-0.8474173,1.047299,0.5488776,-0.8159413,1.038121,0.5464051,-0.798502,1.063164,0.5263686,-0.8484029,1.05667,0.5281009,-0.8189826,1.04577,0.524392,-0.8031044,1.073357,0.5071934,-0.8530211,1.06922,0.5065348,-0.8306875,1.059311,0.5030858,-0.8193281,1.049708,0.5198142,-0.900135,0.07990756,
1529327275668,1.017811,0.5190045,-0.9172987,0.9996097,0.5208423,-0.8854986,0.9917959,0.5163922,-0.8629713,1.03356,0.5596304,-0.8543056,1.031602,0.5668836,-0.8272482,1.025205,0.5657886,-0.8109991,1.047444,0.5463355,-0.8460857,1.043107,0.5518202,-0.8147497,1.033604,0.5496675,-0.7974509,1.059342,0.5288027,-0.8467295,1.052285,0.5310332,-0.8175377,1.040815,0.5274725,-0.8020817,1.069539,0.5094777,-0.8509889,1.065252,0.5093073,-0.828677,1.055198,0.5061635,-0.817376,1.046587,0.5217274,-0.8985705,0.07910323,
1529327275693,1.014282,0.5224362,-0.9153274,0.9957221,0.525461,-0.8838051,0.987228,0.5219744,-0.8612962,1.02967,0.5635895,-0.8527641,1.027202,0.571435,-0.8259156,1.020421,0.5708731,-0.809779,1.043203,0.5500752,-0.8441037,1.038484,0.5563133,-0.812943,1.028729,0.5548347,-0.7956952,1.054759,0.5323138,-0.8442856,1.047286,0.5353419,-0.8153014,1.035395,0.5323279,-0.8000627,1.0646,0.5126454,-0.8480685,1.060121,0.5130896,-0.8257881,1.049924,0.510465,-0.8144813,1.042638,0.5246212,-0.896205,0.07840201,
1529327275719,1.011869,0.5249627,-0.9143025,0.9932932,0.5284461,-0.8828484,0.9845428,0.5253743,-0.8603142,1.027281,0.5664166,-0.8520138,1.024532,0.5746076,-0.8252931,1.017538,0.5743634,-0.8092313,1.0406,0.5527605,-0.8431613,1.035705,0.559473,-0.8121001,1.025884,0.558467,-0.7948342,1.051996,0.5347625,-0.8431102,1.044454,0.5381761,-0.814176,1.032513,0.5355521,-0.7988799,1.06147,0.5148736,-0.8466768,1.056777,0.5155232,-0.82445,1.04646,0.5131439,-0.8131728,1.040085,0.5268506,-0.8950492,0.0780903,
1529327275747,1.008722,0.5268604,-0.914097,0.9904478,0.5304474,-0.8824753,0.9818932,0.5275801,-0.859816,1.024262,0.5690351,-0.8523606,1.021355,0.5772498,-0.825713,1.014223,0.5768288,-0.8097174,1.037815,0.5557191,-0.8435758,1.032922,0.5627896,-0.8126049,1.023116,0.561878,-0.7953284,1.049376,0.5377068,-0.8434449,1.041824,0.5412264,-0.8145597,1.029842,0.5385048,-0.7993212,1.058929,0.5178834,-0.8469145,1.054093,0.5186477,-0.8247623,1.043649,0.5162067,-0.8136104,1.037103,0.529211,-0.8951702,0.07733367,
1529327275773,1.006565,0.5294929,-0.9141618,0.9882834,0.5324955,-0.8825114,0.9796915,0.529107,-0.8599183,1.021842,0.5709468,-0.8518918,1.018617,0.5789498,-0.8252094,1.011234,0.5785127,-0.8093262,1.035122,0.557312,-0.8431053,1.029918,0.5641588,-0.8121368,1.019898,0.5632837,-0.7949595,1.046291,0.5389356,-0.8430164,1.038401,0.542127,-0.8141248,1.02642,0.5395776,-0.798781,1.0553,0.5189999,-0.8466247,1.049531,0.519333,-0.8247639,1.038421,0.5167188,-0.8143143,1.03465,0.531405,-0.8950099,0.07743008,
