time,thumb1x,thumb1y,thumb1z,thumb2x,thumb2y,thumb2z,thumb3x,thumb3y,thumb3z,index1x,index1y,index1z,index2x,index2y,index2z,index3x,index3y,index3z,middle1x,middle1y,middle1z,middle2x,middle2y,middle2z,middle3x,middle3y,middle3z,ring1x,ring1y,ring1z,ring2x,ring2y,ring2z,ring3x,ring3y,ring3z,pinky1x,pinky1y,pinky1z,pinky2x,pinky2y,pinky2z,pinky3x,pinky3y,pinky3z,palmx,palmy,palmz,pinch,
1529326964979,1.095281,0.5367552,-0.9422499,1.083386,0.547183,-0.9080912,1.085185,0.5437156,-0.8832253,1.104152,0.5785108,-0.8925148,1.088119,0.5646701,-0.8792179,1.083527,0.5491051,-0.8872273,1.118101,0.568765,-0.8852733,1.09662,0.5549368,-0.872645,1.08847,0.5391685,-0.8834155,1.13468,0.5546089,-0.8830845,1.113334,0.5432764,-0.8702483,1.101783,0.529855,-0.8803535,1.148913,0.5402484,-0.8825547,1.132455,0.535919,-0.8690394,1.119464,0.5283543,-0.8748048,1.12781,0.5442848,-0.9280577,0.00691459,
1529326965052,1.07528,0.532131,-0.956175,1.063882,0.5448071,-0.9223613,1.064313,0.5433269,-0.8969359,1.089397,0.5726202,-0.905827,1.072632,0.560356,-0.8912001,1.065957,0.5449255,-0.8979923,1.103159,0.5620797,-0.8988163,1.081001,0.550557,-0.8839736,1.070059,0.5352527,-0.8928599,1.118746,0.5466225,-0.8973064,1.097088,0.5374674,-0.8821537,1.083083,0.5247885,-0.8899571,1.131751,0.5309991,-0.8975418,1.115753,0.5281352,-0.8828405,1.101736,0.5215119,-0.8872761,1.109304,0.5365444,-0.9424409,0.002524216,
1529326965085,1.063439,0.5320509,-0.9622299,1.050835,0.5454894,-0.9290892,1.049463,0.5442629,-0.9036366,1.077293,0.5713748,-0.9106163,1.059132,0.5602775,-0.897005,1.052124,0.5453922,-0.904458,1.090059,0.5598693,-0.9029091,1.06661,0.5497911,-0.8893356,1.055409,0.535351,-0.8991453,1.10457,0.5434597,-0.9007156,1.081771,0.5356845,-0.8868015,1.067662,0.5239996,-0.8957049,1.116453,0.5270078,-0.9005138,1.099571,0.5250732,-0.8868302,1.085612,0.5192915,-0.8923489,1.096876,0.5341644,-0.9465361,0.003005468,
1529326965140,1.042567,0.531634,-0.9674267,1.028505,0.5463768,-0.9352871,1.025363,0.5466433,-0.9098512,1.055346,0.5717065,-0.9156504,1.036489,0.5614648,-0.9022392,1.029404,0.5465108,-0.9094006,1.067669,0.5600657,-0.9072892,1.043583,0.5508841,-0.8940879,1.032357,0.536396,-0.903751,1.081828,0.5434247,-0.9043351,1.058506,0.536485,-0.8908915,1.044533,0.524793,-0.8999298,1.093489,0.5268233,-0.9034772,1.076294,0.5256484,-0.8901958,1.062453,0.5198359,-0.8959529,1.075634,0.5333712,-0.9504539,0.004068159,
1529326965166,1.032085,0.5312336,-0.9720846,1.016777,0.5455557,-0.9401866,1.012682,0.5463222,-0.9148165,1.042776,0.5724233,-0.9200356,1.023938,0.5621957,-0.9062202,1.017025,0.5467798,-0.91257,1.055441,0.5608702,-0.9114909,1.031404,0.5512037,-0.8980671,1.020351,0.5362563,-0.9072387,1.070038,0.5446172,-0.9084522,1.046764,0.5370336,-0.895098,1.033175,0.5247455,-0.9039739,1.082014,0.528393,-0.9076346,1.064526,0.5266334,-0.8949288,1.051182,0.5200675,-0.9010947,1.064855,0.5342056,-0.9546869,0.004910172,
1529326965219,1.023115,0.5327077,-0.9803238,1.006397,0.5463284,-0.9487784,1.001015,0.5466905,-0.9236282,1.03119,0.5733906,-0.9270358,1.011712,0.5633453,-0.9140198,1.004834,0.5481328,-0.9208173,1.04338,0.5615487,-0.9180526,1.018759,0.5519723,-0.9056908,1.008015,0.5373244,-0.9155684,1.057829,0.5451663,-0.9145448,1.034038,0.537637,-0.9021083,1.020705,0.5256521,-0.9116801,1.069419,0.5288224,-0.9136903,1.051296,0.5268981,-0.9020668,1.038347,0.5203633,-0.9091128,1.054662,0.5354065,-0.9613754,0.004956251,
1529326965245,1.019792,0.5325879,-0.9854097,1.002814,0.546266,-0.9541316,0.997125,0.5459532,-0.9291126,1.027027,0.5718221,-0.9311684,1.006991,0.5619405,-0.9191885,1.000142,0.5471609,-0.9268764,1.038556,0.5597381,-0.9219636,1.013408,0.5506771,-0.91071,1.002884,0.5365133,-0.9214317,1.052541,0.5429593,-0.918122,1.028277,0.5360236,-0.9064684,1.014964,0.5246111,-0.916706,1.063635,0.5262645,-0.9171692,1.045219,0.5247472,-0.9060783,1.032313,0.5186903,-0.9136356,1.050627,0.5339555,-0.9653788,0.003944628,
1529326965280,1.013645,0.5374042,-0.988846,0.9960059,0.5512532,-0.9581413,0.9897473,0.5501564,-0.9334152,1.019506,0.5755702,-0.9335028,0.9988799,0.566272,-0.92256,0.9921203,0.5519858,-0.9310915,1.030123,0.5630382,-0.9240335,1.004437,0.5546719,-0.9141531,0.9943573,0.5410253,-0.9258323,1.043519,0.5457867,-0.9196799,1.018783,0.5395422,-0.9091653,1.005827,0.5287635,-0.9203914,1.054101,0.5287122,-0.9184423,1.035422,0.5276607,-0.9081208,1.022849,0.5221435,-0.9165418,1.043336,0.5373518,-0.9673097,0.003791794,
1529326965312,1.010209,0.5365301,-0.9936088,0.9927638,0.5499283,-0.9626187,0.9870015,0.5484791,-0.937837,1.01566,0.575408,-0.9388576,0.9953183,0.5658358,-0.9278854,0.9890456,0.5512699,-0.9363235,1.026509,0.5629272,-0.9294752,1.001112,0.5539826,-0.9197867,0.991636,0.5400082,-0.9315913,1.040227,0.5459179,-0.9250911,1.015712,0.5391151,-0.9148663,1.003299,0.5279989,-0.9263791,1.051093,0.5290967,-0.9238037,1.032437,0.5276514,-0.9137847,1.02029,0.5217778,-0.9225532,1.039963,0.5372093,-0.9724227,0.003775912,
1529326965353,1.007206,0.5361687,-0.9982892,0.9904114,0.5502149,-0.9671871,0.9848443,0.5492257,-0.9423289,1.013965,0.5753518,-0.9440212,0.99352,0.5662518,-0.9327993,0.9869235,0.5516354,-0.9409424,1.024684,0.5626626,-0.9347011,0.9991936,0.5542123,-0.9247761,0.9893512,0.5402362,-0.9363339,1.038122,0.5454037,-0.9303507,1.013561,0.5390773,-0.9199598,1.000869,0.5280573,-0.9313065,1.048697,0.5284157,-0.9290419,1.030094,0.5273719,-0.9189279,1.017812,0.5216198,-0.9276026,1.037184,0.536422,-0.977511,0.003471597,
