time,thumb1x,thumb1y,thumb1z,thumb2x,thumb2y,thumb2z,thumb3x,thumb3y,thumb3z,index1x,index1y,index1z,index2x,index2y,index2z,index3x,index3y,index3z,middle1x,middle1y,middle1z,middle2x,middle2y,middle2z,middle3x,middle3y,middle3z,ring1x,ring1y,ring1z,ring2x,ring2y,ring2z,ring3x,ring3y,ring3z,pinky1x,pinky1y,pinky1z,pinky2x,pinky2y,pinky2z,pinky3x,pinky3y,pinky3z,palmx,palmy,palmz,pinch,
1529327187691,0.8379427,0.633627,-0.8637627,0.8201984,0.659518,-0.8445431,0.810979,0.672778,-0.8266501,0.854441,0.6927503,-0.830227,0.8362094,0.6982026,-0.8151184,0.8248433,0.6865424,-0.8125457,0.8643093,0.6834173,-0.8162506,0.8415025,0.6895799,-0.8007265,0.8255985,0.678648,-0.7998893,0.8776319,0.6686454,-0.8053873,0.8588182,0.6789775,-0.787374,0.8407596,0.6743899,-0.7834671,0.8855618,0.6505423,-0.7974646,0.8735166,0.6605059,-0.7824194,0.8586888,0.6603462,-0.7793536,0.8689221,0.6392038,-0.8453944,0.02409598,
1529327187731,0.8484933,0.602432,-0.8818135,0.8297567,0.6246376,-0.859268,0.8198411,0.6345831,-0.8396589,0.8645611,0.6565745,-0.8387206,0.8467355,0.6607496,-0.8227295,0.8345742,0.6496027,-0.8217726,0.8745877,0.645884,-0.8257964,0.8527112,0.6519169,-0.808579,0.835961,0.6424819,-0.8083921,0.8871934,0.6292063,-0.8171895,0.8693482,0.6383014,-0.7972536,0.8511775,0.6345565,-0.7930133,0.8946246,0.6096188,-0.811809,0.8833643,0.6177754,-0.7949684,0.868709,0.6178876,-0.7912632,0.8788029,0.6054015,-0.8617353,0.02761465,
1529327187757,0.8528225,0.5902843,-0.8906701,0.8329629,0.6104025,-0.8671678,0.8222871,0.6186972,-0.8471729,0.8671082,0.6419716,-0.84365,0.8490291,0.644904,-0.8278815,0.837005,0.6335474,-0.8280911,0.8772887,0.6308779,-0.8310527,0.855396,0.6361108,-0.8135918,0.8385929,0.6268302,-0.8140538,0.8895878,0.6137328,-0.8233841,0.8714122,0.621734,-0.8031563,0.8531874,0.6178617,-0.7991478,0.8971235,0.5938855,-0.8190749,0.885552,0.6010287,-0.8019656,0.8708614,0.6008149,-0.7984743,0.8825707,0.5924366,-0.86952,0.02830654,
1529327187785,0.8591841,0.5718641,-0.907667,0.8385202,0.5897298,-0.8830035,0.8271841,0.5967152,-0.8628205,0.8727103,0.6203395,-0.8566892,0.854792,0.6217558,-0.8406997,0.8429574,0.6102399,-0.8418683,0.8841075,0.6092408,-0.8446614,0.8632753,0.6146373,-0.8250482,0.8457946,0.6066777,-0.8238599,0.8960259,0.5913811,-0.8385882,0.8784211,0.5982509,-0.817204,0.8603117,0.5944705,-0.8123989,0.9037308,0.5712426,-0.8358193,0.8925452,0.5772089,-0.817822,0.8780396,0.5768976,-0.8134018,0.889033,0.5731992,-0.8863451,0.02950779,
1529327187825,0.8631458,0.5597012,-0.9189764,0.8414792,0.5754005,-0.8936391,0.8292651,0.5815269,-0.8735952,0.8750893,0.6054184,-0.8650866,0.8572356,0.6047844,-0.8491398,0.845933,0.5928632,-0.8513622,0.8885716,0.5953044,-0.8533989,0.869704,0.6015506,-0.8307264,0.8519384,0.5956534,-0.825775,0.9000537,0.5770277,-0.8487531,0.8831362,0.5828964,-0.8261947,0.8653458,0.5790649,-0.8201683,0.9082989,0.5568486,-0.847205,0.897766,0.5618303,-0.8281679,0.883803,0.561506,-0.8219116,0.8930263,0.5609983,-0.8975381,0.03001055,
1529327187865,0.8680241,0.5498503,-0.9318143,0.8452487,0.5639934,-0.9065058,0.8320533,0.5693107,-0.886794,0.8781673,0.5922934,-0.874832,0.8601048,0.5902046,-0.8595755,0.8492882,0.5782198,-0.8632584,0.8927289,0.582601,-0.8632448,0.8749553,0.5889418,-0.8393174,0.8573447,0.5838224,-0.8332809,0.9036181,0.5639173,-0.8595845,0.8867797,0.5689478,-0.8367292,0.8690089,0.5649699,-0.8306791,0.9120727,0.5436715,-0.8590182,0.9017753,0.5479116,-0.8395857,0.8880082,0.5474313,-0.8328495,0.8975915,0.55033,-0.9095102,0.03050149,
1529327187904,0.873759,0.5435517,-0.9447767,0.8507498,0.5565662,-0.919058,0.8370179,0.5615966,-0.8995135,0.8847365,0.5826046,-0.884774,0.8672723,0.5800682,-0.8689262,0.8560706,0.5685937,-0.8729039,0.8995109,0.5723486,-0.8739847,0.882692,0.5775563,-0.8495157,0.8651538,0.5719269,-0.8440368,0.9099107,0.5532672,-0.8715604,0.8935705,0.5571222,-0.8482318,0.8758134,0.5529419,-0.8420331,0.9182782,0.5331376,-0.8723065,0.9083533,0.5365536,-0.8526025,0.8945991,0.5357325,-0.8459349,0.9032996,0.5424584,-0.9222696,0.03346696,
1529327187944,0.8801717,0.5385557,-0.9586501,0.857723,0.5498265,-0.9316604,0.8444403,0.5534847,-0.9114893,0.8931118,0.5748197,-0.8964673,0.876632,0.572227,-0.8793647,0.8647076,0.5613857,-0.8827919,0.907701,0.5635208,-0.886692,0.8918965,0.5672546,-0.8616558,0.8744576,0.5611323,-0.8566728,0.9176936,0.5442296,-0.885548,0.9020491,0.5467498,-0.8616585,0.8843747,0.5423298,-0.8551903,0.9257543,0.524355,-0.8876287,0.9161768,0.5268859,-0.867701,0.9024053,0.525685,-0.861314,0.9099848,0.5362928,-0.9367849,0.03601017,
1529327187985,0.8841258,0.5375023,-0.9646777,0.8626667,0.5476956,-0.9364954,0.8501285,0.5505718,-0.915699,0.8994949,0.5724458,-0.9017123,0.8843141,0.5699358,-0.8829614,0.8717334,0.5595275,-0.8849851,0.9139546,0.5605175,-0.8928527,0.8995208,0.5634198,-0.8667321,0.8823379,0.5573661,-0.8605105,0.9236771,0.5412306,-0.8926262,0.9089571,0.5428896,-0.8678675,0.8916848,0.5384563,-0.8601567,0.9314791,0.5216002,-0.8955697,0.9222471,0.523453,-0.8753353,0.9086724,0.5219884,-0.8686295,0.9143647,0.534829,-0.9438497,0.03860468,
1529327188039,0.8858129,0.5387065,-0.9696585,0.8650219,0.5485379,-0.9408783,0.8530823,0.5510085,-0.9196763,0.9020871,0.5738387,-0.9070108,0.8876092,0.5715238,-0.8868284,0.8744351,0.5615199,-0.8868257,0.9163322,0.5618393,-0.8983755,0.9025242,0.5644821,-0.8715334,0.8856266,0.5587341,-0.8639129,0.9259433,0.5426862,-0.8983099,0.9115583,0.5440995,-0.8730326,0.8947018,0.5399016,-0.864084,0.9335354,0.5232728,-0.9013655,0.9240306,0.5249486,-0.8811505,0.9105439,0.5234464,-0.8740779,0.9162875,0.5364037,-0.9494089,0.0405659,
1529327188065,0.8881565,0.5389026,-0.9727308,0.8678663,0.5481734,-0.9434379,0.8564529,0.5499814,-0.9219004,0.9044946,0.5737841,-0.910257,0.8900095,0.5713174,-0.889737,0.8766599,0.5614402,-0.8890553,0.9187307,0.5617878,-0.901733,0.904911,0.5641838,-0.8747201,0.8881028,0.5585098,-0.8666914,0.9283128,0.5425754,-0.9018204,0.9138562,0.5436357,-0.8764257,0.8972309,0.5395954,-0.8667125,0.9358156,0.5233099,-0.9050195,0.9260205,0.5247616,-0.8848732,0.9125683,0.5232397,-0.8775663,0.918617,0.5367073,-0.9528465,0.04022965,
1529327188105,0.8931004,0.5381479,-0.9769433,0.8732666,0.5468663,-0.9471965,0.8623645,0.547958,-0.925383,0.9095221,0.5725816,-0.9145368,0.8949046,0.5699067,-0.8939639,0.8814346,0.5600961,-0.893026,0.9236894,0.5604708,-0.9061298,0.9096369,0.5624908,-0.8791824,0.8927805,0.5567207,-0.8712904,0.9333223,0.5412198,-0.9063853,0.9188415,0.5419792,-0.8808969,0.9024215,0.538085,-0.8706219,0.9407642,0.5220352,-0.9097466,0.93088,0.5232706,-0.8896022,0.9174762,0.5217519,-0.8821009,0.9235396,0.5358859,-0.9573717,0.03947123,
1529327188134,0.8959523,0.5388156,-0.977405,0.8764507,0.5473613,-0.9473992,0.8658966,0.5481596,-0.925429,0.9124366,0.5732434,-0.9152952,0.8976746,0.5703866,-0.8947936,0.8841647,0.5605463,-0.8938031,0.9266655,0.561184,-0.9069058,0.9125042,0.5630773,-0.8799773,0.895646,0.5572695,-0.8721101,0.9363986,0.541958,-0.9071788,0.9220053,0.5426866,-0.8815694,0.9057683,0.538927,-0.8708942,0.9438288,0.5227985,-0.9105492,0.9339983,0.5240065,-0.8903508,0.9206827,0.5225298,-0.8826261,0.9264275,0.5366563,-0.9580903,0.03856621,
1529327188157,0.9017247,0.5382428,-0.9783613,0.8825464,0.5466346,-0.9481061,0.8722461,0.5472498,-0.926023,0.9190853,0.5725727,-0.9163256,0.9045231,0.5698978,-0.8956763,0.8909658,0.5601581,-0.8945715,0.933105,0.5602576,-0.9081423,0.9189008,0.5620499,-0.8813399,0.9019562,0.5561234,-0.873897,0.9428244,0.5409744,-0.908545,0.9285706,0.5416954,-0.8829046,0.912313,0.5379559,-0.8722544,0.9501737,0.5217431,-0.9120232,0.9405755,0.522921,-0.8917368,0.9272774,0.5214767,-0.8840106,0.9323738,0.5359057,-0.9593652,0.03881038,
1529327188184,0.9108763,0.5375326,-0.9778427,0.8921472,0.5463962,-0.9474304,0.8820411,0.5475188,-0.9252478,0.930115,0.5729227,-0.9162886,0.9166448,0.5714507,-0.8945692,0.9029905,0.5621782,-0.8920293,0.9435249,0.5601644,-0.90837,0.9295524,0.5622487,-0.8816964,0.9125673,0.5561807,-0.8747172,0.953463,0.5409224,-0.9086742,0.9398136,0.5421195,-0.88292,0.9234736,0.5383852,-0.8724688,0.9607104,0.5214279,-0.9120632,0.9517941,0.5228467,-0.8915663,0.9385152,0.5214412,-0.8840003,0.9418348,0.535142,-0.9592652,0.04191944,
