time,thumb1x,thumb1y,thumb1z,thumb2x,thumb2y,thumb2z,thumb3x,thumb3y,thumb3z,index1x,index1y,index1z,index2x,index2y,index2z,index3x,index3y,index3z,middle1x,middle1y,middle1z,middle2x,middle2y,middle2z,middle3x,middle3y,middle3z,ring1x,ring1y,ring1z,ring2x,ring2y,ring2z,ring3x,ring3y,ring3z,pinky1x,pinky1y,pinky1z,pinky2x,pinky2y,pinky2z,pinky3x,pinky3y,pinky3z,palmx,palmy,palmz,pinch,
1529326799829,0.8118853,0.4745796,-0.8696196,0.7869543,0.4738853,-0.8406023,0.7765489,0.4691401,-0.8168511,0.7802519,0.5050178,-0.8169195,0.7630498,0.4874532,-0.799873,0.7552134,0.4703652,-0.7961213,0.79504,0.5042604,-0.8013341,0.7735121,0.4929305,-0.7757384,0.7599604,0.4812329,-0.7637686,0.8130847,0.4998735,-0.7948674,0.7906748,0.4915257,-0.7722517,0.7759724,0.4795002,-0.763274,0.8292357,0.4847322,-0.7963139,0.811811,0.4708939,-0.7908369,0.8051736,0.4579374,-0.7986737,0.82744,0.4898001,-0.8451341,0.02977298,
1529326799854,0.8114231,0.4768952,-0.871224,0.7857938,0.4765848,-0.8426417,0.7739021,0.4723067,-0.8194486,0.7815192,0.5076535,-0.8150089,0.7637337,0.4943509,-0.7942759,0.7539948,0.4801867,-0.786514,0.7971758,0.5053276,-0.8001127,0.7770735,0.496066,-0.7725855,0.7638823,0.4862513,-0.7584648,0.8147705,0.5004386,-0.7947865,0.7929584,0.4946687,-0.7705405,0.777985,0.4849083,-0.7594203,0.8303649,0.4835359,-0.7978431,0.8129424,0.4695076,-0.7931089,0.8062919,0.4567727,-0.8014238,0.8279068,0.4904659,-0.8460325,0.03928201,
1529326799881,0.8114014,0.4777778,-0.8722639,0.7849619,0.478228,-0.8443006,0.7717915,0.4748078,-0.8216261,0.7822883,0.5100361,-0.8146426,0.7645981,0.500131,-0.7917945,0.7542056,0.488079,-0.7817087,0.7983087,0.5068638,-0.800037,0.7791038,0.4993544,-0.7713768,0.7662549,0.4906988,-0.7561578,0.8157192,0.5020226,-0.7950835,0.7945523,0.4987181,-0.7696877,0.7796549,0.4910359,-0.7568609,0.830829,0.4837187,-0.7989197,0.8135567,0.4695058,-0.7947628,0.8072497,0.4567401,-0.8033977,0.8282826,0.4909191,-0.846745,0.04559371,
1529326799909,0.8121417,0.478061,-0.8736042,0.7846522,0.4791711,-0.846565,0.770184,0.4765349,-0.8245704,0.7833729,0.512373,-0.8152392,0.7658253,0.5060611,-0.7908832,0.7548943,0.4966692,-0.7785741,0.7995172,0.508344,-0.800695,0.7808231,0.5023468,-0.7714121,0.7681017,0.4943974,-0.7556591,0.8168771,0.5038111,-0.7958243,0.7963142,0.5031464,-0.7696463,0.7815871,0.4978429,-0.7552784,0.8315187,0.4838501,-0.8002195,0.8145448,0.4693363,-0.7968949,0.8087722,0.456543,-0.8059968,0.8292121,0.4911398,-0.8476834,0.05248643,
1529326799934,0.8125929,0.4789888,-0.8749176,0.7846743,0.4808933,-0.8483484,0.7697915,0.4787645,-0.8265877,0.7842003,0.5145893,-0.8166348,0.766584,0.5096622,-0.7920151,0.7553846,0.5012497,-0.7791955,0.8000709,0.5099913,-0.8020653,0.7810856,0.5045045,-0.772935,0.7680679,0.496647,-0.7573614,0.8173469,0.5054423,-0.7970943,0.7967105,0.5060111,-0.7709556,0.7818815,0.5019057,-0.7562014,0.8315945,0.484742,-0.8014688,0.8145473,0.4704123,-0.7985792,0.8090208,0.4576473,-0.8079143,0.8297737,0.4918048,-0.8487796,0.05439814,
1529326799962,0.8151442,0.4812263,-0.8800312,0.7861745,0.4837203,-0.8546095,0.7702508,0.4820449,-0.8335646,0.7870367,0.5187379,-0.8220582,0.7694061,0.5151615,-0.7972703,0.7578878,0.5077631,-0.7840419,0.8021138,0.513685,-0.8072643,0.7825767,0.5095255,-0.7783101,0.76907,0.5025452,-0.7626946,0.8192501,0.5087138,-0.8018292,0.7986585,0.5111487,-0.7757091,0.7838875,0.5091501,-0.7603431,0.8325551,0.4872295,-0.8059282,0.8151481,0.4735361,-0.8034995,0.8096197,0.4607522,-0.8129149,0.8322136,0.4939331,-0.8533096,0.05715569,
1529326799996,0.8173924,0.4806669,-0.8825915,0.7881708,0.4831644,-0.8573723,0.7715523,0.4819685,-0.8367808,0.7899823,0.5201305,-0.8251332,0.7724984,0.5171229,-0.8002534,0.7609714,0.5097523,-0.7870195,0.8045596,0.5144586,-0.8105954,0.7844831,0.5099373,-0.7821226,0.7706942,0.5027807,-0.7667997,0.82183,0.5100143,-0.8050281,0.8010225,0.5131938,-0.7791681,0.7861792,0.511949,-0.7637541,0.83517,0.4884503,-0.8082891,0.8175383,0.4752256,-0.8051087,0.811164,0.4622883,-0.8138734,0.8346949,0.4942253,-0.8561722,0.05796622,
1529326800028,0.8202956,0.481977,-0.8885294,0.7905778,0.4854085,-0.8639444,0.7728385,0.4853517,-0.8441868,0.7939316,0.523829,-0.8322321,0.7765784,0.5215691,-0.8071066,0.7649277,0.5151199,-0.7934784,0.8074361,0.5180721,-0.8177227,0.7865285,0.5146239,-0.7896652,0.7722424,0.5086216,-0.7742641,0.8247638,0.5128691,-0.8113759,0.8040335,0.5167497,-0.7855268,0.7892686,0.516344,-0.7699698,0.8373755,0.4911645,-0.8137115,0.8189369,0.4788144,-0.809692,0.8107661,0.4661313,-0.8173938,0.8376756,0.4960097,-0.8622243,0.05933021,
1529326800054,0.8218335,0.4826672,-0.8928661,0.7918224,0.4862797,-0.8686076,0.773422,0.4867516,-0.8494265,0.7961578,0.5255213,-0.8367445,0.7789228,0.5235707,-0.8115213,0.7672994,0.5173041,-0.7977819,0.8095937,0.5198066,-0.8222862,0.7886429,0.5165815,-0.7942783,0.7742596,0.5105183,-0.7789952,0.8270146,0.5143048,-0.8158194,0.806468,0.5180866,-0.7898245,0.7918111,0.5176325,-0.7741606,0.8395903,0.4927173,-0.8177915,0.820962,0.4806066,-0.8129999,0.812007,0.4680597,-0.8200268,0.8395656,0.4971004,-0.8666301,0.06031674,
1529326800082,0.8234472,0.4837373,-0.8997602,0.7931694,0.4874774,-0.8757931,0.7739912,0.4885049,-0.8573707,0.7990689,0.5266949,-0.8430218,0.782115,0.524709,-0.817543,0.7706171,0.5188349,-0.8035117,0.8122826,0.5207054,-0.8288466,0.7912379,0.5172566,-0.8009455,0.7767942,0.5112414,-0.7856864,0.8297539,0.5148383,-0.8224002,0.8094049,0.5184284,-0.796208,0.794888,0.5179835,-0.7804124,0.8422552,0.4932045,-0.8243015,0.8233576,0.4813594,-0.8187805,0.8134359,0.4692102,-0.8251811,0.8417254,0.4979697,-0.8733989,0.06190385,
