time,thumb1x,thumb1y,thumb1z,thumb2x,thumb2y,thumb2z,thumb3x,thumb3y,thumb3z,index1x,index1y,index1z,index2x,index2y,index2z,index3x,index3y,index3z,middle1x,middle1y,middle1z,middle2x,middle2y,middle2z,middle3x,middle3y,middle3z,ring1x,ring1y,ring1z,ring2x,ring2y,ring2z,ring3x,ring3y,ring3z,pinky1x,pinky1y,pinky1z,pinky2x,pinky2y,pinky2z,pinky3x,pinky3y,pinky3z,palmx,palmy,palmz,pinch,
1529327330548,0.8042519,0.5298756,-0.9185205,0.7747449,0.5400636,-0.8998444,0.7564015,0.5403689,-0.8835765,0.7744502,0.5399827,-0.8543575,0.7549257,0.5289977,-0.8382024,0.7423259,0.5171424,-0.8358589,0.7831774,0.5279893,-0.8438945,0.7579114,0.5160024,-0.8295467,0.7419192,0.5040441,-0.8301601,0.797915,0.5149157,-0.8394985,0.773367,0.5050912,-0.8248385,0.7564268,0.4952428,-0.822772,0.8115016,0.5001428,-0.840322,0.7922536,0.4931594,-0.8302074,0.7781931,0.4864465,-0.8306972,0.8172174,0.5207907,-0.8872033,0.05490495,
1529327330576,0.8111385,0.5222511,-0.9259927,0.7811751,0.5318154,-0.9077575,0.7628187,0.5318272,-0.8915028,0.7795502,0.5338151,-0.8638055,0.7597039,0.521745,-0.8491338,0.7479382,0.508966,-0.848321,0.7885215,0.5228242,-0.852784,0.7631128,0.5097332,-0.8403086,0.7483215,0.4967185,-0.8429254,0.8036885,0.5103508,-0.8475367,0.7788504,0.4992243,-0.8348004,0.7626355,0.4881415,-0.8348933,0.8181574,0.4961652,-0.846949,0.7989985,0.488327,-0.8373685,0.7853577,0.4808874,-0.8384168,0.8239838,0.5152614,-0.8943289,0.0510758,
1529327330614,0.8198856,0.5180418,-0.9323902,0.7895513,0.5253978,-0.9140311,0.7714025,0.5232749,-0.8976924,0.7864759,0.5281781,-0.8715484,0.7660422,0.5152637,-0.858274,0.7544204,0.5023677,-0.858319,0.7953796,0.5170393,-0.8605063,0.7696236,0.5031055,-0.849561,0.7552875,0.4900026,-0.8533251,0.8103554,0.5044037,-0.8555062,0.7850844,0.4920122,-0.8453411,0.7695566,0.4804226,-0.8479048,0.8251458,0.4903467,-0.854546,0.8057576,0.4815244,-0.8464781,0.7924501,0.4738384,-0.848865,0.832041,0.5111071,-0.9009361,0.04770493,
1529327330642,0.826888,0.514405,-0.9377905,0.7964765,0.5196316,-0.9190704,0.7784113,0.5160198,-0.9027852,0.7931048,0.5238221,-0.8772911,0.7722644,0.5107435,-0.8647103,0.76052,0.4979861,-0.8651945,0.8017856,0.5124099,-0.8666705,0.7755461,0.4984815,-0.8567287,0.7611521,0.4856346,-0.8610592,0.8167123,0.4990723,-0.8622149,0.7911851,0.48598,-0.8538122,0.7759651,0.4743791,-0.8577567,0.8315551,0.4852076,-0.8611492,0.8119644,0.4761212,-0.8539263,0.7987703,0.4685556,-0.8570746,0.839009,0.5073627,-0.9066196,0.04536934,
1529327330682,0.834602,0.5120562,-0.9422244,0.8038957,0.5164781,-0.9237233,0.785938,0.5119663,-0.9076536,0.8009065,0.5200756,-0.8814809,0.7799557,0.5065495,-0.8695737,0.7683705,0.4937306,-0.8706808,0.8096586,0.5085915,-0.8711637,0.7833343,0.4943838,-0.862016,0.7692672,0.4815832,-0.8671664,0.8246288,0.4948307,-0.8674741,0.7991058,0.4809821,-0.8606625,0.7843515,0.4692947,-0.8658757,0.8396303,0.481296,-0.8663467,0.8199993,0.4718823,-0.8600161,0.8072077,0.4643763,-0.8643818,0.8469926,0.5045365,-0.9110324,0.04481237,
1529327330723,0.8436685,0.509905,-0.9475444,0.8128408,0.5152752,-0.9294685,0.7949046,0.5109916,-0.9134566,0.8100711,0.5170417,-0.8862214,0.7891802,0.5034406,-0.8749661,0.7782292,0.4903752,-0.8773773,0.8189442,0.5056102,-0.8760847,0.7927617,0.4913775,-0.8678211,0.7796426,0.47846,-0.8744648,0.8342118,0.4916215,-0.8724737,0.8089292,0.4774726,-0.8662027,0.7949828,0.4656963,-0.8726857,0.8492821,0.4783098,-0.871441,0.8297772,0.4688371,-0.8657628,0.8176809,0.4613983,-0.8716114,0.8562945,0.5016531,-0.9160196,0.0447752,
1529327330749,0.8485984,0.5095748,-0.9501911,0.8178589,0.5162748,-0.9322474,0.7995842,0.5130851,-0.9163695,0.8152224,0.5168205,-0.888607,0.7941319,0.5036108,-0.877449,0.7831419,0.4907109,-0.8802116,0.8239555,0.5052465,-0.8785113,0.7975791,0.4915522,-0.8703024,0.7844349,0.4788813,-0.8772351,0.8390616,0.4909182,-0.874937,0.813603,0.4772282,-0.8685453,0.7995058,0.4657088,-0.8751045,0.853902,0.477338,-0.8740537,0.8343021,0.4682111,-0.8684262,0.8221853,0.4610122,-0.8745098,0.8611236,0.5006607,-0.9186317,0.04558892,
1529327330776,0.8559297,0.5112458,-0.9534856,0.8256044,0.5190626,-0.9350948,0.8072536,0.5168769,-0.9191341,0.823225,0.5173467,-0.8914752,0.8019986,0.5041646,-0.8809026,0.7912396,0.4913871,-0.8845584,0.8322204,0.5054899,-0.8814683,0.8059988,0.4919002,-0.873574,0.7932293,0.4794833,-0.8813984,0.8472913,0.4908445,-0.8783572,0.8219864,0.4771998,-0.872218,0.808198,0.4659548,-0.8796439,0.8619687,0.4771364,-0.8779912,0.8424492,0.4681226,-0.8725346,0.8305387,0.4612541,-0.8792603,0.8687111,0.5011844,-0.9222702,0.0458438,
1529327330810,0.8601869,0.5121614,-0.9545379,0.8303124,0.520332,-0.9354739,0.8122976,0.5186498,-0.9190753,0.8286879,0.5186292,-0.8922179,0.8078802,0.505094,-0.8822607,0.7981497,0.4920506,-0.8871754,0.8381528,0.5069722,-0.8822511,0.8124658,0.4930166,-0.874753,0.8006848,0.4803905,-0.883533,0.8535509,0.4924809,-0.8792307,0.8287705,0.4784677,-0.8733721,0.8158691,0.4670734,-0.8818337,0.8684027,0.4790271,-0.8789078,0.8491962,0.4699072,-0.8733941,0.8377115,0.4629762,-0.8806646,0.8738007,0.5025216,-0.9235854,0.04387797,
1529327330842,0.8635244,0.5119367,-0.9543415,0.8341846,0.5203108,-0.9345179,0.8167272,0.5188991,-0.9175178,0.8324291,0.5194529,-0.8926171,0.8120068,0.5054494,-0.8834864,0.8036585,0.4921372,-0.8895733,0.8423162,0.5078897,-0.8827533,0.8173311,0.4929889,-0.8765807,0.8072531,0.4800595,-0.8867463,0.8581333,0.49401,-0.8793067,0.8340575,0.4793705,-0.8745445,0.8226936,0.4677423,-0.8845679,0.873227,0.4809039,-0.8786893,0.854347,0.4714506,-0.8738118,0.8437398,0.4643859,-0.8821245,0.8776547,0.5033376,-0.9236779,0.04083972,
1529327330870,0.8660016,0.5127847,-0.9544735,0.8370998,0.5215058,-0.9341677,0.8199915,0.5202061,-0.9168378,0.8350813,0.5201817,-0.8930167,0.8148317,0.505986,-0.8848215,0.8074079,0.4927603,-0.8919829,0.8450727,0.5084109,-0.8834089,0.8205061,0.4931806,-0.8785422,0.8117241,0.4804961,-0.8899841,0.8610342,0.4946811,-0.8797572,0.8373619,0.479943,-0.8758969,0.8270314,0.4685926,-0.8871414,0.8761353,0.4815617,-0.8791655,0.8574635,0.4720675,-0.8748467,0.8475187,0.4652816,-0.8840668,0.8802356,0.5040783,-0.9240773,0.03910739,
1529327330896,0.8697782,0.5118295,-0.9545352,0.8410342,0.5209988,-0.9340677,0.8240493,0.5202273,-0.9166325,0.8401015,0.5197225,-0.8925612,0.8203358,0.505465,-0.8848408,0.8139907,0.4922903,-0.8928975,0.8504008,0.507898,-0.8832653,0.8262522,0.492441,-0.878795,0.8184355,0.4798578,-0.8908265,0.8665035,0.4941048,-0.880078,0.8435591,0.4790296,-0.8775437,0.8348162,0.4680197,-0.8902794,0.881687,0.4812225,-0.8794941,0.863292,0.4716007,-0.8759283,0.8543027,0.4650816,-0.8861614,0.8849021,0.5034404,-0.9241894,0.03801313,
1529327330922,0.8715215,0.5136501,-0.9553763,0.8427195,0.522801,-0.9349186,0.8257797,0.5218896,-0.9175394,0.842316,0.5213252,-0.8930731,0.8227003,0.507164,-0.8857999,0.8170403,0.494298,-0.8945682,0.852613,0.5092179,-0.8841372,0.8286563,0.4937747,-0.8803449,0.8215633,0.481541,-0.8930376,0.8687044,0.495106,-0.8813981,0.8461686,0.4799326,-0.8800823,0.8383828,0.4694607,-0.8938446,0.8838349,0.4822517,-0.880892,0.8655689,0.4725749,-0.878094,0.8571057,0.4664602,-0.8890066,0.8869063,0.5050442,-0.9251058,0.0369506,
1529327330948,0.873612,0.5132972,-0.9554558,0.8448247,0.5225872,-0.9349815,0.8279507,0.5218073,-0.9175879,0.8451228,0.5210105,-0.8928856,0.8256619,0.5067253,-0.8857519,0.8203192,0.4939222,-0.8947219,0.855533,0.5089099,-0.884173,0.8318266,0.4933095,-0.8807525,0.8252431,0.481178,-0.8937738,0.8717492,0.4948279,-0.8815368,0.8495078,0.4795498,-0.8805872,0.8421497,0.4692392,-0.8947142,0.8868871,0.4820698,-0.88112,0.8687592,0.4723498,-0.8785938,0.8606063,0.4663658,-0.8898077,0.8894513,0.5048104,-0.9252173,0.03686017,
