time,thumb1x,thumb1y,thumb1z,thumb2x,thumb2y,thumb2z,thumb3x,thumb3y,thumb3z,index1x,index1y,index1z,index2x,index2y,index2z,index3x,index3y,index3z,middle1x,middle1y,middle1z,middle2x,middle2y,middle2z,middle3x,middle3y,middle3z,ring1x,ring1y,ring1z,ring2x,ring2y,ring2z,ring3x,ring3y,ring3z,pinky1x,pinky1y,pinky1z,pinky2x,pinky2y,pinky2z,pinky3x,pinky3y,pinky3z,palmx,palmy,palmz,pinch,
1529327234692,0.9791874,0.5303797,-0.9255822,0.9606436,0.5412005,-0.8956516,0.950672,0.5448664,-0.8735788,0.9976791,0.5700235,-0.8670563,0.9840118,0.5688671,-0.8454887,0.9722826,0.5575215,-0.8417785,1.011973,0.5583236,-0.8602243,0.9953253,0.5582028,-0.8359644,0.9795736,0.5479299,-0.8319584,1.026758,0.5402296,-0.8603205,1.012632,0.5388791,-0.8360265,0.9963779,0.5305083,-0.8310043,1.037352,0.5212427,-0.8636162,1.028709,0.5205855,-0.8436841,1.015112,0.5164613,-0.8387086,1.012791,0.5312778,-0.9090444,0.04047753,
1529327234732,0.9579697,0.5245014,-0.9299251,0.9370686,0.534884,-0.9014428,0.9256383,0.5379425,-0.8800391,0.9713846,0.5626476,-0.8694136,0.9558041,0.5605058,-0.8492275,0.9441323,0.5487173,-0.846733,0.98525,0.5507658,-0.8618891,0.9662957,0.5490756,-0.839471,0.9505732,0.538107,-0.837352,1.00042,0.5330657,-0.8613255,0.9839453,0.5303084,-0.8388211,0.9674947,0.5212172,-0.8359245,1.011616,0.5145016,-0.8642418,1.000813,0.5128963,-0.8456071,0.9867816,0.5082235,-0.8425882,0.9906058,0.5252858,-0.9108899,0.03959059,
1529327234759,0.9486288,0.5234062,-0.933161,0.9256935,0.533011,-0.9060161,0.9129224,0.5354892,-0.8853095,0.9576265,0.560631,-0.8710628,0.9411911,0.557869,-0.8514448,0.9295858,0.5459204,-0.8492879,0.9712744,0.5490024,-0.8630109,0.9512082,0.5464129,-0.8415013,0.9356374,0.5350786,-0.8400641,0.9868345,0.5317358,-0.8619131,0.9691643,0.5280247,-0.8403744,0.9528501,0.5184196,-0.838377,0.9986737,0.5135834,-0.8645036,0.9866873,0.5111997,-0.8467069,0.9726393,0.5060027,-0.8447405,0.9801449,0.5245866,-0.9120538,0.04103693,
1529327234786,0.9366285,0.5214125,-0.9347838,0.9120027,0.5314459,-0.9093161,0.8977641,0.5345111,-0.8896245,0.941859,0.5592434,-0.8724692,0.9246259,0.5567102,-0.8532498,0.9127359,0.5450107,-0.8509836,0.95498,0.5479873,-0.8635566,0.9339041,0.5457311,-0.8427945,0.9181831,0.5345403,-0.8415581,0.9704353,0.5308349,-0.8613962,0.951669,0.5274535,-0.8404213,0.9352232,0.5179977,-0.8384128,0.9824446,0.5127494,-0.8630866,0.9694114,0.5105031,-0.8459539,0.9553095,0.5052326,-0.8445829,0.9668627,0.5229244,-0.9117445,0.04274943,
1529327234838,0.9278892,0.5216324,-0.9391697,0.9012506,0.5311377,-0.9155871,0.88525,0.5341449,-0.8972269,0.9282364,0.5577003,-0.8751953,0.9104095,0.5547828,-0.8561952,0.8981794,0.5433958,-0.8539785,0.9406557,0.5466573,-0.865687,0.9186791,0.5440681,-0.8456017,0.9027954,0.533067,-0.8447754,0.9559345,0.529743,-0.8629472,0.9360827,0.5261046,-0.8425529,0.919522,0.5168067,-0.840584,0.9681484,0.5118417,-0.8642504,0.9540554,0.5091823,-0.8477881,0.939948,0.5037674,-0.8467702,0.9559902,0.5228811,-0.9138212,0.04607789,
1529327234879,0.9223521,0.5237416,-0.9419193,0.8947173,0.5334232,-0.9196129,0.8780689,0.5363902,-0.9018534,0.9192932,0.5612575,-0.8787857,0.9008093,0.5587114,-0.8604975,0.8885891,0.5473071,-0.8588684,0.9309504,0.5502434,-0.8684778,0.908049,0.5477169,-0.8496703,0.8923356,0.5365154,-0.8499302,0.9459145,0.5335709,-0.8646756,0.9249073,0.5302076,-0.8456044,0.9084029,0.5207487,-0.8449101,0.9581013,0.5157539,-0.8649704,0.9429574,0.5134887,-0.8494524,0.9288676,0.508023,-0.8494179,0.9488585,0.5256297,-0.9152833,0.04558038,
1529327234905,0.9201071,0.5244156,-0.94274,0.8924118,0.5337439,-0.9203862,0.8759813,0.5362539,-0.9023994,0.916147,0.5631776,-0.8804845,0.897621,0.5606514,-0.8623258,0.8855938,0.5490701,-0.8607953,0.9276692,0.5522577,-0.8699574,0.9045919,0.5494241,-0.8515456,0.8891535,0.5378804,-0.8521502,0.9426892,0.5359212,-0.8658075,0.9213935,0.5324142,-0.8472396,0.9050977,0.5226179,-0.8470501,0.9550242,0.518325,-0.8656913,0.9395657,0.5161151,-0.8505598,0.9255842,0.5104334,-0.8509569,0.9462706,0.5272491,-0.9161574,0.04458195,
1529327234932,0.9175516,0.5254467,-0.9450222,0.8898907,0.5341691,-0.9224027,0.8736876,0.5360214,-0.9041728,0.913038,0.5639943,-0.8828028,0.8944437,0.5610893,-0.8648751,0.8825361,0.5493652,-0.863788,0.9243084,0.5528852,-0.872337,0.9010124,0.5494813,-0.8544325,0.8857648,0.5377479,-0.8556718,0.9392609,0.536711,-0.8681923,0.9176612,0.5328693,-0.8501772,0.90148,0.5229146,-0.8506295,0.9515952,0.5192721,-0.8680508,0.9358416,0.5170051,-0.8532931,0.9219006,0.5112706,-0.8540988,0.9434127,0.528415,-0.9184662,0.04344284,
1529327234959,0.9166609,0.5273491,-0.9471582,0.8890055,0.5357375,-0.924419,0.8727536,0.5371705,-0.9061963,0.9122363,0.5641472,-0.8838868,0.8934913,0.5609843,-0.8661785,0.8813273,0.5494691,-0.8655606,0.9231271,0.552462,-0.873641,0.8996333,0.5488513,-0.8560331,0.8841729,0.5374691,-0.8578023,0.93766,0.5359144,-0.8698626,0.9158005,0.5318842,-0.8521688,0.8993962,0.5222895,-0.8530171,0.9496501,0.51836,-0.8701038,0.9337136,0.5160406,-0.8554928,0.919633,0.5106471,-0.8564232,0.9422258,0.5291131,-0.9203294,0.04331311,
1529327234995,0.9154965,0.528266,-0.9498639,0.8881423,0.5365009,-0.9267337,0.8722251,0.5376068,-0.9082195,0.9116485,0.5648603,-0.8865097,0.8929558,0.5616343,-0.8688451,0.880771,0.5501425,-0.8684379,0.9224042,0.552911,-0.8764035,0.8989086,0.5491456,-0.8589295,0.8834532,0.5378091,-0.8609858,0.9367668,0.5362679,-0.8727936,0.9148462,0.5321449,-0.8552911,0.8984309,0.5226088,-0.8564472,0.9485955,0.5187297,-0.8731569,0.9325919,0.5164771,-0.8586475,0.9184893,0.5111887,-0.8597406,0.9411471,0.529766,-0.9232353,0.04257636,
1529327235026,0.914633,0.5265272,-0.9514631,0.8873808,0.5344468,-0.928098,0.8717572,0.53543,-0.9093524,0.9106231,0.5644276,-0.889082,0.892037,0.5608612,-0.8713902,0.880264,0.5489413,-0.8707832,0.9217904,0.552848,-0.8789451,0.8983982,0.5484127,-0.8615307,0.8833894,0.5364566,-0.8635132,0.9366601,0.5367205,-0.875174,0.9148403,0.5319855,-0.8578762,0.8988527,0.5217783,-0.8592651,0.9489793,0.5196228,-0.8752803,0.9329723,0.5170704,-0.8609804,0.9191144,0.5112683,-0.8624063,0.9407072,0.5294132,-0.925306,0.04174338,
1529327235052,0.9135803,0.5256466,-0.9523078,0.8867094,0.5333805,-0.9284239,0.8713488,0.5343838,-0.9094512,0.9103315,0.5633426,-0.8900403,0.8918916,0.5593113,-0.8722107,0.8802369,0.5472375,-0.8714534,0.9217747,0.5518214,-0.8801739,0.8985281,0.5468624,-0.8625758,0.883584,0.5347378,-0.8643492,0.9368722,0.5358462,-0.8766723,0.9152269,0.5306289,-0.8592402,0.8993155,0.5202368,-0.8604896,0.9493567,0.5189232,-0.8769752,0.933478,0.5160502,-0.8625643,0.919637,0.5101231,-0.8638414,0.9401686,0.528798,-0.9267169,0.04108584,
