time,thumb1x,thumb1y,thumb1z,thumb2x,thumb2y,thumb2z,thumb3x,thumb3y,thumb3z,index1x,index1y,index1z,index2x,index2y,index2z,index3x,index3y,index3z,middle1x,middle1y,middle1z,middle2x,middle2y,middle2z,middle3x,middle3y,middle3z,ring1x,ring1y,ring1z,ring2x,ring2y,ring2z,ring3x,ring3y,ring3z,pinky1x,pinky1y,pinky1z,pinky2x,pinky2y,pinky2z,pinky3x,pinky3y,pinky3z,palmx,palmy,palmz,pinch,
1529321137886,0.7587321,1.000448,-0.7362126,0.7438446,1.003151,-0.7009044,0.7403424,1.001236,-0.6748207,0.7806176,1.020609,-0.6732148,0.7755881,0.9982309,-0.6596358,0.7734025,0.9812044,-0.6668195,0.799454,1.015234,-0.6754392,0.7900711,0.9891749,-0.6569464,0.7823439,0.9703511,-0.6606488,0.8167999,1.007638,-0.6865982,0.8055332,0.9837385,-0.6788281,0.7972343,0.9718153,-0.6929637,0.8346424,1.002716,-0.6945136,0.8260868,0.9881592,-0.683751,0.8158617,0.9802758,-0.6932958,0.7978519,1.011376,-0.7261703,0.03947482,
1529321137921,0.7633013,0.9831393,-0.7630341,0.7456268,0.9848895,-0.7288679,0.7395096,0.9823779,-0.7033107,0.7777261,1.004159,-0.6981016,0.7696728,0.9824979,-0.6824155,0.7668071,0.9644606,-0.6859721,0.79651,0.9984187,-0.697929,0.7841103,0.9747784,-0.6761281,0.7758246,0.9560318,-0.6741757,0.8165548,0.9909618,-0.7054236,0.8044997,0.9683315,-0.6942359,0.7958835,0.9550433,-0.706412,0.8346378,0.9844226,-0.7129021,0.8254845,0.9702609,-0.7000916,0.8146614,0.9604451,-0.7070202,0.8007113,0.9936451,-0.7492834,0.0369704,
1529321137953,0.7684144,0.962879,-0.7867904,0.7492652,0.9636182,-0.7532644,0.7412949,0.9607296,-0.7282348,0.7767249,0.9846599,-0.7207834,0.7670797,0.963877,-0.7044834,0.7635254,0.946012,-0.707507,0.7952109,0.9788791,-0.718651,0.780938,0.956588,-0.6968617,0.7719039,0.9380441,-0.6949127,0.8163587,0.9715285,-0.7237352,0.8035803,0.9498908,-0.7050512,0.7940316,0.9341496,-0.7094936,0.83463,0.9640192,-0.7305304,0.825686,0.9505829,-0.7130255,0.8148283,0.938651,-0.712758,0.8036691,0.9733074,-0.7705173,0.03377043,
1529321137978,0.7706155,0.947073,-0.7995955,0.7516166,0.946143,-0.7659311,0.7434897,0.9424505,-0.7410469,0.7760936,0.9683572,-0.7335229,0.7669957,0.9469453,-0.718249,0.7642527,0.9295118,-0.7230204,0.794504,0.9634212,-0.7307203,0.7804841,0.9403518,-0.7104092,0.7720381,0.9213351,-0.7105747,0.8160858,0.9571705,-0.7349947,0.8038404,0.9359993,-0.7150573,0.7944461,0.9194516,-0.7175804,0.8351644,0.9503478,-0.7414285,0.8277368,0.9379307,-0.7217413,0.8179246,0.9257727,-0.7177271,0.8041277,0.9586239,-0.7827367,0.03038852,
1529321138018,0.7780878,0.9102407,-0.8230284,0.7601667,0.9055868,-0.7890449,0.7528405,0.8998439,-0.7642918,0.780856,0.9273782,-0.7565489,0.7747521,0.9038574,-0.7443894,0.7739096,0.8877223,-0.752682,0.7991288,0.9248124,-0.7532782,0.7881409,0.8991526,-0.7388455,0.7829608,0.8807853,-0.7471818,0.8211863,0.9211589,-0.7574627,0.811036,0.8979434,-0.7399306,0.8028872,0.8799841,-0.7440155,0.840648,0.9165314,-0.7641606,0.8341758,0.9025645,-0.7453864,0.8255015,0.8891259,-0.7415892,0.8093319,0.9240108,-0.8055665,0.02693749,
1529321138044,0.7837586,0.8909956,-0.8344698,0.7646641,0.8840814,-0.8015094,0.7564728,0.8769768,-0.7773865,0.7840624,0.9047886,-0.7670068,0.7790254,0.8805326,-0.7564317,0.779065,0.8652827,-0.7661396,0.8022776,0.9029936,-0.7631012,0.7925848,0.8766002,-0.7513535,0.7888706,0.8595116,-0.7625843,0.8246562,0.901194,-0.7662379,0.8154413,0.8774463,-0.7496357,0.8080411,0.8588625,-0.7542284,0.844407,0.8972338,-0.7729933,0.8379985,0.8820111,-0.7559246,0.8295066,0.8680699,-0.7551948,0.8138317,0.9051268,-0.8152111,0.02781462,
1529321138072,0.7886415,0.8724604,-0.8473604,0.7675364,0.8643258,-0.8159326,0.7576428,0.8563554,-0.7927191,0.7865639,0.8826303,-0.7790771,0.7812424,0.8579746,-0.77008,0.7816552,0.8435522,-0.7808806,0.8045903,0.8805897,-0.7744818,0.7946638,0.8538935,-0.7649478,0.7915897,0.8380066,-0.7779324,0.8269241,0.878979,-0.7767556,0.8170359,0.8545792,-0.7622163,0.8098423,0.8362727,-0.768537,0.8469059,0.8750536,-0.7830441,0.8395731,0.8587621,-0.7679811,0.8309408,0.8451446,-0.7700453,0.8181316,0.8852724,-0.8259693,0.02967602,
1529321138100,0.7941413,0.8430337,-0.8613365,0.7709661,0.8339263,-0.8317511,0.7600414,0.8247364,-0.8095038,0.7881298,0.8486459,-0.7935748,0.7820098,0.8236431,-0.7882888,0.783247,0.8112669,-0.8013583,0.8055996,0.8457584,-0.787878,0.7946382,0.8189024,-0.7823641,0.7925366,0.8051639,-0.7978199,0.8276806,0.8434464,-0.7888128,0.8160642,0.8183175,-0.7788464,0.8092846,0.8016595,-0.7891778,0.8477209,0.8392101,-0.7938725,0.8383016,0.821884,-0.7824734,0.8295623,0.8096565,-0.7886924,0.8227214,0.8535405,-0.8373269,0.02804066,
1529321138133,0.8033439,0.8091969,-0.8737997,0.7792902,0.7986007,-0.8455374,0.7680743,0.7874273,-0.8244095,0.7952617,0.8075714,-0.8069568,0.787277,0.7828373,-0.8059603,0.7883217,0.7729197,-0.8210096,0.8120204,0.8024074,-0.8014151,0.7989734,0.7762171,-0.8009145,0.7968624,0.7655869,-0.8186953,0.8336239,0.7979689,-0.8023407,0.8197253,0.772947,-0.7984397,0.8127592,0.7598317,-0.8129367,0.8530042,0.792639,-0.8071367,0.8411832,0.7748908,-0.8005996,0.8321367,0.7656091,-0.8105376,0.8314654,0.8145482,-0.8482758,0.02513943,
1529321138151,0.8054209,0.7871177,-0.8813097,0.7819757,0.7747502,-0.8532562,0.771117,0.7622026,-0.8326981,0.7972155,0.781627,-0.8152355,0.7887301,0.7572047,-0.8163489,0.7897097,0.7487522,-0.8322713,0.8138163,0.7755506,-0.8103979,0.8002378,0.7498065,-0.8123934,0.7981046,0.7410161,-0.8311568,0.8351587,0.7705298,-0.8118822,0.8207024,0.7458537,-0.8109472,0.8139025,0.7350042,-0.8272319,0.8541708,0.7651153,-0.8169774,0.8416511,0.7474038,-0.8126323,0.8326786,0.7397673,-0.8239412,0.8333802,0.7906609,-0.8559263,0.02295186,
