time,thumb1x,thumb1y,thumb1z,thumb2x,thumb2y,thumb2z,thumb3x,thumb3y,thumb3z,index1x,index1y,index1z,index2x,index2y,index2z,index3x,index3y,index3z,middle1x,middle1y,middle1z,middle2x,middle2y,middle2z,middle3x,middle3y,middle3z,ring1x,ring1y,ring1z,ring2x,ring2y,ring2z,ring3x,ring3y,ring3z,pinky1x,pinky1y,pinky1z,pinky2x,pinky2y,pinky2z,pinky3x,pinky3y,pinky3z,palmx,palmy,palmz,pinch,
1529321275782,0.7738612,0.5298427,-0.8991265,0.7695164,0.5067932,-0.8695975,0.7789285,0.4889397,-0.8537523,0.7547591,0.5281903,-0.8365301,0.7483109,0.5036076,-0.8385606,0.7513711,0.495773,-0.8546222,0.7714292,0.5239308,-0.8304064,0.759617,0.497498,-0.8322638,0.7594922,0.488201,-0.8508307,0.7945416,0.5227859,-0.8273287,0.7819064,0.4978442,-0.819105,0.7749671,0.4828729,-0.8312241,0.8164185,0.5187351,-0.8321674,0.8082727,0.5010118,-0.8201272,0.799068,0.4886616,-0.8253009,0.7919114,0.5400326,-0.8757128,0.0284052,
1529321275809,0.774882,0.5380982,-0.9005103,0.7716489,0.5144516,-0.8713736,0.7819,0.4963617,-0.8564,0.7578832,0.5353798,-0.8379164,0.7516258,0.5110092,-0.8410471,0.7545407,0.504162,-0.8575994,0.7747628,0.5309708,-0.8323144,0.7630847,0.5046672,-0.8350325,0.7625865,0.4963068,-0.8540468,0.7978472,0.5296407,-0.8299317,0.785455,0.5043632,-0.8225089,0.7782029,0.4899343,-0.8351203,0.8192635,0.5256969,-0.8354441,0.8110865,0.5075625,-0.8241398,0.8016914,0.495592,-0.8298355,0.7936953,0.5480689,-0.8774803,0.02847488,
1529321275835,0.7779452,0.5466024,-0.8974627,0.7754306,0.5221034,-0.8689274,0.7860031,0.5037938,-0.8543988,0.761683,0.5427061,-0.8343337,0.7556404,0.5183427,-0.8375379,0.758344,0.5117813,-0.8542154,0.7788023,0.5384232,-0.8289348,0.7673953,0.5119735,-0.8315165,0.7665344,0.5038046,-0.850553,0.8018781,0.5373333,-0.827119,0.7899872,0.5118669,-0.8200303,0.782849,0.4977913,-0.8330256,0.8230069,0.5336293,-0.833223,0.814947,0.5151544,-0.8226132,0.8056656,0.5034547,-0.8289633,0.7968521,0.5565317,-0.8743522,0.02878994,
1529321275862,0.7837703,0.5520506,-0.9035822,0.7796654,0.5276608,-0.8749412,0.7885754,0.5089458,-0.8596306,0.7691929,0.5496613,-0.8386871,0.7620815,0.5252908,-0.8400138,0.7637705,0.5175066,-0.8562599,0.7865239,0.545014,-0.8335062,0.7741064,0.5185927,-0.8337786,0.7719209,0.5091,-0.8520119,0.8095872,0.5431908,-0.8328443,0.7973095,0.5182626,-0.8245796,0.7895015,0.5040728,-0.8369706,0.8300207,0.5385576,-0.8398629,0.8213282,0.5204149,-0.8293739,0.8116913,0.5091407,-0.8359622,0.8039879,0.5617871,-0.8805776,0.0264562,
1529321275893,0.7906469,0.5544217,-0.9075793,0.7838504,0.5317787,-0.8778765,0.7906647,0.5136685,-0.8608485,0.7750252,0.5569593,-0.8419897,0.7667449,0.5325942,-0.8407044,0.7679261,0.5227611,-0.8557782,0.7922393,0.5519265,-0.8363259,0.7787696,0.5257391,-0.8342482,0.7760342,0.5144383,-0.8513083,0.8150953,0.5491991,-0.8354713,0.8018016,0.5250801,-0.8255822,0.7936705,0.5102091,-0.8367894,0.8350344,0.5431837,-0.8421414,0.8250568,0.5257275,-0.8315332,0.8152648,0.5146151,-0.8381696,0.8112584,0.5649583,-0.8843586,0.02500851,
1529321275924,0.7943266,0.5563554,-0.9106797,0.7840627,0.5351701,-0.8805459,0.7871475,0.517676,-0.861662,0.7781147,0.5627298,-0.8439673,0.7684917,0.5385388,-0.8394021,0.7684965,0.526273,-0.8525451,0.7951496,0.5571246,-0.8383204,0.7807234,0.5312831,-0.8341758,0.7773717,0.5184711,-0.8499851,0.8177071,0.5536293,-0.8374323,0.8033907,0.5301307,-0.8259519,0.7947147,0.5143159,-0.8353755,0.8371896,0.5464932,-0.8439404,0.8260366,0.5294229,-0.8335582,0.8161591,0.5182885,-0.8401487,0.815309,0.5675716,-0.8870208,0.02246968,
1529321275955,0.7994575,0.5570834,-0.9160162,0.7866657,0.5367236,-0.8859575,0.7857483,0.5199189,-0.8658689,0.7838737,0.5652469,-0.8477053,0.7733991,0.5413328,-0.8394165,0.7715865,0.5266236,-0.8496621,0.800887,0.5592239,-0.8424355,0.7859129,0.5333787,-0.8357008,0.7812428,0.5187694,-0.8495337,0.8232008,0.5552453,-0.842207,0.8086238,0.53192,-0.8292826,0.7993493,0.5152015,-0.836647,0.8424135,0.5476114,-0.8490128,0.8309005,0.530431,-0.8387496,0.8209387,0.5190662,-0.8449647,0.8210295,0.5684934,-0.8920722,0.02254264,
1529321275982,0.8054787,0.5600481,-0.9166701,0.7901663,0.542363,-0.8858646,0.7853843,0.5276989,-0.864423,0.7905405,0.5730814,-0.848218,0.7792121,0.5502272,-0.836717,0.7760822,0.5337688,-0.8438838,0.8074896,0.5669057,-0.8426968,0.7916659,0.5417404,-0.8328084,0.7855821,0.5250461,-0.8437462,0.8296388,0.5623609,-0.8424832,0.8145459,0.5401936,-0.8273509,0.8045433,0.5227113,-0.8320292,0.8485997,0.5538784,-0.8489281,0.8366355,0.5374421,-0.8374522,0.8263606,0.5255395,-0.8421788,0.8278037,0.5723963,-0.8930994,0.02335028,
1529321276009,0.8094478,0.558347,-0.9210267,0.7925042,0.5419041,-0.8903136,0.7855322,0.5283158,-0.8686906,0.7943641,0.5732376,-0.8526286,0.782305,0.5510907,-0.8399733,0.7783238,0.534175,-0.8457613,0.8110991,0.5666846,-0.846851,0.7944475,0.5421025,-0.8357372,0.7874235,0.5247887,-0.8452199,0.8330911,0.5616969,-0.8463244,0.8173463,0.5404023,-0.830153,0.8067327,0.5228982,-0.8334447,0.8518529,0.5526086,-0.8524487,0.8394071,0.5367666,-0.8402877,0.8287897,0.524731,-0.8439919,0.8320004,0.5706798,-0.8973107,0.02473951,
1529321276035,0.8125172,0.5577792,-0.9244415,0.794644,0.5428225,-0.8934422,0.7860816,0.5305547,-0.8715363,0.7981135,0.5750127,-0.8560408,0.7856592,0.5538003,-0.8417734,0.7808777,0.5365933,-0.845988,0.8148415,0.5683461,-0.8499619,0.7976592,0.5446709,-0.8363767,0.7893969,0.5267178,-0.8433968,0.836579,0.5627819,-0.8496602,0.8205713,0.5424489,-0.832092,0.8093768,0.5249561,-0.8335557,0.8551636,0.5532727,-0.8555027,0.8426147,0.5382041,-0.8420805,0.8316534,0.5260023,-0.8441062,0.8354634,0.5702804,-0.901021,0.02676296,
