time,thumb1x,thumb1y,thumb1z,thumb2x,thumb2y,thumb2z,thumb3x,thumb3y,thumb3z,index1x,index1y,index1z,index2x,index2y,index2z,index3x,index3y,index3z,middle1x,middle1y,middle1z,middle2x,middle2y,middle2z,middle3x,middle3y,middle3z,ring1x,ring1y,ring1z,ring2x,ring2y,ring2z,ring3x,ring3y,ring3z,pinky1x,pinky1y,pinky1z,pinky2x,pinky2y,pinky2z,pinky3x,pinky3y,pinky3z,palmx,palmy,palmz,pinch,
1529320883053,0.7952919,0.5644464,-0.8696039,0.7853225,0.5556628,-0.8331601,0.7819248,0.5461173,-0.8087456,0.8305925,0.5856102,-0.8017454,0.8327411,0.5799271,-0.7716337,0.8308036,0.5721363,-0.7544236,0.8473281,0.5728424,-0.8039067,0.8477536,0.5631846,-0.7702489,0.8433161,0.5531908,-0.7514719,0.8602456,0.5597618,-0.8149859,0.8587601,0.549606,-0.7835625,0.853009,0.5396596,-0.7655611,0.8637345,0.5413471,-0.8312532,0.8509454,0.5284404,-0.8171428,0.8359351,0.5214608,-0.81854,0.8328488,0.5671893,-0.8608923,0.07756934,
1529320883079,0.7948375,0.5675904,-0.8718382,0.7844024,0.559624,-0.8353298,0.7805361,0.5507776,-0.8107025,0.8299687,0.5901781,-0.8043045,0.8319464,0.5847101,-0.7741645,0.829787,0.5769328,-0.7569827,0.84655,0.5774232,-0.8060597,0.8465455,0.5682182,-0.7722946,0.8417287,0.5584028,-0.7535286,0.8595138,0.564178,-0.8167313,0.8576738,0.5546492,-0.7851356,0.8516582,0.5450438,-0.7670438,0.8641893,0.5457726,-0.8319818,0.8528765,0.5332167,-0.8156726,0.8383561,0.525189,-0.8139574,0.8324685,0.5706047,-0.8629385,0.07743108,
1529320883113,0.7948914,0.571876,-0.8756316,0.7839522,0.5646783,-0.839092,0.7795551,0.5565931,-0.8142774,0.8296208,0.5960575,-0.8084154,0.8315268,0.5906439,-0.7782914,0.8292001,0.5827206,-0.7612115,0.8461413,0.5834751,-0.8097594,0.8457938,0.574543,-0.7759553,0.8406454,0.5647365,-0.7572863,0.8592483,0.5702817,-0.819998,0.8571211,0.5613309,-0.788259,0.8508971,0.5519802,-0.7701141,0.8650527,0.5520092,-0.834361,0.8551027,0.5399856,-0.8163522,0.841327,0.5314094,-0.8124651,0.8325518,0.5754778,-0.8665072,0.07722223,
1529320883146,0.7953034,0.5750771,-0.8801234,0.7840267,0.5680934,-0.843645,0.7792899,0.5603023,-0.8187746,0.8296197,0.5997913,-0.812919,0.8312541,0.5941883,-0.7828286,0.8287259,0.5860468,-0.76589,0.8461754,0.5873446,-0.8141249,0.84542,0.5782313,-0.7804003,0.8399579,0.5682069,-0.761948,0.859574,0.5742754,-0.8242135,0.8573021,0.5652817,-0.7925088,0.8509474,0.5558267,-0.7744719,0.8664774,0.5564183,-0.8380693,0.85802,0.5447422,-0.8187838,0.8450876,0.535859,-0.8131861,0.8330454,0.5790616,-0.8708354,0.07683416,
1529320883172,0.796613,0.5778105,-0.885782,0.7853142,0.5710293,-0.8492554,0.7803538,0.5636799,-0.8242748,0.8304659,0.6034116,-0.8187913,0.8320465,0.5976495,-0.7887448,0.8295109,0.5892544,-0.7719404,0.8471382,0.5912898,-0.8199821,0.8461331,0.5819167,-0.7863663,0.8404971,0.5715442,-0.7681713,0.8607546,0.5784983,-0.8300315,0.858211,0.5693128,-0.7984126,0.8517622,0.5596317,-0.7805259,0.8680196,0.5608929,-0.8438296,0.85932,0.5491326,-0.8248193,0.8462199,0.5401285,-0.8200531,0.8344054,0.5826158,-0.8766091,0.07621914,
1529320883199,0.7958456,0.5788875,-0.8887848,0.7835402,0.5718989,-0.8526145,0.7778487,0.5645351,-0.8277937,0.8273762,0.604664,-0.8207906,0.8280927,0.5986392,-0.790774,0.8251176,0.5899596,-0.7741954,0.8442837,0.5928434,-0.8216088,0.8423125,0.5830783,-0.7881745,0.8361455,0.5723091,-0.7703972,0.8583077,0.5803354,-0.831365,0.8547398,0.5707377,-0.799977,0.8477567,0.5607049,-0.7824916,0.8661444,0.562997,-0.8451195,0.8564141,0.5509219,-0.8271986,0.8428165,0.5421759,-0.8252987,0.8333382,0.5843267,-0.8785863,0.07585204,
1529320883226,0.7956698,0.5816188,-0.8942313,0.7829716,0.5744568,-0.85823,0.7769376,0.5670546,-0.8334929,0.8261458,0.6072463,-0.8258058,0.8262314,0.6008968,-0.7958748,0.8228288,0.5919034,-0.779558,0.8431052,0.5954634,-0.826474,0.8404616,0.5853478,-0.7932236,0.8338441,0.5742928,-0.7757937,0.857272,0.5830036,-0.8361086,0.8530434,0.5730423,-0.8049442,0.8455815,0.5627116,-0.7878451,0.8651037,0.5656967,-0.8499478,0.8545109,0.5534198,-0.8329979,0.8406111,0.544659,-0.8318958,0.8330861,0.5871191,-0.8835869,0.07504956,
1529320883252,0.7964966,0.5802649,-0.8984978,0.7826838,0.5734239,-0.8628238,0.7756704,0.5665743,-0.8381842,0.8241569,0.6068516,-0.829564,0.8232014,0.5998964,-0.7998275,0.8192866,0.590242,-0.7840351,0.8415188,0.5958896,-0.8297505,0.8377579,0.5853296,-0.7968236,0.8305339,0.5736384,-0.7800875,0.8564611,0.5838892,-0.8389635,0.851361,0.5734725,-0.8081189,0.8434556,0.5626016,-0.7915764,0.865698,0.5670785,-0.8523505,0.8554208,0.5545256,-0.8353473,0.8418961,0.5452989,-0.8343949,0.8334088,0.5871021,-0.8869449,0.07344837,
1529320883279,0.7971202,0.5801885,-0.9026329,0.7826073,0.5730464,-0.867285,0.7745912,0.566439,-0.842846,0.8229715,0.6058636,-0.8329225,0.8211316,0.5980723,-0.8034852,0.8166596,0.5877527,-0.7882957,0.8404594,0.5952412,-0.8328849,0.8358055,0.584101,-0.8003303,0.8279852,0.5718876,-0.7842805,0.8557904,0.5833344,-0.8419796,0.8500475,0.5722103,-0.8115403,0.8416839,0.5608115,-0.7956082,0.8655487,0.5669062,-0.855315,0.85522,0.5540766,-0.8385022,0.8417844,0.544673,-0.8375963,0.833651,0.5871142,-0.8903215,0.07210929,
1529320883313,0.7981263,0.5795475,-0.9078279,0.78318,0.5722388,-0.8726873,0.7745051,0.5658437,-0.8483892,0.8228056,0.6048443,-0.8377178,0.8204594,0.5965877,-0.8084552,0.8157637,0.5859501,-0.7935569,0.840424,0.5944965,-0.8375553,0.8352631,0.582957,-0.8052461,0.8271879,0.5704172,-0.7895859,0.8560895,0.5827563,-0.8465691,0.8500279,0.5711704,-0.8163899,0.8414471,0.5593967,-0.8008671,0.8661205,0.5665478,-0.8599262,0.8557011,0.5534332,-0.8433077,0.842362,0.5437884,-0.8422681,0.8344687,0.5866994,-0.8950902,0.07150605,
