time,thumb1x,thumb1y,thumb1z,thumb2x,thumb2y,thumb2z,thumb3x,thumb3y,thumb3z,index1x,index1y,index1z,index2x,index2y,index2z,index3x,index3y,index3z,middle1x,middle1y,middle1z,middle2x,middle2y,middle2z,middle3x,middle3y,middle3z,ring1x,ring1y,ring1z,ring2x,ring2y,ring2z,ring3x,ring3y,ring3z,pinky1x,pinky1y,pinky1z,pinky2x,pinky2y,pinky2z,pinky3x,pinky3y,pinky3z,palmx,palmy,palmz,pinch,
1529321303739,1.111435,0.5550811,-0.8685659,1.120979,0.5514972,-0.8310539,1.128558,0.5464529,-0.8061284,1.17324,0.5596932,-0.827328,1.175299,0.5486473,-0.8003592,1.167202,0.5364786,-0.7888589,1.18518,0.5447103,-0.8378493,1.190959,0.5327521,-0.8063674,1.184808,0.5217078,-0.7889487,1.189986,0.5285385,-0.8551942,1.198261,0.5152741,-0.8267224,1.194389,0.504524,-0.8088918,1.188182,0.5120588,-0.8720871,1.195331,0.499858,-0.8518614,1.191903,0.4918425,-0.8375618,1.146713,0.5460303,-0.8809935,0.0434862,
1529321303769,1.081391,0.5655527,-0.8782086,1.087693,0.5619202,-0.8400213,1.09313,0.5562803,-0.8147348,1.13988,0.5682281,-0.8326684,1.137608,0.5577554,-0.8061261,1.126472,0.5460019,-0.7971707,1.151734,0.5523004,-0.8419929,1.153656,0.54117,-0.809733,1.14526,0.5310429,-0.792681,1.156895,0.535624,-0.8585356,1.161111,0.523139,-0.8290019,1.154193,0.5132651,-0.8115901,1.155705,0.5189714,-0.8752048,1.160355,0.5075818,-0.8538525,1.155112,0.5004286,-0.8396355,1.117128,0.5544915,-0.8880086,0.03906241,
1529321303798,1.054142,0.568028,-0.8842832,1.058013,0.5637119,-0.8458451,1.061962,0.5569962,-0.8206387,1.108615,0.5707335,-0.8348676,1.102598,0.5601779,-0.809778,1.089367,0.54856,-0.8045113,1.120478,0.5542726,-0.8430698,1.118299,0.5431597,-0.8108906,1.107496,0.5333158,-0.7950615,1.126621,0.537649,-0.8588289,1.12684,0.5256724,-0.8290138,1.116821,0.5163267,-0.8129222,1.126614,0.5211977,-0.8751459,1.128853,0.5108436,-0.8529831,1.121741,0.5044472,-0.8392411,1.090182,0.5567526,-0.89152,0.03289869,
1529321303823,1.039988,0.5662485,-0.8891804,1.042477,0.5613366,-0.8506995,1.0456,0.5539511,-0.8256378,1.09171,0.5693238,-0.8375118,1.083665,0.5585335,-0.8137335,1.069752,0.5470021,-0.8111163,1.103562,0.5528036,-0.8450766,1.098358,0.5415022,-0.8135772,1.085457,0.5315667,-0.7995325,1.110744,0.5363072,-0.8604215,1.108897,0.5245267,-0.8307222,1.097459,0.5153352,-0.8155495,1.111533,0.5200861,-0.8765213,1.112326,0.5103382,-0.8540875,1.104045,0.5042877,-0.8408668,1.076011,0.5553277,-0.8947092,0.02902522,
1529321303849,1.026659,0.566026,-0.8927449,1.028191,0.5598805,-0.8543879,1.030669,0.5514657,-0.8296512,1.076488,0.5680152,-0.8396405,1.066935,0.5570073,-0.816958,1.052578,0.5458554,-0.8162178,1.087977,0.5512517,-0.8470064,1.08045,0.5395304,-0.8163663,1.065985,0.5296772,-0.803923,1.095553,0.5348969,-0.8622108,1.092134,0.5229361,-0.832798,1.079684,0.5139149,-0.8183427,1.096581,0.5190209,-0.878329,1.096318,0.5094109,-0.8558722,1.087269,0.5035936,-0.8430711,1.062393,0.5549242,-0.8972756,0.02630508,
1529321303876,1.00885,0.5619313,-0.8977627,1.009523,0.5546228,-0.8595831,1.01142,0.5454122,-0.8350974,1.056897,0.5625041,-0.8432465,1.046512,0.5508446,-0.821258,1.031987,0.5399117,-0.8213593,1.068302,0.5458403,-0.8505765,1.059107,0.5332657,-0.8210104,1.043415,0.5232838,-0.8104142,1.076319,0.5297265,-0.8658332,1.071725,0.5169826,-0.8369768,1.058455,0.5077915,-0.823436,1.077678,0.5142991,-0.882133,1.076447,0.504248,-0.8599678,1.066635,0.4983674,-0.8477982,1.044462,0.5510115,-0.9014256,0.02533698,
1529321303903,0.9981104,0.5600502,-0.900601,0.9972771,0.5523149,-0.8625023,0.9980488,0.5428304,-0.8380839,1.043589,0.5589603,-0.8441601,1.031829,0.5474051,-0.8228912,1.016964,0.53702,-0.8239677,1.054448,0.5418997,-0.8511587,1.042807,0.5292453,-0.8227559,1.025711,0.5197881,-0.8141264,1.062545,0.5256432,-0.8661017,1.055515,0.5127623,-0.8379306,1.04072,0.5040305,-0.8257543,1.064219,0.5104418,-0.8823211,1.06118,0.5004498,-0.8603903,1.050114,0.4950489,-0.8491349,1.033292,0.5481756,-0.9028378,0.02430638,
1529321303937,0.9836308,0.5554948,-0.905048,0.9817657,0.5464097,-0.8672819,0.9817457,0.5361882,-0.8431473,1.027187,0.5525438,-0.8473287,1.014561,0.5405929,-0.826654,0.9995031,0.5305644,-0.8282508,1.037683,0.535309,-0.8544556,1.024431,0.5219702,-0.8272606,1.006535,0.5127833,-0.8202293,1.045904,0.5192602,-0.8694625,1.037308,0.5056633,-0.8421507,1.021607,0.4970481,-0.831144,1.047871,0.5045166,-0.8858771,1.0437,0.4940455,-0.8644146,1.03194,0.4887278,-0.8538637,1.0184,0.5433819,-0.9064014,0.02385072,
1529321303970,0.9701149,0.5525644,-0.9093358,0.9668657,0.5425096,-0.8719066,0.9658645,0.5318737,-0.8479714,1.011643,0.5479796,-0.8500858,0.9983886,0.5356704,-0.830109,0.9833847,0.5258363,-0.8325919,1.022103,0.5307983,-0.8573585,1.007719,0.5168716,-0.8311313,0.9894392,0.5076766,-0.8252839,1.030656,0.5150291,-0.8725266,1.020738,0.5007414,-0.8460851,1.004395,0.4920127,-0.836184,1.033256,0.5007939,-0.8892093,1.028181,0.4898444,-0.8682293,1.015907,0.4843826,-0.8583547,1.004756,0.5403464,-0.9097301,0.02408185,
1529321303996,0.9617491,0.5540391,-0.9124146,0.9578738,0.543295,-0.8752381,0.9563159,0.5323209,-0.8514527,1.002813,0.5471327,-0.8528961,0.9893012,0.5347885,-0.8328168,0.9739987,0.5252494,-0.8348563,1.013096,0.5299542,-0.8603586,0.998826,0.5159921,-0.8338723,0.9806312,0.5070202,-0.8274732,1.021175,0.5141777,-0.8758984,1.011154,0.4996021,-0.8495071,0.9949396,0.4909352,-0.8393069,1.023438,0.5000855,-0.8929579,1.018193,0.4886436,-0.8721926,1.006058,0.4830781,-0.8621707,0.9960629,0.5408995,-0.9127896,0.02526121,
