Scene,Start,End,Grasp
largemarker_x+,1529488996668,1529489012484,1529489010407
spoon_x-,1529489013224,1529489020704,1529489019221
foambrick_x+,1529489021306,1529489027095,1529489025753
mug_y-,1529489027768,1529489034671,1529489032620
orange_y-,1529489035768,1529489074553,1529489043235
pottedmeatcan_y-,1529489079706,1529489093077,1529489091110
foambrick_z+,1529489093755,1529489100740,1529489098958
pottedmeatcan_y+,1529489101451,1529489108153,1529489105649
orange_z-,1529489108862,1529489116194,1529489114775
banana_x-,1529489116823,1529489128263,1529489126596
scissors_z-,1529489128849,1529489139488,1529489138157
mediumclamp_z-,1529489140170,1529489146234,1529489144396
spoon_z-,1529489147236,1529489157167,1529489155839
scissors_z+,1529489157911,1529489163581,1529489162290
bleachcleanser_y+,1529489164185,1529489172555,1529489170512
largemaker_z-,1529489173212,1529489178710,1529489177622
mediumclamp_z+,1529489179385,1529489185927,1529489183732
spoon_y+,1529489187130,1529489198132,1529489196052
orange_z+,1529489199187,1529489207997,1529489206357
bleachcleanser_z+,1529489208841,1529489222463,1529489220916
spoon_z+,1529489223226,1529489232523,1529489231053
sponge_x+,1529489233212,1529489239127,1529489237773
crackerbox_z-,1529489239932,1529489260310,1529489258915
mustardbottle_z+,1529489261116,1529489273772,1529489272346
gelatinbox_z-,1529489274548,1529489281602,1529489280217
mustardbottle_z-,1529489282241,1529489290899,1529489289546
spoon_y-,1529489291496,1529489300680,1529489298774
foambrick_z-,1529489301347,1529489308438,1529489307316
mediumclamp_y-,1529489309175,1529489317115,1529489314428
hammer_y-,1529489317902,1529489328371,1529489326161
lego_x+,1529489329028,1529489335625,1529489334000
bleachcleanser_y-,1529489336214,1529489349181,1529489346758
largemarker_z+,1529489350202,1529489360957,1529489358925
mustardbottle_x-,1529489361964,1529489374889,1529489372772
hammer_x+,1529489378348,1529489388369,1529489386773
scissors_y-,1529489389083,1529489396678,1529489394714
orange_x-,1529489397337,1529489405676,1529489404314
gelatinbox_y+,1529489406256,1529489412925,1529489410853
lego_x-,1529489413576,1529489420399,1529489419134
mug_x+,1529489420950,1529489429714,1529489427961
foambrick_y-,1529489430549,1529489440452,1529489438615
hammer_z+,1529489441005,1529489449824,1529489448330
foambrick_x-,1529489450518,1529489459727,1529489458414
scissors_y+,1529489460484,1529489467131,1529489465254
sponge_y+,1529489468100,1529489475997,1529489474129
scissors_x-,1529489476708,1529489483077,1529489481669
hammer_x-,1529489483919,1529489493626,1529489492442
mustardbottle_x+,1529489494246,1529489519999,1529489518403
crackerbox_x-,1529489520768,1529489528213,1529489526484
orange_y+,1529489529007,1529489535185,1529489533655
mug_y+,1529489535966,1529489543027,1529489541134
bleachcleanser_x-,1529489543819,1529489550199,1529489548871
mug_z-,1529489550941,1529489558453,1529489556951
banana_z+,1529489559154,1529489564814,1529489563591
crackerbox_y-,1529489565476,1529489584428,1529489582132
pottedmeatcan_x-,1529489585022,1529489593531,1529489592034
sponge_z-,1529489594124,1529489602349,1529489601352
lego_z+,1529489602981,1529489609762,1529489608593
mediumclamp_y+,1529489610448,1529489617014,1529489615392
sponge_z+,1529489617757,1529489624429,1529489623272
hammer_y+,1529489625062,1529489631668,1529489629633
largemarker_x-,1529489632329,1529489645872,1529489644736
pottedmeatcan_z+,1529489646463,1529489653734,1529489652723
mediumclamp_x-,1529489654489,1529489662551,1529489661340
scissors_x+,1529489663222,1529489672576,1529489671354
mustardbottle_y-,1529489673223,1529489679179,1529489677737
banana_y+,1529489679837,1529489685333,1529489683806
sponge_y-,1529489686024,1529489692497,1529489691155
orange_x+,1529489692998,1529489699404,1529489698139
gelatinbox_x-,1529489700129,1529489709190,1529489707925
pottedmeatcan_z-,1529489709744,1529489718045,1529489716833
gelatinbox_y-,1529489718705,1529489727577,1529489725901
banana_z-,1529489728113,1529489734791,1529489733994
crackerbox_z+,1529489735527,1529489743134,1529489742102
banana_y-,1529489743745,1529489749522,1529489747891
bleachcleanser_x+,1529489750040,1529489756206,1529489755062
hammer_z-,1529489756813,1529489762750,1529489760925
lego_z-,1529489763997,1529489770735,1529489769622
gelatinbox_x+,1529489815119,1529489823260,1529489821876
bleachcleanser_z-,1529489823973,1529489830395,1529489829250
lego_y-,1529489831081,1529489838434,1529489836878
mustardbottle_y+,1529489839142,1529489844341,1529489842783
spoon_x+,1529489845217,1529489850912,1529489849744
largemaker_y-,1529489851760,1529489856981,1529489855340
mediumclamp_x+,1529489857789,1529489862260,1529489861025
crackerbox_y+,1529489863094,1529489868781,1529489867126
crackerbox_x+,1529489869442,1529489874648,1529489873369
foambrick_y+,1529489875403,1529489880769,1529489879025
mug_x-,1529489881468,1529489886954,1529489885612
pottedmeatcan_x+,1529489887563,1529489892781,1529489891600
banana_x+,1529489893457,1529489898370,1529489897198
largemarker_y+,1529489898975,1529489915115,1529489913479
gelatinbox_z+,1529489915930,1529489923862,1529489922385
lego_y+,1529489924416,1529489930264,1529489928528
mug_z+,1529489931030,1529489936743,1529489935439
