time,thumb1x,thumb1y,thumb1z,thumb2x,thumb2y,thumb2z,thumb3x,thumb3y,thumb3z,index1x,index1y,index1z,index2x,index2y,index2z,index3x,index3y,index3z,middle1x,middle1y,middle1z,middle2x,middle2y,middle2z,middle3x,middle3y,middle3z,ring1x,ring1y,ring1z,ring2x,ring2y,ring2z,ring3x,ring3y,ring3z,pinky1x,pinky1y,pinky1z,pinky2x,pinky2y,pinky2z,pinky3x,pinky3y,pinky3z,palmx,palmy,palmz,pinch,
1529489869466,0.889695,0.6610419,-0.843062,0.860807,0.6719912,-0.8250426,0.8412874,0.672249,-0.8111844,0.8612877,0.665066,-0.7852892,0.8380382,0.6564398,-0.7888556,0.8316625,0.6485671,-0.8022065,0.8661561,0.649698,-0.7780911,0.8385048,0.6434712,-0.7826302,0.8293722,0.6376394,-0.7984337,0.8768733,0.6312785,-0.7742498,0.8497685,0.6257778,-0.7735088,0.8364221,0.6219351,-0.7862852,0.8869686,0.6139121,-0.7755354,0.8668185,0.6106527,-0.7705432,0.8549572,0.6101383,-0.7792975,0.9007432,0.6433858,-0.8147342,0.02709372,
1529489869493,0.888973,0.6190483,-0.8595007,0.8592479,0.6219016,-0.8401467,0.840454,0.6155514,-0.826868,0.8607076,0.6093922,-0.8035606,0.8390946,0.5988268,-0.8103718,0.8344598,0.5930086,-0.8253623,0.867337,0.5937081,-0.7991235,0.8414336,0.5853119,-0.806903,0.8347459,0.5819029,-0.8244574,0.8802423,0.5763812,-0.7975093,0.854061,0.5677112,-0.7983783,0.8414205,0.5648242,-0.8120328,0.8926816,0.5605136,-0.8013014,0.8733361,0.5534854,-0.7964667,0.8619268,0.5532754,-0.8051452,0.9022197,0.5979877,-0.8347684,0.02337465,
1529489869530,0.893557,0.5339252,-0.9027545,0.8641631,0.5229872,-0.8854516,0.8473805,0.5091695,-0.8753314,0.8697691,0.5093134,-0.8489128,0.8489429,0.4962882,-0.8565075,0.8429192,0.491325,-0.8714378,0.8800614,0.4940954,-0.8482559,0.8547814,0.4817462,-0.8563116,0.8454952,0.4793037,-0.8730434,0.8961642,0.4800015,-0.8511713,0.8718868,0.4665563,-0.8539841,0.8590305,0.4637283,-0.8675728,0.9113932,0.4681093,-0.8586857,0.8937804,0.456052,-0.8557603,0.8819179,0.4548467,-0.8637947,0.911887,0.513891,-0.8820557,0.01880131,
1529489869561,0.9010727,0.4901026,-0.9194819,0.8736206,0.4717685,-0.9053166,0.8576516,0.455633,-0.8972826,0.8823307,0.457952,-0.8659614,0.8610182,0.4429719,-0.8712557,0.8519242,0.4365351,-0.8840041,0.8948268,0.4439036,-0.868111,0.8696133,0.4283627,-0.874198,0.8569409,0.4236638,-0.8882529,0.9124005,0.4325896,-0.8743405,0.8892789,0.4157842,-0.876902,0.8748397,0.4106138,-0.8882956,0.928193,0.423995,-0.884711,0.9116896,0.4098545,-0.8839123,0.8990649,0.4071225,-0.8913178,0.9228739,0.4712198,-0.9009935,0.02395525,
1529489869601,0.9224514,0.4104224,-0.9509717,0.8971831,0.3870829,-0.9400824,0.881328,0.3700103,-0.933646,0.9127764,0.3666382,-0.9000525,0.8923959,0.3489092,-0.9019026,0.88139,0.341042,-0.9120697,0.927166,0.355143,-0.9059806,0.9035881,0.336332,-0.910139,0.889639,0.3302135,-0.9224065,0.9457629,0.3481199,-0.9160709,0.9250911,0.3284561,-0.9189961,0.9106172,0.3225536,-0.9299567,0.9620057,0.344027,-0.9296546,0.9479747,0.3273042,-0.9304619,0.9353023,0.3231336,-0.9373305,0.9485043,0.3920817,-0.936462,0.03612063,
1529489869627,0.9360358,0.3748198,-0.9692161,0.9118137,0.3499277,-0.9593982,0.8963104,0.3323768,-0.9533718,0.9292601,0.3286217,-0.9187273,0.9102874,0.3094417,-0.9197973,0.899599,0.3006556,-0.929603,0.944507,0.3182531,-0.925051,0.9224441,0.2974809,-0.9285558,0.9090046,0.2904847,-0.9406816,0.9635772,0.3129699,-0.9355618,0.9445163,0.2914663,-0.9382482,0.9305496,0.2842695,-0.9489219,0.9803129,0.3104561,-0.9493932,0.9679788,0.2921902,-0.950276,0.9558305,0.2859818,-0.9566922,0.9633395,0.3576847,-0.9550031,0.0397745,
1529489869653,0.9604374,0.322385,-0.9950248,0.9379583,0.2963016,-0.9841965,0.9239169,0.2777623,-0.9776194,0.9587576,0.2754064,-0.9428345,0.9430353,0.2539521,-0.9418352,0.9339187,0.2443488,-0.9520202,0.9744289,0.2667589,-0.9491246,0.9552961,0.2408865,-0.9455787,0.9427133,0.2286237,-0.9516258,0.9938761,0.2633178,-0.9601277,0.9780443,0.2375527,-0.9587423,0.9657745,0.2260519,-0.9658684,1.010461,0.2624822,-0.97425,1.000063,0.2424279,-0.9742854,0.9893414,0.2329156,-0.9793537,0.9894062,0.3075272,-0.9808291,0.04326453,
1529489869681,0.9705988,0.2953226,-1.002111,0.9503212,0.2683335,-0.9894183,0.9388692,0.248411,-0.9821263,0.9751955,0.2480267,-0.94902,0.963624,0.2243921,-0.945926,0.9560016,0.213155,-0.9553817,0.9903574,0.2412542,-0.9563383,0.9750719,0.2135271,-0.9501305,0.9650534,0.199899,-0.9535308,1.010214,0.2398592,-0.9670049,0.9988555,0.2119781,-0.9622699,0.9896872,0.1976353,-0.9654237,1.026649,0.2407796,-0.980867,1.018253,0.2195726,-0.9805278,1.009652,0.2073032,-0.9839871,1.001423,0.2829639,-0.9883484,0.04745291,
1529489869714,0.9882449,0.2679379,-1.016819,0.9719653,0.2398082,-1.001182,0.9644886,0.218897,-0.991941,0.9957226,0.2286881,-0.9591362,0.9878874,0.2038397,-0.9567231,0.9830073,0.1915982,-0.9669834,1.013174,0.2241469,-0.9618717,1.002698,0.1950002,-0.9535241,0.9947784,0.1785769,-0.9566349,1.033746,0.2244939,-0.971002,1.026793,0.1959816,-0.9637614,1.019503,0.1792492,-0.9666446,1.050242,0.2259052,-0.9847053,1.045387,0.2040565,-0.981636,1.038556,0.1905346,-0.9843861,1.019233,0.2620761,-1.000253,0.04136483,
1529489869734,1.007646,0.2633002,-1.025679,0.9927204,0.2374449,-1.005555,0.986407,0.2175131,-0.9938002,1.019235,0.2270531,-0.9697112,1.010277,0.2033443,-0.9705045,1.004346,0.1943303,-0.9832357,1.036072,0.2216884,-0.9733719,1.024906,0.1927107,-0.9650335,1.016038,0.1764555,-0.9670684,1.055058,0.2205687,-0.9842138,1.046291,0.1924748,-0.9774334,1.03734,0.1764142,-0.9801547,1.069562,0.2205118,-0.9988319,1.061684,0.1999519,-0.9962264,1.051748,0.1892051,-1.000578,1.039859,0.2573727,-1.012415,0.03115863,
1529489869760,1.028194,0.2579713,-1.047168,1.017014,0.2316625,-1.025235,1.01269,0.2116006,-1.012957,1.048167,0.2218205,-0.9938557,1.037697,0.19901,-0.9928252,1.02977,0.1910845,-1.004886,1.066876,0.217025,-0.9977679,1.059165,0.1897654,-0.9832529,1.050162,0.1735056,-0.9819803,1.084104,0.2154772,-1.012488,1.079762,0.1886564,-1.000082,1.07118,0.172523,-0.9994609,1.09555,0.2145922,-1.031036,1.091802,0.1938072,-1.024451,1.082207,0.1826827,-1.025887,1.061916,0.2517828,-1.039964,0.02788904,
1529489869773,1.038908,0.2606921,-1.064823,1.031269,0.2325434,-1.043533,1.029337,0.211695,-1.032124,1.06216,0.2256962,-1.012634,1.052099,0.2030498,-1.011621,1.044129,0.195844,-1.023983,1.082498,0.2223837,-1.016379,1.078751,0.1957508,-0.9989358,1.071828,0.1785453,-0.9944561,1.099578,0.2219016,-1.032156,1.101267,0.1961028,-1.016048,1.096924,0.1785509,-1.01073,1.109975,0.2212974,-1.052148,1.111505,0.2002668,-1.043484,1.105299,0.1867596,-1.042006,1.072149,0.2565949,-1.059081,0.02315856,
1529489869799,1.050528,0.2602758,-1.084167,1.047761,0.2337311,-1.059913,1.048958,0.2133795,-1.047659,1.081438,0.2268515,-1.03606,1.071305,0.2048369,-1.033495,1.061216,0.1984361,-1.044769,1.101723,0.2230835,-1.042768,1.10125,0.1969143,-1.024726,1.094836,0.1796578,-1.019053,1.115771,0.2220187,-1.060763,1.121309,0.1976771,-1.043569,1.119717,0.1804994,-1.035419,1.122994,0.2204787,-1.081979,1.129074,0.2009543,-1.071563,1.128369,0.1867645,-1.065879,1.083735,0.2553781,-1.084621,0.01954262,
1529489869814,1.053334,0.2637295,-1.083143,1.053609,0.2392587,-1.056897,1.057266,0.2191803,-1.045257,1.087757,0.2276673,-1.039674,1.07811,0.2061264,-1.036901,1.066921,0.2006597,-1.04775,1.107874,0.2240879,-1.048044,1.10993,0.1978825,-1.030372,1.104107,0.180528,-1.024552,1.12004,0.2231666,-1.067026,1.127963,0.1991064,-1.050396,1.128449,0.1819979,-1.041643,1.125438,0.2219382,-1.088416,1.133502,0.2030743,-1.078058,1.134893,0.189176,-1.071782,1.08597,0.256735,-1.088055,0.02103409,
1529489869841,1.064079,0.2722126,-1.099624,1.066804,0.2510933,-1.071105,1.072631,0.2315461,-1.060115,1.099218,0.2349331,-1.059933,1.088345,0.2137532,-1.058614,1.076543,0.2101451,-1.069412,1.121006,0.2300509,-1.06972,1.124151,0.2021195,-1.055921,1.115269,0.1871466,-1.054616,1.131749,0.2295865,-1.087368,1.139602,0.205013,-1.072084,1.138825,0.1872799,-1.06418,1.136675,0.2276909,-1.109592,1.146755,0.2088875,-1.101139,1.148759,0.1947489,-1.095705,1.096185,0.2626798,-1.107298,0.02365864,
1529489869867,1.064455,0.2771867,-1.108481,1.063858,0.2586524,-1.078307,1.069188,0.2398409,-1.066195,1.091474,0.2429133,-1.065534,1.078027,0.2230667,-1.069074,1.06976,0.2213873,-1.082985,1.108628,0.2363356,-1.071169,1.094008,0.2136257,-1.067405,1.079592,0.2097572,-1.079382,1.13064,0.2350128,-1.086633,1.135184,0.2092004,-1.072587,1.130977,0.1911944,-1.067078,1.137596,0.2319429,-1.107307,1.143615,0.2116116,-1.098808,1.142978,0.1969351,-1.093916,1.098198,0.2672164,-1.111718,0.02495501,
1529489869894,1.065645,0.2823495,-1.126016,1.059612,0.2689881,-1.094142,1.064177,0.2524893,-1.07871,1.08361,0.2584997,-1.075269,1.0728,0.2383189,-1.081953,1.069164,0.2363435,-1.097739,1.099689,0.2521152,-1.077815,1.08424,0.2302125,-1.080577,1.075396,0.2270536,-1.096924,1.122911,0.2483472,-1.085375,1.115179,0.2235963,-1.076169,1.101929,0.2114939,-1.081776,1.135893,0.2438924,-1.101147,1.133226,0.2243681,-1.091712,1.12271,0.213963,-1.091746,1.0996,0.2754408,-1.119565,0.02544887,
1529489869927,1.069573,0.2817866,-1.13973,1.058533,0.2712426,-1.107997,1.06045,0.256582,-1.090353,1.079658,0.2632887,-1.08553,1.070725,0.2433878,-1.093315,1.06944,0.2427612,-1.109438,1.094752,0.257105,-1.08656,1.080425,0.2360997,-1.093544,1.076617,0.235097,-1.111682,1.115959,0.2524316,-1.090363,1.102728,0.22982,-1.08764,1.091451,0.2231079,-1.100725,1.131988,0.2472477,-1.101782,1.123227,0.2291402,-1.095155,1.111336,0.2224247,-1.100501,1.103472,0.2762101,-1.127409,0.02522073,
1529489869947,1.067915,0.2869181,-1.145069,1.054556,0.2732363,-1.115713,1.055854,0.2576908,-1.098287,1.069522,0.2717137,-1.089933,1.063358,0.251479,-1.098935,1.063984,0.2510761,-1.115212,1.084927,0.2663653,-1.089536,1.073793,0.2453406,-1.100132,1.072915,0.2459055,-1.118621,1.104825,0.2626971,-1.091549,1.092175,0.2409957,-1.096217,1.085651,0.2377228,-1.113066,1.121773,0.2589765,-1.098521,1.110554,0.2420977,-1.097571,1.101189,0.2382388,-1.108321,1.097032,0.2863444,-1.127392,0.01990726,
1529489869973,1.063207,0.3004672,-1.150122,1.049281,0.282465,-1.123398,1.049024,0.2645714,-1.107904,1.062488,0.2791136,-1.096373,1.055673,0.2603311,-1.107141,1.056295,0.261538,-1.123569,1.077865,0.2730405,-1.096887,1.066594,0.2549222,-1.110055,1.066292,0.2593668,-1.128185,1.096716,0.2692124,-1.101066,1.083914,0.2515982,-1.111566,1.08034,0.2551243,-1.129138,1.113048,0.2659948,-1.10728,1.100666,0.2514634,-1.110903,1.093951,0.2521287,-1.123906,1.091275,0.2977637,-1.131867,0.01753444,
