time,thumb1x,thumb1y,thumb1z,thumb2x,thumb2y,thumb2z,thumb3x,thumb3y,thumb3z,index1x,index1y,index1z,index2x,index2y,index2z,index3x,index3y,index3z,middle1x,middle1y,middle1z,middle2x,middle2y,middle2z,middle3x,middle3y,middle3z,ring1x,ring1y,ring1z,ring2x,ring2y,ring2z,ring3x,ring3y,ring3z,pinky1x,pinky1y,pinky1z,pinky2x,pinky2y,pinky2z,pinky3x,pinky3y,pinky3z,palmx,palmy,palmz,pinch,
1529489021325,0.8045535,0.5086066,-0.9239619,0.781802,0.4980244,-0.8947841,0.7668303,0.4901914,-0.8751084,0.8129535,0.5049867,-0.8491149,0.7964603,0.4906642,-0.8302407,0.7833388,0.4782771,-0.8280696,0.828001,0.4908898,-0.84883,0.8090564,0.4754659,-0.8262656,0.7926526,0.4634017,-0.8216203,0.8444525,0.4761976,-0.8582567,0.82858,0.4594998,-0.8367934,0.8128216,0.4475339,-0.8311831,0.8565784,0.4619351,-0.8721662,0.8458008,0.4475546,-0.8564084,0.8327622,0.4388001,-0.8519447,0.8363469,0.4997585,-0.9051206,0.05125554,
1529489021352,0.8106792,0.5081241,-0.921863,0.7872017,0.4972842,-0.8933508,0.7717434,0.4892765,-0.8741257,0.8171037,0.5036266,-0.8470157,0.7998919,0.4890115,-0.8291472,0.7866874,0.4765751,-0.8279779,0.832096,0.4893586,-0.846653,0.8122,0.4733814,-0.8255049,0.7955238,0.4611976,-0.8222694,0.8487257,0.4748116,-0.8558676,0.8318347,0.4576715,-0.8356899,0.8156894,0.4456557,-0.8313086,0.861372,0.4608309,-0.869504,0.850035,0.4462403,-0.8543903,0.83675,0.4375267,-0.8506458,0.8420556,0.4991857,-0.9023743,0.05014253,
1529489021379,0.8178711,0.5022677,-0.92467,0.7938014,0.489425,-0.8975176,0.7782592,0.4795417,-0.8792918,0.8206151,0.4942543,-0.8505614,0.802045,0.4785299,-0.8355585,0.7887782,0.4661765,-0.8370292,0.8354008,0.4797117,-0.8504517,0.8138361,0.4624023,-0.8324642,0.7968071,0.4502634,-0.8319618,0.8522518,0.4656579,-0.8595978,0.8336633,0.4475059,-0.8421218,0.8169835,0.4355525,-0.8398893,0.8654797,0.4525645,-0.8730274,0.8528557,0.4376055,-0.8595388,0.8390343,0.4291786,-0.8573794,0.8480538,0.4925292,-0.9045748,0.04555671,
1529489021398,0.8256,0.4959891,-0.9287447,0.8012891,0.4806228,-0.9031385,0.7859142,0.46866,-0.8860847,0.8247288,0.4843594,-0.8557208,0.8055793,0.4671426,-0.8438786,0.7929772,0.454772,-0.8482324,0.8398843,0.4700418,-0.855713,0.8176315,0.4509442,-0.8407319,0.8008827,0.4384978,-0.8425238,0.8574169,0.4570354,-0.86464,0.8381199,0.4374698,-0.8496938,0.8215144,0.4251907,-0.8494692,0.8715768,0.4451016,-0.877878,0.8583822,0.4293265,-0.8661031,0.8444513,0.4208533,-0.8656219,0.8548316,0.4863551,-0.9079623,0.04093353,
1529489021419,0.833342,0.4888617,-0.9286492,0.8095612,0.4707613,-0.9043527,0.7949123,0.4566964,-0.8883363,0.8301811,0.4741,-0.856809,0.8113117,0.4553865,-0.8475276,0.7997583,0.4430074,-0.8540809,0.845849,0.4603809,-0.8570262,0.823667,0.4394727,-0.8447379,0.8075774,0.4266118,-0.8485438,0.864152,0.4486039,-0.8658355,0.8448368,0.4274887,-0.8533243,0.8286633,0.4147459,-0.8549939,0.8792591,0.438024,-0.8788443,0.8660194,0.4213024,-0.8686376,0.8522882,0.4125789,-0.8695413,0.8620343,0.4800723,-0.9073967,0.03720622,
1529489021445,0.8417454,0.4811379,-0.9339371,0.8195697,0.4590805,-0.9114902,0.8064346,0.442253,-0.8969543,0.8378024,0.4601677,-0.8643442,0.8202931,0.4389833,-0.8575583,0.8098909,0.4262492,-0.8652438,0.8545836,0.4476895,-0.8652378,0.8340242,0.423623,-0.8555704,0.8191481,0.4095899,-0.8602182,0.873853,0.4382573,-0.8743575,0.8560323,0.4143659,-0.8645743,0.8410881,0.4004136,-0.8675303,0.8901451,0.4299741,-0.8876607,0.8781526,0.4111104,-0.8797064,0.8652911,0.4012789,-0.881636,0.8701438,0.4728018,-0.9129487,0.03568788,
1529489021479,0.8566007,0.4649043,-0.9405161,0.8362275,0.4394179,-0.9201252,0.8247385,0.4202962,-0.9071251,0.8512104,0.4381782,-0.8734226,0.8357856,0.4144235,-0.8679422,0.8265277,0.4005203,-0.8751163,0.8690516,0.4273544,-0.8742587,0.8509753,0.4002846,-0.8665485,0.837827,0.3845356,-0.8711594,0.8893489,0.4205053,-0.8828795,0.8737745,0.3941037,-0.8753471,0.860608,0.3785725,-0.8790399,0.9068807,0.414592,-0.8961433,0.8966231,0.3937639,-0.8905133,0.8852039,0.382334,-0.8931934,0.8842298,0.4573883,-0.9191156,0.03766761,
1529489021499,0.8661719,0.455426,-0.9453537,0.8469063,0.4283337,-0.9259863,0.8364075,0.4081173,-0.9138489,0.8614335,0.424947,-0.879854,0.847154,0.4001529,-0.8750067,0.8383336,0.3859299,-0.8821162,0.8796371,0.4148281,-0.881038,0.8629285,0.3865371,-0.8740525,0.8505005,0.370106,-0.8784561,0.90016,0.4091378,-0.8899056,0.8858259,0.3817241,-0.8835311,0.8733517,0.3657987,-0.8878653,0.9176639,0.4044876,-0.9036717,0.9080507,0.3830031,-0.8994743,0.8970667,0.371312,-0.9028662,0.8937391,0.4477683,-0.9243684,0.03876792,
1529489021525,0.87781,0.4448169,-0.9463853,0.8601817,0.4162977,-0.9275451,0.8509238,0.3951876,-0.9159321,0.8757871,0.4106562,-0.8822255,0.8636273,0.3845834,-0.8766083,0.8553918,0.369476,-0.882454,0.8941833,0.4014874,-0.8841692,0.879776,0.3717857,-0.8766116,0.8685064,0.3543307,-0.8798167,0.9145286,0.397264,-0.8935779,0.9018259,0.3689424,-0.8877105,0.8901128,0.3526409,-0.8924639,0.9314981,0.3939952,-0.9084113,0.9224679,0.3720066,-0.9056053,0.9118978,0.3600975,-0.9095902,0.9058305,0.4370071,-0.9265445,0.04244797,
1529489021552,0.8942052,0.4246197,-0.9531476,0.8782524,0.3953114,-0.9340595,0.8702087,0.3736949,-0.9224162,0.8953419,0.387712,-0.890218,0.8858299,0.360504,-0.8830017,0.8785939,0.3438559,-0.8858037,0.9135079,0.3793381,-0.8932377,0.9014004,0.3484226,-0.8853278,0.891438,0.3301471,-0.8875375,0.9332273,0.376379,-0.9033378,0.9215449,0.3473515,-0.8985442,0.9104128,0.3308564,-0.9038423,0.9495542,0.3743541,-0.9190515,0.9404613,0.3521596,-0.9180721,0.9300814,0.3402878,-0.9227666,0.922686,0.4169302,-0.9345294,0.04797032,
1529489021578,0.9081137,0.4100008,-0.9586756,0.8936216,0.3799233,-0.9396383,0.8865672,0.35797,-0.92793,0.9105231,0.3725273,-0.8958939,0.9033522,0.3447358,-0.8875951,0.8976935,0.3272294,-0.8885624,0.9289052,0.3651979,-0.898932,0.9188648,0.3334692,-0.8911345,0.9103098,0.314482,-0.8932033,0.9487443,0.3634713,-0.9089458,0.9386742,0.3336822,-0.9049747,0.9287065,0.3165978,-0.9107218,0.9649587,0.3627154,-0.9245466,0.9563061,0.3403457,-0.9248269,0.9463788,0.3284771,-0.9304345,0.9366087,0.4035778,-0.9398546,0.05117211,
1529489021605,0.9292063,0.3864693,-0.9643322,0.9152532,0.3566324,-0.9446081,0.9091223,0.3344769,-0.932814,0.9344114,0.3483342,-0.9020198,0.9280816,0.3204901,-0.8928509,0.9228901,0.3027516,-0.8921299,0.9506114,0.340681,-0.9091944,0.9396175,0.3084836,-0.9029056,0.9316607,0.2893335,-0.9026852,0.9700068,0.3392925,-0.9196944,0.9591597,0.3086599,-0.9165632,0.9500575,0.290932,-0.9197938,0.9851406,0.3395944,-0.9351579,0.9723027,0.3223718,-0.941125,0.9601473,0.3206041,-0.9522695,0.958687,0.3796499,-0.9468167,0.05339701,
