time,thumb1x,thumb1y,thumb1z,thumb2x,thumb2y,thumb2z,thumb3x,thumb3y,thumb3z,index1x,index1y,index1z,index2x,index2y,index2z,index3x,index3y,index3z,middle1x,middle1y,middle1z,middle2x,middle2y,middle2z,middle3x,middle3y,middle3z,ring1x,ring1y,ring1z,ring2x,ring2y,ring2z,ring3x,ring3y,ring3z,pinky1x,pinky1y,pinky1z,pinky2x,pinky2y,pinky2z,pinky3x,pinky3y,pinky3z,palmx,palmy,palmz,pinch,
1529489430575,1.104684,0.2798055,-1.050604,1.092636,0.2574335,-1.024011,1.091709,0.2381515,-1.009238,1.121085,0.2443911,-0.9894769,1.119292,0.2190749,-0.9808019,1.115275,0.2034894,-0.9875059,1.141211,0.2424543,-0.9896736,1.141527,0.2166971,-0.9689289,1.139653,0.1983802,-0.9599233,1.159455,0.2427698,-1.000739,1.1596,0.2176195,-0.9822607,1.155782,0.1992175,-0.9772211,1.174369,0.2435808,-1.015407,1.175391,0.225244,-1.000306,1.174219,0.2113663,-0.9921294,1.137666,0.2738491,-1.038049,0.04721356,
1529489430602,1.145216,0.319844,-1.09976,1.175951,0.3029666,-1.087874,1.194534,0.2926809,-1.075282,1.147543,0.2573962,-1.052201,1.159724,0.2413986,-1.032047,1.169213,0.2419623,-1.019145,1.128307,0.2600938,-1.03918,1.137466,0.2416439,-1.013392,1.145761,0.2342993,-0.9964467,1.108321,0.2700859,-1.032954,1.113714,0.2535052,-1.007123,1.120325,0.246794,-0.9896491,1.089077,0.2843516,-1.029772,1.088992,0.2744357,-1.009762,1.094656,0.2722484,-0.9950374,1.115336,0.303696,-1.075407,0.07977975,
1529489430630,1.121364,0.3463299,-1.113023,1.151906,0.3289016,-1.101086,1.168447,0.3188615,-1.086945,1.128796,0.2816313,-1.074293,1.147771,0.2697806,-1.057925,1.15526,0.2768443,-1.050331,1.109122,0.2819232,-1.060268,1.124,0.2619328,-1.038499,1.136075,0.2560808,-1.024256,1.088453,0.2924384,-1.050912,1.097127,0.2746754,-1.026579,1.10604,0.2688929,-1.011015,1.065304,0.303771,-1.048573,1.066196,0.2930348,-1.032861,1.076633,0.293974,-1.020835,1.092266,0.3280427,-1.091179,0.05727059,
1529489430655,1.107054,0.3611882,-1.12029,1.136244,0.3424333,-1.106935,1.153714,0.331104,-1.09411,1.114422,0.295362,-1.087757,1.135022,0.2786353,-1.076093,1.148458,0.2698551,-1.06824,1.095227,0.2954787,-1.072098,1.111326,0.2730201,-1.054013,1.124322,0.2635466,-1.041871,1.075133,0.3067348,-1.060431,1.083778,0.2860002,-1.038734,1.092808,0.2762417,-1.024094,1.058117,0.3214195,-1.053732,1.060648,0.3065161,-1.036685,1.067636,0.2995256,-1.024151,1.07923,0.3442,-1.099358,0.06669577,
1529489430683,1.086263,0.3825275,-1.14051,1.113686,0.3623929,-1.125775,1.129173,0.351052,-1.1106,1.086507,0.3180494,-1.101903,1.104219,0.2991776,-1.089273,1.117493,0.2924271,-1.079634,1.067686,0.3211377,-1.087735,1.081467,0.2973838,-1.069412,1.093576,0.2874269,-1.056957,1.047978,0.3336941,-1.078571,1.055254,0.3117182,-1.05772,1.06417,0.301668,-1.043324,1.032524,0.3501617,-1.073301,1.033804,0.3334379,-1.056952,1.039823,0.3252556,-1.044944,1.056147,0.369434,-1.118147,0.0673212,
1529489430715,1.067092,0.3943296,-1.156252,1.088582,0.3676095,-1.143291,1.099791,0.3536341,-1.126754,1.054813,0.3371105,-1.105823,1.061432,0.3131216,-1.090782,1.069121,0.3034478,-1.07983,1.037138,0.3457776,-1.092401,1.042164,0.3226645,-1.069312,1.049392,0.3119581,-1.05389,1.020787,0.3609959,-1.087138,1.022814,0.3400181,-1.064162,1.028932,0.330046,-1.04832,1.007134,0.3793451,-1.085274,1.002834,0.3627335,-1.068836,1.004807,0.3534536,-1.056397,1.035878,0.3912054,-1.129414,0.07524084,
1529489430736,1.0464,0.4239178,-1.158421,1.065801,0.3980946,-1.140947,1.076379,0.3836863,-1.123793,1.029051,0.3717067,-1.10461,1.034367,0.3514015,-1.084904,1.041026,0.3431281,-1.070974,1.011315,0.3807898,-1.094476,1.014765,0.359768,-1.069338,1.020669,0.3500521,-1.052567,0.9942078,0.3963211,-1.091971,0.9949,0.3779456,-1.06728,1.000531,0.3698759,-1.049941,0.981367,0.4151603,-1.092295,0.9762458,0.400303,-1.074707,0.9773441,0.392189,-1.061316,1.013433,0.4232059,-1.134804,0.07539598,
1529489430763,1.020118,0.4698293,-1.171909,1.040258,0.4479599,-1.149924,1.051158,0.4373181,-1.130621,0.9970855,0.4229022,-1.114269,0.9994958,0.4070028,-1.090514,1.00482,0.4013013,-1.074581,0.9812239,0.4324678,-1.106423,0.9831026,0.4133286,-1.07974,0.9885074,0.4046428,-1.062189,0.967019,0.4491478,-1.105167,0.9676657,0.4315219,-1.07962,0.9726073,0.4230398,-1.062248,0.9573214,0.4691941,-1.105971,0.9534925,0.4554241,-1.086919,0.9536109,0.4473159,-1.073698,0.9863408,0.4711336,-1.15021,0.08114739,
1529489430789,0.8810416,0.5341422,-1.178873,0.8328295,0.5197297,-1.160417,0.8138331,0.4989792,-1.149096,0.8792205,0.5016681,-1.111066,0.8653982,0.4750507,-1.105392,0.8594761,0.4552749,-1.121313,0.9220353,0.4915507,-1.103462,0.9179769,0.4666917,-1.081083,0.9126719,0.4477687,-1.070543,0.9558569,0.4842352,-1.108183,0.9471029,0.4582502,-1.091337,0.9373189,0.436198,-1.092398,0.9867069,0.475693,-1.119298,0.9789662,0.4575518,-1.105573,0.9709034,0.4426506,-1.099993,0.9389161,0.51776,-1.152219,0.06903078,
1529489430816,0.9008876,0.5851952,-1.188818,0.8653446,0.5767958,-1.181672,0.8431026,0.566815,-1.175993,0.8646152,0.5676208,-1.125708,0.8448328,0.5495296,-1.121524,0.8362502,0.5379148,-1.13101,0.8732186,0.5547822,-1.121584,0.8452536,0.5379131,-1.118365,0.8299121,0.5263017,-1.1247,0.890822,0.5413548,-1.120633,0.8648715,0.5243756,-1.116901,0.8525494,0.5155995,-1.126141,0.9117931,0.5266577,-1.122569,0.8971172,0.5096962,-1.117628,0.886507,0.5028703,-1.124997,0.9157418,0.5688049,-1.155366,0.05390451,
1529489430842,0.8847773,0.6369967,-1.186071,0.8509214,0.6217085,-1.186961,0.8317587,0.6065521,-1.186329,0.8383715,0.6112487,-1.136364,0.8179699,0.5938479,-1.141501,0.812548,0.5822037,-1.153293,0.8503764,0.6004494,-1.123377,0.8238039,0.5830688,-1.122195,0.8115571,0.5708753,-1.132027,0.8713378,0.5893257,-1.11823,0.8486934,0.5701963,-1.114586,0.8373373,0.5579247,-1.124024,0.8935473,0.5789513,-1.11951,0.8796978,0.5614694,-1.113979,0.8700812,0.5509024,-1.119636,0.8949782,0.6219906,-1.152456,0.04531304,
1529489430870,0.8749757,0.63744,-1.19722,0.8472023,0.6130562,-1.202001,0.8309892,0.5949563,-1.204475,0.8333007,0.5986742,-1.151644,0.8203976,0.5772343,-1.159703,0.8215129,0.5663604,-1.173502,0.8473773,0.5912187,-1.136709,0.8260934,0.5669628,-1.13404,0.8151628,0.5507437,-1.139752,0.8703953,0.586561,-1.130046,0.8534723,0.5618051,-1.123317,0.8436407,0.5447985,-1.126544,0.8950282,0.583326,-1.129647,0.8874041,0.5631067,-1.120177,0.8814124,0.5484745,-1.118832,0.8853506,0.6258209,-1.163356,0.04320699,
