time,thumb1x,thumb1y,thumb1z,thumb2x,thumb2y,thumb2z,thumb3x,thumb3y,thumb3z,index1x,index1y,index1z,index2x,index2y,index2z,index3x,index3y,index3z,middle1x,middle1y,middle1z,middle2x,middle2y,middle2z,middle3x,middle3y,middle3z,ring1x,ring1y,ring1z,ring2x,ring2y,ring2z,ring3x,ring3y,ring3z,pinky1x,pinky1y,pinky1z,pinky2x,pinky2y,pinky2z,pinky3x,pinky3y,pinky3z,palmx,palmy,palmz,pinch,
1529489756837,1.106578,0.4052048,-0.964533,1.085817,0.379249,-0.9502327,1.073443,0.3613369,-0.9416617,1.107438,0.3621851,-0.9090387,1.093187,0.3402008,-0.9063764,1.083804,0.3288885,-0.9136076,1.12507,0.3527113,-0.9131647,1.109365,0.3272908,-0.9084687,1.096982,0.3140422,-0.9139073,1.14466,0.3485377,-0.9245472,1.13275,0.3228322,-0.9196553,1.121283,0.3086787,-0.9234147,1.160263,0.3465684,-0.9402595,1.153129,0.3261223,-0.9374282,1.143847,0.3148844,-0.9399815,1.135964,0.3916231,-0.9498804,0.04412806,
1529489756864,1.101787,0.3780183,-0.9780242,1.081189,0.3513602,-0.9648196,1.068953,0.3330371,-0.9569355,1.104681,0.3304678,-0.9254844,1.092753,0.3069993,-0.923242,1.084633,0.2948846,-0.9306014,1.123036,0.322675,-0.9294281,1.109749,0.2957116,-0.9257747,1.098832,0.2816026,-0.9319592,1.142793,0.3206844,-0.9409143,1.132294,0.2941576,-0.9388024,1.121777,0.280152,-0.9449148,1.159168,0.3209042,-0.9560144,1.153161,0.2999547,-0.9552116,1.144599,0.2886362,-0.9593239,1.132111,0.3647294,-0.9636858,0.04893858,
1529489756891,1.098587,0.3557805,-0.9856194,1.078571,0.3280893,-0.9737362,1.067176,0.3087964,-0.9669878,1.103483,0.3047883,-0.9358884,1.092951,0.2806089,-0.9342633,1.085611,0.2682755,-0.941996,1.12183,0.2982724,-0.9400691,1.109458,0.2707882,-0.9378207,1.099236,0.2569827,-0.9453235,1.141958,0.2978424,-0.9513582,1.132415,0.270963,-0.9509171,1.122494,0.2574213,-0.958518,1.158464,0.2997479,-0.9660853,1.152857,0.2787761,-0.9666528,1.144381,0.2680682,-0.9720935,1.129814,0.3424416,-0.9720585,0.05105294,
1529489756925,1.105029,0.3207028,-0.9996153,1.084444,0.2926496,-0.9897819,1.072908,0.2730578,-0.9842116,1.108405,0.2692629,-0.9494579,1.098996,0.2448726,-0.9491156,1.09332,0.232872,-0.958467,1.12711,0.2640754,-0.9514053,1.115412,0.2365401,-0.9502522,1.106581,0.2230171,-0.9595994,1.148702,0.2647668,-0.9603895,1.140428,0.2377484,-0.9604433,1.131875,0.2243031,-0.9695617,1.166881,0.2676511,-0.973369,1.162722,0.2465603,-0.9739321,1.155152,0.2360393,-0.9806266,1.136276,0.3084713,-0.9830528,0.05190691,
1529489756958,1.116945,0.2877299,-1.014172,1.096008,0.2597576,-1.00498,1.084873,0.2398235,-0.9999151,1.117789,0.2372268,-0.9630488,1.108497,0.2129091,-0.9633476,1.103475,0.2011043,-0.9732966,1.136537,0.2321226,-0.9634391,1.124784,0.204812,-0.9624888,1.116475,0.1914717,-0.9725279,1.158608,0.2326022,-0.9712792,1.150295,0.205831,-0.9714044,1.142124,0.1927514,-0.9813061,1.177696,0.2352103,-0.9831713,1.173647,0.2144113,-0.9835249,1.166077,0.2045266,-0.9910448,1.147368,0.2757722,-0.9956995,0.05053472,
1529489756986,1.125696,0.2640553,-1.02544,1.105689,0.2368164,-1.012923,1.096916,0.2162763,-1.006363,1.129106,0.215072,-0.9733476,1.121329,0.1905302,-0.9733605,1.116756,0.1789962,-0.9837773,1.147845,0.2103514,-0.9731522,1.13742,0.1832353,-0.971356,1.129503,0.1708852,-0.9824982,1.169278,0.2108854,-0.9812659,1.161491,0.1844839,-0.9800369,1.1532,0.1723015,-0.9904749,1.187891,0.2131571,-0.9934466,1.184001,0.1926643,-0.9921407,1.176041,0.1834562,-0.9996619,1.156756,0.2525424,-1.008174,0.04789083,
1529489757011,1.131695,0.2524543,-1.032625,1.112724,0.2262966,-1.017036,1.106447,0.2054247,-1.009494,1.137424,0.2041493,-0.9803894,1.130448,0.1795549,-0.9798498,1.125668,0.16835,-0.9903823,1.156296,0.1993818,-0.9802084,1.146811,0.1726437,-0.9775209,1.138755,0.1616206,-0.9893302,1.176889,0.1996757,-0.9889327,1.169444,0.1734515,-0.9858044,1.160808,0.1617736,-0.9957786,1.194562,0.2013887,-1.001904,1.190474,0.1811467,-0.9990767,1.182117,0.1721552,-1.006052,1.163267,0.2403824,-1.017333,0.04592632,
1529489757037,1.138882,0.2480662,-1.044483,1.121011,0.2237379,-1.025822,1.117654,0.2029168,-1.017201,1.144871,0.2010852,-0.9908445,1.139892,0.1761667,-0.98844,1.135738,0.1647917,-0.9985403,1.163722,0.196616,-0.9896042,1.156514,0.1688882,-0.9822563,1.149623,0.1571744,-0.9913794,1.183563,0.1968711,-0.997578,1.177631,0.1703376,-0.9891414,1.170063,0.1562179,-0.9951733,1.201324,0.1982039,-1.009813,1.198815,0.1780756,-1.002034,1.191995,0.1665477,-1.005403,1.170034,0.2356344,-1.029411,0.04613871,
1529489757064,1.148397,0.2443278,-1.055846,1.131082,0.222746,-1.034258,1.130042,0.202598,-1.02458,1.154421,0.1982205,-1.000489,1.153018,0.1735205,-0.9885195,1.151576,0.1573553,-0.983351,1.17262,0.1937103,-0.9989777,1.168762,0.1668227,-0.9835546,1.163656,0.1511832,-0.9842007,1.191759,0.1939963,-1.006057,1.187379,0.1688986,-0.9914967,1.183573,0.151679,-0.983782,1.209469,0.1952513,-1.017373,1.207685,0.1770521,-1.004741,1.204375,0.1634255,-0.9989104,1.178917,0.2306622,-1.041063,0.06488802,
1529489757091,1.154018,0.2468196,-1.061103,1.137244,0.2279445,-1.037139,1.136769,0.2084608,-1.026287,1.162046,0.2030276,-1.003217,1.163425,0.180619,-0.9874821,1.164059,0.1664522,-0.9784173,1.180357,0.1979782,-1.002053,1.180039,0.1736194,-0.982414,1.177836,0.1568385,-0.9742838,1.198695,0.1972307,-1.009817,1.197475,0.1747464,-0.9906476,1.196452,0.1600574,-0.9786708,1.214782,0.1975414,-1.021755,1.214166,0.1817906,-1.005791,1.213401,0.1709132,-0.9953896,1.184476,0.2319949,-1.047045,0.06928924,
