time,thumb1x,thumb1y,thumb1z,thumb2x,thumb2y,thumb2z,thumb3x,thumb3y,thumb3z,index1x,index1y,index1z,index2x,index2y,index2z,index3x,index3y,index3z,middle1x,middle1y,middle1z,middle2x,middle2y,middle2z,middle3x,middle3y,middle3z,ring1x,ring1y,ring1z,ring2x,ring2y,ring2z,ring3x,ring3y,ring3z,pinky1x,pinky1y,pinky1z,pinky2x,pinky2y,pinky2z,pinky3x,pinky3y,pinky3z,palmx,palmy,palmz,pinch,
1529489550966,1.004222,0.3885287,-0.9508524,0.9841131,0.361192,-0.9396279,0.9722644,0.3421263,-0.9327872,0.9994399,0.3447401,-0.8960445,0.9891542,0.3204172,-0.891386,0.9823663,0.3064871,-0.8965518,1.016998,0.3368773,-0.8977837,1.004324,0.3094453,-0.8938097,0.9947102,0.2942034,-0.8996233,1.036975,0.3343841,-0.9072511,1.026034,0.3079873,-0.9071081,1.016397,0.2942975,-0.9151517,1.054506,0.334056,-0.9199193,1.047194,0.3137353,-0.9213391,1.03836,0.3040475,-0.9280513,1.030178,0.3773981,-0.9321378,0.05181888,
1529489550992,1.022857,0.3663857,-0.9561144,1.004625,0.3381902,-0.9439194,0.9948433,0.318135,-0.9367661,1.02182,0.321695,-0.9018967,1.014282,0.2964375,-0.8964548,1.008865,0.2815801,-0.9006728,1.039551,0.3151431,-0.9035316,1.029314,0.2868017,-0.899165,1.020954,0.2708588,-0.9049369,1.059298,0.3140206,-0.9133779,1.050186,0.2869952,-0.9135772,1.041468,0.2732837,-0.9222591,1.076552,0.3149746,-0.9259506,1.070136,0.2945299,-0.9277879,1.061615,0.2851086,-0.9351325,1.049897,0.3562561,-0.9383823,0.05325026,
1529489551020,1.040487,0.3483641,-0.959799,1.022377,0.3213173,-0.9452023,1.01374,0.3012847,-0.9368769,1.041376,0.3044736,-0.9054937,1.03458,0.279196,-0.9013968,1.029561,0.265416,-0.9082013,1.059068,0.2983892,-0.9063919,1.0495,0.2700676,-0.9010415,1.04136,0.2540355,-0.9066409,1.078897,0.29729,-0.9158025,1.070586,0.2701381,-0.9141315,1.062046,0.2560821,-0.922179,1.095994,0.2979687,-0.9286701,1.090252,0.2772978,-0.9290385,1.081868,0.267429,-0.9358215,1.068423,0.3383716,-0.9428459,0.04857139,
1529489551046,1.07008,0.3088522,-0.9619118,1.053769,0.2835602,-0.9429603,1.048129,0.2634059,-0.9331499,1.075626,0.2664621,-0.9074056,1.069317,0.2414275,-0.9030392,1.063642,0.2292477,-0.9110191,1.092866,0.2602677,-0.9088631,1.083802,0.2324049,-0.9006799,1.075007,0.2165954,-0.9048967,1.111552,0.258482,-0.9193748,1.103046,0.2319123,-0.9144851,1.093434,0.2185985,-0.9214863,1.12723,0.2581168,-0.9335503,1.121376,0.2375549,-0.9304881,1.112355,0.2279991,-0.9356927,1.099106,0.2980523,-0.9483513,0.04355698,
1529489551072,1.087368,0.297534,-0.9668708,1.07149,0.2736896,-0.945869,1.066453,0.254055,-0.9350536,1.092752,0.2580189,-0.9113874,1.08479,0.2339116,-0.9085846,1.078365,0.2231159,-0.918267,1.110486,0.2516398,-0.911895,1.100795,0.2246199,-0.9021083,1.091348,0.2086978,-0.9051212,1.129199,0.248918,-0.9223385,1.120896,0.2228724,-0.9142996,1.111071,0.2081557,-0.918478,1.14467,0.2472552,-0.9369217,1.139619,0.2268774,-0.9311662,1.131021,0.2155047,-0.9337234,1.116495,0.2869848,-0.9536076,0.03716047,
1529489551108,1.103232,0.2891735,-0.9703522,1.091681,0.2640926,-0.948111,1.090463,0.2438648,-0.9377872,1.114064,0.2512054,-0.9168326,1.105987,0.2288848,-0.9185728,1.099796,0.2226387,-0.9319513,1.133562,0.2464373,-0.9167346,1.126368,0.2191139,-0.9057631,1.11777,0.2024187,-0.9074347,1.152235,0.2452809,-0.927643,1.147871,0.2193851,-0.9158921,1.13998,0.2027926,-0.9160042,1.167231,0.2442514,-0.9435998,1.16679,0.2240321,-0.9348966,1.161406,0.2103671,-0.9334544,1.133719,0.2811627,-0.9593745,0.02391041,
1529489551139,1.117365,0.2922087,-0.9836859,1.10972,0.2697181,-0.9575008,1.111309,0.2506479,-0.9454773,1.136602,0.2553777,-0.9310628,1.130789,0.2321499,-0.9301539,1.123753,0.2240975,-0.9420032,1.15665,0.2521994,-0.9327281,1.15387,0.2251999,-0.9194541,1.146798,0.207791,-0.9195004,1.173969,0.2522408,-0.9450262,1.174647,0.2275869,-0.9295497,1.170203,0.2102171,-0.9251418,1.187392,0.251759,-0.9621479,1.191114,0.2331117,-0.9506404,1.189488,0.21927,-0.9456624,1.149403,0.2848694,-0.9768002,0.02952706,
1529489551166,1.127906,0.2945573,-0.9974013,1.121679,0.2768436,-0.9677399,1.124889,0.2596665,-0.9532547,1.15075,0.2600083,-0.9434439,1.148677,0.2348849,-0.9370281,1.143531,0.2197237,-0.941713,1.170862,0.2576796,-0.9454235,1.173672,0.2324591,-0.9271311,1.17454,0.215699,-0.9166098,1.187266,0.2580153,-0.9574139,1.190591,0.2353915,-0.9389735,1.190623,0.2191326,-0.9290583,1.200341,0.2574034,-0.974026,1.205538,0.2409738,-0.9598022,1.206116,0.2282529,-0.9520336,1.16067,0.2866656,-0.9915369,0.04556479,
1529489551192,1.133745,0.2923682,-1.00587,1.127065,0.2775572,-0.9749496,1.131054,0.261826,-0.9591732,1.1537,0.2603914,-0.9504263,1.151344,0.2350469,-0.9448377,1.147071,0.2195283,-0.9494662,1.175236,0.2590259,-0.9505124,1.180231,0.2355537,-0.9303175,1.182682,0.2204475,-0.9186867,1.191734,0.2597095,-0.9609959,1.194713,0.2376236,-0.9418094,1.195156,0.2220367,-0.9310372,1.20549,0.2588231,-0.9764827,1.20921,0.2424536,-0.9618224,1.20849,0.2295568,-0.9544129,1.166472,0.2852999,-0.9980092,0.04625874,
1529489551219,1.139575,0.2897529,-1.012668,1.131215,0.2782354,-0.9811954,1.135785,0.2639367,-0.9644296,1.1541,0.2614666,-0.9562787,1.149885,0.2367609,-0.9557058,1.145693,0.2252717,-0.9667207,1.175047,0.2599623,-0.9537744,1.175314,0.2343155,-0.9357364,1.173643,0.2173645,-0.9282671,1.192258,0.2604385,-0.9623494,1.188329,0.23577,-0.9492999,1.182201,0.21773,-0.9473242,1.207896,0.2591659,-0.9758169,1.205653,0.2410429,-0.9652847,1.198038,0.2287728,-0.9668196,1.171777,0.2841192,-1.001379,0.03997995,
1529489551246,1.147464,0.296365,-1.021432,1.138028,0.282421,-0.991665,1.14289,0.2664528,-0.9766334,1.156527,0.2664103,-0.9670421,1.15115,0.2430643,-0.9713717,1.148175,0.2362247,-0.9856427,1.175388,0.2630771,-0.9646142,1.169809,0.2344483,-0.9528116,1.166438,0.2167979,-0.9455233,1.19437,0.2639095,-0.9702073,1.186868,0.2386705,-0.9626911,1.178822,0.2218762,-0.9665112,1.211672,0.2627398,-0.9822127,1.207195,0.2439225,-0.9750611,1.198557,0.2334589,-0.9800079,1.178783,0.2904264,-1.008114,0.03198188,
1529489551272,1.152374,0.3014933,-1.025232,1.142798,0.2796834,-1.000534,1.147462,0.260515,-0.9891748,1.153807,0.2693319,-0.9730943,1.147508,0.2470946,-0.9805211,1.146318,0.2421647,-0.9956595,1.172427,0.2647536,-0.970603,1.162838,0.2356982,-0.9692935,1.155836,0.2182306,-0.9738079,1.192915,0.2659385,-0.9724297,1.184692,0.2403253,-0.9656298,1.176874,0.2234275,-0.9691944,1.211725,0.2648311,-0.984164,1.207644,0.245094,-0.9786421,1.199526,0.2345411,-0.9840389,1.180616,0.2966114,-1.009301,0.01949606,
1529489551306,1.158444,0.3044528,-1.029034,1.147495,0.2808375,-1.006305,1.150055,0.2608167,-0.9954357,1.15505,0.2717035,-0.9760081,1.147295,0.2498031,-0.9823382,1.146408,0.2444398,-0.9973011,1.173796,0.2664376,-0.9722809,1.16257,0.2397953,-0.972351,1.155278,0.227506,-0.984526,1.195526,0.2662648,-0.9748864,1.187276,0.2407202,-0.9671435,1.179013,0.2251927,-0.9727563,1.214552,0.2644317,-0.9867918,1.211069,0.2442257,-0.9808179,1.203491,0.2328056,-0.9850116,1.184909,0.2986162,-1.01196,0.01688158,
1529489551325,1.16144,0.2989331,-1.028831,1.150934,0.275403,-1.005722,1.153351,0.2555176,-0.9943883,1.15639,0.2704354,-0.9729638,1.147891,0.2484822,-0.9772425,1.146628,0.2423123,-0.9918023,1.174481,0.2650122,-0.9691356,1.16207,0.2397109,-0.968053,1.155062,0.2289243,-0.9812493,1.196297,0.263577,-0.9724122,1.1868,0.2389119,-0.9637617,1.177955,0.2244401,-0.9700637,1.214904,0.2605773,-0.9839537,1.209745,0.2412447,-0.9771683,1.201313,0.2304522,-0.9815425,1.187005,0.2941552,-1.011137,0.0150425,
1529489551352,1.16415,0.3046413,-1.030311,1.154306,0.2817737,-1.006211,1.156484,0.2619096,-0.9947625,1.161395,0.2779347,-0.9734148,1.151618,0.2565617,-0.9767029,1.148912,0.2505338,-0.9911543,1.179088,0.2716272,-0.970734,1.165498,0.2478518,-0.9692259,1.15776,0.239092,-0.9831671,1.200579,0.2687968,-0.9754183,1.190609,0.2447986,-0.9645962,1.180708,0.2303429,-0.9687321,1.21808,0.2644305,-0.9881795,1.212463,0.2455369,-0.9803737,1.203361,0.2344429,-0.9830149,1.190264,0.2991806,-1.014153,0.01413354,
1529489551381,1.15928,0.3199993,-1.021167,1.14969,0.3014499,-0.9930708,1.150561,0.2832986,-0.9792752,1.164993,0.2905646,-0.9658281,1.154326,0.269971,-0.9685221,1.149651,0.2648665,-0.9829568,1.182849,0.2837197,-0.9654937,1.16909,0.2608301,-0.9628573,1.159581,0.2536932,-0.9764901,1.202874,0.2799073,-0.9738985,1.193665,0.2556449,-0.9622805,1.183011,0.2421381,-0.9655128,1.218208,0.2752592,-0.9888312,1.213248,0.2560587,-0.9803954,1.204074,0.2446651,-0.9808782,1.188132,0.3111217,-1.010027,0.01881829,
1529489551405,1.157432,0.3320171,-1.015707,1.148396,0.3152161,-0.9863443,1.148531,0.2973552,-0.9722134,1.165277,0.2988892,-0.9637217,1.152964,0.2801237,-0.9682626,1.147167,0.2780841,-0.9830949,1.182264,0.2909289,-0.9638591,1.166618,0.2688668,-0.9605332,1.155368,0.2627261,-0.9731756,1.200813,0.2856716,-0.9741285,1.189999,0.2618524,-0.9627076,1.177879,0.2489343,-0.9649062,1.214767,0.2801876,-0.9903466,1.20887,0.2610285,-0.98218,1.199239,0.2497811,-0.9814612,1.186438,0.3193882,-1.007703,0.02217298,
1529489551433,1.15651,0.3421175,-1.01146,1.148779,0.3240731,-0.9821489,1.148083,0.3062994,-0.9675952,1.167909,0.3021479,-0.9640743,1.15513,0.2840075,-0.9689242,1.148354,0.2843891,-0.9830483,1.184728,0.2940803,-0.9665012,1.169549,0.2704578,-0.9617955,1.156221,0.2624581,-0.9713606,1.200971,0.2895181,-0.9799453,1.189571,0.2647427,-0.971365,1.176765,0.2528541,-0.9746413,1.213113,0.2859157,-0.9972399,1.205678,0.2666298,-0.9913358,1.194671,0.2567361,-0.9921554,1.185449,0.3276067,-1.007421,0.02681287,
1529489551458,1.154913,0.3484268,-1.013356,1.146114,0.3298192,-0.9848129,1.145502,0.3114176,-0.971334,1.166919,0.3073837,-0.9664385,1.154567,0.2886676,-0.9715375,1.147493,0.2880228,-0.9857323,1.183386,0.2997198,-0.9693667,1.168075,0.276047,-0.9664645,1.15507,0.2682325,-0.9769039,1.199865,0.2957791,-0.982608,1.18702,0.2717762,-0.9774886,1.173514,0.262353,-0.984349,1.212502,0.2928813,-0.9994373,1.204328,0.2738142,-0.9948429,1.192577,0.2657352,-0.9975625,1.184933,0.3338501,-1.009279,0.02754254,
1529489551485,1.153663,0.3451081,-1.014687,1.144019,0.3249255,-0.9874682,1.143553,0.3063128,-0.9741307,1.166557,0.3055033,-0.9660727,1.156278,0.2842391,-0.9704573,1.149331,0.27941,-0.9842589,1.184025,0.2994388,-0.9681472,1.171201,0.2740127,-0.9654945,1.159677,0.2640385,-0.9759781,1.201806,0.2972045,-0.9801884,1.19131,0.2721309,-0.975785,1.179223,0.2611526,-0.9834285,1.215578,0.2956431,-0.9962821,1.208783,0.2761335,-0.9925113,1.197752,0.2676572,-0.9966029,1.184905,0.3338205,-1.00813,0.02932094,
1529489551520,1.155694,0.346677,-1.015171,1.145786,0.3260544,-0.9883218,1.144452,0.307188,-0.9753015,1.17018,0.3048376,-0.9669259,1.159452,0.2815728,-0.9671962,1.150646,0.2714587,-0.9767814,1.186859,0.298234,-0.970967,1.173626,0.2726787,-0.9667047,1.16119,0.2616013,-0.9750904,1.203502,0.2954735,-0.9848357,1.192082,0.270585,-0.9808891,1.179209,0.2601052,-0.9880728,1.216112,0.2940032,-1.001587,1.208112,0.274837,-0.9984412,1.196421,0.2671682,-1.002434,1.18704,0.3338274,-1.010422,0.03629234,
1529489551538,1.1554,0.3467081,-1.017517,1.145513,0.3249685,-0.9915564,1.144424,0.3056283,-0.9792494,1.170503,0.3043911,-0.9687285,1.160962,0.2802089,-0.967139,1.152603,0.2682406,-0.9749054,1.18733,0.2981958,-0.9731272,1.175301,0.2718672,-0.9679425,1.163395,0.2594084,-0.9752126,1.203652,0.2959908,-0.987349,1.192481,0.2710109,-0.9840966,1.17982,0.2603821,-0.9917408,1.216056,0.2951682,-1.004076,1.207436,0.276437,-1.001881,1.195541,0.2699369,-1.007046,1.186913,0.3345459,-1.012458,0.03851767,
1529489551566,1.164882,0.3457536,-1.02638,1.15421,0.3230882,-1.001435,1.152307,0.3035337,-0.9894644,1.178667,0.3035612,-0.9761606,1.169458,0.2793608,-0.9731057,1.161203,0.2664751,-0.97965,1.195273,0.2972662,-0.9804598,1.183373,0.2709673,-0.9737544,1.171655,0.257876,-0.9799861,1.211753,0.2948288,-0.9945446,1.201031,0.2693165,-0.9894609,1.188965,0.2570489,-0.9953616,1.224219,0.2938911,-1.011311,1.21563,0.2748807,-1.00841,1.204148,0.2672116,-1.013019,1.195955,0.3337126,-1.020403,0.03935466,
1529489551592,1.166762,0.3492665,-1.032004,1.155022,0.3260767,-1.008064,1.152673,0.3063094,-0.996454,1.178471,0.3091981,-0.9794763,1.16887,0.2854057,-0.976532,1.16082,0.2733422,-0.9843699,1.195182,0.3027342,-0.9831973,1.182505,0.2770886,-0.9774746,1.170903,0.2652045,-0.9856378,1.212547,0.3000356,-0.9961749,1.201595,0.2748803,-0.990924,1.189651,0.2626936,-0.9973291,1.225629,0.2986566,-1.0125,1.216867,0.2799001,-1.009498,1.205479,0.2724743,-1.014655,1.197655,0.3381279,-1.023871,0.03604485,
1529489551619,1.171827,0.3519995,-1.039648,1.15926,0.3289215,-1.016014,1.156618,0.309336,-1.004122,1.180479,0.3144923,-0.9848331,1.170852,0.2910523,-0.9822372,1.163627,0.2800093,-0.9916571,1.197481,0.3080179,-0.9874611,1.184674,0.2825376,-0.9820479,1.173785,0.2708122,-0.9911176,1.215811,0.3052251,-0.998835,1.205064,0.280123,-0.9927418,1.193729,0.2670696,-0.998788,1.229802,0.3033727,-1.014378,1.221158,0.2846846,-1.011002,1.210185,0.2768684,-1.016516,1.202039,0.3420087,-1.029046,0.03262772,
1529489551646,1.18098,0.3539361,-1.04864,1.16846,0.3314727,-1.024424,1.16608,0.3122212,-1.011954,1.187766,0.3185354,-0.9927258,1.178245,0.2955945,-0.9911634,1.171811,0.2859762,-1.002301,1.204874,0.3120996,-0.994529,1.191991,0.2868688,-0.9896756,1.181583,0.2755196,-0.999694,1.223665,0.3092496,-1.004765,1.212982,0.2842732,-0.9978904,1.201994,0.2703313,-1.003124,1.238057,0.3069089,-1.019895,1.229275,0.2884169,-1.01635,1.218465,0.2804736,-1.022121,1.210581,0.3447088,-1.03684,0.02854499,
1529489551658,1.18408,0.3552932,-1.049108,1.172101,0.3329205,-1.024549,1.169893,0.3136585,-1.012035,1.191914,0.3195812,-0.9937522,1.182108,0.2968941,-0.9925089,1.175327,0.2879061,-1.003926,1.208876,0.3129397,-0.9959697,1.195749,0.2879055,-0.9910835,1.184874,0.2768036,-1.000974,1.227338,0.309889,-1.00668,1.216529,0.2849996,-0.9995274,1.205243,0.2709742,-1.004143,1.241168,0.3073823,-1.022299,1.232108,0.2890513,-1.018734,1.220983,0.2814232,-1.024338,1.21377,0.3456361,-1.03823,0.02754015,
