time,thumb1x,thumb1y,thumb1z,thumb2x,thumb2y,thumb2z,thumb3x,thumb3y,thumb3z,index1x,index1y,index1z,index2x,index2y,index2z,index3x,index3y,index3z,middle1x,middle1y,middle1z,middle2x,middle2y,middle2z,middle3x,middle3y,middle3z,ring1x,ring1y,ring1z,ring2x,ring2y,ring2z,ring3x,ring3y,ring3z,pinky1x,pinky1y,pinky1z,pinky2x,pinky2y,pinky2z,pinky3x,pinky3y,pinky3z,palmx,palmy,palmz,pinch,
1529059736689,1.170307,0.4805808,-0.8393694,1.174922,0.4959183,-0.8044217,1.180988,0.5049517,-0.7802255,1.219511,0.5321928,-0.8153607,1.231469,0.5316402,-0.7889076,1.232263,0.5205102,-0.7741706,1.236276,0.5255876,-0.8223027,1.247914,0.5269448,-0.7913992,1.246302,0.5162833,-0.7732645,1.249312,0.5110672,-0.8342036,1.261749,0.5118977,-0.8054035,1.260158,0.5028207,-0.7867643,1.257941,0.493431,-0.844803,1.268743,0.4939868,-0.8234344,1.266437,0.4886175,-0.8079548,1.205224,0.4906926,-0.8553325,0.05392521,
1529059736728,1.165807,0.4877108,-0.8420278,1.169263,0.5049695,-0.8078366,1.173971,0.5156779,-0.7839909,1.216012,0.5397846,-0.819883,1.228243,0.54065,-0.7935072,1.229214,0.5304534,-0.7781098,1.23272,0.5326495,-0.8264294,1.244652,0.53549,-0.7956258,1.243253,0.5259279,-0.7768731,1.245427,0.5175421,-0.8375245,1.25775,0.5196055,-0.808659,1.256192,0.5114529,-0.7895871,1.253804,0.4991122,-0.8471869,1.264164,0.5000925,-0.8255687,1.261584,0.4952516,-0.8099431,1.201411,0.4966078,-0.8581257,0.05748645,
1529059736745,1.162813,0.4931513,-0.8434677,1.166315,0.5117757,-0.8100003,1.170886,0.523558,-0.7866181,1.213729,0.5457646,-0.8236939,1.2265,0.5476784,-0.7975963,1.227896,0.5381104,-0.7818292,1.230238,0.5383437,-0.8302642,1.242665,0.5422035,-0.7997321,1.241638,0.5332454,-0.7806753,1.242625,0.5227407,-0.8410031,1.255225,0.5255145,-0.8122516,1.253989,0.5179096,-0.7929164,1.25066,0.5039307,-0.8501316,1.260806,0.505194,-0.82841,1.25814,0.5006218,-0.8126997,1.198422,0.5013487,-0.8603354,0.05903322,
1529059736769,1.157401,0.5007883,-0.8417137,1.159962,0.520396,-0.8087309,1.163783,0.5329421,-0.7856002,1.208407,0.5538967,-0.8224483,1.220895,0.5567583,-0.7963116,1.222185,0.5476729,-0.7802699,1.224946,0.546149,-0.8285586,1.236918,0.550757,-0.7979605,1.235623,0.542197,-0.7787547,1.237285,0.5300325,-0.8385823,1.249059,0.5330081,-0.8095409,1.247271,0.525553,-0.790161,1.245172,0.5111524,-0.8470747,1.254153,0.5126113,-0.8249218,1.250631,0.508056,-0.8093615,1.19357,0.5084484,-0.858267,0.06046683,
1529059736783,1.152824,0.506831,-0.8444717,1.154575,0.5271896,-0.8118914,1.157786,0.5402902,-0.7889694,1.20379,0.5602427,-0.8252325,1.215864,0.5638463,-0.7989984,1.216922,0.5551594,-0.7827321,1.220391,0.5522091,-0.830843,1.231815,0.5574268,-0.8001326,1.230158,0.5492225,-0.7808143,1.232725,0.5356303,-0.8401798,1.243681,0.5387574,-0.8108418,1.241297,0.5314412,-0.7914708,1.240528,0.5166524,-0.8481224,1.248462,0.5181961,-0.8256277,1.244074,0.5136241,-0.8103044,1.189441,0.5139976,-0.8603837,0.06129433,
1529059736808,1.14671,0.5144063,-0.8431754,1.148318,0.5357763,-0.8112408,1.151211,0.549696,-0.7887423,1.198342,0.5682764,-0.8256707,1.210607,0.5732865,-0.7996929,1.211852,0.5655524,-0.7829732,1.214878,0.5597734,-0.8309101,1.226461,0.5663098,-0.8004608,1.224877,0.5589969,-0.7808107,1.226831,0.5424513,-0.8393804,1.237433,0.5462337,-0.8099744,1.234825,0.539482,-0.7904003,1.234183,0.5231,-0.8465309,1.24105,0.5248476,-0.8238471,1.235573,0.5202748,-0.808918,1.183546,0.5207206,-0.8591408,0.06294466,
1529059736835,1.145176,0.5174592,-0.8484356,1.146189,0.5397879,-0.8171364,1.148402,0.5545825,-0.7951115,1.195935,0.5728564,-0.8325354,1.208269,0.5789727,-0.8068651,1.209935,0.5716279,-0.7900241,1.212605,0.5644339,-0.8378196,1.224297,0.571844,-0.8076273,1.223127,0.5648031,-0.7878545,1.22462,0.546729,-0.8458661,1.234816,0.5504146,-0.8163928,1.232022,0.54334,-0.7969433,1.232106,0.5276335,-0.8528365,1.237999,0.5292718,-0.8301359,1.231372,0.5239804,-0.8160427,1.181957,0.5241105,-0.865049,0.06405294,
1529059736863,1.137095,0.5251328,-0.8518423,1.136218,0.5482898,-0.8211434,1.137016,0.5637232,-0.7994621,1.187179,0.5812629,-0.8348044,1.198471,0.5884708,-0.8089915,1.199535,0.5816525,-0.7918975,1.204075,0.5727552,-0.8391377,1.214456,0.5812061,-0.8088061,1.212513,0.5746552,-0.7889211,1.216415,0.5546948,-0.8461227,1.225333,0.5591455,-0.8162832,1.221741,0.5524578,-0.7968912,1.224446,0.5355457,-0.8525171,1.229734,0.5378959,-0.8296174,1.222765,0.5329666,-0.8156732,1.174779,0.5314927,-0.8668242,0.06547806,
1529059736879,1.133509,0.5285205,-0.8532029,1.133429,0.5512763,-0.8221971,1.135154,0.5661995,-0.8002336,1.184274,0.584022,-0.8360276,1.195863,0.5911378,-0.8102759,1.196932,0.584464,-0.7931235,1.201044,0.5753832,-0.8403481,1.211747,0.5839242,-0.8101044,1.209891,0.5776718,-0.7901001,1.213533,0.5574522,-0.8476303,1.223638,0.5627506,-0.8181083,1.220804,0.5569183,-0.7983905,1.221265,0.5380119,-0.8538945,1.227299,0.540633,-0.8312089,1.220624,0.5360387,-0.8170352,1.171045,0.5345301,-0.8680823,0.06481315,
1529059736916,1.123249,0.5351226,-0.8541989,1.123254,0.5583719,-0.8235683,1.125106,0.5736399,-0.801849,1.172447,0.5922807,-0.8383808,1.183753,0.6006637,-0.8127759,1.185146,0.594887,-0.7952828,1.18943,0.5841513,-0.8426645,1.199918,0.5944487,-0.8128157,1.198498,0.5892613,-0.7924246,1.202785,0.5664873,-0.8498003,1.213423,0.5737215,-0.8209164,1.211227,0.5689092,-0.8008353,1.211489,0.5468514,-0.8557613,1.219156,0.5510333,-0.8337041,1.213843,0.5474617,-0.8186603,1.160449,0.5415789,-0.869212,0.06402645,
1529059736943,1.117529,0.5381761,-0.8600519,1.118127,0.5619998,-0.8298771,1.120469,0.5776725,-0.8084902,1.164941,0.5970119,-0.8463111,1.175963,0.6067334,-0.8209287,1.177843,0.6019206,-0.8031474,1.182158,0.5891535,-0.8507211,1.192556,0.6008909,-0.8212605,1.191737,0.5966886,-0.8005503,1.19615,0.5716292,-0.8577845,1.207116,0.5801594,-0.8294145,1.205457,0.5760313,-0.8090925,1.20555,0.5519933,-0.8635646,1.214298,0.5573838,-0.842066,1.210265,0.5547268,-0.8263538,1.15404,0.5451152,-0.8758072,0.06251653,
1529059736956,1.114617,0.5393493,-0.860816,1.114835,0.5633477,-0.8307757,1.11699,0.5791339,-0.80946,1.160993,0.5989715,-0.8472189,1.171529,0.609092,-0.8217901,1.173336,0.60443,-0.8039579,1.178366,0.5912741,-0.8515154,1.18828,0.6033798,-0.8220376,1.187382,0.5993047,-0.801294,1.192726,0.5739119,-0.8584819,1.203366,0.5828037,-0.830144,1.201596,0.5787224,-0.8098197,1.20248,0.5543646,-0.8641462,1.211137,0.5601085,-0.8427159,1.207167,0.557561,-0.8269523,1.151099,0.5466483,-0.8764777,0.06200894,
1529059736982,1.104743,0.5428413,-0.8611921,1.104674,0.5672285,-0.8314644,1.106645,0.5833013,-0.8103503,1.149722,0.6034367,-0.8480715,1.159598,0.6143793,-0.8226383,1.161372,0.6103299,-0.8046328,1.167348,0.5958614,-0.8521364,1.176716,0.6087805,-0.8227326,1.175818,0.6052998,-0.8018621,1.182124,0.5786477,-0.8588102,1.192348,0.5882653,-0.8305734,1.190486,0.5845325,-0.8101773,1.192307,0.5591208,-0.8641518,1.200945,0.565514,-0.8428376,1.197269,0.563421,-0.8268968,1.141045,0.5504524,-0.8767037,0.06130444,
1529059736996,1.099695,0.5437455,-0.8661855,1.099479,0.5682628,-0.8365647,1.101352,0.5844123,-0.8155035,1.144041,0.6046158,-0.8528425,1.153271,0.6159359,-0.8273115,1.15476,0.6121209,-0.8092287,1.161826,0.5970238,-0.8566645,1.170655,0.6103871,-0.8272495,1.169532,0.6072503,-0.8063248,1.176876,0.5798253,-0.8631263,1.186785,0.5898893,-0.834947,1.18473,0.5864173,-0.8145231,1.187266,0.5602348,-0.8682504,1.195989,0.5670638,-0.8470416,1.192565,0.5654032,-0.8309651,1.136035,0.5513151,-0.8812782,0.06049458,
1529059737022,1.088087,0.5461435,-0.869503,1.087506,0.5709484,-0.8401285,1.089163,0.5872477,-0.8191689,1.131765,0.6072695,-0.8557336,1.139889,0.6192485,-0.8301134,1.140714,0.6158304,-0.8119236,1.149808,0.5995085,-0.8589291,1.157718,0.6136529,-0.829556,1.156019,0.6111432,-0.808589,1.165118,0.5821966,-0.8647352,1.174339,0.5930493,-0.8365953,1.171797,0.5901605,-0.8161416,1.175688,0.5624349,-0.8692693,1.184295,0.569982,-0.8481289,1.180995,0.5690466,-0.8319627,1.124669,0.5533932,-0.8835965,0.05938889,
