time,thumb1x,thumb1y,thumb1z,thumb2x,thumb2y,thumb2z,thumb3x,thumb3y,thumb3z,index1x,index1y,index1z,index2x,index2y,index2z,index3x,index3y,index3z,middle1x,middle1y,middle1z,middle2x,middle2y,middle2z,middle3x,middle3y,middle3z,ring1x,ring1y,ring1z,ring2x,ring2y,ring2z,ring3x,ring3y,ring3z,pinky1x,pinky1y,pinky1z,pinky2x,pinky2y,pinky2z,pinky3x,pinky3y,pinky3z,palmx,palmy,palmz,pinch,
1529060152353,1.084316,0.4819117,-0.8773195,1.102918,0.4989447,-0.8483145,1.118062,0.5093055,-0.8290669,1.140016,0.5288041,-0.87308,1.157838,0.5237508,-0.852478,1.158685,0.5091196,-0.8416855,1.151923,0.5208674,-0.8851646,1.169733,0.5163782,-0.8595451,1.168313,0.5014802,-0.8450794,1.158587,0.5060695,-0.9008707,1.175749,0.5014645,-0.8767964,1.173768,0.4884165,-0.8610422,1.161234,0.4893573,-0.9133275,1.173353,0.486736,-0.894645,1.168256,0.4783654,-0.8817939,1.110586,0.4894428,-0.9053434,0.04253875,
1529060152379,1.078028,0.4856269,-0.8761959,1.096545,0.502399,-0.846981,1.111454,0.5127008,-0.827504,1.133888,0.5328801,-0.8716393,1.15219,0.5286258,-0.8509492,1.153876,0.5144281,-0.8396763,1.146036,0.5250181,-0.8839536,1.164787,0.5215147,-0.8584263,1.164598,0.5072601,-0.8432132,1.152816,0.5099988,-0.8997672,1.170898,0.5059057,-0.8759886,1.169943,0.4933086,-0.8597373,1.155475,0.4931068,-0.9122703,1.168555,0.4906922,-0.8938682,1.164593,0.4826901,-0.8803436,1.104383,0.4932935,-0.9040191,0.04416749,
1529060152406,1.064342,0.4896651,-0.8802009,1.080791,0.5078874,-0.8506317,1.094619,0.5190403,-0.830828,1.119445,0.5384159,-0.8742915,1.13688,0.5361435,-0.8525423,1.138781,0.5226187,-0.8404779,1.132406,0.5303001,-0.885828,1.150225,0.5288856,-0.8593255,1.150182,0.5154613,-0.8433516,1.140352,0.5146767,-0.9008938,1.157728,0.5122278,-0.8762767,1.156723,0.5003537,-0.8594961,1.143981,0.4974436,-0.9128383,1.156917,0.4964041,-0.8939664,1.153461,0.4889889,-0.8799389,1.092385,0.4966057,-0.9069092,0.04534581,
1529060152433,1.051541,0.4925431,-0.8824812,1.065864,0.5142446,-0.8541687,1.078439,0.5278961,-0.8351098,1.103227,0.5446981,-0.8790643,1.119995,0.5443579,-0.8569005,1.122004,0.5312793,-0.8444328,1.116814,0.5367109,-0.8898804,1.133412,0.5371716,-0.8630902,1.13287,0.5238832,-0.8470231,1.125965,0.520889,-0.9038321,1.142413,0.5207068,-0.878737,1.141057,0.5093426,-0.8617123,1.131004,0.5034733,-0.9147652,1.143485,0.5046132,-0.8956581,1.140144,0.4977595,-0.8813385,1.079682,0.4993135,-0.9091868,0.04468006,
1529060152447,1.043584,0.4943899,-0.8831511,1.056702,0.5171429,-0.8551172,1.068725,0.5314598,-0.8362225,1.094041,0.5473017,-0.8796846,1.110044,0.5470719,-0.857106,1.111711,0.5338659,-0.8446949,1.10793,0.5393363,-0.8900415,1.123378,0.5396944,-0.862867,1.122098,0.5260444,-0.8471112,1.117661,0.5236039,-0.9035738,1.133136,0.5236562,-0.8779916,1.131125,0.5121849,-0.861133,1.123384,0.5063562,-0.914273,1.135272,0.5079783,-0.8948942,1.131575,0.5011862,-0.8806391,1.072106,0.5012598,-0.9096218,0.04387857,
1529060152474,1.014576,0.4988555,-0.8833752,1.024923,0.5222359,-0.8547437,1.035777,0.5367292,-0.8353237,1.063595,0.5519547,-0.8762593,1.077402,0.5506644,-0.8525209,1.077725,0.5367765,-0.8406995,1.0782,0.5441614,-0.8854465,1.090653,0.5430703,-0.8571671,1.087369,0.528406,-0.8426151,1.089061,0.5288861,-0.8981819,1.101368,0.5278003,-0.8713169,1.096987,0.515332,-0.8556688,1.096183,0.512351,-0.9087929,1.106161,0.5138899,-0.8884724,1.101108,0.5067517,-0.874808,1.045061,0.5061783,-0.9079433,0.04229081,
1529060152501,0.9983964,0.4963845,-0.8862984,1.0071,0.5200515,-0.8573956,1.017301,0.5346141,-0.837704,1.046292,0.5492764,-0.8768746,1.058665,0.5467024,-0.8526474,1.058115,0.5321118,-0.8416771,1.061173,0.5418373,-0.8855286,1.071706,0.5393704,-0.8568776,1.06726,0.523815,-0.8436044,1.072575,0.5269807,-0.8978959,1.082669,0.5246589,-0.8705741,1.07679,0.5112115,-0.856287,1.080572,0.5109813,-0.9085525,1.089136,0.5120393,-0.8877282,1.083053,0.504373,-0.8747999,1.029844,0.5041669,-0.9096763,0.04108372,
1529060152536,0.97282,0.4910758,-0.8892889,0.9788559,0.5146354,-0.8597184,0.988308,0.5286188,-0.839344,1.019666,0.5434478,-0.8756372,1.029513,0.5395719,-0.8506845,1.027482,0.5243327,-0.8408803,1.034972,0.5360287,-0.8829531,1.042309,0.5320867,-0.8536469,1.036269,0.5158531,-0.8419015,1.047552,0.5217226,-0.8945935,1.054684,0.5184624,-0.8666478,1.047154,0.5044711,-0.8537055,1.0567,0.5060455,-0.9047778,1.063181,0.5066175,-0.883304,1.055709,0.4986802,-0.8712894,1.00639,0.4991281,-0.9100732,0.03943796,
1529060152553,0.9568132,0.4854081,-0.8921254,0.9615802,0.5092508,-0.8626068,0.9706874,0.5231454,-0.8420693,1.003263,0.5376564,-0.8772117,1.01188,0.5336674,-0.8518739,1.00924,0.5183955,-0.842267,1.018724,0.5300931,-0.8837394,1.024549,0.5260761,-0.8540914,1.017874,0.5098524,-0.8426827,1.031816,0.515765,-0.8947144,1.037551,0.512585,-0.8664489,1.029365,0.4986728,-0.8537699,1.041392,0.5000026,-0.9043128,1.046749,0.5006325,-0.8825752,1.038606,0.4927803,-0.8709049,0.9914537,0.4931701,-0.9116821,0.0388447,
1529060152579,0.9345341,0.4803576,-0.8925897,0.9378045,0.5037578,-0.8625944,0.9464079,0.5168347,-0.8413829,0.9811082,0.5317438,-0.874325,0.9879197,0.52777,-0.8483586,0.9843965,0.5126786,-0.8387578,0.9967744,0.5237502,-0.8796967,1.000499,0.5197614,-0.8495022,0.9928848,0.5038635,-0.8382179,1.010357,0.509155,-0.8897554,1.014116,0.5059439,-0.8610566,1.00491,0.4923328,-0.8487091,1.020208,0.4931006,-0.8986358,1.023952,0.4935037,-0.876564,1.014796,0.4858444,-0.8654903,0.9707826,0.4874555,-0.9095975,0.03830526,
