time,thumb1x,thumb1y,thumb1z,thumb2x,thumb2y,thumb2z,thumb3x,thumb3y,thumb3z,index1x,index1y,index1z,index2x,index2y,index2z,index3x,index3y,index3z,middle1x,middle1y,middle1z,middle2x,middle2y,middle2z,middle3x,middle3y,middle3z,ring1x,ring1y,ring1z,ring2x,ring2y,ring2z,ring3x,ring3y,ring3z,pinky1x,pinky1y,pinky1z,pinky2x,pinky2y,pinky2z,pinky3x,pinky3y,pinky3z,palmx,palmy,palmz,pinch,
1529060279676,0.805177,0.5308287,-0.9102542,0.7844439,0.5137666,-0.8830075,0.7765807,0.4992874,-0.8625888,0.7947259,0.5454798,-0.8382027,0.7829353,0.5258328,-0.819404,0.7779449,0.5080271,-0.8168956,0.8138058,0.5423046,-0.8315282,0.7996347,0.5208764,-0.8094929,0.7910221,0.5015469,-0.8062758,0.8367049,0.5378077,-0.8336987,0.8256321,0.5172647,-0.8118718,0.8166887,0.4986394,-0.8081635,0.8576053,0.5306119,-0.8406544,0.85172,0.5147181,-0.8231198,0.8435136,0.500699,-0.8192453,0.8313629,0.5447419,-0.885657,0.04654147,
1529060279704,0.8027406,0.5496815,-0.9170533,0.7785186,0.5369912,-0.8901855,0.7671821,0.5253622,-0.8694757,0.7945852,0.569119,-0.8445294,0.7822517,0.5525632,-0.8232567,0.7764071,0.5354815,-0.8186315,0.8135194,0.5658327,-0.8377233,0.7987399,0.5478811,-0.8131796,0.7893347,0.5294443,-0.8078947,0.8364171,0.5601248,-0.8397381,0.8250585,0.5425168,-0.8156545,0.8155317,0.5247161,-0.8100791,0.8572323,0.5515296,-0.8463764,0.8514892,0.5376959,-0.8271751,0.8429936,0.5243407,-0.8220316,0.8308654,0.5630343,-0.892518,0.05265573,
1529060279740,0.7964503,0.563781,-0.9300349,0.7683913,0.5583067,-0.904344,0.7520038,0.5522044,-0.8843749,0.7910192,0.5893813,-0.8583043,0.7771226,0.5769389,-0.8352221,0.7695789,0.561278,-0.828496,0.8094476,0.5851538,-0.8511597,0.7928262,0.5718436,-0.824908,0.7816678,0.5551352,-0.8176845,0.8320243,0.5769686,-0.8524545,0.8192168,0.5631447,-0.8266844,0.808171,0.546952,-0.8193049,0.8521684,0.5658208,-0.858207,0.8454367,0.5544235,-0.8378094,0.8358416,0.5423429,-0.8315858,0.82678,0.5753319,-0.9054745,0.05927623,
1529060279759,0.7941926,0.5757853,-0.9377566,0.7641217,0.5753559,-0.9137458,0.7453814,0.5730357,-0.8949751,0.78908,0.6052954,-0.8671324,0.7733694,0.5957542,-0.8439313,0.764335,0.5811324,-0.8367853,0.8067625,0.5999701,-0.8592461,0.7879958,0.5898647,-0.8331808,0.775245,0.5743895,-0.8259659,0.8286469,0.5896445,-0.8593443,0.8136523,0.5783312,-0.8336904,0.800993,0.5633003,-0.8265083,0.8479033,0.5765761,-0.863812,0.8391582,0.5669265,-0.8434152,0.8281239,0.5559113,-0.8376405,0.8251092,0.585225,-0.9122285,0.06173206,
1529060279782,0.7943045,0.590296,-0.9454405,0.7628245,0.5952534,-0.9239295,0.7424637,0.5968524,-0.9068632,0.7882494,0.6239144,-0.8765328,0.7703129,0.6176332,-0.854112,0.7595961,0.604122,-0.8472817,0.8047105,0.617445,-0.8674276,0.7833056,0.611071,-0.842592,0.7687718,0.5969761,-0.836222,0.825431,0.6048149,-0.8656046,0.8076231,0.5965177,-0.8409411,0.7931203,0.5828313,-0.8348268,0.8433765,0.5897859,-0.8681961,0.8319595,0.5824242,-0.8484595,0.8192985,0.5726982,-0.8440104,0.8246505,0.5976749,-0.9183112,0.06242048,
1529060279809,0.7913877,0.5989946,-0.9552215,0.7598163,0.6075866,-0.935101,0.7392536,0.6116693,-0.9187312,0.7845637,0.6372523,-0.8891765,0.7651278,0.6334934,-0.8676793,0.7533995,0.6207997,-0.861045,0.8001658,0.630237,-0.8789845,0.7771467,0.6265746,-0.8553472,0.7616258,0.6133942,-0.8495494,0.819824,0.616397,-0.8754857,0.8001142,0.6104965,-0.8519062,0.7845689,0.5976877,-0.8467283,0.8366507,0.600285,-0.8763667,0.8232832,0.5949229,-0.8575236,0.8096952,0.5860601,-0.8543697,0.8209106,0.6060196,-0.9274848,0.06009299,
1529060279836,0.7881293,0.6100641,-0.9683244,0.7568541,0.6214803,-0.9492323,0.7366809,0.6272782,-0.9329364,0.7808237,0.653759,-0.9061462,0.7604798,0.6524185,-0.8853927,0.7481571,0.6404476,-0.87857,0.7957653,0.6467152,-0.8949126,0.7717564,0.6454155,-0.8722719,0.7557119,0.632854,-0.8666365,0.8145404,0.6323448,-0.8897785,0.7935175,0.628561,-0.8672228,0.7774351,0.6162439,-0.8626785,0.830471,0.6157473,-0.8889136,0.8156332,0.6122508,-0.8710665,0.801589,0.6038278,-0.869055,0.8169842,0.617761,-0.9404059,0.05710386,
1529060279850,0.787616,0.6117474,-0.9726654,0.7566038,0.6239702,-0.9537462,0.7368562,0.6300585,-0.9370666,0.7799275,0.6577568,-0.9123873,0.7592027,0.6575503,-0.8920168,0.7466033,0.6459857,-0.885035,0.7945677,0.6505908,-0.9006263,0.7701697,0.6500611,-0.8784751,0.7539691,0.6376691,-0.8729567,0.8128893,0.6360856,-0.8948355,0.7912486,0.6328921,-0.8729489,0.7750434,0.620595,-0.8688713,0.828387,0.6194204,-0.893263,0.8127751,0.6164639,-0.8761857,0.7986532,0.6080259,-0.8749478,0.8160753,0.6201753,-0.9449304,0.05528078,
1529060279876,0.784511,0.6173271,-0.9799657,0.7541044,0.6302791,-0.9606382,0.735078,0.6366898,-0.9432839,0.777293,0.6655672,-0.9217846,0.7565748,0.6659969,-0.9015239,0.7440398,0.6544992,-0.8943822,0.7918561,0.6584574,-0.9097669,0.7674429,0.6582876,-0.8877769,0.7513357,0.6457983,-0.8822368,0.809917,0.644051,-0.9036304,0.7880552,0.6411853,-0.8821731,0.7719469,0.6286721,-0.8784509,0.8250786,0.6275333,-0.9016063,0.8089938,0.625008,-0.8852327,0.7950234,0.6163117,-0.884877,0.8130222,0.6266022,-0.9530115,0.05280968,
1529060279903,0.7810982,0.6170081,-0.9913219,0.7516468,0.6312531,-0.9716248,0.7339414,0.6379169,-0.9531043,0.7752461,0.6679061,-0.9354527,0.7544979,0.6698598,-0.9154052,0.7416607,0.6589143,-0.9080124,0.7894318,0.6599661,-0.922883,0.7649572,0.6602051,-0.9011415,0.7487655,0.6477431,-0.8958759,0.8064665,0.6450508,-0.9165529,0.7838825,0.642065,-0.8962472,0.7678607,0.6291897,-0.8937622,0.8206167,0.6284145,-0.9141869,0.8033222,0.6258295,-0.8996053,0.7898384,0.6167057,-0.9014142,0.8096844,0.6263767,-0.9648706,0.05033636,
1529060279938,0.7803344,0.6108539,-1.000329,0.7522657,0.628198,-0.981506,0.7362301,0.6355104,-0.9620125,0.7765055,0.6646774,-0.9472498,0.7551196,0.6697265,-0.9286466,0.7409716,0.6602312,-0.9217223,0.7887194,0.65431,-0.9332003,0.7630671,0.6557048,-0.9130682,0.7459484,0.6440101,-0.9092965,0.8028712,0.6377612,-0.9263359,0.7780274,0.6347972,-0.9095635,0.761944,0.6218463,-0.9103792,0.8146452,0.6204172,-0.9232873,0.7952142,0.6176913,-0.9133939,0.783698,0.6081812,-0.9198741,0.8081187,0.6184851,-0.9729747,0.04750687,
1529060279955,0.7790463,0.607631,-1.001316,0.7517207,0.6259676,-0.9824344,0.7363538,0.6335479,-0.9626124,0.7763207,0.6627529,-0.9498682,0.7548374,0.6687212,-0.9318315,0.7403852,0.6595502,-0.9251745,0.7877564,0.6516031,-0.935317,0.7617259,0.6532916,-0.9157821,0.7443538,0.6418178,-0.9125443,0.8009171,0.6346613,-0.9283131,0.7754333,0.6317757,-0.9127785,0.7594547,0.6188245,-0.9145826,0.8118905,0.61722,-0.9250401,0.79202,0.6145813,-0.9166688,0.7813938,0.6049111,-0.9241996,0.8066511,0.6150105,-0.9742032,0.04575989,
1529060279982,0.7735345,0.5940122,-1.004974,0.747474,0.6143523,-0.9863442,0.7331125,0.6230159,-0.9663668,0.7729247,0.6518123,-0.9570068,0.751616,0.6591939,-0.9397382,0.7369756,0.6502536,-0.9333135,0.7830243,0.6393329,-0.941691,0.7564481,0.6406699,-0.9232415,0.7391226,0.6288565,-0.9211,0.7948439,0.6221255,-0.934546,0.7686223,0.6185357,-0.9214232,0.7536804,0.6048398,-0.9252591,0.8049005,0.6049814,-0.9307929,0.7847967,0.6019859,-0.9250786,0.7766277,0.5914989,-0.934247,0.8009683,0.6014004,-0.9785207,0.04300387,
1529060280010,0.7654384,0.582408,-1.003712,0.7407238,0.6041573,-0.9845315,0.7271209,0.6143799,-0.9647582,0.7671764,0.6418891,-0.9589701,0.7463613,0.6490583,-0.9416661,0.7322133,0.63934,-0.9352655,0.776451,0.6280168,-0.9439341,0.7494154,0.6273367,-0.9261298,0.7326934,0.6145408,-0.9247197,0.7880871,0.6109331,-0.937147,0.7618595,0.6050857,-0.9259814,0.7488345,0.5901624,-0.9316712,0.7982104,0.5947425,-0.9331589,0.7786096,0.5905733,-0.9291428,0.7730818,0.5792332,-0.9391694,0.7936838,0.5904727,-0.9793526,0.03897119,
