time,thumb1x,thumb1y,thumb1z,thumb2x,thumb2y,thumb2z,thumb3x,thumb3y,thumb3z,index1x,index1y,index1z,index2x,index2y,index2z,index3x,index3y,index3z,middle1x,middle1y,middle1z,middle2x,middle2y,middle2z,middle3x,middle3y,middle3z,ring1x,ring1y,ring1z,ring2x,ring2y,ring2z,ring3x,ring3y,ring3z,pinky1x,pinky1y,pinky1z,pinky2x,pinky2y,pinky2z,pinky3x,pinky3y,pinky3z,palmx,palmy,palmz,pinch,
1529060113365,0.7951212,0.5295332,-0.8781573,0.7785134,0.5547486,-0.8543261,0.7662653,0.5725443,-0.8387394,0.8408085,0.5908318,-0.8482948,0.8533456,0.6110421,-0.8289651,0.8576976,0.6194422,-0.81262,0.8594221,0.581116,-0.8427793,0.8726106,0.6011837,-0.8174065,0.8758807,0.6096075,-0.7976783,0.8714862,0.5644156,-0.8416326,0.8807123,0.5817634,-0.8151327,0.8814597,0.5890719,-0.7950993,0.8817642,0.5431165,-0.8416111,0.8904269,0.5529031,-0.8204104,0.8900601,0.5567616,-0.8040032,0.8363214,0.5354299,-0.8737313,0.106026,
1529060113392,0.7969168,0.532963,-0.8840235,0.7805833,0.5582112,-0.8600347,0.7686649,0.5759811,-0.844165,0.84187,0.5945284,-0.8542227,0.8542764,0.6148614,-0.8349091,0.8585696,0.623535,-0.8186686,0.8603708,0.5848947,-0.8483166,0.8735381,0.6053811,-0.8231548,0.8771177,0.6144879,-0.8037547,0.8720445,0.5680444,-0.8464608,0.8804678,0.5853806,-0.8196592,0.8809006,0.5929068,-0.799655,0.8821777,0.5468683,-0.846068,0.889845,0.556734,-0.8245381,0.8887799,0.5606226,-0.8081508,0.8377005,0.5389017,-0.8791286,0.1048537,
1529060113406,0.7976635,0.5324165,-0.8877648,0.7817168,0.55756,-0.8634084,0.7701131,0.5752536,-0.8472235,0.8426455,0.5935895,-0.8575948,0.8550467,0.613678,-0.8380388,0.8592274,0.6221806,-0.8216799,0.8610079,0.5838315,-0.8515871,0.8741953,0.6041973,-0.8263177,0.8777723,0.613309,-0.8069201,0.8724319,0.5668094,-0.8495511,0.8805382,0.583824,-0.8224854,0.8805466,0.5910372,-0.802372,0.882305,0.5455853,-0.8490987,0.8895645,0.5552526,-0.8273648,0.8880339,0.5589561,-0.8109852,0.838222,0.5380911,-0.8826914,0.1039037,
1529060113432,0.8002521,0.5311152,-0.8966982,0.7850841,0.5562924,-0.8718811,0.7742153,0.5739239,-0.8551204,0.8443252,0.5925579,-0.8668226,0.8560019,0.6127483,-0.8469406,0.8596452,0.6213012,-0.8304702,0.8626848,0.5828555,-0.8606843,0.8753483,0.6035826,-0.8354117,0.8786129,0.6130051,-0.8161066,0.8740252,0.565607,-0.8582245,0.8813246,0.5824858,-0.8309155,0.8804058,0.5893168,-0.8107201,0.8837227,0.5444746,-0.8574799,0.8901578,0.5542397,-0.8355757,0.8878201,0.5578689,-0.8192883,0.840295,0.5368124,-0.8916585,0.1007498,
1529060113459,0.8016068,0.5278705,-0.9035299,0.7871109,0.5529732,-0.878244,0.776918,0.5704497,-0.8609021,0.8450438,0.5893362,-0.8736159,0.8559853,0.6095068,-0.8533334,0.8590214,0.6180059,-0.8367029,0.8632766,0.5795611,-0.8672378,0.8752222,0.6004099,-0.8417401,0.8778595,0.6098613,-0.822359,0.8745484,0.5620923,-0.8644735,0.8811397,0.5788442,-0.8369818,0.8792728,0.5852818,-0.8167726,0.8840379,0.5409895,-0.8634882,0.8899424,0.5508957,-0.8415179,0.8870776,0.5545835,-0.8253425,0.8412314,0.5334119,-0.898324,0.09791917,
1529060113486,0.8027664,0.5235729,-0.911603,0.7891537,0.5481585,-0.885342,0.7798735,0.5651007,-0.8669755,0.8453923,0.5849257,-0.8812737,0.8555,0.6048623,-0.8603724,0.8578806,0.6130724,-0.8434879,0.8635427,0.5751414,-0.8749257,0.8745817,0.5958989,-0.8490126,0.8763359,0.605031,-0.8294027,0.8749832,0.557475,-0.8721921,0.8812243,0.5740786,-0.8445473,0.8789679,0.5803323,-0.8243377,0.8842872,0.5363729,-0.8711843,0.8898113,0.5462604,-0.8491169,0.8865846,0.5498856,-0.8330075,0.8418825,0.529119,-0.9065053,0.09454128,
1529060113539,0.8040617,0.5151458,-0.9214762,0.7925814,0.5385059,-0.8931831,0.7852557,0.5542261,-0.8729398,0.8475258,0.5744564,-0.8895789,0.8573071,0.5930458,-0.8673955,0.8591666,0.6001842,-0.8499632,0.8652376,0.5640877,-0.8836331,0.8756279,0.5835329,-0.8566071,0.8762837,0.5913742,-0.8364254,0.8766134,0.5459179,-0.8816208,0.8832014,0.5614893,-0.8535039,0.8807709,0.5670363,-0.8331412,0.8851541,0.5245236,-0.881151,0.8908473,0.5336692,-0.8588202,0.8875148,0.5369246,-0.8426717,0.8427122,0.5196128,-0.9167671,0.09001605,
1529060113565,0.8050281,0.5070233,-0.9276959,0.7948254,0.5296537,-0.8983451,0.7886574,0.54462,-0.8771649,0.8496315,0.5649939,-0.8953346,0.8597806,0.5826724,-0.872605,0.8617739,0.5891232,-0.8549219,0.8672319,0.5543323,-0.8899946,0.8780023,0.5729303,-0.8625581,0.8787649,0.580143,-0.8421531,0.8785738,0.5359902,-0.8886994,0.8858959,0.5508755,-0.8604187,0.8837728,0.555951,-0.8399141,0.8866772,0.514452,-0.8887479,0.8927866,0.5230548,-0.8663253,0.8896457,0.5259976,-0.8500822,0.8435074,0.5109742,-0.9237353,0.08843814,
1529060113592,0.8055484,0.5023221,-0.9297361,0.7962626,0.5245054,-0.899754,0.7908648,0.5390118,-0.8780531,0.8512387,0.5591701,-0.8971004,0.8617284,0.5762302,-0.8740874,0.8637989,0.5822095,-0.8562546,0.8686799,0.5482261,-0.8921291,0.8797815,0.5662562,-0.8644849,0.8805764,0.5730434,-0.8439471,0.8798532,0.5296968,-0.8912597,0.8876507,0.5440973,-0.8628973,0.8855894,0.5488,-0.8423225,0.8875771,0.5079775,-0.8916254,0.8940169,0.5161551,-0.8691589,0.8909211,0.5188555,-0.8528814,0.8440883,0.5056478,-0.9262411,0.08752485,
1529060113618,0.8056863,0.4977586,-0.9330527,0.7972653,0.5193322,-0.9023818,0.7925679,0.5332667,-0.8801547,0.8528799,0.5528805,-0.899691,0.8639129,0.5689812,-0.876257,0.866187,0.5743413,-0.8582557,0.870034,0.5415535,-0.8951392,0.8815519,0.5586351,-0.867109,0.8823595,0.564756,-0.8463789,0.8809148,0.5228245,-0.8948425,0.889314,0.5364975,-0.8663138,0.8874624,0.5407882,-0.8456405,0.8881377,0.5008794,-0.8956645,0.894991,0.5083916,-0.8731048,0.8920022,0.5107597,-0.8567702,0.8442953,0.500241,-0.9299306,0.08710027,
