time,thumb1x,thumb1y,thumb1z,thumb2x,thumb2y,thumb2z,thumb3x,thumb3y,thumb3z,index1x,index1y,index1z,index2x,index2y,index2z,index3x,index3y,index3z,middle1x,middle1y,middle1z,middle2x,middle2y,middle2z,middle3x,middle3y,middle3z,ring1x,ring1y,ring1z,ring2x,ring2y,ring2z,ring3x,ring3y,ring3z,pinky1x,pinky1y,pinky1z,pinky2x,pinky2y,pinky2z,pinky3x,pinky3y,pinky3z,palmx,palmy,palmz,pinch,
1529408241526,0.8920257,0.5240257,-0.8810871,0.8640642,0.5304576,-0.8608309,0.8467015,0.5332456,-0.8468999,0.8973913,0.5579921,-0.8135705,0.8894628,0.563845,-0.7902194,0.8795894,0.5613512,-0.7782958,0.9105711,0.5446544,-0.8037274,0.901494,0.548937,-0.7764988,0.8897722,0.5462959,-0.7630932,0.9242215,0.5283983,-0.8026605,0.9167743,0.5318418,-0.7763348,0.906157,0.5300084,-0.762194,0.9354602,0.5082264,-0.8055394,0.9329774,0.5072117,-0.7847257,0.9256645,0.504411,-0.7730295,0.9188989,0.5227435,-0.8543335,0.08110531,
1529408241553,0.893479,0.525717,-0.8840779,0.865435,0.5338391,-0.8645387,0.8478463,0.5380768,-0.851274,0.9000195,0.560482,-0.8168433,0.8924747,0.5670946,-0.7936022,0.882676,0.5648452,-0.7816293,0.9133536,0.5472487,-0.8068774,0.9047344,0.5522469,-0.7796689,0.8930894,0.5498323,-0.7662024,0.9270546,0.5309,-0.8056591,0.9201722,0.5349249,-0.7792876,0.909745,0.5333382,-0.7650028,0.9383174,0.5106055,-0.8083276,0.9365115,0.5100071,-0.787428,0.929553,0.5074365,-0.77548,0.9208739,0.5242292,-0.8571447,0.082341,
1529408241580,0.8965864,0.5271887,-0.8895333,0.8685447,0.5373837,-0.8709617,0.8508521,0.5431993,-0.8584478,0.9045776,0.5632931,-0.8228629,0.8974451,0.5709747,-0.7998852,0.8877212,0.5689571,-0.7879102,0.9184514,0.5503812,-0.8127354,0.9106611,0.5564878,-0.7855628,0.899256,0.5543884,-0.7719181,0.9323275,0.533964,-0.8113057,0.9263307,0.5387882,-0.7848948,0.9161915,0.537421,-0.7704447,0.9437357,0.5135662,-0.8136808,0.9428542,0.5135096,-0.7927305,0.9362683,0.5111376,-0.7805743,0.924729,0.5256475,-0.8624104,0.08365607,
1529408241615,0.8995315,0.5299147,-0.8951659,0.8716743,0.5419831,-0.8774623,0.8541002,0.5489693,-0.8653958,0.9090824,0.5676819,-0.8293317,0.9025903,0.576809,-0.8067299,0.8930844,0.5753049,-0.7946186,0.923684,0.5550816,-0.8190143,0.9172038,0.5625879,-0.7918817,0.9062768,0.5609649,-0.7779175,0.9376056,0.5386351,-0.8173733,0.9327063,0.5445155,-0.7909873,0.9229633,0.5434992,-0.7763241,0.9491823,0.5180649,-0.8194214,0.9493602,0.5186177,-0.7984934,0.9430607,0.5164063,-0.7862525,0.9284546,0.5284897,-0.8679419,0.08498675,
1529408241646,0.9032041,0.5317252,-0.9003946,0.8757381,0.5462663,-0.8839934,0.8585142,0.5544823,-0.8722311,0.9140079,0.5724347,-0.8363811,0.9078385,0.5836769,-0.8146791,0.8983366,0.5832145,-0.8025777,0.9290836,0.5601698,-0.8254775,0.9235487,0.5698349,-0.7988622,0.9128453,0.5692028,-0.7847819,0.9429502,0.5435317,-0.8231071,0.9390261,0.551204,-0.7970538,0.9295322,0.5510476,-0.7823073,0.9544675,0.5225774,-0.8242675,0.9556103,0.5242308,-0.8034697,0.9494709,0.5225545,-0.791177,0.9325476,0.5305811,-0.8728195,0.08522303,
1529408241672,0.9059863,0.5318834,-0.9035106,0.8789619,0.547855,-0.8877528,0.862173,0.556626,-0.8758204,0.9173664,0.5751109,-0.8413855,0.9112883,0.5876874,-0.8204232,0.9017772,0.5878897,-0.8083684,0.9327638,0.5633135,-0.8300551,0.9276662,0.5745208,-0.8040011,0.9170501,0.5745956,-0.7899143,0.9466089,0.5465885,-0.8270031,0.9430342,0.5554453,-0.8013315,0.9335062,0.5557592,-0.7866958,0.9581659,0.5255423,-0.8273798,0.9596728,0.528096,-0.8067566,0.953442,0.5268373,-0.7945207,0.9355255,0.5314438,-0.8759578,0.0842359,
1529408241700,0.9108434,0.5318547,-0.9084984,0.8844209,0.5493081,-0.8933405,0.8682773,0.5585661,-0.8810047,0.9232759,0.5775592,-0.8484816,0.9174334,0.5915935,-0.8283954,0.9080241,0.5925784,-0.8163437,0.9392003,0.5662618,-0.8368694,0.9348196,0.5790983,-0.8114815,0.9244368,0.5799178,-0.7973312,0.9531866,0.5494766,-0.8332359,0.9504243,0.5596026,-0.8079777,0.9411402,0.5604581,-0.7933024,0.9648142,0.5283726,-0.8329449,0.9670993,0.5318841,-0.8125851,0.9610749,0.5310982,-0.8002604,0.9408058,0.531973,-0.881094,0.08317261,
1529408241726,0.9134341,0.5320204,-0.9109203,0.8874015,0.5504821,-0.8963478,0.8718471,0.5599074,-0.8835695,0.9267331,0.5793548,-0.8523316,0.92109,0.5943145,-0.8329262,0.9117369,0.5955644,-0.8209597,0.9431943,0.5685157,-0.8406621,0.9394069,0.582436,-0.8158487,0.9291457,0.5835283,-0.8017567,0.9574362,0.5517576,-0.8366984,0.9554213,0.5627223,-0.8117986,0.9463034,0.563759,-0.7971511,0.9692299,0.530701,-0.836046,0.9722461,0.534906,-0.8159839,0.9663157,0.5343421,-0.8036979,0.9438788,0.532693,-0.8836812,0.08235659,
1529408241753,0.9158515,0.5329063,-0.9136866,0.8904698,0.5526025,-0.899771,0.875888,0.5621148,-0.8861943,0.9305868,0.5816439,-0.8563775,0.9253321,0.5974017,-0.8374909,0.9162254,0.599036,-0.8254547,0.947442,0.5712274,-0.8447988,0.9442687,0.5861473,-0.8204979,0.9342986,0.5876826,-0.8063184,0.9619138,0.5545034,-0.8405994,0.9606432,0.5662674,-0.8160581,0.9517907,0.5675813,-0.8013694,0.9737756,0.5335291,-0.8396145,0.9774407,0.5384676,-0.8198798,0.9716622,0.5382366,-0.8075833,0.9469786,0.5338638,-0.8864971,0.08172872,
1529408241780,0.9196935,0.5339146,-0.917849,0.894717,0.5544275,-0.9047701,0.8814751,0.5632248,-0.8899702,0.935235,0.5836523,-0.8611424,0.9301447,0.6002456,-0.8429589,0.9211524,0.6020032,-0.8310528,0.9527583,0.5736359,-0.8496614,0.9502591,0.5894446,-0.8258948,0.9405239,0.5910386,-0.8118095,0.9676687,0.5570191,-0.8453678,0.9672678,0.5693976,-0.8211862,0.9586066,0.5705865,-0.8066099,0.9797583,0.5363326,-0.8443226,0.9842163,0.542078,-0.825042,0.9784967,0.5420086,-0.8129141,0.9514213,0.5350528,-0.8902285,0.08092785,
