time,thumb1x,thumb1y,thumb1z,thumb2x,thumb2y,thumb2z,thumb3x,thumb3y,thumb3z,index1x,index1y,index1z,index2x,index2y,index2z,index3x,index3y,index3z,middle1x,middle1y,middle1z,middle2x,middle2y,middle2z,middle3x,middle3y,middle3z,ring1x,ring1y,ring1z,ring2x,ring2y,ring2z,ring3x,ring3y,ring3z,pinky1x,pinky1y,pinky1z,pinky2x,pinky2y,pinky2z,pinky3x,pinky3y,pinky3z,palmx,palmy,palmz,pinch,
1529408362502,1.161285,0.5346481,-0.9072973,1.136563,0.5281149,-0.8831973,1.121441,0.5235416,-0.8672664,1.160001,0.5718681,-0.840978,1.152736,0.575546,-0.8165042,1.147607,0.5723295,-0.8017494,1.184888,0.5715387,-0.8350841,1.18625,0.5772965,-0.8061292,1.185223,0.5755892,-0.7879714,1.204963,0.5652356,-0.8375977,1.207428,0.5690435,-0.8100685,1.206809,0.5665758,-0.7922924,1.224973,0.552864,-0.8441238,1.232736,0.5516069,-0.824448,1.235276,0.5471526,-0.8111532,1.190546,0.5510195,-0.8863539,0.08577526,
1529408362529,1.162342,0.5368116,-0.9104769,1.138045,0.5309867,-0.8857825,1.123371,0.5267463,-0.8693494,1.162405,0.5741271,-0.8444349,1.155514,0.5778074,-0.8198403,1.15049,0.5746949,-0.8050224,1.187229,0.573179,-0.8387257,1.188917,0.5787477,-0.8097374,1.187989,0.5770637,-0.7915677,1.206999,0.5664326,-0.8413705,1.209559,0.5701898,-0.8138239,1.208928,0.5678595,-0.7960257,1.226574,0.5537217,-0.84794,1.234176,0.5525582,-0.8281786,1.236583,0.5483075,-0.8147926,1.192019,0.5525048,-0.890007,0.08469053,
1529408362542,1.163057,0.5390599,-0.9138535,1.138814,0.5332655,-0.8890982,1.124203,0.529024,-0.8726063,1.163298,0.5762812,-0.8477784,1.15645,0.5799019,-0.8231598,1.151439,0.5767707,-0.8083403,1.188119,0.5752529,-0.8420984,1.189851,0.5807347,-0.8130928,1.188939,0.5790174,-0.7949243,1.207855,0.5684602,-0.8447767,1.210434,0.5721531,-0.8172199,1.209809,0.5698067,-0.7994224,1.227376,0.5557143,-0.8513789,1.234962,0.5545062,-0.8316122,1.237354,0.5502434,-0.8182271,1.192447,0.5546094,-0.8934497,0.0845674,
1529408362570,1.161978,0.5420773,-0.916151,1.138356,0.5380423,-0.890498,1.124571,0.5346376,-0.8731303,1.165367,0.5799152,-0.8507974,1.159222,0.5836375,-0.826008,1.154485,0.5805853,-0.811086,1.190094,0.5782699,-0.8457457,1.19241,0.5839304,-0.8167978,1.191733,0.5824961,-0.798593,1.209408,0.5709678,-0.8488507,1.212365,0.5752463,-0.821382,1.211933,0.5735571,-0.8034987,1.22831,0.5577847,-0.8556165,1.235978,0.5573895,-0.8358151,1.238479,0.5539128,-0.8222214,1.192898,0.5566919,-0.8968191,0.08279815,
1529408362595,1.164165,0.5444676,-0.917621,1.140892,0.541785,-0.8914934,1.127471,0.5391501,-0.8737143,1.169472,0.5828988,-0.852953,1.163707,0.5867736,-0.8281019,1.159148,0.5837537,-0.8131262,1.194118,0.5811739,-0.8483709,1.19666,0.5872381,-0.8195185,1.19607,0.5860893,-0.8012942,1.2133,0.5737228,-0.8517903,1.216519,0.5786968,-0.8244516,1.216253,0.5775677,-0.8065223,1.23197,0.5603775,-0.8586675,1.239845,0.560774,-0.838933,1.242517,0.5579118,-0.8252331,1.195851,0.5586709,-0.8991318,0.08163254,
1529408362629,1.165987,0.5479327,-0.9209597,1.143336,0.546666,-0.8942018,1.130574,0.5447664,-0.8758559,1.173303,0.587237,-0.8572618,1.167937,0.591517,-0.8324065,1.163505,0.5886112,-0.8173832,1.19782,0.5853311,-0.8531528,1.200588,0.5921395,-0.8244938,1.200012,0.591415,-0.8062572,1.216796,0.577561,-0.8568348,1.220251,0.5835452,-0.8297226,1.220054,0.5831021,-0.811769,1.235154,0.5638485,-0.8637394,1.243222,0.5652283,-0.8441219,1.245974,0.5630516,-0.83032,1.198297,0.561549,-0.9034264,0.08016177,
1529408362649,1.167878,0.5498188,-0.9226766,1.145867,0.5495162,-0.8953826,1.133848,0.5480552,-0.8765152,1.176662,0.5903709,-0.8600734,1.17166,0.5952196,-0.8352599,1.167388,0.5925586,-0.8201562,1.201021,0.5884693,-0.8563707,1.203895,0.5961075,-0.8279438,1.203305,0.5958297,-0.8097045,1.219857,0.5804709,-0.8602238,1.223393,0.5873454,-0.8333412,1.22318,0.5874327,-0.8153911,1.237942,0.5665443,-0.8670455,1.2459,0.5687696,-0.8474715,1.248483,0.5670989,-0.8335767,1.200652,0.5633993,-0.906077,0.07925789,
1529408362675,1.167624,0.55278,-0.9258026,1.146597,0.5528318,-0.8977615,1.135682,0.5514282,-0.8782489,1.177705,0.5948242,-0.8644254,1.173332,0.6001388,-0.8396249,1.169474,0.5975051,-0.8244238,1.201885,0.5933599,-0.8613802,1.204917,0.6017097,-0.8332157,1.204381,0.6015643,-0.8149908,1.220697,0.5854747,-0.865586,1.224327,0.5930074,-0.8389369,1.224077,0.593183,-0.8210086,1.238856,0.571613,-0.8725754,1.24692,0.574428,-0.8531646,1.249352,0.572829,-0.8392581,1.200614,0.5669922,-0.9104643,0.078499,
1529408362702,1.167681,0.5550017,-0.9251651,1.147573,0.5555727,-0.8964972,1.137971,0.5542624,-0.876351,1.179219,0.5984404,-0.8650052,1.175638,0.6041185,-0.8402159,1.172321,0.6013609,-0.8249326,1.202956,0.5975146,-0.862686,1.205888,0.6064855,-0.8347638,1.205275,0.6063378,-0.8165611,1.221911,0.5898818,-0.8673611,1.22562,0.5980613,-0.8409739,1.225348,0.5982493,-0.8230684,1.240363,0.5761582,-0.8746658,1.248793,0.5795528,-0.8555656,1.251226,0.5779322,-0.8416948,1.201061,0.5699252,-0.9111478,0.07773068,
1529408362729,1.168503,0.5559206,-0.9263949,1.148722,0.5575618,-0.8975629,1.139616,0.5567722,-0.8771885,1.180939,0.6006595,-0.8674625,1.177577,0.6070026,-0.8428025,1.174267,0.6046865,-0.8274454,1.204448,0.5991955,-0.8650528,1.207313,0.6085118,-0.8372509,1.206523,0.6085885,-0.8190536,1.223317,0.5911223,-0.8695788,1.227093,0.5997599,-0.8433439,1.226776,0.6003413,-0.8254454,1.241241,0.5770257,-0.8764508,1.249255,0.5808773,-0.8572566,1.251355,0.5796703,-0.8432842,1.202133,0.5705714,-0.9128891,0.07727116,
