time,thumb1x,thumb1y,thumb1z,thumb2x,thumb2y,thumb2z,thumb3x,thumb3y,thumb3z,index1x,index1y,index1z,index2x,index2y,index2z,index3x,index3y,index3z,middle1x,middle1y,middle1z,middle2x,middle2y,middle2z,middle3x,middle3y,middle3z,ring1x,ring1y,ring1z,ring2x,ring2y,ring2z,ring3x,ring3y,ring3z,pinky1x,pinky1y,pinky1z,pinky2x,pinky2y,pinky2z,pinky3x,pinky3y,pinky3z,palmx,palmy,palmz,pinch,
1529408260633,1.191805,0.6350294,-0.7121201,1.178304,0.6176556,-0.6847977,1.173303,0.605497,-0.6667652,1.199906,0.6541997,-0.6399895,1.199739,0.6513634,-0.6141983,1.19988,0.6451635,-0.5994747,1.222861,0.6565152,-0.6389769,1.228124,0.6527961,-0.6100891,1.23064,0.6454279,-0.5935481,1.243292,0.654982,-0.6473296,1.250888,0.6483105,-0.6212318,1.254596,0.6396832,-0.6058891,1.259841,0.648452,-0.6599076,1.265033,0.6366073,-0.6439793,1.264044,0.6239067,-0.6380256,1.220668,0.6523517,-0.6944286,0.08250932,
1529408260660,1.19368,0.6371562,-0.7290967,1.180414,0.620091,-0.7014592,1.175513,0.6081303,-0.6832788,1.203343,0.6577064,-0.657285,1.203422,0.6559485,-0.6314442,1.203701,0.6500087,-0.6166403,1.226467,0.6598171,-0.6567709,1.232204,0.6567535,-0.6279926,1.234873,0.6491417,-0.6116256,1.246679,0.6580617,-0.6654756,1.254595,0.6519438,-0.6394209,1.258336,0.6431559,-0.6241988,1.262826,0.6506263,-0.6784832,1.267766,0.6383602,-0.663025,1.266098,0.6253949,-0.6579562,1.223067,0.6546177,-0.7121239,0.08360086,
1529408260687,1.19769,0.6398809,-0.749612,1.18474,0.6238101,-0.7212083,1.179398,0.6126518,-0.7025988,1.207927,0.6640626,-0.6788816,1.207884,0.6643984,-0.6529906,1.208051,0.6596671,-0.6377499,1.231227,0.6658059,-0.6786857,1.237103,0.6644413,-0.6498435,1.23981,0.657669,-0.6331127,1.251359,0.6640927,-0.6875051,1.259506,0.6605524,-0.6610444,1.263395,0.6531761,-0.6451485,1.268363,0.6560968,-0.7005275,1.275552,0.6462756,-0.6837817,1.276118,0.6345998,-0.6758149,1.227202,0.657983,-0.7337376,0.08506964,
1529408260713,1.199914,0.6395565,-0.761621,1.187325,0.6243256,-0.732572,1.181233,0.6140274,-0.7136393,1.2092,0.6674753,-0.6921164,1.208981,0.6693804,-0.6663191,1.209123,0.6655123,-0.6508306,1.232486,0.669181,-0.6918775,1.238178,0.6687795,-0.6630415,1.240808,0.662256,-0.6462018,1.252571,0.6678129,-0.7005783,1.26046,0.6659797,-0.6739002,1.264252,0.6594601,-0.6576179,1.270315,0.6598119,-0.7133135,1.278898,0.6523921,-0.6956711,1.281556,0.6427677,-0.6855764,1.22876,0.6590021,-0.7465678,0.08586901,
1529408260740,1.202442,0.6366167,-0.7777417,1.189335,0.6228405,-0.7481773,1.181602,0.6138721,-0.7291179,1.207948,0.6695088,-0.7100729,1.206883,0.6731645,-0.6845074,1.206615,0.6702627,-0.6688058,1.231085,0.6710693,-0.7089025,1.235626,0.6714631,-0.6799648,1.237594,0.6649598,-0.6630345,1.251255,0.6700979,-0.7167071,1.257686,0.6700638,-0.6896127,1.260616,0.6643826,-0.6728556,1.270007,0.6619384,-0.7282335,1.278442,0.6566793,-0.7096387,1.281696,0.6488529,-0.6981648,1.229815,0.6577073,-0.7629853,0.08627345,
1529408260766,1.202441,0.6347075,-0.7892317,1.188347,0.6217597,-0.7597525,1.178583,0.6137282,-0.7412204,1.206439,0.6694889,-0.7224363,1.205209,0.6736897,-0.6969688,1.20479,0.671117,-0.6812127,1.229341,0.6704844,-0.7207026,1.233226,0.6707267,-0.6917082,1.234699,0.6640068,-0.674813,1.249367,0.669345,-0.7279613,1.254664,0.6694278,-0.7006609,1.256782,0.6636779,-0.6838102,1.268507,0.6610082,-0.7388594,1.276427,0.6563997,-0.7198256,1.279543,0.6492921,-0.7078425,1.22915,0.656234,-0.7745141,0.08706991,
1529408260793,1.203428,0.6333088,-0.7989285,1.188813,0.6210061,-0.7694356,1.178339,0.61348,-0.7510876,1.204951,0.6704412,-0.7332962,1.203393,0.6751837,-0.707951,1.202798,0.6728743,-0.6921654,1.227492,0.6711837,-0.7308021,1.230463,0.6713548,-0.7017297,1.231398,0.6645123,-0.6848402,1.247455,0.6701972,-0.7373459,1.251406,0.6705921,-0.7098494,1.252676,0.6649039,-0.6928968,1.266986,0.6616212,-0.7473186,1.273867,0.657218,-0.7278464,1.2764,0.6503728,-0.7155526,1.229117,0.655719,-0.7841735,0.08716517,
1529408260826,1.203888,0.6327627,-0.8141113,1.189098,0.6203672,-0.7847548,1.178331,0.6128392,-0.7665765,1.20411,0.6704902,-0.7487602,1.202742,0.6750491,-0.7233842,1.202159,0.6725077,-0.7076412,1.226245,0.6702601,-0.7456378,1.228621,0.6691594,-0.7165921,1.229,0.6613413,-0.7001196,1.245975,0.6692091,-0.7516177,1.248756,0.6688433,-0.7240295,1.249107,0.662429,-0.7073075,1.265502,0.6602411,-0.7609938,1.271175,0.6552035,-0.7413135,1.272785,0.6479413,-0.729096,1.228918,0.6551592,-0.7989408,0.08718628,
1529408260861,1.207258,0.6317933,-0.8274744,1.192949,0.6189766,-0.798062,1.182665,0.6110877,-0.7797517,1.205781,0.6704041,-0.7625694,1.204672,0.6752462,-0.7372088,1.204282,0.6730334,-0.7214049,1.22742,0.6697545,-0.7589969,1.229324,0.6676353,-0.7300342,1.229439,0.6589537,-0.7140253,1.247032,0.6690233,-0.7645944,1.248981,0.6678514,-0.7370063,1.248819,0.6606859,-0.72061,1.2662,0.6600963,-0.7734742,1.269967,0.6537493,-0.7539318,1.269758,0.6448017,-0.742833,1.231161,0.654937,-0.8121877,0.08780043,
1529408260888,1.211609,0.63069,-0.8391376,1.198293,0.6170316,-0.8096334,1.189059,0.6084951,-0.791054,1.210881,0.6683316,-0.7736086,1.21056,0.6728922,-0.7481176,1.210573,0.6708999,-0.7322602,1.232494,0.667142,-0.7702543,1.235089,0.6641738,-0.741369,1.235513,0.6552064,-0.7255198,1.251906,0.6662282,-0.7759957,1.254326,0.6640738,-0.7484709,1.254395,0.6565105,-0.7322426,1.270519,0.6575762,-0.785146,1.273998,0.6507182,-0.765743,1.273256,0.6411465,-0.7553086,1.235354,0.653558,-0.8237251,0.08839645,
1529408260914,1.215564,0.6297131,-0.8462756,1.202924,0.6157193,-0.8166301,1.194205,0.6069292,-0.7979214,1.214185,0.6676074,-0.7808925,1.21415,0.6722386,-0.7553915,1.214412,0.6704765,-0.739499,1.235682,0.666726,-0.7775733,1.23851,0.663793,-0.7486591,1.239223,0.6550155,-0.7327045,1.254933,0.6662278,-0.7833102,1.257303,0.6641538,-0.7557532,1.257494,0.6567588,-0.7394338,1.273549,0.6578945,-0.7924182,1.276768,0.6509532,-0.7730449,1.275824,0.6410953,-0.7629453,1.238668,0.6531747,-0.8309975,0.08865528,
1529408260940,1.221629,0.6285328,-0.8554881,1.20872,0.6146131,-0.8259256,1.199625,0.6059116,-0.8073524,1.219229,0.6668772,-0.7903999,1.219116,0.6715688,-0.764892,1.219318,0.6700008,-0.74897,1.240708,0.6659696,-0.7867873,1.243489,0.6631467,-0.7577934,1.244219,0.6547153,-0.7416349,1.259894,0.6654867,-0.7921924,1.262002,0.6634959,-0.7645735,1.262083,0.656357,-0.7481224,1.27834,0.6568915,-0.8009596,1.280788,0.6493913,-0.7817684,1.279126,0.6389496,-0.7724587,1.244356,0.652188,-0.8400251,0.08890295,
1529408260966,1.225071,0.6288323,-0.8614897,1.211988,0.6147804,-0.8320673,1.202571,0.6060531,-0.81367,1.222798,0.6665525,-0.7960951,1.222796,0.6707782,-0.7704913,1.223032,0.6690608,-0.7545773,1.244293,0.6656618,-0.7925072,1.247224,0.6627408,-0.7634711,1.248061,0.654602,-0.7471436,1.263437,0.6650663,-0.7978493,1.265622,0.6628512,-0.7702118,1.26578,0.6558574,-0.7536789,1.281848,0.6563609,-0.8066754,1.284238,0.6483829,-0.787707,1.282388,0.6376518,-0.778803,1.247842,0.6523225,-0.8458209,0.08877258,
1529408261001,1.230359,0.6285703,-0.8684654,1.21664,0.6146671,-0.8392611,1.206704,0.6060789,-0.8210751,1.228104,0.6657432,-0.8028749,1.228001,0.6692947,-0.7771521,1.22814,0.6673374,-0.7612549,1.249511,0.665041,-0.7992452,1.252242,0.6621562,-0.7701002,1.253017,0.6545265,-0.753493,1.268692,0.6643302,-0.8044473,1.270711,0.6621066,-0.7767307,1.270848,0.6555741,-0.7599791,1.287522,0.6557724,-0.8132199,1.290559,0.6482565,-0.7939602,1.289533,0.6383502,-0.7838832,1.253387,0.6518648,-0.8525449,0.08826412,
