time,thumb1x,thumb1y,thumb1z,thumb2x,thumb2y,thumb2z,thumb3x,thumb3y,thumb3z,index1x,index1y,index1z,index2x,index2y,index2z,index3x,index3y,index3z,middle1x,middle1y,middle1z,middle2x,middle2y,middle2z,middle3x,middle3y,middle3z,ring1x,ring1y,ring1z,ring2x,ring2y,ring2z,ring3x,ring3y,ring3z,pinky1x,pinky1y,pinky1z,pinky2x,pinky2y,pinky2z,pinky3x,pinky3y,pinky3z,palmx,palmy,palmz,pinch,
1528803045590,0.7330749,0.5650475,-0.6112581,0.7169381,0.5770013,-0.5850918,0.7079,0.5830013,-0.5657653,0.7512332,0.6074071,-0.5624707,0.7449263,0.6148425,-0.5392317,0.7373818,0.6129463,-0.5256385,0.7664008,0.5988898,-0.5564473,0.7594354,0.6068709,-0.529799,0.7497243,0.6051798,-0.5148469,0.7811182,0.5839388,-0.5564845,0.7768964,0.589445,-0.530252,0.7682536,0.5875727,-0.5150248,0.7918171,0.5663729,-0.5589178,0.7910883,0.5685734,-0.5384058,0.7846195,0.5669905,-0.5261314,0.7634538,0.5681019,-0.5994725,0.0581037,
1528803045616,0.7264251,0.5575511,-0.6097751,0.7105276,0.5696739,-0.5835478,0.7016406,0.5756942,-0.5641564,0.7448188,0.5996087,-0.5610279,0.7381114,0.6070356,-0.5379132,0.7302201,0.6051447,-0.524521,0.759855,0.5908567,-0.5548775,0.7527025,0.599106,-0.5283425,0.742784,0.5977198,-0.5134978,0.7742233,0.575542,-0.5547322,0.7697908,0.5812339,-0.5285484,0.7609795,0.579666,-0.5133789,0.7844723,0.5577095,-0.5570146,0.7834035,0.5599474,-0.5365092,0.7767071,0.5585334,-0.5243374,0.7566562,0.5600304,-0.5978358,0.05705337,
1528803045643,0.7184879,0.5508731,-0.6078345,0.7025942,0.5629755,-0.5815949,0.6936673,0.5689728,-0.562214,0.7366305,0.592505,-0.5588736,0.7293848,0.5995989,-0.5358422,0.7211555,0.5974318,-0.5227025,0.7515681,0.5836882,-0.5526782,0.7439077,0.591791,-0.5262538,0.7336671,0.5902993,-0.511644,0.7657974,0.5682555,-0.5524683,0.7608626,0.5738443,-0.5263537,0.751734,0.5722338,-0.5113806,0.7759063,0.5503781,-0.5547224,0.7743936,0.5525901,-0.5342379,0.7674327,0.551198,-0.5222134,0.7486688,0.5530823,-0.5957538,0.05591668,
1528803045669,0.7083278,0.5431086,-0.6059194,0.6923525,0.5551133,-0.5796816,0.6833058,0.5610069,-0.5603248,0.7262719,0.5838993,-0.5563673,0.7185482,0.5906568,-0.5333943,0.7099806,0.5883385,-0.5204972,0.7409618,0.5748016,-0.5500592,0.7327877,0.5826123,-0.5237015,0.7221954,0.5810411,-0.5093501,0.7549083,0.5591484,-0.5498011,0.7494107,0.564461,-0.5237372,0.739912,0.5627941,-0.508999,0.7647619,0.541163,-0.552084,0.7627698,0.5431799,-0.531612,0.7555221,0.5417833,-0.5197558,0.7383134,0.5447813,-0.5934924,0.05517969,
1528803045697,0.7017219,0.5386732,-0.6044078,0.6858318,0.5504444,-0.5780158,0.6768303,0.5560991,-0.5585687,0.7197261,0.5786737,-0.5543581,0.7117549,0.5851259,-0.5313929,0.7029651,0.5826514,-0.5186782,0.7342446,0.5693157,-0.5480342,0.7258375,0.576849,-0.5216796,0.7150228,0.5751776,-0.5075101,0.7479423,0.5534723,-0.5478369,0.7421824,0.5585329,-0.5217807,0.7324669,0.5568069,-0.507193,0.7575344,0.5353733,-0.5502288,0.7552791,0.5371706,-0.5297639,0.7478414,0.5357352,-0.518031,0.7315848,0.5398488,-0.5918127,0.05458294,
1528803045724,0.6926143,0.5325804,-0.6025403,0.6765788,0.5440676,-0.5761092,0.6674356,0.5495194,-0.5566688,0.7103088,0.5718018,-0.5518591,0.701991,0.5778674,-0.5289277,0.6929737,0.5751377,-0.5164314,0.7247174,0.5622864,-0.5455242,0.7159381,0.5694205,-0.519201,0.7048697,0.5675099,-0.5052621,0.7383021,0.5463874,-0.5454107,0.7321501,0.5511137,-0.5193949,0.7221677,0.549201,-0.5050131,0.7478505,0.5282795,-0.5479397,0.7453127,0.529843,-0.5275024,0.7376587,0.5282881,-0.5159253,0.7223627,0.5334511,-0.5897041,0.05410677,
1528803045762,0.6849661,0.5280569,-0.6005823,0.6683433,0.5387586,-0.5741867,0.6588116,0.5435985,-0.5547754,0.7012463,0.566337,-0.5487543,0.6923515,0.5718004,-0.5258976,0.6830122,0.568711,-0.5137306,0.7154686,0.5566952,-0.5422328,0.7059513,0.5631033,-0.5160111,0.6944544,0.5607339,-0.5025005,0.7290252,0.5408413,-0.542098,0.7220869,0.5449203,-0.5161965,0.7116249,0.5425897,-0.5022272,0.7387058,0.5228281,-0.5447394,0.7356048,0.5239408,-0.5243729,0.7275652,0.5220987,-0.5131063,0.714299,0.528798,-0.5870379,0.05386078,
1528803045789,0.6790119,0.524339,-0.5985385,0.6618317,0.5344002,-0.5722476,0.651897,0.5387508,-0.5529245,0.6942372,0.5614613,-0.5454998,0.6850091,0.5664607,-0.5226572,0.6754693,0.5631982,-0.5106874,0.7082589,0.5516167,-0.53886,0.6982879,0.5574232,-0.5126707,0.6865267,0.5547795,-0.4994381,0.7217305,0.5357497,-0.5387783,0.7142773,0.5392557,-0.5129427,0.7035115,0.5366376,-0.4992552,0.731454,0.5177836,-0.5415972,0.7279886,0.5184538,-0.5212792,0.719717,0.5163829,-0.5102205,0.7079999,0.5247726,-0.5843375,0.05419689,
1528803045816,0.6754619,0.5229304,-0.5971937,0.6575933,0.5326062,-0.5712186,0.6471564,0.5366772,-0.5521013,0.6894406,0.5592906,-0.543206,0.679831,0.5639924,-0.5204509,0.6700859,0.560608,-0.5086805,0.7032828,0.5493574,-0.5363747,0.6927953,0.5547738,-0.5103096,0.6807636,0.5519315,-0.497364,0.7167415,0.5335271,-0.5362092,0.7087328,0.536672,-0.5105013,0.6976624,0.5338491,-0.4971008,0.7265688,0.515624,-0.5390538,0.7226876,0.5160264,-0.5188142,0.714166,0.5137913,-0.5079802,0.7040848,0.5231635,-0.5822469,0.0546243,
1528803045843,0.6717399,0.5215642,-0.5957061,0.6532809,0.5308068,-0.5699842,0.6423979,0.5345935,-0.5510566,0.6846255,0.5570524,-0.5407847,0.674766,0.5613873,-0.5180541,0.6648956,0.5578552,-0.5064277,0.6983126,0.5470389,-0.533844,0.6874321,0.5519875,-0.5078499,0.6752076,0.5489112,-0.4951372,0.7117803,0.5312793,-0.5336803,0.703342,0.5340118,-0.5080665,0.692053,0.5309619,-0.4948972,0.7217232,0.5134698,-0.5366192,0.7175218,0.5135769,-0.5164474,0.7088189,0.5111591,-0.5057969,0.7000645,0.5216388,-0.5801603,0.05512711,
