time,thumb1x,thumb1y,thumb1z,thumb2x,thumb2y,thumb2z,thumb3x,thumb3y,thumb3z,index1x,index1y,index1z,index2x,index2y,index2z,index3x,index3y,index3z,middle1x,middle1y,middle1z,middle2x,middle2y,middle2z,middle3x,middle3y,middle3z,ring1x,ring1y,ring1z,ring2x,ring2y,ring2z,ring3x,ring3y,ring3z,pinky1x,pinky1y,pinky1z,pinky2x,pinky2y,pinky2z,pinky3x,pinky3y,pinky3z,palmx,palmy,palmz,pinch,
1529584858738,0.9907776,0.4465483,-1.003032,0.9648253,0.4671784,-1.011322,0.9448843,0.4796942,-1.011258,0.952772,0.4829126,-0.9879942,0.9402593,0.4648051,-0.9895483,0.9488915,0.4520712,-0.9925904,0.9537206,0.4802188,-0.9733455,0.9419153,0.45985,-0.9790643,0.9535635,0.4461531,-0.981898,0.9594467,0.4742661,-0.9568722,0.9496425,0.4555602,-0.9641294,0.9618543,0.4428303,-0.9679803,0.9642963,0.4683663,-0.9425961,0.9546951,0.4562788,-0.9503901,0.9634751,0.4457397,-0.9545742,0.9899281,0.4599135,-0.9727428,0.03357916,
1529584858772,0.9811993,0.4444053,-1.012418,0.9556673,0.4625186,-1.027029,0.9363844,0.4740252,-1.033909,0.9407032,0.4800411,-0.9957641,0.9295654,0.4617898,-0.9993181,0.9391239,0.4493398,-1.002555,0.9403086,0.4769359,-0.9809332,0.9294648,0.4571787,-0.988796,0.9418103,0.4441037,-0.9923886,0.9448782,0.470517,-0.9645306,0.9351035,0.4524505,-0.9735515,0.9472634,0.4398429,-0.9776208,0.9491801,0.4636804,-0.9503444,0.939869,0.4522179,-0.959404,0.9487971,0.4419519,-0.9637887,0.9776798,0.4576049,-0.9793363,0.03999956,
1529584858792,0.9750575,0.4477507,-1.016934,0.9502379,0.4668497,-1.031858,0.9313649,0.4787117,-1.0389,0.9332492,0.4816402,-0.9969327,0.9219582,0.4639574,-1.001782,0.9314524,0.4517528,-1.00616,0.9330291,0.4772096,-0.9824918,0.9222488,0.4582222,-0.9917743,0.934647,0.4454196,-0.9964671,0.937777,0.4695501,-0.9666245,0.9278618,0.4522413,-0.9770139,0.9398521,0.4398563,-0.9823222,0.9422671,0.4617073,-0.9529904,0.9327497,0.4510507,-0.96284,0.9415217,0.4411151,-0.9682112,0.9709067,0.4581493,-0.9827298,0.04241084,
1529584858818,0.9661877,0.4464144,-1.017936,0.9405103,0.4652041,-1.031529,0.9204549,0.4760616,-1.035854,0.9252101,0.4811336,-0.9965124,0.9130951,0.4636641,-1.000846,0.9219817,0.4508081,-1.004303,0.9254908,0.4764727,-0.9818689,0.9136163,0.4575751,-0.99081,0.9251459,0.4440672,-0.9953792,0.9306016,0.4685939,-0.9658995,0.9194475,0.4515402,-0.976135,0.9304749,0.4387188,-0.9822043,0.9354981,0.460586,-0.9524665,0.9251072,0.4503027,-0.9620228,0.9331794,0.4401321,-0.9679482,0.9632703,0.4567159,-0.9831669,0.0404413,
1529584858844,0.9598513,0.4390191,-1.018962,0.9333773,0.4567261,-1.032402,0.9128599,0.4666911,-1.035406,0.9203389,0.4754987,-0.9975063,0.9078113,0.4578465,-1.000304,0.9162234,0.4444335,-1.002864,0.9211341,0.4717515,-0.9823012,0.9082776,0.4526416,-0.9897357,0.9190431,0.4385333,-0.9943697,0.9268925,0.4646265,-0.9660637,0.9146556,0.4473943,-0.9749417,0.9248396,0.4340842,-0.9814103,0.932408,0.4572767,-0.9526199,0.9211955,0.4468234,-0.9610729,0.9286348,0.4361776,-0.9669296,0.9588036,0.4514046,-0.9844347,0.03956927,
1529584858871,0.9477019,0.4348597,-1.021896,0.9208868,0.4518454,-1.035775,0.9004859,0.4618715,-1.039695,0.9081424,0.4712085,-1.001469,0.8961223,0.452987,-1.002779,0.9047865,0.439452,-1.003753,0.9093641,0.468569,-0.9858234,0.8965122,0.4488667,-0.9917195,0.907149,0.4343267,-0.9955316,0.9157553,0.4624528,-0.969286,0.9034008,0.4446703,-0.9767461,0.9134101,0.4309164,-0.9827355,0.9219034,0.4558307,-0.9555873,0.9104675,0.4448743,-0.9630671,0.9177434,0.4340118,-0.9687629,0.9474159,0.4487398,-0.9880529,0.0425787,
1529584858897,0.9434675,0.4335374,-1.023953,0.9176975,0.4513059,-1.03884,0.8979217,0.462144,-1.044256,0.9035297,0.4698643,-1.004269,0.8914388,0.4517166,-1.005968,0.8999798,0.4380481,-1.006419,0.9042366,0.4672526,-0.9885744,0.8912708,0.4477634,-0.9948818,0.9017454,0.4329564,-0.9982187,0.9101135,0.4609487,-0.9718387,0.8977568,0.4434228,-0.9796878,0.9077719,0.4295109,-0.9853661,0.9158325,0.4540943,-0.9579041,0.9044374,0.4434039,-0.9657532,0.9117398,0.4325992,-0.971532,0.9421603,0.4469445,-0.9898387,0.04490535,
1529584858923,0.9384975,0.4326898,-1.026293,0.9138896,0.4516092,-1.041732,0.8948457,0.4633607,-1.048086,0.8979056,0.4686093,-1.007576,0.8857439,0.4505551,-1.009912,0.8941294,0.4367593,-1.010243,0.8980621,0.4658519,-0.9919997,0.8851126,0.4465224,-0.9989399,0.895443,0.4314979,-1.001868,0.9033184,0.4592515,-0.975045,0.8911176,0.4419349,-0.9835289,0.9011903,0.4279791,-0.9890941,0.9085215,0.4521915,-0.9610448,0.8973156,0.4416895,-0.9693985,0.9046838,0.4308323,-0.9750419,0.9358497,0.4452306,-0.9921641,0.0462628,
1529584858960,0.9305385,0.4353697,-1.030336,0.9065353,0.4551734,-1.045552,0.8876837,0.4672991,-1.051939,0.8886127,0.469514,-1.010571,0.8769614,0.4516001,-1.014504,0.8858933,0.4382347,-1.015826,0.888306,0.4657564,-0.9953777,0.8760576,0.4467626,-1.00393,0.8869287,0.4322421,-1.00737,0.8930426,0.4581834,-0.9787235,0.8815588,0.4412808,-0.9886744,0.8922072,0.4279209,-0.9946209,0.8978177,0.4503984,-0.9650589,0.887175,0.4402753,-0.9744047,0.8949506,0.4297502,-0.980214,0.9263178,0.4456844,-0.9955254,0.04638995,
1529584858989,0.9305385,0.4353697,-1.030336,0.9065353,0.4551734,-1.045552,0.8876837,0.4672991,-1.051939,0.8886127,0.469514,-1.010571,0.8769614,0.4516001,-1.014504,0.8858933,0.4382347,-1.015826,0.888306,0.4657564,-0.9953777,0.8760576,0.4467626,-1.00393,0.8869287,0.4322421,-1.00737,0.8930426,0.4581834,-0.9787235,0.8815588,0.4412808,-0.9886744,0.8922072,0.4279209,-0.9946209,0.8978177,0.4503984,-0.9650589,0.887175,0.4402753,-0.9744047,0.8949506,0.4297502,-0.980214,0.9263178,0.4456844,-0.9955254,0.04638995,
